timestamp,avg,qty
1575025200,2130,4
1575032700,2160,3
1575038100,2146,13
1575051000,2152,16
1575058500,1994,32
1575060600,2017,40
1575062100,1977,47
1575062400,1978,26
1575064200,2092,21
1575086700,2106,18
1575108600,2146,23
1575112500,2144,5
1575114900,2135,19
1575159300,1818,21
1575164700,2072,14
1575204900,1972,10
1575222300,2001,16
1575225900,2113,88
1575242100,2056,19
1575242700,2070,22
1575244800,2148,36
1575257400,2066,5
1575259200,2152,20
1575262800,1800,29
1575270300,2147,46
1575294600,2167,37
1575319200,2028,10
1575336900,2075,134
1575347700,1985,6
1575350100,1898,27
1575350700,1817,15
1575351000,1898,27
1575351600,1903,39
1575369900,2127,23
1575373800,2191,22
1575395400,2018,24
1575428700,2138,40
1575431700,2228,17
1575432000,2300,10
1575432300,2209,21
1575433500,2165,17
1575434700,2124,14
1575435000,2165,17
1575435300,2124,14
1575435900,2220,27
1575439200,2258,6
1575453600,2233,5
1575473700,2289,37
1575479700,2116,16
1575493800,2072,16
1575495000,2142,16
1575496200,2167,13
1575496800,2165,13
1575497400,2167,13
1575498000,2163,14
1575498300,2166,17
1575499200,2163,14
1575499500,2140,25
1575507600,2111,44
1575534600,2217,29
1575589500,2128,97
1575591300,2116,36
1575593100,2135,15
1575598200,2126,21
1575625500,2124,7
1575642600,2158,16
1575666900,2146,19
1575669000,2140,21
1575670800,2138,25
1575698400,2120,2
1575791100,2163,6
1575797700,2163,2
1575819900,2149,18
1575822000,2181,9
1575845700,2120,36
1575867900,1938,1
1575868800,1938,1
1575869400,1938,1
1575871200,1878,43
1575872400,1934,65
1575872700,1878,43
1575873000,1934,65
1575873600,1987,52
1575875400,2127,17
1575917400,2158,1
1575918000,2193,9
1575918300,2158,1
1575918600,2193,9
1575918900,2198,14
1575920400,2192,15
1575921000,2294,10
1575921300,2247,18
1575921600,2294,10
1575922200,2248,13
1575922500,2247,18
1575922800,2248,13
1575927000,2082,141
1575929700,2133,31
1575930000,2113,23
1575930300,2140,31
1575941700,2168,23
1575942000,2213,19
1575942300,2168,23
1575942900,2037,47
1575944400,1989,37
1575944700,2012,52
1575945000,1984,38
1575945300,1989,37
1575945600,1984,38
1575972900,2153,28
1575980100,1990,26
1575985800,1900,6
1575990900,2175,18
1575995100,2197,2
1575995400,2238,7
1575995700,2197,2
1575996300,2163,4
1575996600,2197,2
1575996900,2163,4
1576006200,2107,13
1576010100,2175,6
1576010400,2173,5
1576010700,2147,12
1576020000,2091,16
1576029000,2146,26
1576035300,2091,15
1576037100,2114,18
1576038900,2186,23
1576097700,2114,43
1576104600,2159,17
1576114800,2136,7
1576119000,2086,16
1576119300,2090,12
1576119900,2086,16
1576120800,2102,17
1576122900,2189,7
1576139100,2092,9
1576171800,2195,20
1576184700,2114,106
1576188300,2161,47
1576191900,2159,37
1576196100,2140,10
1576197300,2145,14
1576197600,2140,10
1576197900,2143,16
1576198800,2128,16
1576199100,2143,16
1576199400,2128,16
1576199700,2132,20
1576218900,2156,46
1576225500,2161,16
1576230600,2178,25
1576238700,2179,8
1576267500,2162,40
1576273500,2160,56
1576281000,2200,10
1576284600,2186,6
1576284900,2186,6
1576285800,2126,236
1576286700,2126,237
1576287000,2126,236
1576287300,2126,237
1576289100,2170,16
1576289700,2170,16
1576290000,2170,16
1576291200,2163,20
1576294800,2143,38
1576295100,2146,33
1576295400,2143,38
1576295700,2146,33
1576296000,2137,36
1576300500,2138,24
1576316100,2154,9
1576322100,2155,3
1576340400,2168,3
