timestamp,avg,qty
1575713100,192,5
1575732900,186,41
1576464600,174,934
1576676400,600,2000
1576696500,148,10
1576969800,157,273
1577072100,187,498
1577155500,162,1
1577193300,195,104
1577338800,187,214
1577426100,145,898
1577427900,151,1035
1577429700,193,137
1577500800,177,1
1577658600,168,3000
1577723700,202,50
1577743800,174,839
1577746200,184,681
1577746500,176,1000
1577747100,184,681
1577781000,159,2000
1577901000,267,43
1577902800,304,133
1577904600,512,371
1577906400,573,281
1577978700,173,1000
1578002700,182,1391
1578004500,201,532
1578073800,167,697
1578079200,183,765
1578285900,116,1
1578287700,12,135
1578328200,181,1158
1578550800,155,10
1578601200,146,1404
1578627300,134,1
1578678300,80,50
1578680100,83,194
1578681900,85,144
1578707700,83,1388
1578713400,80,181
1578722700,152,200
1578807900,218,1
1578847800,203,87
1578849600,206,267
1578851400,208,1515
1578880800,107,1
1578938100,208,10
1579129200,179,6870
1579149300,200,10
1579294800,169,5825
1579378200,205,321
1579404000,165,1045
1579449000,194,243
1579714500,215,700
1580797500,186,372
1580869200,168,1
1580959800,220,2500
1581129000,202,1
1581234000,200,200
1581413700,190,500
1581419400,207,1000
1581547200,190,1
1581556200,424,1000
1581558000,411,1086
1581559800,262,86
1581627300,193,1
1581760500,182,300
1581996300,111,2000
1582001700,188,2000
1582011000,171,2000
1582135800,193,176
1582172700,163,2000
1582384500,91,1
1582393500,109,1
1582501500,172,4195
1582531800,91,46
1582560900,120,1154
1582599600,175,930
1582600500,184,805
1582615500,157,3309
1582652400,138,83
1582672500,169,1996
1582674600,174,1736
1582692900,120,5622
1582721400,133,1142
1582767900,115,1
1582796700,151,1638
1582823100,157,3001
1582827600,161,1
1582869900,170,3420
1582914000,101,397
1582934700,120,13218
1582935000,101,6664
1582935600,120,13218
1582937400,139,6600
1582938300,120,12749
1582938600,139,6600
1582958400,129,8270
1583009100,145,623
1583043000,156,47
1583048700,162,557
1583083200,184,1000
1583087100,135,2113
1583090700,184,100
1583096100,171,2000
1583115900,158,268
1583125200,163,617
1583126700,155,707
1583128800,100,140
1583132400,145,1049
1583134200,143,1097
1583135700,100,97
1583174700,145,2096
1583175300,142,2226
1583175900,145,2096
1583178000,144,2140
1583178300,100,1691
1583181900,161,1513
1583183700,164,1934
1583185200,173,487
1583189100,168,2000
1583209500,167,3000
1583210400,170,9869
1583213100,171,6869
1583262000,165,93
1583304300,183,15000
1583387100,144,169
1583433000,151,1
1583447700,174,180
1583482800,162,1111
1583501400,184,1
1583541300,180,5000
1583572800,174,1538
1583618400,158,2152
1583621100,179,41
1583621400,158,2193
1583621700,179,41
1583622000,158,2193
1583660700,175,1
1583688300,173,3000
1583695500,138,1
1583710200,184,3500
1583722800,181,10000
1583726400,175,1000
1583737500,138,466
1583739300,140,509
1583741100,167,90
1583759700,175,125
1583761500,167,3709
1583794500,184,5845
1583796300,183,6035
1583798100,175,328
1583920500,169,10000
1583966100,157,959
1583984100,179,5161
1584074400,164,5000
1584083700,172,1622
1584118500,183,10000
1584136800,182,10000
1584195600,135,1
1584213900,165,1416
1584252000,160,1034
1584255600,164,41
1584297900,170,6016
1584301500,164,611
1584371700,170,10000
1584377100,134,100
1584418500,182,10000
1584568500,163,3372
1584629100,178,41
1584843000,168,4085
1584855900,170,123
1584857700,168,299
1584930900,173,493
1584982200,126,1
1585030200,132,1
1585041300,149,930
1585048800,162,230
1585065300,167,2499
1585322700,199,1
1585370100,177,1063
1585469100,103,2
1585525200,119,1
1585637700,113,91
1585691100,153,2000
1585694700,152,90
1585705500,156,3711
1585711200,184,1134
1585713000,174,1869
1585714800,159,921
1585716600,164,592
1585738800,154,3888
1585755300,146,4651
1585764600,144,563
1585766400,155,10000
1585768200,156,9437
1585799100,148,5284
1585803000,149,134
1585854000,150,4330
1585855800,154,1351
1585857600,149,4106
1585861200,162,170
1585879500,157,47
1585958700,200,6086
1585962600,205,470
1586169900,95,1
1586312700,600,100
1586550300,395,2
1586917500,195,86
1587005100,92,300
1587014100,140,9154
1587084000,161,44
1587093000,597,5000
1587113100,161,483
1587149400,138,781
1587158400,140,849
1587160200,141,1000
1587192900,165,306
1587314700,166,139
1587376500,600,1
1587402000,166,114
1587577800,208,474
1587671400,200,100
1587686100,346,86
1587746400,91,1
1587881700,175,91
1587975000,196,100
1588031400,203,11
1588033200,191,55
1588035000,193,60
1588036800,205,16
1588055100,145,586
1588118700,220,598
1588195500,198,368
1588286100,197,953
1588289700,198,2270
1588435200,137,500
1588471800,186,96
1588693200,192,1
1588718700,162,934
1588740600,163,973
1588893600,127,224
1588906200,170,1
1588929900,159,744
1588931700,168,1112
1588933500,186,502
1588969800,177,250
1588971600,182,611
1588973400,186,676
1589064000,174,766
1589073000,176,2173
1589076600,254,10
1589081100,176,134
1589088300,175,67
1589135700,174,4241
1589137500,173,4110
1589139300,146,183
1589144700,168,991
1589146500,171,1530
1589148300,177,1244
1589164500,189,213
1589170200,177,9910
1589173800,1,1
1589177400,159,6639
1589219100,170,3012
1589222700,179,229
1589224500,149,397
1589228400,150,89
1589230200,170,360
1589232000,177,802
1589242800,144,10484
1589246400,177,135
1589311500,150,168
1589340600,174,1327
1589342400,181,1814
1589344200,201,702
1589346000,204,487
1589347800,197,315
1589349600,333,1089
1589351400,863,5046
1589353200,1000,4000
1589360700,173,868
1589367900,178,1018
1589495100,179,2470
1589661900,183,147
1589729100,185,770
1589754300,180,14044
1589832300,198,1099
1589924700,179,29045
1589990400,164,1000
1590006600,170,1576
1590008400,173,1939
1590010200,186,363
1590012000,180,4911
1590015600,186,301
1590048300,181,96
1590050100,184,410
1590051900,186,746
1590108300,182,504
1590110100,177,181
1590178800,185,543
1590187800,186,532
1590273300,215,316
1590343800,187,13415
1590448800,188,1395
1590450600,191,1075
1590536700,197,757
1590803700,198,702
1590865200,197,9226
1590934200,183,1499
1590970200,169,100
1591015800,191,576
1591046700,238,1
1591083000,191,622
1591219800,185,1
1591303800,155,1
1591398600,238,1
1591456800,124,1010
1591482300,128,1
1591502100,237,2000
1591546500,131,1
1591568100,204,1468
1591630500,177,1
1591635900,124,593
1591680900,215,94
1591690200,191,1
1591692000,125,135
1591815900,205,1
1591823100,213,5892
1591825200,212,6077
1591827000,193,490
1591859700,204,622
1591887000,195,42
1591894200,550,1
1591935900,268,1
1592083200,193,318
1592317800,178,511
1592321400,193,46
1592354100,190,412
1592355900,189,324
1592357700,194,180
1592765100,133,1
1593281100,398,1
1593847500,200,94
1593915000,240,45
1593933300,211,1
1594477800,390,1
1594497600,225,279
1595150400,215,1000
1595299200,209,128
1595408400,299,7000
1595536800,203,219
1595608800,158,1000
1595632500,159,100
1595634300,199,2100
1595636100,201,2000
1595639700,145,100
1595650500,162,209
1595732400,175,1
1595777700,201,6630
1595781300,202,361
1595813100,137,1
1595868300,187,46
1595871600,196,1
1595907600,195,486
1595909400,194,388
1595911200,196,818
1595931600,265,1
1595946300,196,42
1595978100,187,1
1595987400,196,49
1596072300,199,228
1596379500,195,2500
1596387000,199,4996
1596390600,215,4
1596406800,194,1086
1596610200,225,2000
1596824100,216,10
1597202700,198,315
1597293300,194,412
1597295100,196,632
1597296900,200,625
1597425300,185,1
1597427100,200,101
1597463400,198,726
1597465200,208,1544
1597467000,217,818
1597505100,204,2324
1597559400,220,464
1597988400,399,3001
1598195400,212,1
1598823900,199,1485
1598863800,216,215
1598934600,139,111
1598996400,234,100
1599504000,204,10
1599549000,202,608
1599552600,204,46
1599612300,205,400
1599883200,235,382
1599913500,207,111
1600137600,201,90
1600206300,208,6255
1600208700,255,228
1600407300,205,10
1600472100,137,1
1601091600,269,8278
1601159100,188,4602
1601415600,105,1
1602903900,201,740
1602905700,202,963
1602907500,206,441
1603182300,193,330
1603340700,199,1
1603556100,190,1
1603744500,500,4000
1603897200,176,200
1604112000,183,170
1604511600,450,1
1604698200,114,1
1604901900,380,1
1605161400,234,49
1605504600,232,363
1605829200,215,3000
1605834600,225,1348
1605836400,236,1618
1605838200,288,489
1606188300,125,301
1606583100,171,1
1606612200,205,5000
1608120300,343,1000
1608123900,350,436
1608141900,179,150
1608143700,194,199
1608145500,240,49
1608573900,150,50
1608659100,115,1
1608883800,190,129
1608894600,194,156
1609044000,190,500
1609278600,123,10
1610270100,160,663
1611376200,200,354
1611383700,207,640
1611385500,216,569
1611387300,220,242
1612188300,449,2
1612421700,203,184
1612493700,201,330
1612831800,275,2010
1613146200,181,1
