timestamp,avg,qty
1574994300,11154,3
1575073500,11298,2
1575082800,9564,3
1575153300,11220,1
1575153900,11220,1
1575154200,11220,1
1575155100,11220,1
1575156900,11105,2
1575157200,11143,3
1575157800,11105,2
1575234000,11116,1
1575240600,10033,2
1575344100,10830,1
1575346200,10830,1
1575408000,9212,1
1575417600,9076,3
1575426600,9500,1
1575462900,9212,2
1575523500,9965,2
1575593100,8000,1
1575607800,9728,1
1575666000,8341,1
1575666900,6170,2
1575667200,8341,1
1575667500,6170,2
1575669300,4299,2
1575669600,5646,3
1575670200,4299,2
1575670800,7049,2
1575672300,9500,1
1575685800,7599,1
1575744300,9913,1
1575810600,8000,1
1575827700,9101,1
1575832500,9913,1
1575838200,8000,1
1575923100,8000,1
1575929700,8340,5
1576020000,9355,1
1576020300,9355,1
1576020600,9355,1
1576023300,9355,1
1576131900,9466,1
1576201500,8471,1
1576349700,8141,4
1576355700,8000,1
1576356600,8000,1
1576356900,8000,1
1576437300,8000,2
1576468500,9498,6
1576470300,9539,5
1576470600,9539,5
1576592100,9600,1
1576617300,9295,1
1576619400,9295,1
1576619700,9295,1
1576620300,9295,1
1576620600,9295,1
1576638600,9600,1
1576640700,9200,1
1576641000,9400,2
1576641300,9200,1
1576641600,9400,2
1576641900,9200,1
1576644900,9200,1
1576694400,9200,1
1576727100,9201,2
1576788000,9686,1
1576789500,9686,2
1576790100,9686,2
1576790400,9686,2
1576803900,8005,1
1576878600,9417,1
1576904100,14015,1
1576905900,14015,1
1576907700,9686,1
1577048400,8700,2
1577059500,8250,4
1577130900,8699,2
1577226000,9387,1
1577277000,9387,1
1577480700,8500,1
1577633400,9500,1
1577665200,8100,1
1577899200,8000,1
1577915700,8637,1
1577943300,9093,1
1577983800,10839,1
1578006600,8702,4
1578009000,8919,1
1578009300,8919,1
1578035400,8100,2
1578072000,8100,1
1578172200,8100,1
1578174000,8100,2
1578174300,8100,1
1578174600,8100,2
1578176400,8100,1
1578183300,8706,1
1578246600,8600,1
1578252000,7100,1
1578318000,8355,1
1578318900,8355,1
1578320700,7727,2
1578321600,8355,1
1578321900,7727,2
1578323700,7100,2
1578324000,7100,1
1578324300,7100,2
1578431700,8252,1
1578453600,8252,2
1578505200,8252,1
1578505500,8252,1
1578505800,8252,1
1578506100,8252,1
1578506700,8252,1
1578530400,5465,1
1578584100,8446,2
1578674700,5465,1
1578683700,5465,1
1578685800,5465,2
1578754500,7100,1
1578762000,8213,1
1578823200,7792,1
1578832800,7316,5
1578834600,7513,4
1578836700,7949,2
1578840600,7792,1
1578844200,6500,1
1578857100,6500,2
1578858900,6500,1
1578860700,6500,1
1578862500,6500,1
1578866100,7792,1
1578954600,7410,2
1578963600,7915,1
1579004700,7300,1
1579025400,6950,2
1579105200,6500,1
1579110900,6286,1
1579203900,6576,2
1579207500,6501,1
1579212900,6500,2
1579220400,6501,1
1579233300,6500,2
1579235100,6935,2
1579368900,6500,3
1579409400,6552,3
1579450800,6657,1
1579452600,6657,1
1579472700,6000,1
1579474500,6000,1
1579528500,6657,1
1579553100,6000,1
1579554900,6000,1
1579786800,6277,1
1579803300,6501,1
1579845000,6000,1
1580043900,6305,2
1580069700,6300,1
