timestamp,avg,qty
1574976900,1536,15
1574978400,1605,16
1574979000,1830,5
1574979600,1605,16
1574979900,1830,5
1574980200,1837,5
1574980800,1792,6
1574981100,1837,5
1574981700,1792,6
1574982600,1589,4
1574982900,1672,4
1574983200,1589,4
1574983500,1653,6
1574984400,1679,8
1574984700,1653,6
1574985000,1679,8
1574985300,1718,10
1574985600,1679,8
1574986200,1734,9
1574986500,1718,10
1574987100,1811,7
1574987700,1734,9
1574988000,2018,3
1574988300,1811,7
1574988900,2018,3
1574989500,2202,1
1574990400,2202,1
1574991000,1817,6
1574991600,2202,1
1574991900,1817,6
1574992800,1800,7
1574994300,1770,27
1574996400,1760,43
1574997900,1763,58
1575000000,1780,60
1575001500,1780,48
1575005100,1696,18
1575007200,1667,7
1575008700,1538,2
1575010800,1536,4
1575012000,1536,3
1575014100,1541,5
1575015900,1541,9
1575018000,1541,4
1575023700,1540,6
1575025200,1540,5
1575026100,1539,3
1575026400,1540,5
1575027000,1539,3
1575027300,1539,3
1575029100,1538,2
1575029700,1559,3
1575030000,1538,2
1575030300,1559,3
1575030600,1559,3
1575030900,1559,3
1575031500,1559,3
1575032100,1559,3
1575032700,1568,1
1575033600,1568,2
1575034200,1568,1
1575034500,1559,3
1575036000,1616,6
1575036300,1759,6
1575036600,1616,6
1575037200,1759,6
1575037500,1616,6
1575038100,1811,4
1575038400,1774,6
1575038700,1811,4
1575039600,1899,3
1575039900,1636,2
1575040200,1899,3
1575040500,1636,2
1575040800,1899,3
1575041100,1636,2
1575041400,1899,3
1575041700,1636,2
1575042000,1857,7
1575042600,1947,5
1575042900,1857,7
1575043500,1876,8
1575043800,1854,9
1575044100,1876,8
1575044400,1854,9
1575045000,1876,8
1575045300,1751,6
1575045600,1854,9
1575045900,1782,4
1575046500,1751,6
1575046800,1782,4
1575047700,1738,3
1575049200,1773,4
1575051000,1759,4
1575051900,1700,3
1575052800,1759,4
1575053100,1797,10
1575053400,1730,2
1575053700,1797,10
1575054000,1730,2
1575054600,1797,10
1575055200,1798,12
1575056700,1725,8
1575058500,1700,6
1575060600,2327,3
1575062100,2327,3
1575062400,2076,5
1575062700,2076,5
1575063300,2076,5
1575063600,2076,5
1575064200,1876,10
1575064500,1876,10
1575065100,1876,10
1575065400,1876,10
1575065700,1876,10
1575066000,1826,14
1575068100,1653,11
1575071700,1935,32
1575072300,1935,32
1575073200,1935,32
1575073500,1943,30
1575075300,1700,2
1575077100,1737,6
1575079200,1823,9
1575082800,1614,4
1575084600,1796,4
1575086700,1964,5
1575090300,1860,5
1575092100,1833,9
1575092400,1833,9
1575092700,1833,9
1575093300,1833,9
1575093600,1833,9
1575093900,1782,8
1575095700,1722,5
1575099600,1800,2
1575099900,1800,2
1575100200,1800,2
1575100500,1800,2
1575102900,1959,4
1575105900,1838,6
1575114300,1772,2
1575114600,1745,1
1575114900,1800,9
1575115800,1800,10
1575116100,1800,9
1575116400,1800,10
1575117300,1800,12
1575117600,1800,13
1575117900,1800,12
1575118500,1790,6
1575118800,1800,13
1575119100,1790,6
1575120300,1789,5
1575121200,1773,2
1575122100,1789,5
1575122400,1801,1
1575122700,1773,2
1575123000,1801,2
1575123600,1801,1
1575123900,1801,2
1575125100,1801,2
1575125700,1801,4
1575126300,1801,6
1575126900,1801,5
1575127200,1801,6
1575127800,1801,5
1575128400,1800,14
1575129600,1800,12
1575130500,1800,9
1575133800,1800,2
1575134400,1800,2
1575135000,1800,7
1575135300,1800,2
1575135600,1800,7
1575135900,1800,7
1575136200,1800,7
1575136800,1829,7
1575139500,1925,4
1575140700,1933,3
1575141000,1920,5
1575141300,1933,3
1575142500,2014,2
1575143100,2128,1
1575143400,2014,2
1575143700,2128,1
1575144600,2014,2
1575146100,1940,5
1575146400,2014,2
1575146700,1940,5
1575147300,1940,5
1575147900,1926,5
1575149700,1829,12
1575150000,1815,2
1575150300,1829,12
1575150600,1836,13
1575150900,1829,12
1575151200,1836,13
1575151800,1830,15
1575153300,1853,15
1575153600,1843,19
1575153900,1857,14
1575154200,1853,15
1575155100,1857,14
1575155700,1846,7
1575156000,1868,12
1575156300,1846,7
1575156900,1752,8
1575157200,1846,7
1575157500,1803,11
1575157800,1752,8
1575158100,1803,11
1575158400,1752,8
1575158700,1803,11
1575159300,1857,23
1575159600,1857,23
1575159900,1857,23
1575161400,1903,15
1575161700,1909,18
1575162000,1903,15
1575162900,1916,3
1575164700,1900,1
1575165000,2061,2
1575165600,1900,1
1575165900,2071,2
1575166500,2071,2
1575166800,2071,2
1575167100,2071,2
1575167400,2071,2
1575167700,2071,2
1575168300,1950,4
1575170100,1830,2
1575171900,1830,1
1575175500,2117,1
1575177300,1834,11
1575179400,1793,11
1575181200,1660,6
1575183000,1635,8
1575184800,1776,8
1575186600,1828,8
1575189000,1730,2
1575189600,1730,4
1575189900,1730,2
1575190200,1660,1
1575190500,1730,2
1575190800,1660,1
1575192300,1972,5
1575192900,2050,4
1575193500,1972,5
1575194100,2050,4
1575200100,1641,5
1575201300,1671,3
1575201600,1641,5
1575202200,1671,3
1575203700,1850,2
1575208800,2018,2
1575209100,2018,2
1575209400,2018,7
1575209700,2018,2
1575210000,2018,7
1575213300,2018,7
1575214500,1960,7
1575214800,2018,7
1575215100,1617,1
1575216000,1617,1
1575216600,1617,1
1575216900,1900,3
1575217200,1617,1
1575217800,1900,3
