timestamp,avg,qty
1574973000,1906050,2
1574973300,1905614,2
1574973600,1906050,2
1574974200,1905614,2
1574974800,1902053,9
1574976900,1901035,7
1574977200,1901031,8
1574977500,1901035,7
1574978100,1901031,8
1574978400,1901000,3
1574982600,1903086,1
1574987100,1899974,1
1574989500,1894987,2
1574990400,1893287,3
1574991000,1893735,4
1574991600,1893287,3
1574991900,1893735,4
1574992800,1893765,4
1574994300,1885765,7
1574996400,1891653,12
1574997900,1895658,7
1575000000,1875437,7
1575001500,1874437,7
1575003600,1872675,6
1575005100,1872494,6
1575007200,1859000,6
1575008700,1856417,5
1575010800,1829431,3
1575012000,1824779,4
1575014100,1864169,5
1575015900,1883229,5
1575018000,1895707,3
1575019800,1893665,3
1575021600,1899995,1
1575023400,1894497,2
1575023700,1889474,2
1575025200,1881894,10
1575026100,1881105,9
1575026400,1881894,10
1575027000,1881105,9
1575027300,1882453,11
1575029100,1870398,5
1575030600,1858000,3
1575032700,1888997,1
1575034500,1898898,1
1575038100,1902513,2
1575038400,1898899,1
1575038700,1902513,2
1575039600,1906128,3
1575039900,1905076,5
1575040200,1906128,3
1575040500,1905076,5
1575040800,1906128,3
1575041100,1905076,5
1575041400,1906128,3
1575041700,1905076,5
1575042000,1874012,31
1575042600,1872421,27
1575042900,1874012,31
1575043500,1872610,33
1575043800,1871566,32
1575044100,1872610,33
1575044400,1871566,32
1575045000,1872610,33
1575045300,1885813,10
1575045600,1871566,32
1575045900,1886912,8
1575046500,1885813,10
1575046800,1886912,8
1575047700,1896434,7
1575049200,1896242,7
1575051000,1895835,4
1575051900,1895874,3
1575052800,1895835,4
1575053100,1893858,10
1575053400,1894910,8
1575053700,1893858,10
1575054000,1894910,8
1575054600,1893858,10
1575055200,1889926,13
1575056700,1879633,16
1575058500,1877258,13
1575060600,1886833,8
1575062100,1891332,6
1575062400,1890999,5
1575062700,1890382,6
1575063300,1890999,5
1575063600,1890382,6
1575064200,1888431,3
1575066000,1888683,10
1575067800,1888837,9
1575068100,1889150,10
1575069900,1890311,4
1575071700,1887749,4
1575072300,1889570,4
1575073200,1887749,4
1575073500,1884832,6
1575073800,1867785,14
1575074400,1884832,6
1575075300,1863727,11
1575077100,1891099,3
1575079200,1894125,4
1575081000,1903101,2
1575084600,1896866,3
1575086700,1877228,7
1575088500,1876239,6
1575090300,1899437,3
1575092100,1888058,3
1575093900,1886764,3
1575095700,1886714,3
1575097500,1886185,3
1575099600,1885405,1
1575099900,1883702,2
1575100200,1885405,1
1575100500,1883702,2
1575101400,1882000,1
1575102900,1882756,2
1575103800,1883040,2
1575104100,1882756,2
1575104700,1883040,2
1575105300,1881746,3
1575106500,1870465,8
1575106800,1881746,3
1575107400,1870465,8
1575108600,1875788,10
1575109800,1892243,3
1575110400,1890040,6
1575110700,1892243,3
1575111300,1892886,6
1575111600,1890040,6
1575112200,1892886,6
1575112500,1893926,7
1575112800,1892886,6
1575113100,1893926,7
1575113700,1894229,9
1575114300,1897424,6
1575114600,1894229,9
1575114900,1892546,5
1575115800,1890039,4
1575116100,1892546,5
1575116400,1890039,4
1575117300,1890720,3
1575117600,1892085,2
1575117900,1890720,3
1575118800,1892085,2
1575120300,1888997,1
1575121200,1888902,2
1575122100,1888997,1
1575122400,1888224,3
1575122700,1888902,2
1575123000,1887838,2
1575123600,1888224,3
1575123900,1887838,2
1575125100,1885934,2
1575126300,1884000,2
1575128400,1883000,1
1575129600,1883423,3
1575129900,1882423,3
1575132000,1880000,1
1575132300,1880105,4
1575132900,1880000,1
1575133200,1880105,4
1575133800,1881240,4
1575134400,1880889,7
1575135000,1881249,10
1575135300,1880889,7
1575135600,1881249,10
1575135900,1881627,7
1575136200,1881249,10
1575136800,1881038,10
1575137700,1880515,8
1575138000,1881038,10
1575138600,1880515,8
1575139500,1879475,6
1575139800,1878606,6
1575140400,1879475,6
1575140700,1877324,7
1575141000,1878606,6
1575141300,1877937,7
1575141900,1877324,7
1575142200,1877937,7
1575142500,1877725,7
1575143100,1877656,7
1575143400,1877725,7
1575143700,1877656,7
1575144600,1877806,6
1575144900,1877510,5
1575145200,1877806,6
1575146100,1876717,5
1575146400,1877510,5
1575146700,1875931,6
1575147300,1876717,5
1575147900,1869590,8
1575148800,1867858,7
1575149100,1869590,8
1575149400,1867858,7
1575149700,1869026,10
1575150000,1867858,7
1575150300,1869026,10
1575150600,1869326,10
1575150900,1869026,10
1575151200,1869326,10
1575151800,1873709,16
1575153300,1874341,12
1575153600,1873709,16
1575153900,1874341,12
1575155700,1873623,2
1575156900,1873582,3
1575157200,1873623,2
1575157500,1873907,4
1575157800,1873582,3
1575158100,1873907,4
1575158400,1873582,3
1575158700,1873907,4
1575159300,1874526,5
1575160800,1874662,5
1575161400,1874485,5
1575161700,1874662,5
1575162000,1874485,5
1575162900,1863253,10
1575164700,1860718,10
1575165000,1857398,8
1575165600,1860718,10
1575165900,1856765,14
1575166200,1857398,8
1575166500,1856335,13
1575166800,1856765,14
1575167100,1856335,13
1575167400,1856765,14
1575167700,1856335,13
1575168300,1856719,12
1575168600,1855502,11
1575168900,1856719,12
1575170100,1857412,6
1575171900,1851594,4
1575172800,1857412,6
1575173100,1851594,4
1575175500,1846000,5
1575176100,1850000,6
1575176700,1846000,5
1575177300,1855943,10
1575179400,1864858,4
1575181200,1872574,1
1575183000,1871415,2
1575184800,1867294,2
1575186600,1864333,2
1575187500,1865320,3
1575188100,1864333,2
1575188400,1865320,3
1575189000,1868586,3
1575189600,1866885,5
1575189900,1868586,3
1575190200,1863939,4
1575190500,1868586,3
1575190800,1863939,4
1575192300,1849999,1
1575196500,1848570,7
1575198000,1850630,8
1575199500,1853991,11
1575199800,1854264,11
1575200100,1860983,5
1575201300,1864818,6
1575201600,1860983,5
