timestamp,avg,qty
1574994300,2851,2
1575005100,2851,1
1575045300,2851,1
1575051000,3788,148
1575056700,3499,123
1575069900,3500,135
1575070500,3500,133
1575070800,3500,135
1575071400,3500,133
1575073500,3269,10
1575088500,2982,5
1575090300,3015,4
1575095700,2945,3
1575114900,3253,1
1575117300,4126,2
1575118500,5000,1
1575118800,4126,2
1575119100,5000,1
1575121200,2851,1
1575122400,2851,1
1575122700,2851,1
1575123000,2851,1
1575125700,2852,210
1575129600,2852,99
1575136800,6125,1
1575146100,4356,1
1575146700,4356,1
1575147900,3978,2
1575149700,3600,1
1575150000,3978,2
1575150300,3600,1
1575150600,3600,1
1575150900,3600,1
1575151200,3600,1
1575156900,3600,4
1575157500,3600,4
1575157800,3600,4
1575158100,3600,4
1575158400,3600,4
1575158700,3600,4
1575160800,3750,1
1575190200,3585,8
1575190500,3585,8
1575190800,3585,8
1575198000,3900,3
1575203700,3900,55
1575234000,2901,1
1575235200,2901,1
1575235800,2901,1
1575237300,2901,1
1575237900,2901,1
1575238500,2901,1
1575242700,3001,7
1575243600,3001,7
1575243900,3001,7
1575244200,3001,7
1575244800,3001,7
1575257400,3001,4
1575259200,3002,10
1575261000,3002,10
1575261600,3002,10
1575262500,3002,10
1575263100,2852,67
1575263400,2852,67
1575264000,2852,67
1575264300,2852,67
1575264600,2852,67
1575272100,3481,5
1575321000,3001,6
1575329400,2851,8
1575329700,2851,8
1575330000,2851,8
1575331200,2851,9
1575333600,2855,1
1575333900,2855,1
1575334500,2855,1
1575339600,2926,2
1575395400,3000,107
1575420900,2998,122
1575424800,2982,124
1575426600,2987,179
1575430200,2946,19
1575431700,2888,9
1575432000,2888,9
1575432300,2903,10
1575432600,2888,9
1575432900,2903,10
1575433500,3040,10
1575434700,3040,10
1575435000,3040,10
1575435300,3040,10
1575435900,3040,9
1575461400,2889,9
1575463500,2890,1
1575463800,2889,10
1575464100,2890,1
1575464400,2889,10
1575464700,2890,1
1575502200,3038,20
1575502500,3039,37
1575502800,3038,20
1575503400,3038,19
1575505200,3003,1
1575508200,3040,1
1575508800,3040,1
1575509100,2907,9
1575510300,2891,8
1575510600,2907,9
1575511200,2891,8
1575511800,2891,8
1575533700,2891,3
1575553200,3040,1
1575553500,3040,1
1575553800,3040,1
1575569100,3199,1
