timestamp,avg,qty
1574977200,8,70
1574977500,7,100
1574978100,8,70
1575003600,6,20
1575036300,20,7
1575052800,9,32
1575058500,7,164
1575062100,9,3
1575062400,6,10
1575073500,5,1
1575075300,6,237
1575092100,20,200
1575095700,6,5
1575102000,15,5
1575117300,9,18
1575142500,20,1
1575204900,6,29
1575215100,5,15
1575234000,3,10
1575238800,2,4
1575239100,3,190
1575239400,2,4
1575261000,6,30
1575270300,4,48
1575287700,19,50
1575314100,13,100
1575325800,1,250
1575329400,4,20
1575329700,1,270
1575330000,4,20
1575402600,9,200
1575456600,5,100
1575495000,4,21
1575498000,5,80
1575498300,4,100
1575499200,5,80
1575515400,4,133
1575518700,5,240
1575519600,6,119
1575519900,5,240
1575520200,12,40
1575526500,8,50
1575539400,4,72
1575589500,3,10
1575593100,4,10
1575617100,3,100
1575638700,4,200
1575656400,10,3
1575658500,7,120
1575658800,10,20
1575659400,7,120
1575662400,8,76
1575662700,7,100
1575663000,8,76
1575680100,3,474
1575685800,20,14
1575781200,2,100
1575823800,4,6
1575855000,11,10
1575948300,3,4
1575953700,20,1
1575983700,6,200
1576024500,20,70
1576057200,5,842
1576069200,8,10
1576072200,6,23
1576072500,8,10
1576072800,6,13
1576080000,4,15
1576122900,20,1
1576124700,6,11
1576126500,5,1
1576189800,19,10
1576211400,5,47
1576229700,19,4
1576251300,9,100
1576270500,5,892
1576310700,4,400
1576356900,3,10
1576359000,10,87
1576359300,3,10
1576359600,10,87
1576359900,3,10
1576360500,10,87
1576360800,11,100
1576430100,4,100
1576466700,3,60
1576481100,4,3
1576492200,5,80
1576503000,7,40
1576552200,2,1
1576596000,11,10
1576785600,3,100
1576789500,11,10
1576847700,5,5
1576862400,6,16
1576880100,11,50
1576924200,5,200
1576964400,4,200
1576975200,20,10
1576977000,12,22
1576979100,7,12
1577015700,5,567
1577061000,2,100
1577068800,3,10
1577088300,4,400
1577094600,5,173
1577112000,20,100
1577306100,1,418
1577380800,10,21
1577393400,5,16
1577397000,3,134
1577415600,10,20
1577440800,5,2
1577457000,20,100
1577466000,5,10
1577482500,1,201
1577495700,4,3
1577499300,2,20
1577537700,3,100
1577547000,4,200
1577550000,3,201
1577556900,2,458
1577557800,1,292
1577562000,3,50
1577562300,1,3
1577562600,3,50
1577562900,1,3
1577563200,3,50
1577635200,1,3
1577655300,3,100
1577655600,1,4
1577656200,3,100
1577662200,4,100
1577674500,3,100
1577678400,4,1
1577748000,3,200
1577766600,2,30
1577769900,4,10
1577802900,3,600
1577839500,4,64
1577839800,3,14
1577840100,4,64
1577841000,3,14
1577841300,4,200
1577843100,5,136
1577853900,3,10
1577874300,11,40
1577884800,5,3
1577932200,3,32
1577934000,4,132
1577939400,5,163
1578004500,3,10
1578063000,4,132
1578088500,5,200
1578101100,3,13
1578104700,5,187
1578156300,4,10
1578192600,5,200
1578231900,11,30
1578281100,5,100
1578339900,6,117
1578340200,5,62
1578341100,6,117
1578346500,4,2000
1578367800,3,200
1578378600,5,49
1578384000,4,20
1578400500,11,100
1578431700,9,10
1578436800,5,46
1578459000,8,350
1578460500,11,200
1578466500,5,22
1578512700,11,30
1578519600,6,30
1578526800,5,200
1578543900,6,17
1578544500,5,4
1578544800,7,24
1578545100,6,17
1578545700,7,24
1578546600,9,66
1578548400,10,168
1578558000,9,21
1578561000,10,83
1578572400,6,47
1578585900,3,36
1578588000,4,81
1578590100,6,37
1578601200,8,348
1578604800,6,52
1578615900,5,200
1578647700,11,50
1578709500,5,11
1578711600,9,97
1578713400,10,86
1578739500,4,7
1578813600,5,2
1578922500,11,10
1578934200,5,17
1578974700,4,83
1579052700,3,10
1579071000,1,2
1579082400,3,20
1579088400,4,20
1579105200,1,29
1579200300,3,200
1579215000,2,10
1579216800,1,49
1579222200,4,200
1579281900,3,10
1579300200,4,20
1579359900,3,50
1579376400,1,10
1579398300,2,4
1579404000,3,4
1579472700,2,104
1579511700,4,15
1579540200,3,200
1579545900,2,1
1579547700,4,14
1579569600,5,175
1579604700,6,50
1579621800,5,20
1579652700,3,5
1579691700,5,44
1579732800,10,8
1579743900,4,10
1579754700,10,5
1579779300,3,10
1579808700,10,80
1579830600,3,71
1579834200,9,6
1579843200,10,200
1579861800,3,200
1579887900,10,20
1579908000,4,31
1579933200,8,4
1579955700,6,12
1579964700,5,10
1580019600,10,6
1580031000,9,10
1580051400,10,100
1580130300,5,71
