timestamp,avg,qty
1575281100,1,433
1575303900,1,2581
1575485400,1,6
1575485700,1,6
1575486300,1,6
1575567900,4,5
1575611100,1,57
1575792000,1,274
1575823800,2,600
1575833100,1,9
1575847200,1,41
1575851400,1,7
1575867600,1,20
1575912900,1,4684
1575918000,2,52
1576051800,1,920
1576168800,2,3600
1576172400,1,608
1576172700,1,1208
1576173000,1,8
1576260300,1,19
1576277100,1,109
1576280400,2,1800
1576280700,1,1300
1576281000,2,1800
1576316100,1,32
1576366200,1,24
1576399200,2,10
1576424700,2,600
1576457400,1,159
1576462800,2,63
1576577100,4,7
1576615500,1,21
1576644000,1,69
1576646400,1,488
1576646700,1,79
1576647300,1,488
1576685400,1,188
1576765800,1,7
1576938600,2,600
1576940400,2,600
1576945800,1,10
1577008500,4,25
1577024700,1,1
1577037900,7,7702
1577041500,1,73
1577131800,2,3000
1577132400,1,3689
1577132700,2,1800
1577139000,1,600
1577166300,1,330
1577200200,1,1010
1577242200,1,884
1577293500,1,148
1577322600,1,46
1577331600,1,14
1577395200,1,80
1577404500,1,407
1577413500,1,4708
1577433600,2,5000
1577552100,1,32
1577556900,1,35
1577565000,1,53
1577568300,1,110
1577610900,1,8
1577611800,1,13
1577615400,1,12
1577651700,2,1097
1577665200,1,92
1577670300,1,793
1577670600,1,139
1577670900,1,793
1577740800,3,8
1577746200,2,1784
1577783100,1,31853
1577784300,1,32453
1577786100,3,1802
1577922900,1,67
1577943300,2,1020
1577958000,1,12
1578135600,1,68
1578346500,1,35
1578526800,1,353
1578532500,1,3268
1579165800,2,884
1579169700,2,2
1579254000,5,460
1579261500,5,51
1579272900,5,1864
1579274700,3,36307
1579276500,3,34455
1579300200,2,1474
1579303800,6,153
1579359900,7,71
1579365300,3,20
1579374600,5,52
1579387500,8,1151
1579389300,9,213
1579392900,10,196
1579396500,10,244
1579401900,4,34
1579407600,2,7
1579416900,3,8
1579446900,2,57
1579450800,2,21
1579474500,3,35
1579481700,1,122
1579483500,1,122
1579485300,3,143
1579487400,3,989
1579489200,4,22
1579521300,3,200
1579545900,3,4
1579556700,2,109
1579564200,2,7
1579567800,3,248
1579575000,2,2998
1579586100,2,2
1579591500,3,60
1579652700,1,62
1579673100,2,1206
1579714500,2,7
1579732800,4,10
1579736400,2,28
1579797600,2,700
1579815900,2,10
1579817700,2,80
1579876800,3,650
1579886100,3,8
1579904400,2,859
1579915200,2,406
1579959300,3,9
1579988400,4,466
1580004900,3,16
1580045700,3,68
1580047800,3,105
1580058900,2,8
1580082300,2,65
1580089800,3,142
1580093400,1,1876
1580135700,1,1257
1580159100,3,820
1580237400,3,2998
1580242800,3,36
1580244600,3,45
1580255400,4,1958
1580264400,6,11
1580266200,6,7
1580268000,4,1912
1580269800,4,2755
1580286000,4,2084
1580329200,3,2916
1580340000,3,672
1580359800,4,44
1580401500,3,527
1580415900,4,101
1580451900,2,2904
1580459100,4,36
1580484600,3,2071
1580513700,2,4103
1580515500,1,72750
1580568900,3,95
1580594400,4,8
1580607000,1,87
1580610900,3,1060
1580628900,4,1073
1580660100,2,72
1580669400,4,20
1580671200,4,10
1580673000,3,9103
1580680200,4,539
1580685600,3,598
1580687400,3,81
1580696400,1,253
1580702100,4,7
1580707500,3,1174
1580741100,3,1644
1580746500,2,102
1580764800,4,97
1580775600,3,1489
1580797500,4,15
1580845500,4,958
1580849100,4,1
1580854800,3,456
1580856600,3,901
1580860200,1,36101
1580863800,3,5
1580903700,9,1220
1580905500,7,20
1580918100,6,9190
1580919900,8,349
1580921700,7,1055
1580923500,7,810
1580928900,7,41205
1580937900,4,1352
1580941800,1,104
1580945400,1,1092
1580958000,1,99
1580981700,8,156
1581003900,7,103
1581005700,7,103
1581007500,1,964
1581031200,3,142
