timestamp,avg,qty
1575079200,1317,10
1575084600,1387,180
1575086700,1440,282
1575088500,1533,358
1575123000,1359,8
1575404700,1931,277
1575406500,1947,230
1575406800,1931,277
1575407100,1947,230
1575407700,1931,277
1575577800,1806,3
1575788100,2200,4
1575834900,1274,1
1575840000,1485,11
1575983700,1491,170
1576035300,1933,3
1576037100,1998,150
1576038900,2000,147
1576176000,2570,12
1576176900,2617,29
1576177500,2570,12
1576177800,2617,29
1576178700,2650,17
1576191900,2526,18
1576195200,2533,6
1576195800,2526,18
1576196100,1803,1
1576196700,2533,6
1576197000,1803,1
1576293300,1908,480
1576330200,1750,5
1576459200,1900,3
1576466700,1784,13
1576470300,1782,67
1576473600,1784,53
1576550100,1777,1
1576617300,1766,3
1576621800,1730,9
1576622100,1766,1
1576622700,1730,9
1576623300,1729,13
1576624800,1726,12
1576632900,1766,10
1576638600,1764,5
1576683600,1766,1
1576722900,1739,134
1576882200,1660,4
1576960500,1710,1
1576968000,1723,20
1577015700,1774,300
1577052000,2195,200
1577063100,1890,3
1577139000,1778,84
1577139600,1783,134
1577140800,1784,155
1577141100,1786,199
1577141400,1784,155
1577141700,1792,66
1577142000,1786,199
1577142600,1792,66
1577143500,1793,44
1577143800,1792,58
1577144100,1793,44
1577145000,1791,127
1577145300,1793,44
1577145600,1791,126
1577154600,1767,88
1577286300,1731,2
1577326200,1662,1
1577342400,1822,10
1577368200,1731,60
1577371800,1680,1
1577410200,1665,300
1577419200,1655,10
1577605200,1691,1
1577663700,1418,110
1577693700,1600,100
1577731800,1351,127
1577733000,1354,135
1577733300,1351,127
1577733600,1354,135
1577734500,1355,139
1577735700,1400,12
1577736000,1355,139
1577736600,1400,12
1577743800,1601,100
1577928300,5000,1
1578022800,1666,26
1578145500,1995,5
1578146700,1943,17
1578149100,1921,12
1578149400,1943,17
1578149700,1921,12
1578150000,1943,17
1578150600,1921,12
1578199800,1685,10
1578253800,1696,10
1578259200,1670,43
1578276900,1696,1
1578425700,1763,50
1578436800,1670,1
1578448200,1794,205
1578448500,1788,184
1578448800,1794,205
1578449100,1788,184
1578449400,1794,205
1578449700,1815,311
1578450300,1817,324
1578450600,1815,311
1578450900,1817,324
1578451200,1815,311
1578451500,1817,324
1578451800,1854,156
1578455400,1855,66
1578512400,1767,80
1578546600,1730,1
1578568500,1410,11
1578570300,1552,61
1578572400,1601,23
1578574200,1622,2
1578580200,1273,4
1578591900,1327,7
1578593700,1308,23
1578595500,1301,19
1578597300,1304,3
1578599400,1300,18
1578608700,1644,1
1578649800,1593,7
1578655500,1397,29
1578657600,1400,31
1578659700,1450,2
1578678300,1681,60
1578680100,1694,100
1578681900,1713,81
1578745200,1646,180
1578762000,1302,83
1578763800,1304,214
1578765600,1305,131
1578774900,1304,70
1578778500,1302,14
1578789600,1520,60
1578858900,1790,1
1578916500,1333,13
1578922500,1417,7
1578948900,1772,123
1578950700,1566,336
1578952500,1472,230
1578954600,1772,206
1579001100,1310,276
1579006800,2041,1
1579025400,2050,1
1579029000,1700,322
1579062000,1459,36
1579069200,1715,487
1579073100,1732,1
1579147500,1740,69
1579162200,1908,1
1579183200,2300,101
1579203900,1768,96
1579218600,1666,85
1579220400,1585,4
1579229700,1667,91
1579278300,1582,349
1579298400,1666,337
1579335600,1600,1
1579387500,1558,2
1579392900,1640,185
1579450800,1601,40
1579479900,1700,171
1579578600,1668,114
1579591500,1799,2
1579593300,1798,103
1579598700,1799,3
1579604700,1701,234
1579608900,1700,205
1579610700,1699,192
1579612500,1661,1
1579645500,1649,26
1579649100,1650,166
1579652700,1672,106
1579656600,1673,18
1579660200,1799,3
1579686300,1935,1
1579710600,1674,22
1579725300,1843,39
1579754700,1756,40
1579760400,1809,51
1579788600,1811,4
1579812300,1693,343
1579837800,1592,60
1579856100,835,1
1579871100,1036,5
1579895100,1557,600
1579896900,1590,916
1579898700,1655,316
1579900500,1693,32
1579917000,1690,1
1579924200,1606,118
1579933200,1610,2
1579936800,1672,10
1579957500,1571,99
1579966500,1624,1
1579988400,1592,2
1580045700,1372,1
1580055000,1236,2
1580082300,1693,7
1580091600,1692,50
1580102400,1693,100
1580106000,1692,604
1580111700,1741,100
1580121000,1608,4
1580160900,1605,4
1580214000,2199,120
1580221200,2222,4
1580233800,1759,7
1580235600,1751,51
1580237400,2118,844
1580239200,2138,800
1580241000,2070,10
1580242800,2098,153
1580244600,2100,143
1580251800,1750,39
1580264400,1760,211
1580268000,1750,43
1580269800,1861,45
1580343600,1959,18
1580350800,1907,216
1580352600,1815,78
1580363400,2056,8
1580370600,1694,2
1580399700,2149,4
1580439300,2188,1
1580460900,1816,101
1580469900,1820,551
1580499000,1812,146
1580502600,1611,5
1580528100,1695,148
1580531700,1722,6
1580553900,1689,3
1580576100,1747,467
1580578200,1689,1
1580596200,1714,235
1580598000,1716,240
1580599800,1777,5
1580603400,1779,562
1580608800,1800,532
1580616300,1755,160
1580625300,1663,2
1580662200,1998,2
1580761200,1934,4
1580784600,1997,442
1580812500,1848,22
1580816100,1850,93
1580840100,1848,1
1580898300,1838,1
1580914500,1844,1
1580919900,1752,50
1580927100,1656,100
1580930700,1582,1
1580936100,1752,471
1580994900,1800,1
1581038700,1793,22
1581040500,1798,432
1581042300,1800,503
1581088800,1777,10
1581130800,1672,72
1581156600,1700,200
1581160500,1663,17
1581215700,1556,1
1581217500,1649,92
1581219300,1696,230
1581221100,1726,139
1581226500,1723,1
1581232200,1899,49
1581234000,1991,1073
1581235800,1995,1024
1581239700,1635,4
1581256500,1678,200
1581267300,1707,20
1581303600,1700,35
1581366300,1608,11
1581373500,1620,10
1581391500,1692,4
1581445500,1998,888
1581454500,1685,236
1581456300,1697,470
1581458100,1710,234
1581459900,1998,1
1581465300,1710,125
1581468900,1679,445
1581470700,1683,503
1581472500,1709,58
1581485100,1998,50
1581520200,1600,1
1581532800,1661,56
1581534600,1677,94
1581536400,1701,97
1581540000,1689,1021
1581543600,1700,7
1581559800,1786,13
1581582900,1616,3
1581645600,1684,191
1581647400,1690,318
1581649200,1700,114
1581669300,1875,9
1581678600,1695,1
1581689700,1599,5
1581700500,1627,3
1581709500,1655,224
1581711300,1665,292
1581713100,1700,68
1581732900,1609,200
1581738300,1614,4
1581740100,1662,26
1581741600,1671,22
1581810600,1646,600
1581821700,1998,5
1581844800,1573,11
1581886800,1616,48
1581888300,1640,162
1581890100,1649,114
