timestamp,avg,qty
1574982600,750368,2
1574984400,748578,3
1574984700,750368,2
1574985000,748578,3
1574985300,736431,2
1574985600,748578,3
1574986200,734218,3
1574986500,736431,2
1574987100,728828,2
1574987700,734218,3
1574988000,728828,2
1574989500,734035,1
1574991000,731718,2
1574991600,734035,1
1574991900,731718,2
1574992800,728046,2
1574994300,726691,1
1575001500,721452,2
1575003600,717905,1
1575005100,715000,1
1575007200,714081,2
1575008700,712840,4
1575010800,716856,7
1575012000,719949,4
1575018000,725000,1
1575021600,795000,1
1575023700,770000,3
1575025200,765928,4
1575025500,770000,3
1575026100,765928,4
1575026400,770000,3
1575027000,765928,4
1575027300,766237,3
1575029100,754796,2
1575030600,759593,1
1575030900,759642,3
1575031500,759593,1
1575032100,759642,3
1575032700,759667,2
1575038100,759219,3
1575043800,757000,1
1575045300,756276,6
1575045600,757000,1
1575045900,756276,6
1575047700,755808,6
1575049200,754188,1
1575051900,754100,1
1575055200,749365,3
1575056700,744524,4
1575058500,730000,1
1575064200,730273,2
1575067800,721093,1
1575068100,720556,1
1575069900,722079,5
1575070500,721910,6
1575070800,722079,5
1575071400,721910,6
1575071700,722124,6
1575072300,722181,5
1575073200,722124,6
1575073500,721683,5
1575073800,721837,4
1575074400,721683,5
1575075300,721295,5
1575077100,720070,3
1575079200,718430,2
1575081000,717615,1
1575081600,715000,1
1575081900,717615,1
1575082500,715000,1
1575084600,740000,1
1575088500,733251,3
1575092100,748000,1
1575092400,740858,2
1575092700,748000,1
1575093300,740858,2
1575093600,748000,1
1575093900,742084,3
1575094200,739126,2
1575095100,742084,3
1575095700,744535,1
1575102000,825000,1
1575103800,824999,2
1575104100,825000,1
1575104700,824999,2
1575108900,825000,1
1575111300,797500,2
1575111600,825000,1
1575112200,797500,2
1575112500,782999,2
1575112800,797500,2
1575113100,782999,2
1575114900,795999,1
1575117300,829999,1
1575123000,764666,3
1575125100,771857,7
1575125700,769200,10
1575126300,772000,11
1575126900,774750,8
1575127200,772000,11
1575127800,774750,8
1575128400,772250,4
1575129600,800000,1
1575130500,786673,1
1575135000,799999,1
1575136800,797932,2
1575139500,795188,2
1575140700,794511,1
1575141000,795188,2
1575141900,794511,1
1575142500,750000,1
1575144600,750389,2
1575146100,750778,1
1575146400,750389,2
1575146700,750778,1
1575151800,748091,2
1575153300,757134,3
1575153600,747060,3
1575153900,763101,4
1575154200,757134,3
1575155100,763101,4
1575155700,772590,4
1575156000,767072,5
1575156300,772590,4
1575156900,759872,5
1575157200,772590,4
1575157500,754590,4
1575157800,759872,5
1575158100,754590,4
1575158400,759872,5
1575158700,754590,4
1575159300,747499,4
1575160800,749998,2
1575170100,800000,1
1575173700,792222,2
1575175500,789629,3
1575176100,784444,2
1575176700,789629,3
1575177300,784444,1
1575179400,778297,2
1575181200,777198,3
1575183000,775000,1
1575183300,775673,2
1575184500,775000,1
1575186600,773024,2
1575187500,772365,3
1575188100,773024,2
1575188400,772365,3
1575189000,772985,2
1575189600,772365,3
1575189900,772985,2
1575192300,770000,2
1575194700,767867,3
1575196500,763603,1
1575198000,736250,8
1575199800,739222,9
1575201300,763000,2
1575201600,739222,9
1575202200,763000,2
1575222300,762000,1
1575223200,757053,3
1575223800,762000,1
1575224100,757053,3
1575224400,758290,4
1575224700,757053,3
1575225000,758290,4
1575225900,756720,3
1575227100,762000,2
1575228900,760801,2
1575229200,762000,1
1575229800,760801,2
1575230100,758531,2
1575230700,757722,3
1575232200,753242,3
1575232800,757722,3
1575233400,751132,2
1575234000,746160,2
1575234300,751132,2
1575235200,746160,2
1575235800,746121,2
1575237300,745547,3
1575237600,745242,2
1575237900,745547,3
1575238200,745242,2
1575238500,745547,3
1575238800,744400,1
1575239100,745242,2
1575239400,744400,1
1575240600,752489,2
1575242700,730337,9
1575244800,740895,9
1575246300,800000,2
1575248100,790672,2
1575250200,789087,4
1575250500,788751,5
1575252000,787471,3
1575253800,785331,4
1575255600,784958,5
1575257400,783620,2
1575259200,764966,2
1575261000,785000,2
1575261600,772054,3
1575262500,785000,2
1575262800,750000,7
1575264600,780000,6
1575266400,1000000,1
1575270300,750000,1
1575273600,749000,1
1575275400,739683,4
1575275700,741470,5
1575276000,739683,4
1575276300,741470,5
1575276600,739683,4
1575277200,742670,5
1575279000,748336,3
1575279300,748197,2
1575279900,748336,3
1575280500,748197,2
1575281100,741888,2
1575282600,751190,2
1575283800,759999,1
1575286200,757863,2
1575287700,758572,3
1575290100,757863,2
1575290700,755736,1
1575291000,757863,2
1575291600,755736,1
1575292500,755368,2
1575293700,755000,1
1575294000,755368,2
1575294300,755000,1
1575294600,755368,2
1575294900,755000,1
1575295500,755368,2
1575296400,755736,1
1575297000,755368,2
1575297300,755736,1
1575298800,744995,1
1575303300,751958,1
1575309600,751000,1
1575311400,750500,2
1575311700,751000,1
1575312000,750500,2
1575312300,750000,1
1575312600,750500,2
1575313200,748005,3
1575315000,747007,2
1575315300,748005,3
1575315600,747007,2
1575315900,751371,4
1575317100,755736,2
1575318300,758822,3
1575319200,757997,2
1575319500,758822,3
1575320100,757997,2
1575320400,757217,3
1575320700,757997,2
1575321000,753329,2
1575321300,757217,3
1575321600,753329,2
1575321900,757217,3
1575322200,753329,2
1575322800,755697,2
1575324600,755736,1
1575325800,753974,5
1575326100,755736,1
1575326400,747766,8
1575326700,753974,5
1575327000,747766,8
1575327300,753974,5
1575327600,747766,8
1575327900,746190,11
1575329400,746602,7
1575329700,746190,11
1575330000,746602,7
1575330300,748133,6
1575330900,746602,7
1575331200,788000,1
1575333600,749978,1
1575337200,745000,1
1575337500,749978,1
1575337800,745000,1
1575338100,749978,1
1575338400,745000,1
1575338700,747500,2
1575340500,748131,2
1575342600,744623,3
1575344100,743804,2
1575344400,745000,1
1575344700,743804,2
1575345300,745000,1
1575346200,744617,1
1575350100,741628,1
1575351600,739737,3
1575353100,738792,2
1575354600,740803,4
1575354900,742813,2
1575355500,728962,10
1575355800,742813,2
1575356100,728962,10
1575357300,725500,8
1575357900,728962,10
1575358200,725500,8
1575364200,743000,1
1575368100,755736,1
1575372000,742500,2
1575372300,745000,1
1575372600,742500,2
1575377100,750000,1
1575379200,749999,2
1575384600,731006,8
1575386400,730964,9
1575388200,730630,1
1575390000,740879,2
1575391800,743900,4
1575393600,744277,4
1575395400,743342,3
1575397500,748379,2
1575399000,748392,2
1575400800,746261,3
1575402600,745930,3
1575404700,746393,2
1575406200,746997,1
1575411900,748379,2
1575414000,741075,6
1575415500,737602,5
1575417600,742537,2
1575419400,746758,2
1575420900,746629,3
1575422700,746256,3
1575424800,745641,1
1575428100,750000,1
1575433500,748919,3
1575435900,748379,2
1575437700,746231,2
1575438300,746694,1
1575438900,746231,2
1575439200,746106,3
1575441000,745856,1
1575444000,745000,1
1575456600,750000,1
1575459300,710520,7
1575459600,701379,7
1575460200,710520,7
1575460500,701379,7
1575460800,710520,7
1575461100,701379,7
1575461400,697964,9
1575462900,692465,6
1575463200,697964,9
1575463500,693755,5
1575463800,692465,6
1575464100,693755,5
1575464400,692465,6
1575464700,706564,5
1575467100,718034,2
1575469200,705000,1
1575470400,727309,3
1575471900,729232,4
1575472500,737309,3
1575473400,729232,4
1575473700,735000,1
1575474000,737309,3
1575474300,735000,1
1575477600,734555,1
1575481800,738464,1
1575483300,738069,3
1575484500,736708,3
1575484800,738069,3
1575485400,736189,2
1575485700,736708,3
1575486300,736189,2
1575486600,736184,2
1575486900,736189,2
1575487200,736184,2
1575488100,735329,3
1575488400,736184,2
1575488700,735329,3
1575490800,733850,3
1575492000,735548,3
1575493200,735433,4
1575493500,735548,3
1575493800,735433,4
1575495000,736060,3
1575496200,735000,1
1575496800,735090,1
1575497400,735000,1
1575498000,737593,4
1575498300,736732,2
1575499200,737593,4
1575500100,738458,3
1575500400,737593,4
1575500700,738458,3
1575501000,737177,3
1575501300,738458,3
1575501900,737177,3
1575502200,734735,2
1575502500,737177,3
1575502800,734735,2
1575504600,734848,1
1575505200,734735,2
1575505500,732898,2
1575506100,734848,1
1575506400,732898,2
1575508200,734735,1
1575508800,732898,2
1575509400,734735,1
1575511800,738000,1
1575514800,745000,1
1575515400,741732,2
1575515700,745000,1
1575516000,741732,2
1575516300,745000,1
1575516600,741732,2
1575517800,740839,3
1575518100,741732,2
1575518400,740839,3
1575518700,738759,2
1575519600,739055,1
1575519900,738759,2
1575520200,734027,2
1575521100,731199,2
1575523500,731799,3
1575524400,737466,3
1575525000,739500,2
1575526500,747997,2
1575526800,739500,2
1575527400,744663,3
1575528000,747997,2
1575528300,744663,3
1575530100,741997,2
1575530400,744663,3
1575531000,741997,2
1575532200,736123,7
1575537300,749000,1
1575540600,742000,2
1575542100,735000,2
1575542700,742000,2
1575543000,735996,3
1575544500,736495,2
1575544800,737990,1
1575548700,737500,1
1575549300,737981,2
1575549600,737500,1
1575549900,737981,2
1575551100,733107,4
1575551400,734178,5
1575552300,733107,4
1575552600,733348,4
1575553200,731643,3
1575553500,733348,4
1575553800,731643,3
1575555000,722097,5
1575555300,718006,4
1575555600,722097,5
1575555900,718006,4
1575560700,738000,1
1575561600,736873,3
1575561900,738000,1
1575562200,736873,3
1575563400,736395,4
1575564000,736873,3
1575564300,736395,4
1575566100,736480,2
1575567300,734672,1
1575567900,734852,3
1575568500,734672,1
1575568800,734852,3
1575569700,734462,4
1575570000,734852,3
1575570300,734462,4
1575570600,734393,3
1575570900,734462,4
1575571500,734393,3
1575571800,733293,1
1575572700,734344,3
1575573000,733293,1
1575573300,734344,3
1575574200,734870,2
1575577800,733936,1
1575578400,733968,2
1575578700,734484,4
1575579300,733968,2
1575579600,735147,6
1575579900,734484,4
1575580200,735147,6
1575580800,735137,6
1575581700,735116,6
1575582600,734914,5
1575582900,735116,6
1575583200,726482,11
1575583500,734914,5
1575584100,725331,10
1575584400,726482,11
1575585000,725331,10
1575585900,721740,12
1575586500,722673,13
1575587100,721839,5
1575588900,723085,6
1575589500,729653,2
1575590100,730991,3
1575590400,729653,2
1575590700,730405,4
1575591300,730768,3
1575593100,735000,2
1575593700,731158,2
1575594000,735000,2
1575594900,734081,4
1575595200,735000,3
1575595500,734081,4
1575595800,735000,3
1575596100,734081,4
1575596400,734265,5
1575597000,734081,4
1575598200,731658,3
1575598800,731651,3
1575600000,731630,5
1575601500,732375,4
1575602100,731630,5
1575602400,732733,3
1575611100,742000,1
1575613500,723000,2
1575613800,729333,3
1575614400,722604,3
1575614700,723000,2
1575615000,722604,3
1575615600,723884,4
1575617100,724769,2
1575618300,727724,1
1575618600,724769,2
1575618900,727724,1
1575634800,727726,1
1575640500,731294,4
1575641100,734613,4
1575642000,727000,4
1575644100,722000,3
1575644400,727000,4
1575644700,722000,3
1575645000,717575,3
1575645600,727726,1
1575650100,726995,1
1575651900,730819,2
1575654600,733275,3
1575655500,730546,3
1575655800,732590,2
1575656100,733275,3
1575656400,730969,3
1575656700,732590,2
1575657000,730969,3
1575657300,732590,2
1575657600,731453,2
1575657900,730969,3
1575658200,731453,2
1575658500,731292,2
1575658800,731453,2
1575659400,731292,2
1575661800,734858,1
1575665100,727726,1
1575672300,725000,1
1575673200,724999,2
1575673500,725000,1
1575673800,724999,2
1575678000,725000,1
1575680100,720000,2
1575681900,713352,5
1575683700,715897,5
1575685800,716355,3
1575687300,718446,3
1575689100,735500,2
1575691200,730125,8
1575691500,740333,3
1575692700,729142,7
1575694500,718500,3
1575698400,742000,1
1575704400,735000,1
1575713400,720000,1
1575715200,719001,2
1575717000,724001,2
1575717300,722667,3
1575717600,724001,2
1575717900,722667,3
1575718200,724001,2
1575718500,726885,2
1575720600,722847,3
1575720900,723771,1
1575721200,722847,3
1575722100,723708,5
1575724500,728942,4
1575725400,726756,6
1575725700,742000,1
1575729300,737000,2
1575729600,742000,1
1575729900,737000,2
1575731700,732000,1
1575732300,737000,2
1575735000,735000,1
1575740400,734668,3
1575742500,735192,5
1575742800,734653,3
1575743100,735192,5
1575743400,734653,3
1575744300,736766,5
1575746100,738439,2
1575747900,738725,2
1575750000,737019,4
1575751500,735425,5
1575753300,735278,4
1575755100,734611,1
1575757500,733974,1
1575759000,734482,2
1575759600,734651,3
1575760500,734482,2
1575760800,737326,3
1575762900,742000,1
1575764700,737663,4
1575765600,737691,4
1575765900,737663,4
