timestamp,avg,qty
1575411900,69,5123
1576213500,90,1
1576272000,69,5321
1576508700,67,25322
1576599000,69,22000
1576604400,74,10680
1576683000,99,1
1576871400,68,57980
1576922100,82,1
1577364600,185,1
1577808300,69,1
1577830200,66,100
1577932200,69,100
1578015600,66,5010
1578106800,69,10000
1578177000,68,11000
1578322500,69,11000
1578326100,70,11000
1578431700,69,1
1578855000,86,1
1578989700,76,4180
1579023600,74,6310
1579272900,68,3511
1579543800,100,10
1579721700,74,1
1579803300,80,1
1580313000,70,880
1580336400,79,4920
1580511900,75,2567
1580643600,245,4240
1581129000,72,1010
1581180900,80,5000
1581654600,70,210
1581680400,72,150
1581722700,79,8024
1581726600,80,2976
1581867000,224,1
1581873900,80,2730
1581882900,82,62
1581883200,80,60
1581883500,82,62
1581883800,80,60
1581884100,82,62
1581884700,153,2
1581885000,82,62
1581885300,153,2
1581885600,82,62
1581885900,153,2
1581908100,80,40
1581921600,77,18020
1581965100,71,11000
1581988800,74,100
1582426500,100,1
1582488900,74,1
1582587600,40,893
1582588200,76,11000
1582590900,80,10107
1582672500,78,11000
1582694700,80,6160
1583179800,188,4000
1583245800,74,9848
1583249400,134,2
1583249700,74,4850
1583250300,134,2
1584528600,2,30
1584958200,70,3600
1585065300,97,1000
1585069200,101,300
1585136400,97,2270
1585140000,106,1730
1585252800,70,1
1585501800,69,11000
1585532700,66,1
1585582800,71,1
1585600800,72,2
1585713000,76,2
1585757100,77,1
1585836000,80,1
1586042700,75,11000
1586060700,80,1
1586064300,16,180
1586182800,79,2595
1586211900,76,10000
1586219100,72,1000
1586297700,73,9000
1586304900,74,10000
1586382300,78,7000
1586449500,77,9470
1586465700,80,7000
1586552100,68,7000
1586553900,74,29000
1586555700,76,22000
1586606100,67,7000
1586627700,73,1
1586656800,70,7000
1586729700,16,1
1586754000,64,1000
1586803200,63,2100
1586846700,67,11000
1586977500,65,1500
1587129600,62,5001
1587147600,73,5030
1587153000,74,1
1587156600,72,100
1587160200,73,7000
1587165900,74,1
1587354600,100,51
1587422100,70,11000
1587432900,100,1
1587443700,70,3999
1587450900,77,1650
1587511200,80,4419
1587524400,99,1
1587554100,97,1
1587586800,80,7000
1587618000,79,1
1588000500,76,11000
1588045800,80,1
1588120500,74,5000
1588180800,90,1
1588200900,72,11000
1588213500,81,1
1588224300,72,6052
1588282500,70,1000
1588353300,69,1000
1588406100,70,11000
1588953600,74,100
1590117300,79,1
1590240600,100,1
1591063200,80,1
1591198200,82,1
1591243500,76,1000
1591387800,96,1000
1592614200,90,800
1592750700,95,5001
1592790600,80,20
1592936400,81,1
1592956500,85,3009
1593652500,79,2
1594161000,78,1
1594184700,80,1
1594251300,79,11000
1595295600,100,2
1596396000,72,1100
1597287900,82,1
1597379700,85,1
1597555800,78,100
1597707000,75,2001
1597928100,74,1
1598100900,75,10000
1598433900,77,100
1598436900,80,1000
1598739900,79,10000
1598900400,75,1
1599720900,78,1
1599749700,73,1
1600460400,81,1000
1600821300,74,11000
1601086200,70,100
1602414000,89,1010
1602711600,26,670
1602713100,69,6492
1602818700,72,11000
1602878400,70,50078
1603081200,89,1000
1604667300,75,1
1605102000,84,3000
1605631500,78,10001
1606062300,75,1
1606699200,78,7000
1608639000,83,30
1608818700,295,1
1608838500,293,1
1609008000,95,1
1609276800,80,7000
1609419900,76,1
1610553600,81,14159
1610665800,77,999
1610674500,80,2000
1610683800,77,300
1610963100,203,1
1611126300,84,4000
1611482100,203,1
1611705600,102,1
1611709200,83,3780
1612008900,104,1
1612102800,200,1
