timestamp,avg,qty
1574975400,5456,2
1574976900,5390,12
1574977200,5384,22
1574977500,5390,12
1574978100,5384,22
1574978400,5399,30
1574979000,5410,20
1574979600,5399,30
1574979900,5410,20
1574980200,5373,30
1574980800,5368,21
1574981100,5373,30
1574981700,5368,21
1574982600,5318,31
1574982900,5299,21
1574983200,5318,31
1574983500,5327,21
1574984400,5331,22
1574984700,5327,21
1574985000,5331,22
1574985300,5383,42
1574985600,5331,22
1574986200,5391,32
1574986500,5383,42
1574987100,5373,73
1574987700,5391,32
1574988000,5373,77
1574989500,5360,47
1574991000,5353,24
1574991600,5360,47
1574991900,5353,24
1574992800,5355,139
1574994300,5316,159
1574996400,5200,72
1574997900,5191,84
1575000000,5186,88
1575001500,5169,121
1575003600,5200,335
1575005100,5232,262
1575007200,5333,52
1575010800,5297,19
1575012000,5347,31
1575014100,5461,1012
1575015900,5446,1132
1575018000,5339,142
1575019800,5400,10
1575023700,5350,100
1575025200,5319,127
1575026100,5322,139
1575026400,5319,127
1575027000,5322,139
1575027300,5284,59
1575029100,5350,82
1575030900,5360,5
1575031500,5350,55
1575032100,5360,5
1575032700,5356,64
1575033600,5358,164
1575034200,5356,64
1575034500,5365,196
1575036000,5375,166
1575036300,5399,67
1575036600,5375,166
1575037200,5399,67
1575037500,5375,166
1575038100,5399,122
1575039600,5221,1088
1575039900,5219,1107
1575040200,5221,1088
1575040500,5219,1107
1575040800,5221,1088
1575041100,5219,1107
1575041400,5221,1088
1575041700,5219,1107
1575042000,5206,1056
1575043500,5279,62
1575043800,5277,64
1575044100,5279,62
1575044400,5277,64
1575045000,5279,62
1575045300,5206,154
1575045600,5277,64
1575045900,5206,154
1575047700,5199,155
1575049200,5195,39
1575051000,5201,54
1575052800,5223,50
1575053100,5227,60
1575053400,5223,50
1575053700,5227,60
1575054000,5223,50
1575054600,5227,60
1575055200,5251,150
1575056700,5248,142
1575058500,5189,37
1575060600,5223,157
1575062400,5234,140
1575062700,5216,130
1575063300,5234,140
1575063600,5216,130
1575064200,5223,320
1575064500,5225,380
1575065100,5223,320
1575065400,5225,380
1575065700,5223,320
1575066000,5231,371
1575068100,5227,211
1575069900,5220,176
1575071700,5200,32
1575073500,5198,56
1575079200,5197,153
1575082800,5200,112
1575084600,5184,133
1575086700,5136,63
1575088500,5134,45
1575090300,5135,176
1575092100,5136,184
1575093900,5133,29
1575095700,5177,59
1575097500,5200,40
1575101400,5136,5
1575103800,5133,41
1575104100,5136,5
1575104700,5133,41
1575105900,5132,44
1575106500,5127,68
1575106800,5132,44
1575107400,5127,68
1575108600,5119,27
1575109800,5114,34
1575111300,5122,64
1575111600,5114,34
1575112200,5122,64
1575112500,5128,162
1575112800,5122,64
1575113100,5128,162
1575113700,5130,264
1575114300,5132,243
1575114600,5130,264
1575114900,5131,234
1575117600,5125,137
1575117900,5131,31
1575118500,5124,140
1575118800,5125,137
1575119100,5124,140
1575120900,5125,190
1575121200,5127,80
1575122100,5125,190
1575122400,5153,76
1575122700,5127,80
1575123000,5174,79
1575123600,5153,76
1575123900,5174,79
1575125100,5200,79
1575125700,5175,120
1575126300,5045,174
1575126900,5001,181
1575127200,5045,174
1575127800,5001,181
1575128400,4901,125
1575129600,4902,126
1575129900,4980,89
1575130500,5045,159
1575132000,5061,166
1575133800,5057,136
1575134400,5066,52
1575135000,5068,41
1575135300,5066,52
1575135600,5068,41
1575135900,5058,31
1575136200,5068,41
1575136800,5118,46
1575137700,5129,40
1575138000,5118,46
1575138600,5129,40
1575144600,5124,54
1575144900,5122,41
1575145200,5124,54
1575146100,5109,99
1575146400,5122,41
1575146700,5106,88
1575147300,5109,99
1575147900,5094,107
1575149700,5091,69
1575150000,5094,107
1575150300,5091,69
1575150600,5088,53
1575150900,5091,69
1575151200,5088,53
1575151800,5081,16
1575153300,4957,42
1575153600,5037,26
1575153900,4956,92
1575154200,4957,42
1575155100,4956,92
1575155700,4984,361
1575156000,4978,391
1575156300,4984,361
1575157500,4988,311
1575157800,4984,361
1575158100,4988,311
1575158400,4984,361
1575158700,4988,311
1575159300,5038,150
1575160800,5032,250
1575162900,5053,344
1575164700,5056,300
1575165900,5033,82
1575166200,5056,325
1575166500,5033,82
1575168300,5007,57
1575168600,5025,82
1575168900,5007,57
1575170100,5000,127
1575171900,4993,83
1575172800,4995,71
1575173100,4993,83
1575173700,5033,92
1575175200,5039,112
1575176100,5070,100
1575176700,5039,112
1575177300,5035,313
1575179400,5033,288
1575181200,5093,7
1575183000,5079,4
1575184800,5115,42
1575186600,5114,40
1575187500,5050,10
1575188100,5114,40
1575188400,5050,10
1575190200,5099,40
1575192300,5091,62
1575192900,5046,165
1575193500,5091,62
1575194100,5046,165
1575194700,5025,291
1575196500,5022,282
1575198000,5017,164
1575199500,5006,74
1575199800,5002,142
1575200100,5001,158
1575201300,5000,123
1575201600,5001,158
1575202200,5000,123
1575202800,4999,107
1575203700,4998,27
1575206100,5002,120
1575206400,4998,104
1575206700,5002,120
1575208800,5038,27
1575209100,5021,23
1575209400,5018,104
1575209700,5038,27
1575210000,5018,104
1575213300,5061,53
1575213600,5023,143
1575213900,5061,53
1575214500,5080,38
1575214800,5061,53
1575215100,5043,43
1575215700,5080,38
1575216000,5010,15
1575216600,5043,43
1575216900,4904,9
1575217200,5010,15
1575217800,4904,9
1575218700,4962,36
1575219300,4903,11
1575219600,4962,36
1575220200,4961,38
1575220500,4986,95
1575221400,5088,305
1575222300,5101,296
1575222900,5088,305
1575223200,5098,334
1575223800,5101,296
1575224100,5098,334
1575224400,5119,275
1575224700,5098,334
1575225000,5119,275
1575225900,5069,163
1575230100,5068,50
1575230700,5035,120
1575232200,5012,280
1575232800,5020,117
1575233400,5028,398
1575234000,5035,358
1575234300,5028,398
1575235200,5035,358
1575235800,5066,190
1575237300,5067,51
1575237600,5066,41
1575237900,5067,51
1575238200,5066,41
1575238500,5067,51
1575238800,5094,2185
1575239100,5066,41
1575239400,5094,2185
1575243600,5082,76
1575243900,5094,172
1575244200,5082,76
1575244800,5094,189
1575246300,5097,152
1575246600,5099,138
1575246900,5097,152
1575247200,5099,138
1575247500,5097,152
1575247800,5099,138
1575248100,5218,157
1575249000,5228,147
1575250200,5244,164
1575250500,5248,33
1575257400,5237,61
1575259200,5230,91
1575261000,5216,210
1575262800,5211,226
1575264600,5219,111
1575266400,5230,77
1575268200,5270,155
1575270300,5280,113
1575272100,5250,12
1575272700,5105,2
1575273000,5250,12
1575273300,5105,2
1575273600,5070,12
1575274200,5064,42
1575274500,5070,12
1575274800,5064,42
1575275400,5062,140
1575277200,5027,155
1575277500,5024,145
1575278400,5027,155
1575279000,4987,75
1575279300,5053,55
1575279900,4987,75
1575280500,5053,55
1575281100,5058,50
1575282600,5025,10
1575283800,5041,20
1575284400,5051,60
1575285300,5057,60
1575285600,5051,60
1575286200,5057,60
1575287700,5065,133
1575288000,5101,124
1575288300,5065,133
1575288600,5105,114
1575288900,5101,124
1575289500,5105,114
1575290100,5075,1065
1575291900,5071,956
1575292500,5075,988
1575293700,5182,40
1575294000,5075,988
1575294300,5182,40
1575294600,5191,37
1575294900,5182,40
1575295500,5198,59
1575295800,5191,37
1575296100,5198,59
1575296400,5196,45
1575297000,5198,59
1575297300,5196,45
1575300900,5197,20
1575303300,5198,25
1575306600,5199,290
1575311400,5150,3
1575311700,5199,12
1575312000,5150,3
1575315000,5154,130
1575315300,5150,28
1575315600,5154,130
1575319200,5178,90
1575320400,5191,60
1575320700,5178,90
1575321000,5192,70
1575321300,5191,60
1575321600,5192,70
1575321900,5191,60
1575322200,5192,70
1575322800,5198,220
1575325800,5197,297
1575326100,5198,335
1575326700,5197,297
1575327000,5198,197
1575327300,5197,297
1575327600,5198,197
1575327900,5197,82
1575331200,5194,106
1575333300,5193,118
1575333600,5192,18
1575333900,5193,118
1575334500,5192,18
1575334800,5197,64
1575336900,5193,54
1575337200,5194,64
1575337500,5193,54
1575337800,5194,64
1575338100,5193,54
1575338400,5194,64
1575338700,5104,33
1575340500,5081,65
1575340800,5060,55
1575341400,5081,65
1575342000,5060,55
1575342600,5069,54
1575343500,5124,94
1575343800,5069,54
1575344100,5273,1193
1575346200,5279,1151
1575346800,5276,1201
1575347100,5279,1151
1575347400,5276,1201
1575347700,5228,33
1575350100,5230,34
1575350700,5228,33
1575351000,5230,34
1575351600,5279,250
1575353100,5261,393
1575354900,5235,198
1575357300,5160,83
1575357900,5164,86
1575358200,5160,83
1575358800,5116,64
1575362400,5115,37
1575364200,5167,71
1575364500,5170,81
1575364800,5167,71
1575366000,5152,122
1575368100,5139,73
1575368400,5144,81
1575369000,5139,73
1575369600,5144,81
1575369900,5147,52
1575370200,5166,32
1575370500,5147,52
1575370800,5166,32
1575371400,5147,52
1575372000,5116,34
1575372300,5120,36
1575372600,5116,34
1575379200,5100,12
1575381000,5078,92
1575382800,5064,288
1575383100,5073,275
1575384000,5064,288
1575384600,5052,244
1575386400,5000,33
1575386700,4973,52
1575387600,5000,33
1575387900,4973,52
1575390000,5056,146
1575391800,5060,159
1575393600,5030,72
1575395400,4942,103
1575397500,4867,60
1575397800,4861,50
1575398100,4867,60
1575398400,4861,50
1575400800,5014,73
1575404700,5010,1
1575406500,5009,22
1575406800,5010,1
1575407100,5009,22
1575407700,5010,1
1575408000,5009,24
1575410400,5003,58
1575414000,5000,20
1575414600,4998,45
1575414900,5000,20
1575415200,4998,45
1575415500,4989,70
1575416100,4988,70
1575416700,4989,70
1575417300,4988,70
1575418200,4986,65
1575418500,4988,25
1575418800,4986,65
1575419100,4988,25
1575419400,4888,88
1575420300,4885,70
1575420900,4882,85
1575421800,4883,85
1575422700,4878,65
1575423000,4871,18
1575423600,4878,65
1575424500,4871,18
1575424800,4898,112
1575425100,4876,22
1575425400,4898,112
1575425700,4876,22
1575426000,4898,112
1575426600,4900,106
1575428100,4896,137
1575428700,4897,57
1575429300,4896,137
1575429900,4897,57
1575430200,4909,117
1575430800,4914,217
1575431100,4909,117
1575431700,4905,243
1575432000,4914,217
1575432300,4905,218
1575433500,4873,470
1575435900,4862,328
1575436800,4861,326
1575437400,4862,328
1575437700,4901,13
1575438300,4882,16
1575438900,4901,13
1575439200,5013,74
1575440400,5019,71
1575440700,5013,74
1575441000,5016,78
1575442800,4992,7
1575444600,4987,1020
1575448500,4973,4
1575452400,4958,50
1575452700,4973,10
1575453000,4958,50
1575456600,4959,24
1575456900,4958,74
1575457200,4959,24
1575457800,4968,34
1575458100,4919,29
1575458700,4968,34
1575459300,4935,35
1575461400,4955,55
1575461700,4990,40
1575462300,4955,55
1575462600,4990,40
1575462900,4989,31
1575463200,4990,40
1575463500,4989,61
1575465300,4986,56
1575465600,4989,42
1575466200,4986,56
1575467100,4984,56
1575468300,4961,5
1575468600,4984,56
1575468900,4961,5
1575469200,4889,1
1575469500,4961,5
1575469800,4889,1
1575470700,4950,10
1575471600,4889,1
1575471900,4964,20
1575472500,4965,22
1575473400,4964,20
1575473700,4965,22
1575474600,4963,24
1575474900,4965,22
1575475500,4979,124
1575475800,4963,24
1575476100,4979,124
1575477900,4983,130
1575478500,4979,132
1575478800,4983,130
1575479700,4987,50
1575481500,4980,97
1575481800,4979,87
1575482400,4980,97
1575482700,4979,87
1575483300,4974,67
1575484500,4973,10
1575484800,4974,67
1575485700,4973,10
1575488100,4984,251
1575490800,4985,273
1575492000,4988,42
1575493800,4986,60
1575494100,4988,50
1575494400,4986,60
1575496200,4976,110
1575496800,4985,50
1575497400,4976,110
1575498300,4974,93
1575499200,4976,117
1575499500,4975,137
1575500100,4978,67
1575500400,4975,137
1575500700,4978,67
1575501000,4977,54
1575501300,4978,67
1575501900,4977,54
1575502200,4960,140
1575502500,4977,54
1575502800,4960,140
1575505500,4961,106
1575506100,4960,245
1575506400,4961,106
1575507000,4970,175
1575507600,4984,105
1575513600,4967,4
1575514800,4955,1014
1575515100,4967,4
1575515400,4956,1056
1575515700,4955,1014
1575516000,4956,1056
1575516300,4955,1014
1575516600,4956,1056
1575517800,4984,103
1575518100,4956,1053
1575518400,4984,103
1575518700,4976,167
1575519600,4974,127
1575519900,4976,167
1575520200,4975,154
1575521100,4970,96
1575522000,4984,81
1575522600,4970,96
1575522900,4984,81
1575526500,5008,49
1575526800,4984,129
1575527400,5008,50
1575528300,5039,22
1575529200,5007,62
1575529500,5039,22
1575529800,5007,62
1575530100,4991,53
