timestamp,avg,qty
1575665100,7,2
1575849600,783,1
1577545500,2,29
1577930100,1,2
1578106800,750,1
1578128700,3,1
1578316200,4,11
1578382200,3,2
1578405900,750,40
1578492300,3,2
1578597300,750,1
1578778500,4,1
1578880800,750,10
1579215000,5,1
1579370700,743,40
1579547700,750,30
1579896900,1000,1
1580216700,750,1
1580589000,4,5
1580694600,5,40
1581195600,1,1
1582226400,13,1
1582824000,1,35
1582835400,450,5
1583034000,1,10
1583156400,750,40
1583584200,741,40
1583745000,750,2
1584316200,650,40
1584830100,750,20
1585107300,300,1
1587989700,126,3
1588563000,1,40
1588826400,800,30
1588911600,1000,30
1590349200,2,1
1591896000,1,40
1591901400,2,10
1592028600,4,1
1602010500,20000,1
1602040500,1000,1
1606137000,30000,2
1606140600,10000,1
1610921700,11,59
1611159600,10,9
1612064700,13,3
