timestamp,avg,qty
1574994300,892,102
1575021600,951,5
1575164700,867,2
1575232200,696,13
1575235800,1001,5
1575240600,1001,2
1575259200,880,7
1575303900,639,1
1575306600,750,3
1575308100,750,4
1575308400,750,3
1575309000,750,4
1575309300,750,3
1575309600,782,5
1575340500,856,2
1575342600,856,2
1575351600,679,3
1575382800,600,1
1575416100,706,3
1575416700,706,3
1575417300,706,3
1575417600,651,3
1575551100,866,1
1575572700,866,6
1575598800,601,1
1575683700,780,3
1575698400,680,1
1575702000,708,6
1575703800,806,2
1575704400,806,2
1575705000,806,2
1575705300,806,2
1575707700,911,2
1575708000,911,2
1575708900,911,2
1575709500,911,8
1575729300,712,2
1575737100,777,3
1575737400,777,3
1575773700,829,2
1575789900,825,3
1575823800,805,1
1575853200,950,1
1575853800,950,1
1575855000,950,1
1575856500,980,4
1575856800,990,3
1575857100,980,4
1575857400,990,3
1576003500,880,3
1576090500,875,3
1576112400,875,1
1576133700,841,3
1576227900,919,1
1576301400,896,5
1576310700,1036,2
1576349700,916,1
1576351500,916,1
1576362900,647,2
1576452000,943,3
1576457400,943,1
1576486500,600,1
1576542900,655,4
1576613700,895,4
1576624800,941,3
1576647900,855,13
1576682700,985,1
1576683000,985,1
1576731600,900,2
1576749000,900,4
1576842000,906,2
1576880100,953,6
1576945800,956,1
1576955100,1728,2
1576968000,952,6
1576977000,911,1
1577033700,957,11
1577135400,925,2
1577141700,906,15
1577209200,974,2
1577223900,618,1
1577231400,620,1
1577249700,878,1
1577286300,964,10
1577353500,964,1
1577382600,749,3
1577393400,900,3
1577394300,900,3
1577394600,900,3
1577394900,900,3
1577397000,964,1
1577422500,949,3
1577466000,910,7
1577493600,623,1
1577497200,926,3
1577505000,901,1
1577562000,693,2
1577562300,693,2
1577562600,693,2
1577562900,693,2
1577565600,693,1
1577566200,693,1
1577566800,693,1
1577571000,852,5
1577579700,761,4
1577582400,880,3
1577583300,970,8
1577613600,901,3
1577637900,694,4
1577638500,623,3
1577638800,694,4
1577640000,953,4
1577655300,900,1
1577659200,900,1
1577704500,900,5
1577742300,900,9
1577757000,900,5
1577769900,903,13
1577971200,801,1
1577982600,813,2
1578012000,876,4
1578068400,902,1
1578091800,892,10
1578093900,826,7
1578095400,767,5
1578147600,1087,2
1578177900,1247,4
1578205800,994,2
1578249900,900,4
1578259200,907,3
1578259500,900,4
1578260100,907,3
1578261300,921,1
1578262800,933,2
1578267000,891,2
1578304200,967,1
1578319200,967,2
1578351300,963,9
1578367800,998,2
1578448200,991,6
1578449700,1095,6
1578451800,1058,7
1578452400,1063,8
1578452700,1058,7
1578453300,970,3
1578457200,970,2
1578483300,966,1
1578483600,966,1
1578483900,966,1
1578484200,966,1
1578484800,966,1
1578485400,966,1
1578486300,966,1
1578486600,995,7
1578486900,995,7
1578487800,995,7
1578488400,986,10
1578488700,986,10
1578489300,986,10
1578489600,986,10
1578490500,966,3
1578494100,966,3
1578495000,966,3
1578497700,873,3
1578499500,873,3
1578501300,750,1
1578503100,750,1
1578508500,770,1
1578514200,455,3
1578514500,582,4
1578514800,455,3
1578515100,582,4
1578515400,455,3
1578515700,582,4
1578518100,945,3
1578553200,822,3
1578584100,1479,1
1578604800,957,1
1578627300,765,2
1578676500,825,12
1578726300,950,5
1578758400,983,7
1578776700,765,1
1578778500,765,2
1578780300,781,2
1578782100,798,1
1578782700,781,2
1578783000,798,1
1578787800,884,1
1578806100,952,2
1578809700,790,3
1578811800,885,2
1578813600,885,3
1578815400,885,1
1578846000,885,1
1578871800,886,1
1578873600,886,1
1578939900,926,4
1578971100,925,2
1579043400,927,185
1579103400,886,4
1579116300,915,3
1579118100,915,1
1579119900,915,1
1579127400,705,5
1579142100,945,1
1579222200,903,2
1579231500,738,2
1579244400,816,2
1579250100,776,1
1579278300,819,3
1579280100,841,5
1579281900,851,4
1579283700,903,1
1579300200,903,1
1579368900,886,1
1579374600,842,5
1579426500,842,1
1579446900,842,7
1579449000,842,6
1579450800,842,2
1579459800,780,7
1579469100,887,3
1579545900,935,3
1579547700,935,3
1579575000,878,12
1579582500,842,2
1579629300,935,8
1579631100,935,8
1579632900,935,2
1579647300,1002,1
1579669500,917,7
1579712400,935,1
1579714500,935,1
1579727100,935,5
1579754700,935,1
1579790400,944,10
1579797600,944,2
1579799400,944,2
1579801500,944,1
1579869300,944,1
1579871100,944,1
1579961100,812,3
1579993800,1001,2
1580160900,1645,1
1580175900,944,1
1580217600,944,5
1580233800,944,1
1580235600,944,1
1580237400,944,1
1580314800,944,6
1580327400,1191,10
1580345400,1159,1
1580417700,952,3
1580419500,953,5
1580421300,959,3
1580432100,944,12
1580446500,1001,1
1580520900,944,1
1580522700,944,1
1580574300,962,1
1580592600,944,6
1580594400,944,1
1580596200,944,1
1580625300,962,2
1580658300,1000,1
1580665800,1150,1
1580680200,1000,5
1580682000,1000,5
1580705700,1400,1
1580707500,1200,2
1580726100,1000,3
1580748300,1000,3
1580755500,1000,10
1580761200,996,6
1580779200,1000,3
1580860200,1000,1
1580874600,1000,1
1580949000,1000,3
1581011100,948,3
1581025500,956,1
1581090600,1006,4
1581134400,940,1
1581158700,940,9
1581193800,956,4
1581208500,940,1
1581217500,1006,4
1581219300,940,1
1581221100,940,1
1581245100,1006,3
1581276600,973,2
1581282000,1006,3
1581324000,1006,1
1581443700,940,2
1581503700,940,3
1581520200,940,1
1581552600,955,2
1581623700,940,1
1581638100,940,5
1581645600,940,4
1581702300,940,1
1581803400,944,8
1581884100,1103,2
1581904500,1172,2
1581904800,1172,2
1581905400,1172,2
1581905700,1172,2
1581908100,940,1
1581913800,942,6
1581961800,954,8
1581985200,954,4
1582058100,940,3
1582071600,958,3
1582113300,940,1
1582128600,78,1
1582130400,99,2
1582131000,78,1
1582131900,99,2
1582132200,120,1
1582233900,746,1
1582239300,940,2
1582296000,940,2
1582298400,940,4
1582299300,940,2
1582300500,940,2
1582300800,940,2
1582301100,940,2
1582301400,951,2
1582301700,940,2
1582302000,951,2
1582304100,951,2
1582334700,940,5
1582483500,951,4
1582497900,923,6
1582555500,500,1
1582556100,500,1
1582556400,500,1
1582557600,904,2
1582558800,917,4
1582559100,904,2
1582559400,917,4
1582633200,924,1
1582634700,924,1
1582635000,924,1
1582635300,924,1
1582635600,924,1
1582635900,924,1
1582636200,924,1
1582636500,924,1
1582638000,924,1
1582649700,924,1
1582875300,924,3
1582895700,924,3
1583008200,928,2
1583010600,928,4
1583011500,928,4
1583012100,930,3
1583016000,928,3
1583034000,760,1
1583046900,924,1
1583079900,924,2
1583085300,924,2
1583110500,1038,6
1583172900,1008,3
1583251200,924,7
1583387100,836,2
1583431200,558,6
1583438700,806,1
1583440200,806,1
1583442900,880,2
1583495700,703,1
1583535900,872,8
1583631300,635,7
1583640600,850,2
1583642400,850,2
1583646000,850,1
1583686500,850,1
1583688300,850,1
1583691900,883,2
1583693700,883,2
1583704800,670,1
1583706600,1020,6
1583708400,1090,5
1583746800,883,1
1583754300,885,4
1583805900,883,1
1583865300,883,1
1583900700,924,5
1583962500,924,5
1584065400,932,1
1584111300,929,3
1584122400,925,8
1584124200,924,7
1584133200,924,1
1584149700,1000,3
1584158700,1019,8
1584233700,924,3
1584299700,917,7
1584323700,924,3
1584378900,924,2
1584384300,924,4
1584393300,925,1
1584413100,813,2
1584449700,968,1
1584451800,968,2
1584453600,968,1
1584459000,968,4
