timestamp,avg,qty
1574973300,3240,1
1574973600,3240,1
1574974200,3240,1
1574982600,3321,2
1574985300,3029,1
1574985600,3086,2
1574986200,3029,1
1574986500,3029,1
1574987100,3029,1
1574996400,3610,4
1575005100,3332,3
1575029100,3062,3
1575030600,3100,1
1575051000,3269,8
1575052800,3209,6
1575053100,3209,6
1575053400,3209,6
1575053700,3209,6
1575054000,3209,6
1575054600,3209,6
1575055200,3383,2
1575056700,3219,1
1575058500,3219,6
1575060600,3219,5
1575064200,2600,1
1575064500,2600,1
1575065100,2600,1
1575065400,2600,1
1575065700,2600,1
1575066000,2600,1
1575069900,2650,1
1575084600,4005,1
1575088500,3100,1
1575090300,3053,2
1575092400,3463,3
1575092700,3463,3
1575093300,3463,3
1575093600,3463,3
1575093900,3691,2
1575114900,3752,2
1575118500,3156,8
1575118800,3194,9
1575119100,3156,8
1575126900,4005,1
1575147900,3061,4
1575149700,3086,2
1575150000,3061,4
1575150300,3086,2
1575151800,3070,19
1575153300,3551,2
1575153600,3070,19
1575153900,3551,2
1575154200,3551,2
1575155100,3551,2
1575155700,3432,2
1575165900,3242,5
1575166200,3236,4
1575166500,3242,5
1575166800,3242,5
1575167100,3242,5
1575167400,3242,5
1575167700,3242,5
1575168300,3265,1
1575171900,4005,1
1575173700,4005,1
1575194700,3297,1
1575195300,3297,1
1575213300,3699,4
1575213600,3876,3
1575213900,3699,4
1575214500,3699,4
1575214800,3699,4
1575215100,3419,2
1575215700,3699,4
1575216000,3169,1
1575217200,3169,1
1575218700,3499,2
1575219600,3499,2
1575221400,3504,4
1575222300,3510,2
1575222900,3504,4
1575223200,3510,2
1575224400,3218,6
1575224700,3510,2
1575225000,3218,6
1575225900,3214,6
1575228000,3330,1
1575228300,3219,3
1575228600,3330,1
1575234000,3220,8
1575234300,3287,13
1575235200,3220,8
1575235800,3167,6
1575237300,3847,1
1575238800,3847,1
1575239100,3847,1
1575239400,3847,1
1575246300,3254,2
1575246600,3254,2
1575246900,3254,2
1575247200,3254,2
1575247500,3254,2
1575247800,3254,2
1575248100,3063,3
1575250200,3005,2
1575250500,3005,2
1575252000,3309,3
1575253800,3298,2
1575255600,3980,1
1575263100,3741,2
1575263400,3741,2
1575264000,3741,2
1575264300,3741,2
1575279000,3600,1
1575293700,3361,3
1575294000,3361,3
1575294300,3361,3
1575294600,3351,4
1575294900,3361,3
1575295800,3351,4
1575296100,3322,1
1575296400,3661,2
1575297000,3322,1
1575297300,3661,2
1575297600,3661,2
1575299700,4000,1
1575303300,3297,2
1575304500,3524,3
1575304800,3433,5
1575305100,3524,3
1575305400,3433,5
1575305700,3524,3
1575306600,3401,5
1575307800,3217,2
1575309600,3338,8
1575309900,3352,8
1575310200,3338,8
1575311100,3352,8
1575311400,3352,8
1575311700,3352,8
1575312000,3352,8
1575312300,3322,1
1575312600,3352,8
1575313200,3322,1
1575314400,3322,1
1575315000,3343,1
1575315900,3343,1
1575319200,3434,1
1575325800,3248,4
1575326400,3248,4
1575326700,3248,4
1575327000,3248,4
1575327300,3248,4
1575327600,3248,4
1575327900,3347,7
1575328200,3347,7
1575328500,3347,7
