timestamp,avg,qty
1590854400,30,4001
1590870900,13,101
1590872700,29,11999
1590874500,30,11898
1590890700,15,1
1590903300,29,11996
1590919800,73,1
1590941400,71,11
1591090500,90,400
1591114200,89,350
1591325700,64,1
1591395000,61,1
1591500300,40,340
1591635900,28,1
1591706400,40,1
1591748100,19,50
1591781400,36,40
1591799700,48,1
1591988700,38,37
1592013900,48,10
1592108400,50,1
1592201700,40,1
1592316000,52,1
1592388900,57,300
1592457900,60,100
1592783400,49,70
1592889000,48,1000
1593018300,36,60
1593097200,35,1
1593304800,28,100
1593313800,40,300
1593368700,49,30
1593372300,50,240
1593554700,62,100
1593570900,55,1
1593576300,62,1
1593652500,51,1
1593659700,30,95
1593725400,51,1
1593874800,22,1
1593907500,18,50
1593938700,33,600
1594137600,49,320
1594235100,46,30
1594260600,47,3000
1594386000,35,1
1594836900,30,1
1594856700,40,100
1594943400,35,100
1595112600,56,75
1595155800,54,80
1595593200,45,70
1595634300,27,40
1596059700,522,5
1596205200,50,2000
1596250500,46,100
1596412200,43,300
1596679800,67,1
1596747300,24,1
1596804300,27,20
1597295100,29,20
1597349700,36,7
1597359600,25,49
1597523100,39,100
1597677900,24,1
1597803000,22,1
1597935300,58,11733
1598106600,34,1
1598193600,37,300
1598381400,222,100
1598706600,58,100
1598769000,131,1
1599232800,419,50
1599322800,416,200
1599597900,100,100
1600311600,165,30
1600351500,222,50
1600835700,226,20
1601091600,125,101
1601295000,217,1
1601884500,69,100
1602085500,72,100
1602160500,50,2001
1602201000,72,60
1602364800,204,100
1603005000,70,200
1603167900,56,10
1603870200,46,30
1604088600,42,100
1604115600,35,100
1604283600,52,320
1604393400,100,60
1605978600,61,1
1605987900,50,1
1606914900,45,400
1607116200,46,100
1607127600,44,1
1607473500,117,10
1607540100,40,100
1608098400,137,2
1608132900,60,218
1608232500,64,1
1608272100,67,10
1608397200,138,1
1608413400,62,600
1608584700,138,1
1608630000,48,2
1608697200,46,581
1608708000,50,369
1608740700,132,307
1608843900,54,2659
1608934500,56,335
1608948900,63,1
1609182300,97,8400
1609454400,109,200
1609996800,39,1
1610096400,51,1000
1610160300,47,50
1610362200,35,1
1610505900,43,100
1612650600,30,1000
1613028600,116,200
