timestamp,avg,qty
1590789000,359,100
1590790800,357,1800
1590792600,354,2000
1590794700,342,300
1590796500,361,1490
1590798300,362,1530
1590800100,368,40
1590801900,358,400
1590803700,350,994
1590805500,359,2144
1590807300,364,1550
1590809100,368,100
1590814500,367,3020
1590816300,364,740
1590818100,365,260
1590819900,362,200
1590821700,359,220
1590823500,364,1380
1590825300,365,1360
1590827100,364,180
1590828900,346,812
1590830700,347,832
1590832500,368,530
1590837900,365,2081
1590839700,364,2191
1590841500,355,348
1590843600,350,158
1590850800,347,380
1590854400,350,60
1590861600,347,1250
1590863400,344,1602
1590865200,334,352
1590870900,347,370
1590872700,348,540
1590874500,350,170
1590876300,344,320
1590878100,347,1020
1590879900,349,900
1590881700,350,230
1590885300,345,190
1590887100,356,3390
1590888900,354,3740
1590890700,353,991
1590892500,351,1031
1590894300,341,610
1590896100,364,310
1590897900,361,740
1590899700,355,610
1590901500,348,320
1590903300,355,270
1590905100,368,100
1590906900,354,150
1590908700,360,290
1590910500,367,495
1590914100,368,400
1590917700,346,180
1590919800,320,280
1590921600,319,630
1590925200,320,250
1590934200,319,271
1590937800,323,850
1590941400,320,710
1590943200,318,210
1590945000,331,515
1590959400,330,1600
1590963000,346,1023
1590964800,344,1433
1590966600,337,910
1590968400,336,600
1590970200,331,600
1590974100,338,400
1590975900,340,520
1590977700,347,480
1590979500,346,720
1590981300,339,60
1590983100,347,1410
1590984900,343,1910
1590986700,334,1100
1590988500,341,1100
1590990300,347,660
1590992100,339,390
1590993900,338,300
1590995700,347,200
1591006800,344,290
1591010400,343,220
1591012200,338,2120
1591017600,322,430
1591019400,323,540
1591021200,333,310
1591023000,334,540
1591026600,312,690
1591028400,303,3011
1591030200,297,2851
1591032300,281,560
1591034100,299,391
1591037700,301,935
1591039500,309,1895
1591041300,323,2230
1591044900,337,3530
1591046700,343,3350
1591048500,337,320
1591053900,338,200
1591055700,335,1500
1591059300,338,1
1591061100,345,240
1591063200,344,880
1591066800,348,520
1591068600,339,1580
1591070400,340,1750
1591072200,344,600
1591074000,328,240
1591075800,324,200
1591077600,341,310
1591079400,340,430
1591081200,334,260
1591083000,349,1250
1591084800,348,1290
1591086600,338,70
1591088700,322,100
1591097700,315,100
1591099500,316,310
1591101300,329,550
1591103100,336,450
1591104900,335,310
1591110300,323,450
1591112100,288,270
1591114200,317,1380
1591116000,319,1540
1591117800,314,450
1591119600,331,220
1591121400,328,180
1591123200,335,530
1591125000,337,648
1591126800,329,448
1591128600,324,1700
1591129500,321,1490
1591130100,324,1700
1591130400,326,2008
1591132200,329,728
1591134000,303,310
1591135800,313,351
1591137600,334,591
1591139400,336,580
1591141200,343,690
1591143000,346,1050
1591143900,348,2020
1591145700,349,2740
1591147500,348,1570
1591154700,325,340
1591156500,315,240
1591158300,347,220
1591158600,342,260
1591160100,347,220
1591161900,323,90
1591163700,342,320
1591165500,350,1530
1591167300,349,1400
1591169100,347,71
1591170900,330,30
1591179900,331,2000
1591183500,340,320
1591192800,345,6299
1591194600,323,2118
1591196400,326,1229
1591198200,316,8483
1591201800,331,900
1591203600,321,2380
1591205400,320,1680
1591207200,336,330
1591209000,330,400
1591210800,319,1270
1591212600,320,1300
1591214400,340,430
1591216200,333,171
1591218000,312,971
1591219800,310,1010
1591221600,291,80
1591223400,312,20
1591227000,314,6532
1591230900,304,735
1591232700,325,2556
1591234500,329,1791
1591236300,321,900
1591238100,349,1388
1591241700,344,270
1591243500,318,772
1591245300,327,1212
1591247100,348,3140
1591248900,325,12138
1591250700,318,9498
1591252500,312,620
1591258200,322,400
1591260000,323,500
1591261800,316,810
1591263600,315,810
1591265400,313,100
1591284000,299,200
1591285800,305,500
1591287600,309,1230
1591289400,308,2167
1591291200,305,1722
1591293000,298,2478
1591294800,297,7605
1591296600,298,7112
1591298400,296,7774
1591300200,294,6699
1591302000,305,2744
1591305600,304,749
1591307400,308,540
1591309200,307,520
1591311000,319,1850
1591312800,322,1776
1591314600,318,456
1591316400,298,300
1591320000,310,120
1591321800,320,1340
1591323600,321,1830
1591325700,317,881
1591327500,309,901
1591332900,319,1150
1591334700,333,890
1591336500,337,430
1591338300,340,50
1591340100,313,450
1591341900,308,800
1591344000,305,600
1591345800,309,231
1591347600,310,701
1591349400,309,860
1591351200,305,160
1591356600,311,60
1591358400,310,5410
1591365900,309,920
1591367700,302,1734
1591369500,300,2812
1591371300,309,736
1591376700,297,39847
1591378800,296,39747
1591380600,302,1680
1591382400,303,1680
1591386000,305,320
1591387800,298,5012
1591389600,299,5694
1591391400,304,1892
1591395000,302,2610
1591396800,296,29096
1591398600,292,45866
1591400400,287,17300
1591402200,297,830
1591407600,300,1740
1591411200,298,640
1591413000,301,440
1591414800,299,1140
1591416600,298,1260
1591418400,296,320
