timestamp,avg,qty
1574974800,14260,2
1574975400,13180,3
1574976900,11020,2
1575055200,32000,1
1575062400,56000,2
1575064200,80000,1
1575073500,12651,1
1575081000,14500,2
1575111300,9999,8
1575151800,9402,1
1575155700,14500,1
1575165900,9402,3
1575171900,9872,4
1575208800,32000,8
1575225900,6367,3
1575230700,14500,1
1575257400,11000,1
1575266400,9404,1
1575272700,33000,1
1575303300,8106,1
1575324600,11973,1
1575325800,8012,4
1575326100,11973,1
1575326400,8012,4
1575327900,6692,3
1575336900,14500,1
1575342600,20000,1
1575346200,33000,1
1575364200,13000,2
1575382800,16000,1
1575430200,29999,1
1575433500,24749,2
1575434700,19500,1
1575435000,24749,2
1575435300,19500,1
1575453600,10000,1
1575490800,29999,1
1575509100,13750,1
1575596400,16000,1
1575651900,15000,1
1575711000,31500,1
1575737100,19000,1
1575781800,19500,1
1575814200,31500,1
1575818400,20000,1
1575840000,19500,1
1575856500,18000,1
1575900300,8665,1
1575909000,18000,8
1575918000,16000,1
1575944400,9121,1
1575946500,14560,2
1575948300,20000,1
1575978300,17000,1
1575993000,19000,1
1576007100,18000,1
1576022400,19000,2
1576072800,35000,1
1576124700,15000,1
1576142700,11000,1
1576159800,19000,1
1576176000,15000,1
1576190400,10195,1
1576222500,10170,1
1576246200,9591,1
1576305000,8657,1
1576308900,9112,1
1576309200,8657,1
1576309500,9112,1
1576324200,9591,1
1576336800,9068,4
1576339200,8983,8
1576340400,8898,4
1576342200,8500,2
1576355400,7940,1
1576356900,8599,2
1576357800,8818,3
1576358100,8599,2
1576358400,8818,3
1576359000,10172,3
1576360800,10629,2
1576362300,12000,1
1576371600,9258,1
1576428300,9527,1
1576433700,8170,1
1576446600,12000,2
1576470300,8599,1
1576495800,9051,1
1576512000,8170,1
1576530000,12511,4
1576541100,8430,1
1576554000,8873,1
1576604400,15000,1
1576621800,29850,1
1576672800,25000,1
1576721100,11557,1
1576725600,20000,1
1576798200,7515,1
1576812900,20000,1
1576816500,15918,1
1576818300,17959,2
1576820400,20000,2
1576911300,8384,1
1576911900,8394,2
1576912500,8384,1
1576912800,8394,2
1576914900,11247,1
1576924200,16000,1
1576960500,18000,1
1576971600,16000,1
1576977000,14995,1
1576980600,16000,1
1577039400,8985,1
1577041800,12242,2
1577042400,8985,1
1577043000,12242,2
1577043300,15500,1
1577045100,6607,1
1577045700,11053,2
1577046000,6607,1
1577048400,9221,2
1577055600,8536,1
1577076000,15500,1
1577097900,8536,1
1577127600,8750,1
1577151000,14500,1
1577213100,8086,1
1577218500,14911,1
