timestamp,avg,qty
1575003600,200,1
1575198000,835,5
1575199500,808,13
1575201300,791,4
1575201600,808,13
1575202200,791,4
1575223200,653,1
1575264600,250,1
1575303900,791,1
1575322800,367,1
1575334800,332,1
1575362400,345,81
1575377100,864,100
1575388200,186,96
1575399000,355,1
1575404700,546,1
1575424800,864,10
1575552600,251,1
1575574200,355,1
1575594300,729,1
1575638700,501,5
1575672300,831,11
1575672600,501,2
1575672900,831,11
1575673200,864,10
1575673500,831,11
1575673800,864,10
1575760800,501,9
1575822000,1,3
1575912900,864,2
1575940800,866,1
1576158000,700,1
1576176000,677,11
1576176900,527,34
1576177500,677,11
1576177800,527,34
1576180200,456,23
1576185300,700,4
1576255500,648,1
1576262100,700,1
1576266600,476,6
1576267500,473,7
1576268100,476,6
1576268400,473,7
1576269300,469,9
1576270500,456,4
1576271100,469,9
1576271400,456,4
1576275600,700,1
1576277400,668,2
1576278300,700,1
1576278600,668,2
1576279800,637,1
1576280100,668,2
1576280400,637,1
1576303200,866,3
1576305000,736,6
1576305600,866,3
1576305900,736,6
1576308000,607,3
1576308600,736,6
1576309200,607,3
1576333200,456,7
1576355700,866,1
1576359000,378,1
1576359300,622,2
1576359600,378,1
1576359900,622,2
1576360500,378,1
1576360800,376,11
1576391700,378,40
1576464600,371,1
1576501200,375,3
1576510200,378,30
1576542900,353,1
1576640700,371,3
1576644000,380,52
1576644300,371,51
1576644600,390,50
1576644900,380,52
1576645500,390,50
1576645800,399,51
1576646400,838,2
1576646700,399,51
1576647300,838,2
1576685400,866,1
1576711200,838,31
1576714500,843,32
1576714800,1000,1
1576715100,843,32
1576715400,1000,1
1576958700,573,1
1576973400,863,1
1577231400,1000,1
1577269800,738,1
1577278800,1001,1
1577295300,800,1
1577333400,1000,1
1577379000,1001,1
1577448000,1143,1
1577508300,1994,1
1577566800,529,1
1577637000,2600,1
1577689200,5000,1
1577714700,186,448
1577716500,188,449
1577718300,1089,1
1577718600,188,449
1577719200,1089,1
1577720100,2806,2
1577722800,612,1
1577740800,5000,1
1577799000,1000,3
1577810100,4499,1
1577850300,3999,87
1577910000,582,1
1578004500,1599,20
1578059400,500,3
1578084600,1375,1
1578123000,1600,1
1578188700,1194,1
1578207600,580,1
1578222600,1600,1
1578233700,553,16
1578236400,578,41
1578237600,594,25
1578238800,1600,1
1578240000,812,1
1578240300,1206,2
1578240900,812,1
1578260700,1600,3
1578301500,5000,2
1578385800,2000,1
1578448200,5000,1
1578453600,1138,1
1578497700,2858,1
1578521700,5000,1
1578614100,1000,1
1578630900,863,1
1578747000,495,5
1578763800,863,1
1578855000,691,1
1578868200,785,1
1578914700,863,20
1578958200,284,69
1578960000,186,59
1578961800,863,1
1579052700,700,1
1579063800,849,1
1579076700,606,1
1579092300,863,60
1579265400,880,151
1579317000,5000,1
1579328100,2000,3
1579389300,948,11
1579459800,803,1
1579472700,5000,10
1579481700,3999,10
1579487400,975,1
1579545900,3999,40
1579558500,5000,1
1579571400,1583,74
1579580700,5000,1
1579645500,631,1
1579710600,5000,1
1579716300,885,1
1579719900,5000,10
1579738200,885,4
