timestamp,avg,qty
1575230100,727,100
1575252000,707,100
1575292500,540,1363
1575322800,698,1
1575331200,651,997
1575375600,540,136
1575424800,697,300
1575473700,707,1
1575603300,742,50
1575689100,1400,1
1575700800,1039,1
1575724500,1000,200
1575738600,1400,2
1575771900,950,200
1575838200,737,100
1575849600,2741,284
1575989700,1000,155
1576050000,720,250
1576244100,733,400
1576277100,755,800
1576324200,731,500
1576340400,733,1
1576342200,652,41
1576344300,650,40
1576377000,731,400
1576450200,635,91
1576452000,663,985
1576562700,635,1
1576671600,1500,200
1576866300,900,50
1576896600,800,1000
1576968000,700,100
1577092500,999,40
1577193300,998,600
1577235000,723,34
1577238600,720,87
1577255100,700,100
1577306100,638,21
1577313300,636,296
1577333400,650,1092
1577335200,667,528
1577362500,840,1
1577366400,636,10
1577371800,638,74
1577373600,843,1
1577375400,842,1001
1577377200,793,1315
1577379000,638,314
1577382600,733,10
1577388300,637,501
1577389800,636,1458
1577395200,661,742
1577397000,732,200
1577398800,636,20
1577419200,700,350
1577421000,652,1345
1577422500,636,1686
1577471700,733,200
1577497200,636,3956
1577579700,730,100
1577643000,727,400
1577698500,726,500
1577924700,725,1300
1577987700,723,200
1578008100,720,100
1578070200,723,500
1578205800,649,100
1578266700,648,200
1578282300,549,30
1578323700,382,200
1578366000,645,100
1578393000,699,1000
1578468300,723,200
1578713400,725,1
1578782100,856,100
1578891900,9000,1
1579004700,2250,10
1579030800,885,100
1579038000,2249,10
1579280100,636,9070
1579283700,727,244
1579285500,701,239
1579313100,702,1019
1579314900,706,229
1579318800,1999,101
1579337400,1500,1
1579387500,1999,100
1579389300,1992,101
1579391100,1390,1
1579454400,1999,1000
1579456200,1991,1010
1579458000,1200,10
1579465200,1231,99
1579467300,1203,1005
1579469100,1201,906
1579496700,1272,100
1579569600,999,1
1579571400,953,1028
1579573200,938,1077
1579575000,632,70
1579632900,1000,1000
1579667400,885,30
1579752900,922,20
1579834200,1250,100
1579918800,1000,1
1579953900,998,1000
1580056800,929,100
1580097000,1000,1100
1580166300,950,40
1580205000,677,550
1580206800,650,500
1580343600,693,40
1580352600,899,100
1580473500,790,100
1580504400,750,1000
1580522700,800,201
1580556000,787,1000
1580662200,882,200
1580692800,900,100
1580763000,897,1000
1580841900,800,300
1580900100,675,500
1580978100,749,80
1581025500,660,400
1581038700,598,100
1581107100,613,200
1581202800,489,1
1581285600,450,2
1581287400,433,3
1581289200,400,200
1581380700,489,40
1581384300,492,200
1581386100,497,135
1581387900,502,35
1581398700,513,1
1581522000,541,300
1581550800,571,1000
1581559800,600,200
1581630900,543,1
1581687600,632,200
1581713100,590,200
1581779700,571,400
1581783600,601,1
1581816000,590,1000
1581817800,591,1200
1581819900,601,200
1581850200,630,60
1581864000,632,1
1581891300,551,100
1581895800,600,50
1581988800,467,500
1582069800,569,50
1582147800,542,400
1582219200,519,1000
1582252800,469,100
1582366500,540,240
1582689300,571,100
1582712100,599,1000
1582731600,583,2000
1582733700,588,3000
1582735500,599,1000
1582764900,570,200
1582808100,548,2000
1582844100,572,100
1582848000,510,100
1582869900,517,1
1582990800,569,1000
1582998600,490,260
1583050500,572,150
1583117700,598,2000
1583174700,507,100
1583280900,574,100
1583411100,544,100
1583486400,571,2001
1583490300,565,200
1583497500,575,1001
1583521500,541,150
1583537700,575,100
1583742900,572,1000
1583779800,569,1200
1583828700,499,10
1583898900,569,100
1583960700,565,100
1583987700,575,300
1584018000,523,1000
1584038100,495,40
1584054300,548,300
1584056100,555,1300
1584057900,557,1000
1584070800,569,3
1584078000,575,40
1584144300,569,10
1584156900,525,100
1584221100,521,50
1584252000,537,302
1584353100,521,310
1584398700,575,700
1584506400,570,600
1584632700,569,20
1584634500,574,1020
1584636300,575,1000
1584640200,546,300
1584658200,495,84
1584707700,490,199
1584740400,450,10000
1584756900,448,1
1584768000,450,500
1584822900,546,50
1584828300,490,6892
1584850200,604,100
1584859500,750,120
1584897900,490,1221
1584899700,506,1321
1584901500,711,130
1584916200,750,1000
1585011300,490,676
1585056000,748,250
1585059900,700,1000
1585140000,699,1000
1585141800,621,1590
1585143900,525,697
1585145700,718,107
1585155000,505,300
1585249200,750,500
1585296600,585,15
1585317300,750,50
1585374000,531,1
