timestamp,avg,qty
1574989500,14,3559
1575042000,14,3991
1575055200,15,12
1575069900,14,4006
1575071700,14,4000
1575072300,14,4006
1575073200,14,4000
1575135900,14,987
1575146100,17,3000
1575149700,14,6
1575150300,14,6
1575200100,15,6
1575223200,14,1812
1575224400,14,312
1575224700,14,1812
1575225000,14,312
1575238800,7,1
1575244800,1,6
1575297600,14,1600
1575298800,14,1606
1575300900,15,6
1575312300,14,2500
1575313200,14,2975
1575315900,17,475
1575321000,13,6
1575324600,13,5428
1575324900,13,5428
1575325500,13,5428
1575336900,14,6
1575342600,13,865
1575399000,15,6
1575402600,35,12649
1575406200,48,2900
1575408000,30,6700
1575410400,16,6080
1575435900,13,6500
1575479700,14,1829
1575480900,14,1829
1575502200,15,1
1575551100,18,4449
1575610200,21,5266
1575620100,16,120
1575641100,49,2496
1575649200,32,6
1575660000,18,6
1575685800,14,1936
1575686100,14,1930
1575686700,14,1936
1575687000,14,1930
1575687300,14,1942
1575713100,18,6
1575746100,15,1400
1575751500,14,4719
1575753300,14,4719
1575810900,15,13
1575816900,15,12
1575831600,15,6
1575905700,15,6
1575941700,13,3401
1575948300,14,6038
1576005900,17,6
1576012500,14,12
1576061700,14,6
1576083900,13,1100
1576092000,14,6
1576093200,14,6
1576095900,14,1851
1576102200,13,5407
1576102500,13,5395
1576102800,14,12
1576110600,17,2218
1576114800,14,5329
1576119000,15,7001
1576119300,15,7001
1576119900,15,7001
1576144200,14,6
1576151700,18,12
1576161300,14,2123
1576180200,16,3131
1576182300,14,1170
1576210800,15,10000
1576213500,14,8156
1576213800,14,8156
1576214100,14,8156
1576216800,15,6
1576246200,15,12
1576258500,15,6
1576322100,15,1200
1576368000,13,3130
1576382700,14,1010
1576408200,19,6
1576430100,12,1190
1576433700,13,16
1576444800,2,178
1576448400,9,15347
1576470300,14,5916
1576474800,13,2000
1576537200,14,100
1576555800,16,6
1576557900,17,6
1576558800,17,6
1576564800,14,6
1576578900,15,1412
1576600800,16,12
1576601100,14,6
1576601400,15,36
1576601700,16,12
1576602600,15,30
1576657200,14,994
1576658100,14,994
1576658400,14,994
1576659000,14,994
1576661100,15,1000
1576661400,15,1000
1576662300,15,1000
1576685400,15,9676
1576699200,16,1354
1576703400,14,2532
1576708500,14,6
1576770900,13,6000
1576787700,15,6
1576794600,15,12
1576858500,14,5001
1576895100,14,460
1576900500,12,3012
1576944000,12,1000
1576955100,14,4698
1576962600,17,12
1576993500,15,6
1577024700,15,6
1577036100,18,2487
1577043900,14,3825
1577044500,14,3825
1577046900,14,699
1577050500,14,1652
1577057700,14,1666
1577058300,14,1666
1577058900,14,1666
1577061000,14,1000
1577142900,13,2000
1577148300,14,6
1577152800,16,6
1577161200,14,6222
1577170200,14,1506
1577170500,14,1512
1577170800,14,1506
1577178600,14,4656
1577184900,19,6
1577209200,13,612
1577214600,15,518
1577218500,16,2000
1577233200,17,6
1577242200,15,12
1577306100,19,1006
1577311500,15,1800
1577313300,15,1800
1577329800,20,6
1577355300,14,12
1577377200,15,12
1577406300,14,4657
1577410200,13,13351
1577413500,13,12
1577439000,13,1
1577453400,16,176
1577455200,14,6
1577505000,15,628
1577505300,15,628
1577505900,15,628
1577531100,14,11
1577550900,14,1870
1577551500,14,1870
1577552100,14,1870
1577552700,14,1870
1577553300,14,1870
1577553600,14,1870
1577561400,15,12
1577577600,17,5215
1577588700,15,501
1577595000,13,1000
1577631000,17,6
1577631600,17,6
1577633400,17,12
1577657100,15,2984
1577672100,15,2416
1577683800,15,6
1577689200,13,10537
1577691900,15,6
1577692200,15,6
1577692800,15,6
1577693700,15,12
1577709900,12,946
1577714700,15,252
1577721600,15,12
1577724600,14,4985
1577724900,15,12
1577725800,14,4985
1577729700,15,6230
1577737200,17,6
1577738400,17,6
1577739300,17,6
1577742300,14,6
1577760600,15,1000
1577806500,15,6
1577814000,12,1568
1577817300,15,6
1577817600,15,1206
1577818500,15,6
1577819400,15,1212
1577841300,1,1
1577853900,14,4919
1577859900,15,6
1577893500,15,2800
1577897400,13,6
1577904600,1,3041
1577917500,1,1991
1577939400,12,6
1577973000,7,198
1577982300,9,727
1577997300,13,5797
1577999100,13,5803
1578000000,13,5803
1578000300,13,5803
1578000900,17,7512
1578008100,15,2833
1578060900,15,18
1578073800,16,2233
1578099300,16,2508
1578116400,18,6
1578119700,14,5106
1578130500,14,2506
1578165000,14,6
1578167100,15,6008
1578183300,11,2074
1578198000,9,12919
1578200400,7,5919
1578201000,8,6919
1578201300,7,5919
1578201600,8,6919
1578201900,11,2910
1578204000,11,2910
1578216300,15,6
1578246600,17,12027
