timestamp,avg,qty
1574988000,37,1
1574997900,125,1
1575039600,37,1
1575045300,38,1
1575068100,100,1
1575073500,37,1
1575081000,125,1
1575132000,38,2
1575135000,36,1
1575135300,38,2
1575135600,36,1
1575140700,38,1
1575142500,96,3
1575143100,103,4
1575143400,96,3
1575143700,103,4
1575144600,125,3
1575151800,37,1
1575153300,36,2
1575153600,37,1
1575153900,36,2
1575155700,37,2
1575156900,38,1
1575157200,37,2
1575157500,38,1
1575160800,37,2
1575164700,36,1
1575177300,37,1
1575183000,125,1
1575186600,36,1
1575204900,38,1
1575213300,71,1
1575218700,38,1
1575222300,50,1
1575224400,43,2
1575224700,50,1
1575225000,43,2
1575225900,37,1
1575230700,186,1
1575233400,112,2
1575234000,38,1
1575234300,112,2
1575235200,38,1
1575235800,37,2
1575237300,36,1
1575250200,37,1
1575253800,83,2
1575255600,91,4
1575257400,100,2
1575264600,38,1
1575273600,186,1
1575321000,37,1
1575324600,55,1
1575324900,46,2
1575325500,55,1
1575327900,186,1
1575334800,39,32
1575336900,44,33
1575337200,52,35
1575337500,44,33
1575337800,52,35
1575338100,44,33
1575338400,52,35
1575338700,186,3
1575393600,100,1
1575414000,59,3
1575414600,68,2
1575414900,59,3
1575415200,68,2
1575415500,40,3
1575417600,43,1
1575426600,36,1
1575428100,35,2
1575430200,34,1
1575434700,35,1
1575441000,186,1
1575493800,111,4
1575494100,186,2
1575494400,111,4
1575495000,86,3
1575496200,42,3
1575498000,55,1
1575509100,39,1
1575510300,38,2
1575510600,39,1
1575511200,38,2
1575513600,87,3
1575514200,112,2
1575514800,186,1
1575515100,112,2
1575515400,186,1
1575517800,36,1
1575532200,186,1
1575603300,36,1
1575605700,38,2
1575607200,113,2
1575607800,137,3
1575608100,113,2
1575608400,137,3
1575608700,113,2
1575609000,137,3
1575609300,186,2
1575609600,137,3
1575609900,186,2
1575617100,41,1
1575627000,186,1
1575647400,41,1
1575663600,110,2
1575664500,180,1
1575664800,110,2
1575665100,180,2
1575666900,110,2
1575667200,180,2
1575667500,110,2
1575669000,41,1
1575674400,49,75
1575675900,51,100
1575676200,49,77
1575676500,51,100
1575678000,56,23
1575678300,51,21
1575679200,56,23
1575679800,51,21
1575691200,180,1
1575696300,152,1
1575702000,42,1
1575735000,111,2
1575737100,180,1
1575744300,42,1
1575753300,154,1
1575768300,1565,1
1575788700,201,1
1575823800,130,2
1575824100,201,1
1575824400,130,2
1575825600,60,1
1575840000,43,1
1575851400,186,1
1575865800,43,2
1575879600,47,1
1575884100,41,1
1575888000,186,1
1575910200,41,2
1575917400,48,13
1575918900,58,14
1575921000,186,1
1575922200,46,44
1575922500,186,1
1575922800,46,44
1575923100,58,62
1575924900,57,64
1575925500,58,62
1575925800,57,64
1575926100,82,24
1575926400,57,64
1575926700,82,24
1575927000,41,2
1575927300,82,24
1575927600,41,2
1575935400,39,2
1575938400,38,1
1575965400,43,1
1575966900,51,2
1575968700,49,2
1575971100,39,1
1575972900,42,1
1575985800,41,1
1575999900,39,125
1576008000,186,1
1576014600,40,1
1576022400,38,2
1576023900,87,3
1576026000,186,1
1576033500,40,1
1576072200,186,1
1576075800,151,2
1576076100,186,2
1576076400,116,1
1576076700,151,2
1576077300,116,1
1576085400,38,1
1576108200,39,2
1576111200,48,1
1576114800,186,1
1576128300,119,2
1576130100,53,1
1576144500,120,1
1576167000,41,1
1576172400,6,2
1576176000,41,1
1576178700,89,3
1576180200,113,2
1576180500,89,3
1576180800,113,2
1576181100,89,3
1576182300,41,1
1576197300,38,2
1576197600,41,2
1576197900,35,1
1576198500,38,2
1576198800,35,1
1576202400,41,1
1576213500,38,1
1576222500,41,1
1576231500,70,2
1576259100,36,1
1576263300,37,1
1576263600,36,2
1576263900,37,1
1576266600,34,2
1576272000,36,11
1576275600,38,2
1576282800,39,2
1576284600,40,1
1576289700,100,1
1576300500,38,1
1576308900,63,1
1576336800,186,1
1576371600,39,2
1576375500,127,1
1576386000,186,1
1576424700,46,1
1576430100,186,1
1576431900,75,4
1576433700,39,3
1576437300,38,1
1576439100,123,2
1576440900,144,3
1576443000,113,2
1576444800,38,3
1576446600,37,4
1576448400,36,4
1576450200,37,2
1576452000,40,1
1576457400,186,1
1576462800,36,1
1576472100,133,1
1576475400,145,1
1576482900,186,1
1576514100,113,2
1576515900,39,3
1576517700,38,1
1576518000,39,2
1576518600,38,1
1576528200,40,1
1576530000,39,2
1576532400,38,1
1576554000,186,1
1576559400,185,1
1576564800,36,1
1576581000,40,1
1576588500,186,1
1576592100,126,2
1576592400,66,1
1576593000,126,2
1576593600,66,1
1576596000,186,2
1576623300,37,1
1576624800,36,2
1576629900,40,1
1576644000,113,2
1576644300,40,1
1576644600,186,1
1576644900,113,2
1576645500,186,1
1576653000,40,1
1576663200,186,1
1576665000,114,2
1576665300,186,1
1576665600,114,2
1576666500,42,1
1576667100,114,2
1576667400,42,1
1576670700,186,1
1576703400,113,2
1576703700,39,2
1576704000,113,2
1576704600,39,2
1576706700,38,1
1576707000,39,2
1576707300,38,1
1576727100,32,1
1576730400,35,1
1576741500,37,1
1576758300,39,1
1576767600,36,1
1576782300,35,1
1576784100,34,3
1576784400,35,2
1576785000,34,3
1576785600,35,4
1576785900,36,3
1576786200,35,4
1576786500,36,3
1576787100,35,4
1576787400,36,3
1576788000,38,2
1576788300,36,3
1576788600,38,2
1576788900,36,3
1576789200,38,2
1576789500,37,2
1576791300,38,1
1576793100,35,1
1576802100,34,1
1576803900,35,2
1576806000,37,1
1576806600,35,2
1576806900,37,1
1576815000,38,1
1576815300,37,2
1576815900,38,1
1576816200,37,2
1576825800,38,1
1576854900,40,1
1576856700,113,2
1576874700,37,55
1576876500,38,92
1576878600,36,35
1576878900,37,118
1576879200,36,35
1576879800,37,118
1576880100,36,27
1576882200,48,4
1576884000,35,3
1576884900,33,2
1576885200,35,3
1576896600,78,1
1576898700,58,2
1576900500,38,1
1576904100,37,1
1576914900,23,1
1576920300,36,1
1576931400,38,1
1576933500,36,2
1576934700,38,1
1576935000,34,1
1576942200,38,1
1576949700,33,1
1576953300,35,1
1576958700,36,2
1576962600,88,1
1576966200,38,1
1576969800,88,1
1576979100,37,1
1576990200,38,1
1576999200,37,1
1577017800,88,1
1577019300,70,2
1577021400,52,1
1577023200,88,1
1577043300,37,1
1577045100,62,2
1577046900,88,1
1577052000,35,1
1577059500,44,1
1577063100,38,1
1577072700,50,1
