timestamp,avg,qty
1575292500,2,10
1575333300,1,18
1575336900,2,3
1575437700,6,4
1575501000,5,3
1575520200,6,13
1575530100,3,6
1575530400,6,3
1575531000,3,6
1575531900,1,13
1575793800,2,10
1575797700,6,3
1575827700,1,2400
1575830700,6,53
1575831000,1,2450
1575831300,6,53
1575847200,4,7
1575848100,3,3
1575851400,6,3
1575895800,1,3
1575989700,6,10
1576001400,1,3
1576059000,2,3
1576069200,1,6
1576501200,6,7
1576528200,1,100
1576539000,2,5
1576544700,100000,3
1576546500,22656,16
1576548300,4807,13
1576550100,10,3
1576559400,9,66
1576561200,43,109
1576561500,46,113
1576561800,43,109
1576562700,92,50
1576563300,98,47
1576563600,92,50
1576564200,98,47
1576565400,109,4
1576571700,46,3
1576577100,990,10
1576583100,900,3
1576590300,990,6
1576593600,672,9
1576594500,36,3
1576594800,672,9
1576595100,36,3
1576599000,30,3
1576602600,20,3
1576606800,19,110
1576607400,20,103
1576608000,4,99
1576608300,19,110
1576608600,4,99
1576610400,6,112
1576611000,4,102
1576611300,6,112
1576611900,4,102
1576612200,17,13
1576615500,19,3
1576617300,15,21
1576617600,19,3
1576617900,15,21
1576618800,16,24
1576619700,11,12
1576620300,16,24
1576620600,11,12
1576623300,19,3
1576632900,18,363
1576639200,500,10
1576642200,499,13
1576642500,500,10
1576642800,499,13
1576664100,3,100
1576692300,1,10
1576929600,899,6
1576947900,40,3
1576962600,1,3
1576986300,6,53
1576988100,7,40
1576999200,1,6
1577103900,10,3
1577107500,7,6
1577107800,10,3
1577108100,5,3
1577108400,7,6
1577108700,5,3
1577112000,10,3
1577116500,3,364
1577116800,10,6
1577117100,3,427
1577125500,40,3
1577148600,38,133
1577148900,40,13
1577149200,38,123
1577159100,899,20
1577164200,93,43
1577166900,100,40
1577172000,28,6
1577187000,2,13
1577189700,3,618
1577190000,2,613
1577190300,3,618
1577190600,2,613
1577190900,6,705
1577193300,28,108
1577205900,3,41
1577220300,11,8
1577223900,16,10
1577226000,58,13
1577227500,200,3
1577268000,1,3
1577284200,4,3
1577297100,2,208
1577362500,4,3
1577400900,2,110
1577488500,1,59
1577517300,2,3
1577592300,3,3
1577619300,150,1
1577640000,149,3
1577641500,85,6
1577641800,35,16
1577642100,85,6
1577642400,35,16
1577643000,53,19
1577643600,35,16
1577644200,53,19
1577644500,35,16
1577645100,40,26
1577646300,62,16
1577646900,42,13
1577647200,10,10
1577647800,42,13
1577648100,10,10
1577649000,200,3
1577652900,181,16
1577655300,150,6
1577655600,184,19
1577656200,200,3
1577656800,150,6
1577657100,200,3
1577669400,199,13
1577671200,181,11
1577671500,199,13
1577671800,181,11
1577672100,20,111
1577673000,2,101
1577674500,3,100
1577674800,2,101
1577675100,3,100
1577680500,6,200
1577680800,8,203
1577681700,6,200
1577682000,8,203
1577683800,200,3
1577684100,8,203
1577684400,200,3
1577691900,6,121
1577692200,4,114
1577692800,5,325
1577693100,6,121
1577693400,5,325
1577693700,4,450
1577694900,5,336
1577695500,4,329
1577699100,2,5
1577795400,69,200
1577797200,71,203
1577799000,200,3
1577817300,14,3
1577819400,12,6
1577821200,105,6
1577823000,200,3
1577835900,7,106
1577847000,200,3
1577865600,8,10
1577889900,1,603
1579185300,18,3
1579187100,24,9
1579188900,50,3
1579192800,3,48
1579202100,50,3
1579205700,16,3
1579209300,50,9
1579211100,1,203
1579242600,50,6
1579252200,3,600
1579255800,50,9
1579265400,18,5
1579267200,3,358
1579274700,2,115
1579276500,4,16
1579278300,8,6
1579281900,3,603
1579285500,50,3
1579296600,26,3
1579298400,46,26
1579300200,49,23
1579302000,40,9
1579307700,50,26
1579309500,26,126
1579311300,20,100
1579313100,50,5
1579314900,29,205
1579320600,35,3
1579354200,19,7
1579356000,8,4
1579358100,35,6
1579361700,30,3
1579367100,25,3
1579372800,6,10
1579385400,12,9
1579387500,15,111
1579389300,1,65591
1579392900,14,112
1579394700,15,3
1579400100,10,100
1579404000,2,9
1579416900,20,6
1579418700,34,106
1579420500,35,100
1579439700,13,103
1579445100,2,100
1579452600,35,6
1579456200,18,9
1579458000,10,6
1579461600,34,10
1579463400,1,613
1579467300,2,600
1579469100,34,3
1579470900,4,42
1579472700,2,42
1579474500,32,63
1579476300,33,63
1579479900,23,16
1579481700,14,8
1579483500,33,5
1579485300,25,13
1579487400,23,10
1579500300,7,6
1579502100,31,106
1579503900,33,100
1579530600,10,6
1579536600,1,603
1579540200,2,23
1579549500,6,143
1579551300,7,146
1579554900,21,38
1579556700,28,39
1579558500,25,16
1579560300,17,6
1579562400,9,3
1579564200,5,6
1579566000,16,6
1579567800,30,3
1579580700,13,3
1579587900,30,3
1579614300,17,9
1579616100,11,6
1579623600,30,100
1579627500,11,100
1579656600,10,504
1579662000,11,6
1579667400,9,16
1579669500,7,6
1579671000,2,4
1579705200,1,703
1579756800,2,110
1579790400,1,63
1579799400,3,30
1579837800,2,3
1579867500,3,2
1579869300,6,5
1579871100,8,6
1579872900,9,6
1579874700,7,11
1579876800,1,620
1579880700,9,3
1579895100,5,100
1579898700,11,100
1579904400,2,3
1579911600,3,103
1579915200,17,24
1579917000,23,12
1579920600,12,3
1579929600,4,3
1579955700,3,2
1579957500,4,13
1580027400,1,781
1580031000,4,6
1580141100,1,623
1580144700,2,216
1580146500,4,103
1580188800,2,3
1580199600,4,3
1580250000,2,400
1580253600,4,213
1580271600,2,100
1580278800,4,10
1580332800,2,6
1580338200,3,13
1580340000,4,13
1580349000,2,10
1580358000,4,6
1580403300,2,40
1580412300,4,1
1580423100,2,16
1580437500,3,200
1580439300,4,100
1580486400,3,6
1580497200,4,10
1580520900,1,200
1580541000,3,100
1580550300,4,30
1580580000,3,6
1580581800,2,3
1581090600,1,600
1581096300,2,50
1581149100,1,100
1581202800,2,3
1581260100,3,3
1581267300,5,3
1581271200,2,22
1581274800,1,608
1581278400,5,13
1581353700,50,6
1581357300,10,103
1581359100,13,661
1581360900,11,789
