timestamp,avg,qty
1574992800,120,157
1575047700,170,4
1575052800,135,53
1575056700,124,36
1575062100,119,12
1575066000,108,8
1575069900,108,26
1575075300,164,8
1575081000,96,185
1575084600,120,1
1575092100,78,6
1575099600,78,6
1575099900,45,2
1575100200,78,6
1575100500,45,2
1575102000,107,6
1575102900,107,6
1575103800,107,6
1575104100,107,6
1575104700,107,6
1575111300,95,10
1575136800,101,301
1575151800,113,38
1575155700,120,7
1575156900,138,39
1575157200,120,7
1575157500,140,35
1575159300,147,58
1575159600,138,48
1575159900,147,58
1575160800,116,87
1575165900,76,21
1575181200,99,332
1575192300,56,11
1575194700,46,27
1575196500,108,28
1575223200,100,64
1575230700,102,9
1575237300,103,19
1575266400,49,41
1575319200,160,45
1575338700,152,17
1575342600,121,7
1575353100,162,2
1575354600,162,2
1575357300,170,8
1575426600,127,20
1575441000,119,8
1575442500,136,11
1575471900,119,87
1575572700,105,15
1575676800,99,21
1575784500,113,46
1575918000,93,55
1575968700,95,24
1575976500,41,25
1575983700,43,8
1576004400,42,15
1576005900,51,23
1576027200,87,33
1576052700,84,2
1576057200,43,297
1576073700,91,28
1576075800,95,80
1576076100,91,29
1576076400,97,59
1576077300,97,57
1576077900,97,59
1576078200,97,57
1576135500,112,10
1576190400,68,7
1576195200,49,201
1576215000,76,49
1576220700,50,22
1576236900,19,1868
1576251300,35,3
1576331400,39,151
1576378800,66,18
1576431900,80,73
1576444800,71,29
1576445100,72,17
1576445700,71,29
1576446300,72,17
1576448400,82,4
1576461000,70,65
1576475400,74,134
1576541100,40,10
1576617300,72,6
1576656300,40,106
1576791300,99,65
1576802100,79,148
1576805700,82,129
1576806000,85,129
1576806600,82,129
1576806900,85,129
1576807500,94,21
1576824000,99,12
1576853100,100,123
1576858500,98,26
1576871400,82,265
1576872300,82,262
1576872600,82,265
1576872900,82,262
1576873200,86,301
1576874700,105,50
1576909500,91,236
1576945800,68,33
1577039400,45,14
1577052000,45,54
1577101500,75,10
1577121000,71,30
1577165100,47,8
1577185800,44,4
1577286300,56,14
