timestamp,avg,qty
1574973000,184700,1
1574975400,184901,4
1574977200,184901,8
1574977500,184901,8
1574978100,184901,8
1574978400,184902,7
1574980200,184901,3
1574982600,185296,3
1574982900,185000,2
1574983200,185296,3
1574983500,185494,2
1574984400,185888,1
1574984700,185494,2
1574985000,185888,1
1574985300,185888,2
1574985600,185888,1
1574986200,185888,1
1574986500,185888,2
1574987100,186759,3
1574987700,185888,1
1574988000,186543,4
1574989500,186414,5
1574990400,186326,6
1574991000,185892,4
1574991600,186326,6
1574991900,185892,4
1575000000,185101,4
1575001500,185105,3
1575030900,185701,5
1575034500,185751,2
1575036000,185502,3
1575038100,185502,3
1575038400,185502,3
1575038700,185502,3
1575040200,185502,1
1575040800,185502,1
1575041400,185502,1
1575043500,186700,5
1575045300,186114,7
1575045600,186700,5
1575045900,185405,6
1575046500,186114,7
1575046800,185405,6
1575051000,185108,7
1575052800,185110,3
1575053100,185100,1
1575053400,185110,3
1575053700,185100,1
1575054000,185110,3
1575054600,185100,1
1575055200,185100,1
1575056700,185148,6
1575058500,185080,6
1575060600,184697,1
1575062100,184841,3
1575062400,184820,7
1575066000,185888,4
1575071700,184300,7
1575075300,237454,5
1575081000,197831,3
1575084600,198746,7
1575090300,185736,5
1575093900,186454,3
1575094200,186454,3
1575095100,186454,3
1575095700,180051,5
1575097500,174200,5
1575112500,174322,7
1575122400,185135,2
1575126300,185174,5
1575126900,185156,3
1575127200,185174,5
1575127800,185156,3
1575128400,185181,7
1575129600,186416,8
1575129900,186289,9
1575132000,189172,23
1575132300,188907,22
1575132900,189172,23
1575133200,188907,22
1575133800,188935,23
1575134400,188982,23
1575135000,186288,7
1575135300,188982,23
1575135600,186288,7
1575140700,185200,7
1575141000,185510,7
1575141300,185200,7
1575141900,185200,7
1575142200,185200,7
1575142500,185658,8
1575149700,185134,7
1575150600,181649,7
1575150900,185134,7
1575151200,181649,7
1575151800,177143,8
1575153300,172116,9
1575153600,173360,8
1575153900,171882,7
1575154200,172116,9
1575155100,171882,7
1575155700,171828,7
1575156000,171462,8
1575156300,171828,7
1575159300,178439,5
1575159600,177216,6
1575159900,178439,5
1575160800,184665,2
1575162900,184510,3
1575163200,184665,2
1575164100,184510,3
1575171900,185635,3
1575177300,173575,4
1575179400,170001,5
1575181200,177227,5
1575186600,185588,2
1575194700,185997,1
1575195300,185725,3
1575196500,185657,6
1575198000,185589,8
1575199500,185589,8
1575201300,185589,4
1575201600,185589,7
1575202200,185589,4
1575216000,185589,3
1575216600,185589,3
1575216900,185619,3
1575217200,185589,3
1575217800,185619,3
1575218700,185681,1
1575219300,185619,3
1575219600,185681,1
1575219900,185681,2
1575220200,185681,2
1575220500,185701,2
1575225900,185681,3
1575228900,185726,4
1575229200,185683,2
1575229800,185726,4
1575230100,185735,5
1575232200,185770,3
1575232800,185770,5
1575233400,185807,4
1575235800,186061,6
1575244800,185722,10
1575246300,185732,8
1575248100,185682,5
1575249000,185718,4
1575250200,184591,5
1575257400,185482,7
1575259200,185682,4
1575263100,185420,4
1575272100,185333,4
1575275400,185328,2
1575281700,188520,2
1575287700,187831,2
1575290700,188099,4
1575293700,194594,1
1575294000,191348,2
1575294300,194594,1
1575294600,194594,1
1575294900,194594,1
1575295500,194594,1
1575298800,188549,4
1575300300,188481,8
1575302100,188797,8
1575303300,188838,10
1575304500,189002,4
1575304800,189002,6
1575305100,189002,4
1575305400,189002,6
1575305700,189002,4
1575306300,189002,4
1575306600,189003,2
1575308100,189095,2
1575308400,189064,3
1575309000,189095,2
1575309300,189064,3
1575309600,189124,4
1575314100,189726,4
1575315000,189001,1
1575315300,189726,4
1575315600,189001,1
1575318300,190057,2
1575319200,190057,3
1575324600,189424,10
1575324900,190155,8
1575325500,189424,10
1575327900,188087,6
1575333300,189986,5
1575333600,189762,5
1575333900,189986,5
1575334500,189762,5
1575334800,190407,6
1575336900,190383,7
1575337200,190466,6
1575337500,190383,7
1575337800,190466,6
1575338100,190383,7
1575338400,190466,6
1575338700,188379,5
1575340500,187296,3
1575342600,186687,3
1575343500,186687,3
1575343800,186687,3
1575344100,186515,4
1575344400,186515,4
1575344700,186515,4
1575345300,186515,4
1575346200,186301,2
1575347700,187678,5
1575348900,187678,5
1575349200,187678,5
1575349500,187678,5
1575350100,188975,8
1575354900,188808,7
1575357300,189308,4
1575358800,189440,3
1575360900,192005,2
1575362400,192005,2
1575368100,188158,2
1575375600,188202,2
1575377100,188158,1
1575379200,188246,1
1575381000,188246,3
1575382800,188224,4
1575384600,188202,2
1575388200,188158,1
1575390000,188159,3
1575393600,188247,1
1575397500,188596,6
1575397800,188670,6
1575398100,188596,6
1575398400,188670,6
1575399000,188839,7
1575400800,188723,6
1575402600,188836,5
1575408000,188253,11
1575415500,188259,3
1575417600,188328,2
1575419400,188284,2
1575420900,187142,4
1575421800,186803,3
1575424800,187618,4
1575426600,182912,4
1575428100,175110,3
1575431700,175005,2
1575432000,170003,2
1575432300,175005,2
1575437700,180508,2
1575439200,182545,4
1575440400,183390,3
1575440700,182545,4
1575441000,184517,5
1575442500,184517,5
1575442800,184473,3
1575444000,184473,3
1575444300,184473,3
1575444600,181008,2
1575446700,181008,6
1575459600,181097,1
1575462900,181028,6
1575463200,181042,3
1575463500,181026,7
1575470400,183690,4
1575471900,185911,3
1575472500,185746,4
1575473400,185911,3
1575473700,185250,3
1575474000,185746,4
1575474300,185250,3
1575474600,185250,2
1575474900,185250,3
1575475500,186244,4
1575475800,185250,2
1575476100,186244,4
1575477300,187238,2
1575477600,187238,3
1575479700,187238,5
1575480300,187238,4
1575480900,187238,5
1575481500,186840,5
1575483900,183195,2
1575485400,185303,3
1575485700,183222,2
1575486300,185303,3
1575486600,185303,5
1575486900,185303,3
1575487200,185303,5
1575488100,185949,6
1575488400,185303,5
1575488700,185949,6
1575490800,185497,7
1575493800,181141,4
1575494100,183427,8
1575494400,181141,4
1575495000,181107,4
1575496200,181988,4
1575498000,182315,3
1575500400,182969,1
1575501000,181519,4
1575501900,181519,4
1575502200,181519,4
1575502500,181519,4
1575502800,181519,4
1575511800,183338,6
1575516900,183669,6
1575517800,183075,7
1575518100,183669,6
1575518400,183075,7
1575525000,184004,1
1575534600,177713,5
1575536400,180338,6
1575536700,178909,7
1575537000,180338,6
1575538200,185100,5
1575538800,182965,5
1575539100,185100,5
1575544500,176998,3
1575548400,176560,5
1575549300,176560,4
1575549600,176560,5
1575549900,176560,4
1575552600,176560,1
1575556200,176560,3
1575556800,176560,3
1575560700,177577,3
1575566100,176560,3
1575566700,176795,4
1575567000,176560,3
1575569100,183005,4
1575569400,181393,4
1575569700,181716,5
1575570000,183005,4
1575570300,181716,5
1575574200,187237,3
1575580800,185219,8
1575583200,185448,7
1575583500,185151,10
1575584100,185448,7
1575584400,185448,7
1575585000,185448,7
1575587100,183604,3
1575596400,185498,6
1575597000,185448,7
1575600000,185112,8
1575606300,185100,1
1575606900,186169,2
1575607200,185100,1
1575607800,185100,1
1575608100,185100,1
1575608400,185100,1
1575608700,185100,1
1575609000,185100,1
1575610200,185101,2
1575651900,185108,4
1575652800,185105,5
1575653400,185108,4
1575653700,185105,5
1575654600,185101,3
1575655500,185101,3
1575655800,184933,4
1575656100,185101,3
1575656400,184654,6
1575656700,184933,4
1575657000,184654,6
1575657300,184933,4
1575657600,184654,6
1575658500,184542,6
1575658800,184654,6
1575659400,184772,5
1575673200,185206,3
1575674400,185206,5
1575675900,185206,4
1575676200,185206,5
1575676500,185206,4
1575676800,185206,4
1575677100,185206,4
1575677700,185206,4
1575685800,185231,7
1575687300,185233,8
1575689100,185250,4
1575689700,185250,3
1575690000,185250,4
1575690900,185250,3
1575691200,185217,4
1575692700,185206,6
1575694500,185206,6
1575696300,185206,2
1575703800,185206,1
1575704400,185206,1
1575705000,185206,1
1575705300,185206,1
1575705900,185206,1
1575717000,185206,1
1575724500,185206,3
1575725400,185206,4
1575725700,185603,2
1575729300,186840,5
1575729600,186000,3
1575729900,186840,5
1575731100,187400,3
1575732900,186321,4
1575735000,186198,9
1575736200,186100,8
1575736500,186198,9
1575736800,186100,8
1575737100,186100,6
1575740400,186100,9
1575740700,186080,10
1575741000,186100,9
1575741300,186080,10
1575741900,186100,9
1575742500,186034,6
1575746100,185735,6
1575747900,185702,5
1575748200,185702,5
1575749100,185702,5
1575749400,185702,5
1575750000,186100,1
1575751200,186100,1
1575751500,186100,1
1575753300,186129,3
1575755100,186188,1
1575757500,185111,2
1575759000,184952,5
1575760800,179950,5
1575762900,171736,3
1575764700,170000,2
1575765600,170000,2
1575765900,170000,2
1575766500,176001,3
1575768300,180811,3
1575769200,180811,3
1575770400,185111,1
1575777300,185198,4
1575777600,185180,5
1575777900,185198,4
1575778500,185567,5
1575778800,185198,4
1575779100,185567,5
1575780900,185660,4
1575781800,185180,5
1575782100,185506,6
1575782400,185180,5
1575782700,185163,5
1575783300,185180,5
1575783600,185163,5
1575784500,185111,3
1575786000,184884,3
1575788100,183708,5
1575800100,184432,5
1575805200,184461,3
1575807300,184519,2
1575807600,184519,1
1575807900,184519,2
1575808500,184519,1
1575808800,184519,3
1575810300,184519,4
1575810600,184519,6
1575816300,184432,2
1575822000,184790,5
1575823800,186222,2
1575825600,186222,4
1575827700,186222,6
1575833100,186310,2
1575836400,186311,3
1575836700,186311,4
1575837000,186311,3
1575837300,186311,4
1575837900,186311,3
1575838200,186311,4
1575842100,183511,9
1575843600,182169,10
1575845700,184464,5
1575846000,183722,6
1575846300,184464,5
1575847200,186866,5
1575853200,184772,3
1575853500,185330,4
1575853800,184772,3
1575855000,184103,3
1575856500,184929,2
1575860100,181620,3
1575865800,181300,2
1575867600,180325,4
1575869700,180000,5
1575871200,180522,4
1575893400,186223,6
1575905700,186225,1
1575909000,186225,1
1575910200,186225,3
1575912000,186225,4
1575912300,186225,3
1575912900,186225,2
1575913200,186225,4
1575913500,186225,2
1575914100,186225,2
1575915000,186225,2
1575915600,186225,6
1575915900,186225,2
1575916800,186225,6
1575917400,186355,6
1575918000,186336,7
1575918300,186355,6
1575918600,186336,7
1575920400,186420,4
1575921000,186225,5
1575921300,186225,4
1575921600,186225,5
1575922200,186269,6
1575922500,186225,4
1575922800,186269,6
1575923100,186453,8
1575928200,187000,6
1575929700,187128,7
1575930000,187000,6
1575930300,187056,16
1575932100,187072,15
1575933900,187014,13
1575935400,187056,8
1575939000,187045,7
1575939300,187124,6
1575939600,187045,7
1575944400,186622,10
1575944700,187010,10
1575945000,186370,6
1575946500,186269,8
1575948300,186295,5
1575950100,186225,2
1575950700,186225,2
1575951000,186225,2
1575951600,186225,2
1575953700,186225,1
1575954300,186225,1
1575954600,186225,1
1575955200,186225,1
1575956100,186290,3
1575956400,186290,3
1575957000,186290,3
1575957600,186322,2
1575960600,186223,2
1575971100,187007,1
1575979800,186224,3
1575980100,186224,4
1575980700,186224,3
1575981000,186224,4
1575981300,186224,3
1575981600,186224,3
1575981900,186224,3
1575982800,186224,3
1575983700,186224,2
1575984600,186224,2
1575985800,186223,3
1575986100,186223,1
1575986400,186223,3
1575987000,186223,1
1575987300,186550,5
1575987600,186550,5
1575988800,186550,5
1575989100,186550,5
1575989700,186706,5
1575990900,186483,3
1575994500,186327,5
1575995100,186229,4
1575995400,186327,5
1575995700,186229,4
1575996900,187001,1
1575997200,186229,1
1575997800,187001,1
1575999900,186771,3
1576000500,187001,1
1576000800,186771,3
1576001400,186512,3
1576001700,186440,4
1576002000,186512,3
1576002600,186396,5
1576003500,186223,6
1576003800,186396,5
1576004400,186223,6
1576004700,186223,6
1576005000,186223,6
1576008900,176559,6
1576013400,170013,6
1576015200,176309,6
1576015500,176001,4
1576015800,176309,6
1576017000,181179,8
