timestamp,avg,qty
1575272100,52774,4
1578367800,57332,1
1578448200,53705,8
1578448500,53705,8
1578448800,53705,8
1578449100,53705,8
1578449400,53705,8
1578450300,53705,8
1578450600,53705,8
1578450900,53705,8
1578451200,53705,8
1578451500,53705,8
1578858900,60000,3
1578860700,60000,7
1579086300,60205,1
1579225800,62002,8
1579409400,61999,1
1579560300,63917,1
1579665600,64443,6
1579719900,58000,1
1579747500,35001,2
1580432100,50000,1
1580608800,41008,1
1580678400,41008,2
1581047700,43063,1
1581362700,47847,1
1581889500,30000,1
1581890100,30000,1
1581890400,30000,1
1581891300,37999,2
1581892200,37999,2
1581892800,37999,2
1581893100,45999,1
1581898500,45999,6
1581900600,45999,8
1581922800,40000,1
1582433700,37613,1
1582546200,16002,1
1582729500,16005,1
1582730700,16005,1
1582733700,34495,2
1582735500,34804,4
1583112300,43927,1
1583239500,37287,1
1583679300,68950,1
1583681400,68950,3
1583681700,68950,3
1583682000,68950,3
1583685000,57705,1
1583966100,49989,1
1584297900,42575,2
1584466200,45843,1
1584726000,49000,7
1584980400,49010,1
1585069200,59991,1
1585094400,49200,1
1585131000,57000,1
1585143900,49300,2
1585176900,56974,2
1585326300,49000,9
1585353900,50000,1
1585896000,56123,2
1585922400,55480,8
1586057100,54784,1
1586097300,54222,1
1586308500,60929,1
1586311800,60929,1
1586332500,49011,1
1586704200,60000,6
1586979300,51011,1
1587329100,52500,1
1587596100,49437,6
1587597900,49437,8
1587675000,42504,1
1587788400,35000,1
1587799200,36036,2
1587837900,43504,1
1587841500,48082,3
1587952800,46500,2
1587967500,40100,3
1588098900,43025,1
1588264500,47000,3
1588926300,47774,1
1589067600,46270,9
1589364300,50391,1
1589759700,47005,1
1589761500,47005,1
1589924700,47001,1
1589926500,47001,1
1590159000,48494,1
1590198900,48000,3
1590365400,47457,3
1591422300,35000,1
1591435200,35000,1
1591453200,39899,5
1593363000,46654,1
1594927200,42500,1
1596045900,43074,1
1596048600,43074,1
1597179300,10000,1
1599123600,34132,4
1600139400,20000,1
1606250100,44897,2
1609033200,48640,1
1609825800,42505,1
1610068200,46638,1
1612824600,40607,1
