timestamp,avg,qty
1575246300,200,98
1575424800,190,2
1575523500,111,601
1575538200,150,4
1575883200,60,1
1576273800,123,1
1576287600,123,1
1576296000,123,2
1576366200,150,29
1576431900,150,30
1576479000,150,1
1576532100,150,1
1576535700,150,1
1576599000,155,161
1576778400,115,4
1576780500,115,2
1576864200,157,1
1576924200,182,1
1576940400,167,109
1576949700,191,390
1576951500,191,390
1576986300,200,1
1577006700,200,1
1577036100,165,30
1577041500,174,303
1577057700,188,2
1577058300,165,1
1577058900,188,2
1577061000,162,5
1577116500,192,2
1577139600,150,24
1577143500,208,5
1577203800,234,1
1577223900,154,1619
1577233200,166,69
1577275200,202,10
1577307900,184,201
1577326200,154,51
1577328000,154,204
1577329800,154,203
1577344200,201,1
1577361000,225,1
1577380800,225,200
1577391900,160,8
1577408100,175,22
1577422500,175,989
1577451600,185,165
1577453400,185,1
1577493600,225,101
1577493900,225,101
1577494500,225,101
1577495400,225,101
1577506200,225,100
1577517300,190,63
1577517600,190,61
1577517900,190,63
1577562000,191,28
1577565000,240,2
1577565300,240,2
1577565600,240,2
1577598900,250,92
1577619900,250,1
1577631000,250,400
1577741100,231,87
1577753400,240,4
1577804700,240,336
1578017400,215,64
1578072000,155,1
1578081000,220,2
1578114000,220,1
1578122100,155,1
1578148800,215,2
1578181500,171,2
1578201900,156,1
1578328200,190,2
1578335100,190,390
1578339300,190,2666
1578349500,50,1
1578433200,169,1
1578440400,186,180
1578481200,130,59
1578516300,153,6
1578614100,186,1
1578683700,50,300
1578745200,155,70
1578817500,196,370
1578860700,99,2
1578954600,128,502
1579030800,128,2007
1579183200,100,1
1579203900,61,1
1579212900,121,2
1579337400,100,2
1579361700,111,1
1579367100,154,11
1579389300,141,254
1579398300,147,1499
1579400100,146,2
1579420500,130,5
1579428300,146,83
1579431900,146,511
1579434000,155,15
1579458000,117,785
1579461600,130,222
1579463400,121,104
1579467300,110,313
1579526700,131,11
1579536600,120,143
1579554900,170,101
1579569600,155,28
1579634700,120,1
1579650900,81,807
1579673100,96,2000
1579699500,134,1
1579732800,118,132
1579805100,150,4
1579843200,51,4
1579908000,84,291
1579922400,96,9
1580166300,75,1
1580185200,75,1
1580295000,84,106
1580332800,120,60
1580471700,116,20
1580473500,116,20
1580517300,6,2
1580598000,82,7
1580770200,79,217
1580816100,10,1
1581081300,97,1
1581114300,62,1
1581116400,62,1
1581118200,91,1
1581121800,91,3
1581125400,91,146
1581177300,72,1
1581197400,107,9
1581280200,76,2
1581294600,77,65
1581357300,3,1
1581516600,85,1
1581623700,58,7
1581630900,74,485
1581786900,65,182
1581931200,76,2
1582089000,67,200
1582313100,70,2
1582403100,86,59
1582406400,73,1037
1582424700,77,255
1582428300,75,526
1582455900,80,1
1582488900,69,271
1582558800,91,100
1582563600,86,1
1582650900,78,1
1582656000,83,1
1582712100,100,201
1582728900,85,438
1582755300,85,3
1582818000,90,4
1582818300,90,4
1582818600,90,4
1582819200,90,4
1582905000,78,1
1583003100,98,1
1583006400,89,215
1583006700,88,15
1583007000,89,215
1583115900,89,1196
1583130300,93,3
1583292600,78,302
1583358300,91,1
1583510400,108,1
1583544900,98,142
1583713800,99,448
1583789100,98,1
1583823000,97,200
1584030600,97,101
1584048900,94,8
1584122400,111,21
1584136800,112,1
1584285000,111,57
1584292500,148,2
1584319800,139,21
1584354900,120,1
1584366000,129,227
1584395100,118,2
1584396900,118,2
1584444300,102,1
1584552300,105,1
1584559500,105,454
1584610500,103,1
1584625500,103,41
1584629100,103,40
1584640200,103,2
1584642000,103,3
1584736800,140,1
1584744000,150,1
1584793800,103,3
1584803100,112,1
1584804900,115,3
1584812100,150,2
1584813900,165,1
1584815700,165,1
1584826500,164,71
1584854100,105,1600
1584872400,165,103
1584921600,101,1
1584948900,110,140
1584954300,115,4
1584971100,110,2
1584993000,110,50
1585067400,111,74
1585076400,110,88
1585092600,99,2
1585143900,107,1
1585182300,108,184
1585184100,108,67
1585191300,119,346
1585193100,106,2
1585194900,106,1
1585202100,107,70
1585269000,108,3
1585278300,106,29
1585280100,106,29
1585348200,107,2
1585352100,108,8
1585383300,107,105
1585467000,108,1688
1585492800,118,1
1585494600,120,7
1585496400,118,302
1585512600,109,1601
1585516200,98,2
1585532700,109,437
1585536300,108,525
1585542000,108,297
1585591800,96,95
1585602600,97,2
1585606500,98,210
1585621200,96,1
1585643400,109,1
1585678200,109,3
1585777200,96,1
1585780800,78,1
1585790100,96,2
1585813800,105,91
1585815600,106,2
1585817400,108,1
1585836000,120,1
1585846800,121,1
1585883400,120,1
1585885200,115,2
1585890600,120,6
1585892400,120,6
1585898100,111,2
1585918800,122,200
1585922400,121,702
1585971600,120,426
1586042700,120,203
1586108100,122,418
1586139000,114,1
1586206500,130,4
1586228100,114,109
1586229900,115,2
1586237400,120,5
1586295900,119,206
1586297700,119,206
1586474700,105,198
1586485500,96,1
1586501100,99,1
1586521200,105,199
1586544900,115,114
1586555700,119,1
1586627700,100,1
1586635200,113,1
1586693400,120,1
1586706300,119,266
1586709900,120,499
1586729700,100,1
1586752200,117,3
1586785200,116,1
1586856000,104,1
1586863200,100,2
1586868900,96,177
1586895900,1,1
1586941200,110,1
1586972100,97,6
1586973900,96,8
1586975700,96,3
1586986500,108,151
1587018300,94,200
1587020100,1,1
1587021900,1,1
1587054900,110,1063
1587074700,110,80
1587093000,50,1
1587154800,104,59
1587164100,104,150
1587240300,112,202
1587252900,65,2714
1587261900,74,368
1587280200,97,2
1587283800,96,165
1587285600,96,164
1587316500,106,144
1587318300,106,143
1587320100,98,1341
1587339900,110,14
1587349200,100,4
1587360000,100,1
1587361800,101,399
1587413100,100,54
1587416700,95,362
1587518400,102,22
1587526200,140,152
1587548700,102,776
1587552300,105,1
1587599700,105,261
1587612600,105,1
1587614400,118,106
1587618000,104,1878
1587619800,110,2
1587675000,96,1001
1587680400,95,2
1587698700,165,3
1587709800,104,1
1587726300,105,379
1587812400,99,98
1587836100,111,3
1587878100,99,49
1587925500,95,1
1588104300,194,450
1588222500,51,1
1588280700,81,408
1588298700,80,2101
1588308000,94,20
1588524900,97,1
1588544700,95,77
1588557600,97,410
1588612500,95,199
1588617900,89,21
1588623300,80,1160
1588625100,97,2
1588626900,97,2
1588658400,97,2
1588793700,95,217
1588815300,96,837
1588828200,95,501
1588859100,95,216
1588862700,92,1
1588868100,92,1
1588877100,80,1
1588878900,80,1
1588941000,95,1
1588953600,94,7
1588982700,95,1
1589004600,98,1778
1589064000,100,2
1589067600,255,100
1589071200,94,1
1589073000,94,1
1589088300,99,900
1589121000,100,1
1589126400,96,1
1589135700,135,106
1589137500,143,111
1589184600,96,1
1589208300,100,14
1589307900,100,1
1589389800,100,400
1589391600,106,454
1589395200,155,3
1589555100,100,139
1589623800,100,400
1589625600,100,459
1589634600,103,8
1589636400,110,3
1589641800,100,5
1589643600,100,7
1589763300,101,11
1589821500,101,504
1589828700,110,1
1589830500,106,2
1589919300,100,1
1589931900,101,67
1590086400,101,16
1590092100,150,1
1590211500,104,150
1590264000,102,1
1590407100,99,6
1590571500,104,1
1590609900,104,2
1590670200,110,2
1590758400,110,401
1590781800,109,21
1591050300,113,368
1591298400,115,1
1591416600,116,46
1591458600,116,1
1591480500,117,1
1591498500,122,1
1591507800,117,168
1591666500,116,62
1591680900,128,1
1591722900,115,1
1591799700,122,1
1591830600,150,1
1592046900,120,1
1592110200,122,89
1592148600,130,1
1592168700,122,1000
1592512500,126,9
1592949300,132,1
1592991300,134,436
1593117000,138,5
1593204300,135,16
1593304800,140,90
1593364800,135,450
1593396900,141,1
1593445200,145,27
1593463500,142,1
1593479700,149,2
1593487200,142,1
1593489000,136,15
1593514800,143,5
1593565500,150,358
1593565800,150,358
1593606900,172,152
1593615900,146,95
1593716100,150,268
1593725400,36,2
1593885900,85,1
1593887700,85,1
1594078800,125,3
1594110000,125,1
1594335300,110,279
1594404900,97,20
1594408500,110,14
1594434000,110,408
1594486800,110,3
1594501200,110,201
1594517700,110,398
1594605000,125,9
1594645200,52,124
1594661400,110,1
1594663200,110,1
1594777200,110,8
1594954200,104,999
1595065500,110,1
1595211900,101,1
1595728800,93,838
1595737800,109,5
1595739600,109,5
1596986400,110,1
1597179300,111,196
1597368600,124,201
1597396200,114,4
1597621200,111,1
1597770900,181,197
1598923500,113,1
1599261000,110,1
1599541800,133,2
1599850500,135,600
1600027200,137,1
1600648500,128,10
1600845000,137,1
1600846800,137,1
1601410200,156,1
1601411100,156,1
1601411700,156,1
1601439600,148,1
1601442300,160,1
1601480400,160,5
1601926800,485,30
1602029700,184,3
1602282300,275,145
1602445200,1000,2
1602521700,377,1
1602636600,405,992
1602988800,800,56
1603368600,603,1
1603379400,580,1
1603415100,617,1
1603442100,589,1
1603753500,589,160
1604192700,400,9
1604250600,405,1
1604485800,420,1
1605665700,501,101
1605934200,455,2
1606867800,400,1
1607646900,606,194
1607813700,654,1
1607815500,654,1
1608178200,542,1
1609294800,482,1
1609378500,520,3
1609552200,435,2030
1609554000,434,2093
1609555800,429,83
1609557600,435,66
1609615800,426,2
1609680900,426,282
1609815000,427,9
1610147700,400,2
1610202000,314,1
1610469900,377,13
1610491500,394,1785
1610726100,389,765
1610810100,250,10
1611273900,236,1
1611378000,221,1
1612924500,280,1
