timestamp,avg,qty
1574978400,620,1
1574979000,620,2
1574979600,620,1
1574979900,620,2
1574982900,620,1
1575047700,317,1
1575049200,317,1
1575125100,753,2
1575125700,753,8
1575126300,753,13
1575126900,753,25
1575127200,753,13
1575127800,753,25
1575146700,184,5
1575402600,307,2
1575578400,400,1
1575578700,400,1
1575579300,400,1
1575579900,400,1
1575636300,198,2
1575636900,198,2
1575637200,198,2
1575637500,198,2
1575638400,198,2
1575638700,198,2
1575639300,198,18
1575639600,198,2
1575639900,198,18
1575818400,800,2
1575822000,800,9
1575853200,758,12
1575853500,758,12
1575853800,758,12
1575855000,800,16
1575856500,800,10
1575924900,800,4
1575925500,800,4
1575925800,800,4
1575926100,800,1
1575926400,800,4
1575926700,800,1
1575996300,285,1
1576028400,300,2
1576029000,300,2
1576030500,300,2
1576204800,120,1
1576225500,203,11
1576335300,171,7
1576402800,171,22
1576611000,254,1
1576611300,254,1
1576611900,254,1
1576820400,202,2
1577061000,237,9
1577140800,149,14
1577211600,262,5
1577242200,383,9
1577565600,427,2
1577566200,427,2
1577566800,256,5
1577567100,427,2
1577567400,256,5
1577568300,219,7
1577569200,172,15
1577677200,889,3
1577681700,889,2
1577747400,253,2
1577755200,253,6
1577771700,249,9
1577775300,253,10
1577779200,253,1
1577828400,104,79
1578512700,229,2
1578691200,285,1
1578702300,285,1
1578857100,318,2
1578858900,318,4
1578873600,350,1
1578875400,2999,2
1578877200,2999,2
1578914700,1000,2
1578939900,2999,1
1578941700,2999,3
1578943500,2999,3
1578945300,2999,1
1578967500,1000,7
1578969300,1000,7
1578971100,318,7
1579054500,227,3
1579069200,215,13
1579132800,214,55
1579136700,209,14
1579160400,215,10
1579476300,10,3
1579528500,221,1
1579530600,221,1
1579751100,244,7
1579810500,150,1
1579911600,157,8
1579986600,445,7
1579988400,445,21
1580066100,230,1
1580871000,209,11
1580936100,204,3
1580937900,177,6
1580939700,191,13
1580941800,204,10
1580952600,168,1
1581018300,204,2
1581088800,194,2
1581090600,194,2
1581217500,170,9
1581219300,170,19
1581222900,170,5
1581384300,197,1
1581387900,194,3
1581389700,194,3
1581398700,207,1
1581481500,206,6
1581540000,206,1
