timestamp,avg,qty
1574976900,176,1
1574978400,172,173
1574980800,178,975
1574981100,172,174
1574981700,178,975
1574982600,180,901
1574982900,179,902
1574983200,180,901
1574985300,177,389
1574985600,180,297
1574986200,177,389
1574989500,180,157
1574996400,178,21
1574997900,179,135
1575001500,178,256
1575003600,175,103
1575005100,180,100
1575014100,179,2139
1575023700,180,250
1575032700,178,18069
1575039600,180,1
1575047700,181,11742
1575051000,178,346
1575052800,180,139
1575055200,179,298
1575056700,177,331
1575062400,185,1610
1575067800,186,2301
1575069900,185,3611
1575071700,180,3017
1575072300,185,2311
1575073200,180,3017
1575073500,182,10669
1575075300,183,10641
1575077100,187,126
1575079200,190,2381
1575084600,185,300
1575086700,184,450
1575088500,185,1461
1575093900,190,200
1575101400,181,2499
1575103800,182,2142
1575104100,181,4142
1575104700,182,2142
1575105300,183,1625
1575105900,184,1133
1575106500,186,3000
1575106800,184,1133
1575107400,186,3000
1575111300,187,4560
1575113700,186,5199
1575114900,185,639
1575117300,186,5944
1575120300,184,8912
1575121200,181,2640
1575122100,184,8912
1575122400,181,2615
1575126300,188,1000
1575126900,189,3701
1575127200,188,1000
1575127800,189,3701
1575129600,196,8551
1575129900,199,5901
1575130500,188,14279
1575132000,184,11657
1575132300,183,11457
1575132900,184,11657
1575133200,183,11457
1575133800,181,10831
1575134400,186,2429
1575136800,185,2371
1575140700,193,4982
1575141000,185,1279
1575141300,193,4922
1575142500,194,4557
1575143100,195,5429
1575143400,194,4557
1575143700,195,5429
1575144600,204,3639
1575146700,208,1907
1575147300,204,3210
1575147900,197,191
1575149700,199,4167
1575150000,197,191
1575150300,199,4167
1575151800,200,3976
1575153300,195,314
1575153600,200,4031
1575153900,195,314
1575155700,197,7486
1575162900,203,7848
1575164700,200,13259
1575165000,199,14277
1575165600,200,13259
1575165900,199,20015
1575168300,201,13490
1575168600,200,14001
1575168900,201,13490
1575170400,190,86
1575181200,199,1
1575184800,190,1158
1575187500,194,1616
1575188100,190,1158
1575188400,194,1616
1575189000,205,483
1575191400,199,1
1575192000,205,483
1575192300,199,2
1575199800,190,120
1575202800,189,1092
1575206100,190,20
1575206400,189,21
1575206700,190,20
1575214500,191,309
1575214800,190,235
1575215100,192,642
1575215700,191,309
1575216000,199,10407
1575216600,192,642
1575216900,199,11079
1575219900,197,552
1575220200,200,1052
1575220500,197,379
1575222300,215,1
1575225900,200,18
1575228000,197,118
1575228300,200,18
1575228600,197,118
1575230100,199,602
1575230700,202,4602
1575232200,204,5752
1575233400,202,8810
1575234000,201,6427
1575234300,202,8810
1575235200,201,6427
1575235800,199,7315
1575237300,200,5331
1575238800,212,15736
1575239100,200,4475
1575239400,212,15736
1575240600,214,13099
1575242700,215,13004
1575243600,216,201
1575243900,215,13004
1575244200,216,201
1575252000,218,1
1575253800,217,2
1575255600,216,1
1575259200,218,2
1575261000,217,3
1575262800,215,2
1575266400,201,11237
1575273600,220,1000
1575287700,212,206
1575294600,216,300
1575302100,220,200
1575303900,219,201
1575304200,220,200
1575304500,219,201
1575306600,217,1
1575308100,207,3886
1575313200,210,1
1575319200,212,201
1575322800,210,360
1575327900,211,2
1575328200,208,6002
1575328500,211,2
1575329100,208,6002
1575329400,207,6022
1575329700,208,6002
1575330000,207,6022
1575331800,205,1588
1575332100,207,6335
1575332400,205,1588
1575335400,211,1
1575335700,205,1234
1575336300,211,1
1575336900,201,201
1575337200,204,1103
1575337500,201,201
1575337800,204,1103
1575338100,201,201
1575338400,204,1103
1575338700,201,1976
1575340800,202,1375
1575341400,201,1775
1575342000,202,1375
1575342600,211,150
1575344100,210,764
1575353100,204,1
1575362400,213,1
1575368100,205,800
1575381000,192,375
1575381300,194,3075
1575381900,192,375
1575382200,194,3075
1575384600,196,3781
1575386400,199,1080
