timestamp,avg,qty
1575027300,14895,1
1575036000,14797,1
1575051000,14700,1
1575055200,14690,1
1575064200,14686,2
1575067800,14685,2
1575095700,14650,1
1575097500,14052,1401
1575112500,14639,1
1575113700,14346,2
1575114900,14054,2000
1575118500,14000,1
1575118800,14054,1996
1575119100,14000,1
1575125100,14635,1
1575126300,14567,2
1575128400,14500,1
1575181200,14596,1
1575209400,14589,1
1575221400,14498,1
1575225900,13905,2
1575232200,13601,1
1575235800,13706,1
1575242700,14200,1
1575270300,14199,100
1575306600,14030,1
1575307800,14149,3004
1575311400,14150,1
1575311700,14149,3004
1575312000,14150,1
1575321000,14149,2
1575336900,14049,1
1575364200,14044,2
1575410400,14048,1
1575415500,14050,1
1575498000,14110,1
1575590700,14200,1
1575671400,14175,2
1575735000,14000,1
1575773700,14150,1
1575928200,14100,1
1576017000,14741,1
1576117500,14499,1
1576191900,14035,1
1576197300,13812,1
1576225500,14032,1
1576249800,13999,1
1576260300,14000,1
1576265700,13999,1
1576273500,13949,1
1576280400,13812,2000
1576318200,13998,1
1576346100,13950,1
1576355400,13949,1
1576362600,13946,1
1576362900,13916,3
1576363200,13946,1
1576363500,13916,3
1576364400,13901,1622
1576402800,13899,1
1576406400,13898,1
1576431900,13895,1
1576452000,13798,1
1576453800,13793,2
1576455600,13633,3
1576457400,13556,2
1576530000,13769,1
1576575600,15146,1
1576578300,15073,2
1576578900,15000,1
1576579200,15073,2
1576579500,15000,1
1576608000,13900,20
1576625100,13800,1
1576626300,13684,3
1576628700,13626,2
1576629000,13684,3
1576694400,14499,1
1576707600,14420,1
1576741500,13800,1
1576780500,13799,1
1576797300,13628,1
1576856700,14200,1
1576876500,13529,11
1576920300,14199,1
1576971600,13430,2
1576999200,13372,1
1577001000,12928,3
1577002800,12707,2
1577052000,13699,1
1577130900,14039,1
1577176800,14038,1
1577206200,13900,1
1577368200,15479,1
1577373600,15250,1
1577377200,15479,1
1577380800,14700,1
1577394300,15150,1
1577394600,14700,1332
1577394900,15150,1
1577402700,14998,1
1577415600,14040,1
1577442900,14850,1
1577457000,14869,1
1577488500,18004,1
1577490000,17128,2
1577492100,16252,1
1577492400,15146,2
1577493000,16252,1
1577493300,15146,2
1577493600,14859,3002
1577496600,14860,3001
1577525100,15479,1
1577571000,14742,1
1577601600,15250,1
1577602200,14902,1501
1577602800,15250,1
1577603400,14902,1501
1577605800,15245,1
1577606400,14902,1500
1577607000,15245,1
1577609100,15240,1
1577619300,15200,1
1577643000,14999,1
1577646900,14988,3000
1577668800,14399,1
1577738400,14200,2
1577760600,14040,592
1577778600,13372,1
1577902800,14742,3000
1577921100,15285,1
1577930100,15273,1
1577943300,15272,1
1577991600,15295,1
1578000900,14999,1
1578007200,14850,1
1578097500,15272,1
1578128700,15270,1
1578152700,15000,13
1578159300,14685,2
