timestamp,avg,qty
1575479700,3800000,1
1575647400,3692446,4
1575681900,3639000,2
1575778500,3280000,6
1576382700,3196496,1
1576606800,2798501,1
1576773000,3198777,1
1576811400,3098000,1
1576916700,2986665,6
1577050200,2957557,2
1577057700,3211758,1
1577227500,3209995,5
1577260500,3200000,1
1577326200,3199995,1
1577328000,3029997,2
1577329800,2860000,1
1577398800,3047888,1
1577400900,2998044,3
1577402700,2973122,2
1577419200,2980000,1
1577751900,2914998,1
1577804700,2914000,1
1577919300,2900000,1
1577922900,2874997,1
1577967600,2893887,1
1578015600,2890000,1
1578033000,2900000,1
1578117900,2914918,6
1578125100,2909000,2
1578282300,3870000,6
1578282900,3872523,7
1578283200,3870000,6
1578283800,3872523,7
1578341100,3301000,2
1578453300,3100000,6
1578538500,3177000,1
1578895800,3284444,1
1578960000,2992926,3
1578961800,2994694,4
1578963600,3000000,1
1578971100,2734340,1
1579038000,2848888,1
1579062000,2848800,1
1579063800,2782580,8
1579065600,2773121,7
1579082400,2838000,1
1579305600,2988888,1
1579307700,2935629,3
1579309500,2909000,2
1579476300,2878247,1
1579523100,2819888,1
1579786800,3484444,1
1580058900,3220000,5
1580107800,3130000,3
1580251800,3125000,1
1580589000,3590000,1
1580592600,5740292,3
1580594400,6305219,4
1580596200,6790685,2
1580598000,5581370,1
1580665800,4250003,1
1580676600,4125001,2
1580678400,4125002,2
1580680200,4250004,1
1580682000,4242908,2
1580689200,4250004,1
1580799300,4000000,1
1580841900,4110000,1
1580937900,3909000,1
1581224700,3245535,1
1581282000,3345722,2
1581543600,3578777,1
1581545400,3535844,3
1581547200,3514378,2
1581594300,3575000,1
1581623700,3548999,1
1581663600,3539999,1
1582011000,4000000,1
1582012800,3740125,8
1582014600,3703000,7
1582034400,3990000,1
1582367700,3710000,2
1582397700,3561324,1
1582424700,3589000,9
1582463400,3589888,6
1582588800,3764781,2
1582589700,3764782,4
1582591200,3715589,7
1582591500,3764782,4
1582591800,3715589,7
1582592400,3695913,5
1582593600,3650000,3
1582593900,3695913,5
1582594200,3650000,3
1582619400,3631567,1
1582641000,3860000,1
1582643100,3733333,3
1582643400,3860000,1
1582643700,3670000,2
1582644300,3733333,3
1582644900,3670000,2
1582704600,3785000,1
1582737300,3700000,1
1582811700,3626367,1
1582816500,3577444,1
1582823100,3678896,1
1582848000,3675777,6
1582914600,3568000,1
1582999200,3920000,1
1583081400,3849998,1
1583190000,3710000,1
1583320800,3499888,1
1583343600,2990999,1
1583423700,3400000,1
1583458800,3524444,1
1583490300,3514666,1
1583640600,3400000,1
1583646000,3450000,1
1583653200,3339999,1
1583792700,3489999,6
1583798100,3473999,1
1583824800,3463999,1
1583839500,3361011,8
1583890800,3349000,1
1583980500,3290000,1
1583994900,3288000,1
1583998500,3225001,3
1584233700,3220454,11
1584296100,3250000,1
1584312600,3249000,1
1584423900,3267610,2
1584427500,3226670,2
1584577500,3292000,1
1584579600,3153500,2
1584581400,3015000,1
1584599700,3200000,1
1584605100,3249997,1
1584682200,3248000,1
1584684000,3174500,4
1584685800,3150001,3
1584742200,3246777,1
1584753300,3203525,2
1584755100,3185287,4
1584756900,3167050,2
1584771600,3236777,1
1584806700,3189009,2
1584846600,3308555,2
1584854100,3241515,2
1584855900,3170250,1
1584921600,3346319,5
1585016700,3847888,1
1585185900,3592500,2
1585213200,3610448,4
1585267200,3747888,1
1585274700,3747444,1
1585278300,3623333,3
1585280100,3607500,4
1585281900,3560000,3
1585352100,3700006,1
1585355700,3769995,1
1585474500,3701010,3
1585503600,3845000,1
1585514400,3752766,4
1585547400,3787725,4
1585617300,3750000,1
1585674600,3665962,6
1585764600,3613000,1
1585866900,3744962,6
1585979100,3899757,6
1585990200,3761777,5
1586139000,3620655,2
1586181000,3544443,1
1586191800,3543999,1
1586222700,3550000,1
1586310600,3702500,2
1586341500,4450000,1
1586343300,4640400,5
1586345100,4933272,22
1586346900,4935832,24
1586348700,4780000,8
1586362200,4500000,4
1586369400,4492000,4
1586387700,5159134,8
1586405700,6198772,10
1586407500,6105323,12
1586409300,5283906,9
1586411100,5211222,9
1586412900,5311000,2
1586425800,7499995,4
1586429400,7292000,1
1586445900,15505000,1
1586447700,14915349,8
1586449500,13662959,5
1586451300,11974607,6
1586456700,9203963,10
1586458500,9001155,17
1586460300,8697200,10
1586462100,8664000,3
1586463900,7000004,1
1586465700,6849002,2
1586467500,6399336,3
1586469300,6250004,2
1586474700,5420277,6
1586521200,6649999,1
1586526600,6521000,3
1586535600,6910000,1
1586541300,7237500,4
1586543100,7441110,9
1586544900,7422182,11
1586546700,7270669,6
1586550300,6500000,1
1586555700,5962250,4
1586557500,5875981,6
1586559300,5703445,2
1586568300,5874598,10
1586593500,6140669,1
1586667900,7722000,1
1586715300,7146500,2
1586717100,7097667,3
1586718900,7000003,1
1586720700,7162241,4
1586742300,7108000,6
1586744100,7107652,10
1586746200,7088707,5
1586748000,7015012,1
1586752200,7015015,3
1586754000,7015017,3
1586757900,7152499,2
1586788800,7688000,1
1586794200,7696969,2
1586797800,7766861,1
1586819400,7914944,7
1586823000,8340000,5
1586830200,8300000,6
1586832000,9358357,60
1586834100,9675156,59
1586835900,11900000,4
1586874300,10499987,1
1586885100,10699000,1
1586888700,10485500,2
1586910300,10624444,1
1586948400,9282000,15
1586952000,8996000,2
1586953800,8728666,6
1586955600,8595000,4
1586957400,7844000,1
1586959200,7810000,2
1586961300,7776000,1
1586973900,8945000,4
1586977500,8375001,2
1586979300,8694615,13
1586981100,8750416,12
1586982900,8662500,2
1586984700,8600000,1
1587003300,8450000,1
1587014100,8294997,2
1587033000,6335001,2
1587051300,5000000,2
1587105900,6615001,2
1587118500,6720000,1
1587120300,6420002,2
1587122100,6120004,1
1587178500,5979000,1
1587183900,5767690,1
1587196500,5737500,2
1587198300,5711500,4
1587200400,5684125,4
1587202200,5681100,5
1587204000,5680000,2
1587225900,5779555,1
1587227700,5738276,2
1587229500,5433500,2
1587231300,5170003,1
1587233100,5300008,1
1587234900,5250006,2
1587236700,5200005,1
1587238500,5150007,2
1587242100,5220011,5
1587243900,5237512,4
1587254700,5273037,7
1587256500,5260871,10
1587258300,5212181,8
1587260100,5200000,5
1587278400,5625000,3
1587303900,5900000,1
1587305700,5550052,2
1587318300,5599998,1
1587321900,5519111,1
1587329100,5765054,2
1587332700,5630111,3
1587336300,5642111,2
1587351000,5661301,2
1587382200,5625560,4
1587403800,5372002,2
1587407700,5363501,2
1587411300,5417977,5
1587418500,5344997,1
1587450900,5244656,1
1587541200,4942888,1
1587543000,4885046,3
1587544800,4856126,8
1587546600,4868108,7
1587548700,4898063,2
1587550500,4856126,1
1587579600,4757495,3
1587588600,4705467,8
1587594300,4750000,1
1587640500,3970495,1
1587671400,4557863,2
1587755400,4560975,4
1587812400,4433393,2
1587814200,4413305,3
1587825000,4493656,1
1587846900,4425325,6
1587918300,4188980,1
1587942000,4029750,4
1588065900,3994989,6
1588087800,3954989,1
1588104300,3932000,1
1588106100,3915571,7
1588107900,3912833,6
1588113300,3698000,1
1588115100,3600000,3
1588116900,3551001,2
1588168200,3749433,6
1588175400,3651669,7
1588177200,3645744,11
1588179000,3645696,5
1588180800,3686976,1
1588202700,3954000,1
1588204500,4031115,5
1588206300,4050394,4
1588215300,4169664,4
1588238700,4053998,5
1588284300,3946499,2
1588286100,3929749,4
1588287900,3913000,2
1588308000,3974999,1
1588393200,3936886,1
1588451700,3935950,4
1588477200,3844444,2
1588514100,3842222,1
1588526700,2083333,6
1588541100,3694000,1
1588552200,3684997,1
1588555800,3612000,1
1588596300,3797990,1
1588671300,3434807,3
1588673100,3416469,7
1588674900,3380343,18
1588676700,3373950,14
1588706100,3155000,2
1588758900,2984227,4
1588824600,3172174,4
1588848000,3130000,1
1589019000,3099997,4
1589115600,3098000,1
1589119200,3096995,2
1589124600,3090000,1
1589284200,3384545,1
1589302500,3384543,1
1589331300,3395409,6
1589424300,4319998,5
1589817900,4387989,3
1589819700,4409994,6
1589821500,4432000,3
1589897700,5174000,6
1590022800,5628166,2
1590064800,5499000,1
1590090000,5295589,3
1590115500,5360995,1
1590332700,5430669,2
1590341700,5499888,3
1590343800,5441616,4
1590345600,5266800,1
1590414300,5182000,1
1590534900,5723000,1
1590584400,8063115,9
1590586200,8028568,9
1590728400,6949849,1
1590847200,5745995,1
1590876300,5434444,1
1591006800,5392498,2
1591014000,5970880,3
