timestamp,avg,qty
1574974800,65829,5
1574977200,65472,8
1574977500,65442,9
1574978100,65472,8
1574980200,65205,1
1574982600,65213,6
1574983200,65213,6
1574983500,65183,7
1574985300,65183,7
1574985600,65183,7
1574986200,65189,2
1574986500,65183,7
1574987100,65377,1
1574987700,65189,2
1574988000,65189,2
1574988300,65377,1
1574988900,65189,2
1574989500,65127,3
1574990400,65395,3
1574994300,66587,10
1575005100,65005,1
1575007200,65005,1
1575012000,65205,1
1575018000,65764,4
1575019800,65374,17
1575021600,65255,20
1575023400,65255,20
1575023700,65275,8
1575029100,65255,3
1575038100,64599,3
1575051000,65205,3
1575058500,64105,4
1575062400,63777,11
1575073500,64661,8
1575077100,64166,7
1575079200,63588,5
1575081000,62759,5
1575081600,62759,5
1575081900,62759,5
1575082500,62759,5
1575083700,63104,8
1575086700,62208,7
1575088500,62317,10
1575090300,62209,4
1575092100,61123,1
1575093900,60201,1
1575094200,60201,1
1575095100,60201,1
1575095700,60201,2
1575102900,59193,5
1575103800,59255,3
1575104100,59193,5
1575104700,59255,3
1575108900,62724,3
1575109800,62724,3
1575110700,62724,3
1575111300,64599,8
1575112500,64599,8
1575112800,64599,8
1575113100,64599,8
1575113700,64599,10
1575114300,64599,2
1575114600,64599,10
1575114900,64599,2
1575121200,61281,5
1575128400,64000,2
1575129600,64000,2
1575129900,64000,5
1575130500,64146,7
1575132000,64204,5
1575133800,64122,32
1575134400,64093,31
1575142500,61382,10
1575155700,61068,9
1575159600,60407,2
1575173700,60411,1
1575175500,60411,1
1575200100,61132,15
1575204000,61300,8
1575204300,61203,14
1575204900,61241,5
1575205200,61300,8
1575205800,61241,5
1575206100,61173,7
1575206400,61241,5
1575206700,61173,7
1575207000,61329,18
1575207300,61173,7
1575207600,61329,18
1575213300,61557,5
1575216900,62500,2
1575217800,62500,2
1575219900,62500,1
1575224400,61398,11
1575232200,61500,20
1575238800,62107,7
1575239100,61975,2
1575239400,62107,7
1575240600,61946,8
1575242700,61425,10
