timestamp,avg,qty
1575129600,1,1
1576114800,1,1
1576391700,1,1
1576548300,186,1
1577482500,374,1
1577650800,130,31
1577651700,130,31
1577652300,130,31
1577652600,130,31
1578615900,3,1
1578632700,330,5
1578758400,1,200
1579747500,999,2
1580040300,356,2
1583292600,135,2
1583294400,135,2
1583296200,135,1
1585868700,250,1
1585870500,250,1
1586122500,261,1
1586937600,135,293
1587094800,467,2
1587458400,378,1
1588246200,135,1
1589067600,135,1
1589170200,300,1
1589204700,300,1
1589222700,367,66
1589696100,300,232
1589915700,305,2
1589928300,300,1
1590177000,300,1
1590542100,300,1
1590646200,373,1
1590713700,373,1
1591285800,135,66
1591535400,135,1
1591988700,135,1
1592277900,343,1
1593792900,159,20
1596751500,429,1
1597351500,574,1
1599094200,319,1
1600198800,361,3
1601148000,336,4
1602346500,426,1
1604543100,626,1
1605585900,125,1
1609962300,384,1
1611042000,402,236
1612514700,1,24
