timestamp,avg,qty
1575049200,3,1750
1575052800,4,100
1575064200,3,375
1575068100,2,750
1575086700,2,375
1575147900,3,375
1575156900,2,555
1575243600,5,480
1575246300,4,813
1575261000,3,375
1575291900,4,2772
1575300900,5,1020
1575375600,3,879
1575379200,4,375
1575393600,2,2340
1575408000,2,330
1575442500,4,3120
1575442800,4,240
1575445800,3,750
1575446100,3,375
1575446400,3,750
1575475500,9,1000
1575528300,4,101
1575579600,8,375
1575584100,2,1875
1575585000,2,1875
1575585900,2,1875
1575586500,2,1875
1575587100,2,1875
1575590700,2,375
1575593100,2,3675
1575593700,2,675
1575594000,2,3675
1575594300,3,3300
1575602400,2,375
1575687300,2,375
1575735000,4,435
1575736200,4,435
1575736500,4,435
1575736800,4,435
1575740400,3,375
1575740700,3,375
1575741000,3,375
1575741300,3,375
1575741900,3,375
1575781800,7,180
1575853200,2,375
1575875400,3,3135
1575928200,3,20388
1575929700,3,17043
1575930000,3,20388
1575930300,3,855
1575963000,3,4125
1575963300,3,4125
1575963600,3,4125
1575979800,4,5486
1576005900,6,379
1576059900,4,1740
1576097700,5,58
1576251300,3,300
1576289100,4,1860
1576340400,5,31
1576554000,5,360
1576586400,5,2275
1576602600,8,4775
1576613700,5,750
1576631700,4,7100
1576728600,9,1125
1576729500,9,1125
1576729800,9,1125
1576730100,9,1125
1576731900,9,1125
1576878600,5,3090
1576971600,4,375
1577026500,5,1250
1577088300,4,1
1577118300,8,2735
1577357400,5,375
1577360100,5,375
1577360400,5,375
1577360700,5,375
1577472300,3,375
1577771700,3,1534
1577772600,3,616
1577772900,3,1534
1577773200,3,1531
1577908200,8,1125
1577919300,3,1665
1577943300,3,1
1578068400,3,1743
1578088500,3,375
1578097500,4,1323
1578181800,5,750
1578367800,4,120
1578376800,2,2261
1578490500,3,3001
1578507000,3,62
1578530400,3,400
1578557100,3,60
1578590100,3,375
1578615900,3,375
1578726300,2,1620
1579149300,3,615
1579207500,3,393
1579209300,3,693
1579216800,3,750
1579361700,3,435
1579589700,4,180
1579814100,1,300
1580012400,3,1264
1580062500,3,60
1580069700,3,5100
1580080500,3,9741
1580439300,4,60
1580561400,3,21
1580612700,3,1
1580810400,3,7881
1581005700,4,2
1581031200,3,399
1581056700,3,750
1581108900,3,1980
1581145500,4,1709
1581201000,3,840
1581212100,3,388
1581226500,3,48
1581505500,3,120
1581536400,3,1920
1581848700,3,1320
1582070700,1,375
1582222800,3,3
1582233900,3,375
1582517700,3,120
1582785000,14,1740
1582977000,3,16
1583090700,6,119
1583130300,3,60
1583208900,19,1654
1583238600,6,720
1583247300,7,555
1583325000,4,375
1583325600,4,375
1583325900,4,375
1583326800,4,375
1583370000,3,1962
1583578500,4,100
1583590800,3,180
1583646000,5,1680
1583688300,2,2168
1583789100,3,120
1583796300,1,1
1583804700,3,375
1583850600,3,2940
1583905800,4,12
1583946300,4,2124
1584120600,3,7000
1584182400,3,1575
1584283200,2,4075
1584314400,3,375
1584508200,3,555
1584579600,3,900
1584601500,4,375
1584640200,3,721
1584652800,3,375
1584726000,3,1029
1584801300,3,2375
1584813900,3,1770
1584841200,4,120
1584921600,4,412
1584927000,4,1440
1584930900,3,2172
1584943500,3,420
1585013100,2,5970
1585067400,3,375
1585083600,3,375
1585121700,3,2400
1585176900,2,6263
1585317300,3,1
