timestamp,avg,qty
1575179400,4446,1
1575184800,6565,1
1575189000,4446,1
1575232200,7237,1
1575390000,25999,2
1575502200,4400,1
1575674400,4224,1
1575737100,2195,1
1575744300,2299,1
1575904500,4249,1
1575924900,2000,1
1575952500,4249,1
1576051800,1,1
1576090500,4249,1
1576284600,1,1
1576440900,2970,1
1576446600,6000,1
1576452000,4472,1
1576470300,12500,1
1576689000,6000,1
1576815000,4249,1
1576942200,1,1
1577017500,966,1
1577030100,850,1
1577135400,3964,1
1577380800,3900,1
1577497200,3069,1
1577534100,4172,1
1577565600,1,2
1577633400,4172,1
1577802900,3230,1
1577945100,2,1
1578156300,10500,1
1578339300,5787,1
1578348300,3661,1
1578619800,1,1
1578657600,250,2
1578659700,500,1
1578787800,1,1
1578866100,3853,1
1579595100,4200,1
1579723500,4017,1
1579754700,3817,1
1579815900,2300,1
1579926000,2809,1
1580185200,3500,1
1580260800,3000,1
1580327400,3817,1
1580439300,4017,1
1580565300,4098,1
1580742900,2669,1
1580777400,3474,1
1580788200,3848,1
1580841900,3136,1
1580847300,3848,1
1581175500,3765,30
1581188400,4000,1
1581355500,2556,1
1581359100,3301,1
1581362700,3656,1
1581402600,3848,1
1581440100,3656,1
1581499800,4000,1
1581534600,4050,1
1581698700,2000,1
1581920400,10000,1
1581965100,3022,1
1581978000,500,1
1581987000,2728,1
1582047600,3709,1
1582060200,3348,1
1582289100,3904,1
1582322700,3718,21
1582342500,2007,1
1582403100,3709,1
1582413900,3904,55
1582461600,3709,1
1582921800,3000,1
1582947900,825,1
1582955400,3441,1
1582968000,2951,1
1582989000,3812,1
1583085300,3441,1
1583096100,3898,8
1583097900,4032,9
1583099700,5106,1
1583601000,3000,1
1583646000,3441,1
1583776200,3812,1
1583821200,3106,1
1583933400,3100,1
1583967900,2759,1
1584164400,4200,1
1584321900,3750,1
1584545100,2491,1
1584592200,4000,1
1584831900,3192,2
1584837600,3385,2
1584930900,3720,1
1584984000,3534,1
1585083600,3719,1
1585178700,2881,1
1585189500,3032,1
1585319100,3000,1
1585588200,2471,1
1585656300,3719,1
1585722000,3420,1
1585737000,3719,1
1585992000,7000,1
1586208300,3600,1
1586284800,2516,1
1586288400,4593,2
1586407500,7000,1
1586493000,2999,1
1586502900,2295,1
1586553900,3635,1
1586597100,2963,1
1586620500,3544,2
1586749800,3637,7
1586752200,2963,1
1586834100,3635,1
1587224100,4000,1
1587629100,4500,1
1587684300,3281,1
1587691500,3634,1
1587742800,4500,1
1587770100,2770,1
1587793800,4205,1
1587808800,2915,1
1587826800,3068,1
1587923700,3000,1
1587967500,2915,1
1588093500,3000,1
1588109700,3576,1
1588302300,3398,1
1588387800,3575,1
1588458900,2376,1
1588684200,3500,30
1588811700,3419,1
1588864500,3000,1
1588917000,3249,1
1588951800,3241,1
1589044500,3400,1
1589181000,3249,1
1589201100,2933,1
1589259000,3397,40
1589340600,3301,1
1589660100,2690,1
1589705400,3474,1
1589734500,3301,1
1589901300,3136,1
1590291300,2114,1
1590450600,1090,1
1590631500,2465,1
1590721200,2114,1
1590746700,3024,1
1590769200,3350,1
1590945000,3191,1
1591032300,1039,1
1591053900,2737,1
1591108500,3191,1
1591389600,3032,1
1591393200,3274,6
1591418400,3191,1
1591566300,3274,2
1591568100,3358,1
1591657500,5111,1
1591735500,3191,1
1591957800,3662,1
1592068500,5111,1
1592538000,3322,1
1592586900,3156,1
1592832900,5111,1
1592936400,2618,1
1592996700,3051,1
1593421500,5111,1
1593583800,3726,20
1593588600,3150,1
1593880500,2899,1
1594208400,2958,1
1594264200,5111,1
1594499400,3276,1
1594504800,5111,1
1594726800,3113,1
1595023500,2289,1
1595127000,3110,1
1595172300,1064,1
1595366100,2955,1
1595951700,2672,1
1595969100,2959,1
1596096000,2812,1
1596234000,2959,1
1596469200,2539,1
1596594000,5111,1
1596981000,2812,1
1596990000,2737,1
1597238400,2500,1
1597521300,2601,1
1597566600,2348,1
1597619400,2601,1
1597703400,2881,1
1597719900,1819,1
1597822800,2737,1
1597940700,1729,1
1598038200,2737,1
1598152800,2881,1
1598213400,2242,1
1598247600,3032,1
1598561700,2751,1
1598927100,2241,1
1598999700,5111,1
1599521700,2778,1
1599584400,5111,1
1599881400,2508,1
1600009800,4111,2
1600099200,5111,1
1600139400,4111,10
1600184700,5111,1
1600634100,2523,1
1601080800,2963,1
1601084400,3429,1
1601258700,2963,1
1601439600,5111,1
1601753100,2815,1
1602334200,5111,1
1602647700,2866,1
1602959700,5111,1
1603130700,2587,1
1604247000,2804,1
1604355900,2500,10
1604785800,4076,1
1604802300,3044,1
1604804100,3145,3
1604805900,3196,2
1605468600,1488,1
1606200900,2972,1
1606288200,8698,1
1606420800,2683,1
1606487100,2972,1
1606549500,10000,1
1607211000,2666,1
1608240300,15000,1
1608291600,4162,1
1608386400,1609,1
1608566700,3125,1
1608958200,831,1
1609726200,24995,1
1610680200,3144,1
1610720400,2199,1
1611533700,2000,5
1611720000,1700,1
1612146300,2000,1
1612160700,2330,1
1612173600,3166,1
1612282500,1800,2
1612801200,755,3
1612852200,3000,1
1612910400,755,13
