timestamp,avg,qty
1575025200,4000,1
1575027300,1733,3
1575029100,600,2
1575062100,3999,11
1575149700,1089,1
1575183000,1323,4
1575204900,1999,1
1575222300,1323,2
1575252000,1999,1
1575329400,3999,1
1575342600,600,1
1575404700,3000,1
1575446700,3900,1
1575455700,3890,1
1575477300,3900,1
1575503400,3800,1
1575516900,3900,1
1575555300,3895,1
1575561600,747,97
1575566100,3900,1
1575582600,2000,19
1575654600,3850,2
1575744300,3900,1
1575759600,3000,1
1575861900,709,1
1575872400,600,47
1575987300,3000,1
1576002600,610,1
1576017000,600,2
1576030500,3000,1
1576033500,1671,1
1576057800,600,17
1576195200,3900,1
1576253700,600,3
1576289700,3000,1
1576431900,634,1
1576440900,3100,1
1576466700,634,1
1576481100,600,2
1576490400,634,1
1576501200,600,10
1576544700,617,2
1576545000,634,1
1576545300,617,2
1576545900,634,1
1576548300,600,22
1576551900,606,5
1576552200,608,4
1576552800,606,5
1576553100,608,4
1576554000,606,5
1576554600,611,3
1576554900,606,5
1576556100,600,2
1576583100,604,8
1576584900,600,1
1576612200,3100,1
1576626300,3900,1
1576674600,600,2
1576679100,3100,1
1576679700,600,1
1576680000,827,11
1576680600,3100,1
1576680900,827,11
1576683000,600,10
1576692600,1016,6
1576694400,912,8
1576695900,877,9
1576696200,912,8
1576696500,600,1
1576696800,877,9
1576697400,600,1
1576727700,885,1
1576783800,600,2
1576800300,1850,2
1576800900,1433,3
1576801800,1850,2
1576802100,3100,1
1576807500,600,2
1576876500,604,21
1576878600,646,2
1576882200,600,1
1576913100,646,1
1576968000,635,12
1576973400,600,3
1576999200,3100,1
1577030100,646,1
1577085000,3100,1
1577118300,761,31
1577118900,3100,2
1577119200,761,31
1577121000,600,29
1577121300,761,31
1577122200,600,29
1577157300,3100,1
1577198700,3900,1
1577469900,3500,1
1577555400,3900,1
1577571000,631,1
1577604300,3500,1
1577691900,664,20
1577692800,724,21
1577693100,664,20
1577693400,724,21
1577693700,1925,2
1577711700,3300,4
1577757300,655,1
1577758500,1977,2
1577758800,655,1
1577759100,1977,2
1577759700,1288,4
1577760900,1500,3
1577761200,1288,4
1577762100,1500,3
1577762400,600,2
1577770500,1000,47
1577906400,3900,1
1577911800,2000,1
1577956200,3600,1
1577982300,1731,6
1577987700,3543,5
1577988300,3552,6
1577988900,3543,5
1577989200,3552,6
1578019500,689,1
1578083100,700,20
1578165000,2000,1
1578191100,3600,1
1578307800,2224,1
1578366000,629,1
1578391200,2224,1
1578448200,732,1
1578455400,2224,10
1578466500,2220,1
1578580200,732,1
1578584100,686,1
