timestamp,avg,qty
1574974800,1985,1
1574975400,1996,2
1574977200,2007,1
1574977500,1996,2
1574978100,2007,1
1574982600,2010,17
1574991000,2003,1
1574997900,2020,2
1575000000,2037,2
1575052800,2027,2
1575058500,2007,1
1575060600,2020,4
1575062400,2024,3
1575073500,2027,1
1575075300,2058,2
1575077100,2089,1
1575088500,2047,1
1575095700,2089,1
1575105300,2035,1
1575108900,2047,1
1575115800,2025,1
1575120300,2087,2
1575126300,2062,1
1575126900,2044,2
1575127200,2062,1
1575127800,2044,2
1575129900,2027,1
1575135900,2080,2
1575146100,2041,31
1575148800,2080,1
1575149100,2041,31
1575149400,2080,1
1575155700,2025,2
1575164700,2000,1
1575171900,2012,2
1575173700,2025,1
1575179400,2000,1
1575184800,2008,1
1575187500,2045,1
1575188100,2008,1
1575188400,2045,1
1575196500,2049,1
1575210600,2009,1
1575214500,2010,1
1575214800,2009,2
1575215100,2010,1
1575220500,2028,1
1575230100,2024,1
1575232200,2021,2
1575232800,2024,1
1575233400,2019,1
1575255600,1972,1
1575257400,1982,2
1575259200,1993,1
1575285300,2108,1
1575291900,2028,1
1575293700,2029,301
1575294000,2028,1
1575294300,2029,301
1575294600,2014,3977
1575294900,2029,301
1575295500,2014,5352
1575297600,2013,5001
1575298800,2015,162
1575300300,2013,1
1575303300,2056,2
1575306300,2040,503
1575306600,2039,702
1575308100,2027,1302
1575308400,2039,701
1575309000,2027,1302
1575309300,2039,701
1575309600,2013,601
1575326400,2007,1
1575328200,2010,2
1575328500,2007,1
1575329100,2010,2
1575330300,2013,1
1575330900,2010,2
1575331200,2013,1
1575331800,2007,585
1575332100,2013,1
1575332400,2007,585
1575338700,2013,1
1575342600,2002,1
1575347700,2036,1
1575351600,2031,1
1575373800,2006,2
1575395400,2088,1
1575411900,2149,1
1575414000,2092,2
1575415500,2036,1
1575420900,2099,2
1575422700,2078,3
1575423000,2067,2
1575423600,2078,3
1575424500,2067,2
1575424800,2036,1
1575433500,2060,62
1575434700,2048,106
1575435000,2060,62
1575435300,2048,106
1575435900,2058,228
1575437700,2073,252
1575438300,2061,350
1575438900,2073,252
1575439200,2074,306
1575440400,2077,382
1575440700,2074,306
1575441000,2087,399
1575442800,2085,1544
1575446700,2084,1
1575464700,2066,2
1575474600,2048,1
1575477900,2043,2
1575478500,2048,1
