timestamp,avg,qty
1575153300,18995,3
1575338700,21390,1
1575382800,18340,1
1575408000,20321,1
1575498000,20000,1
1575499200,20000,1
1575499500,20000,1
1575501000,25130,3
1575501300,23500,2
1575501900,25130,3
1575504300,24195,2
1575509100,27000,2
1575770100,23767,1
1576546500,20874,1
1577398800,33000,1
1577532000,23590,1
1577547000,23590,1
1577982300,34000,4
1578000900,34000,4
1578039300,18123,1
1578059400,31048,1
1578155400,20001,1
1578156300,20001,1
1578156600,20001,1
1578157800,25000,1
1578158100,20001,1
1578158400,25000,1
1578168600,34000,35
1578172800,33990,1
1578222000,23271,1
1578346500,33990,36
1578681900,22802,1
1578857100,26090,1
1578858900,26090,1
1578860700,33900,5
1579034400,30000,9
1579098000,19675,1
1579202100,19675,1
1579203900,19838,2
1579205700,20001,1
1579224000,27000,1
1579396500,20676,2
1579428300,21927,1
1579430100,21927,1
1579472700,28053,1
1579481700,19277,1
1579671000,21007,1
1579762200,18810,1
1579806900,19675,1
1579889700,19622,2
1579904400,19700,1
1579983000,19626,1
1580086200,22169,1
1580097000,18123,1
1580102400,18005,1
1580460900,19626,1
1580464500,18123,1
1580499000,18123,1
1580696400,20364,1
1580707500,19626,1
1580766600,18810,1
1580768400,18810,1
1581000300,25000,1
1581202800,19170,1
1581380700,19170,1
1581459900,22085,2
1581474300,21459,1
1581476100,20314,2
1581477900,19170,1
1581520200,31569,1
1581540000,31569,1
1581729600,20095,1
1581730200,20095,1
1581730500,20095,1
1581730800,20095,1
1581762600,24546,1
1582014600,25489,1
1582410000,21000,1
1582494600,22000,1
1582524900,22692,2
1582526400,22692,2
1582676400,21989,1
1583046900,22193,1
1583090700,61813,1
1583201400,20000,1
1583290800,22021,1
1583291400,22021,1
1583291700,22021,1
1583292300,22021,1
1583343600,20000,1
1583890800,21828,1
1583948100,23250,1
1584124200,24140,1
1584147900,21828,1
1584230100,21215,1
1584286800,21000,1
1584389700,18123,1
1584852300,22675,1
1585061700,15818,2
1585118100,23779,1
1585178700,19170,1
1585180500,19170,1
1585407000,21183,1
1585613700,21828,1
1585683600,18756,2
1585691100,20099,1
1585742400,17133,3
1585863000,15500,1
1585875900,18000,1
1585938900,21105,1
1585940700,20577,2
1586066100,18000,1
1586126100,20515,1
1586288400,19136,1
1586550300,11000,1
1586680800,18500,1
1586824800,15200,1
1586997600,15416,1
1586999400,15416,1
1587142200,19718,2
1587269400,15416,1
1587327300,16000,1
1587329100,16000,2
1587330900,20000,2
1587332700,24000,2
1587334500,24000,1
1587431100,22541,1
1587610500,19464,1
1588065900,18568,1
1588157100,17718,1
1588402500,18950,1
1588711500,18879,1
1588906200,18950,1
1589113800,17721,1
1589291700,17721,1
1589380500,17250,1
1589574900,18789,1
1589616600,18250,1
1589931900,19064,1
1589955600,19000,1
1589957400,19000,1
1590068400,19183,1
1590182400,20151,3
1590704700,19733,1
1590737400,20000,1
1590744900,21754,1
1590746700,21754,1
1590750000,20000,1
1590828900,18500,1
1590910500,20000,1
1591568100,15093,1
1591733700,26000,23
1591808700,17750,1
1592076000,17750,1
1592170500,18776,1
1592529000,17345,1
1593304800,17400,2
1593754200,18000,1
1595727000,20939,2
1595909400,20200,2
1595981700,25271,1
1596024600,17750,1
1596701700,22318,1
1596997200,23000,1
1597057500,23000,1
1597071900,20307,2
1597073700,20307,2
1597075500,21589,1
1597287900,20000,1
1597891800,21079,1
1598481900,22999,1
1598553300,26000,1
1598646600,25000,1
1599413100,30000,1
1599909900,30600,1
1600311600,23500,1
1600387500,23500,1
1600434600,24000,1
1600644900,30000,1
1600826700,30000,1
1600983300,25905,1
1601427900,27578,1
1601960100,24106,2
1601971200,24100,1
1601972100,24100,1
1601972700,24100,1
1602194700,24000,1
1602439500,23665,1
1602519900,23665,1
1603169700,24000,1
1603381200,14042,2
1603395600,24000,1
1603467600,23081,1
1603469400,23081,1
1603704300,23370,1
1603706100,23370,1
1603742700,27300,1
1603746300,22312,1
1603748100,22312,1
1603787100,27300,10
1604075700,24258,1
1604669100,24000,1
1604691000,22600,4
1605090900,24260,1
1605305400,29000,21
1605359700,34000,9
1605403500,20999,1
1605474600,30500,2
1605475500,30500,2
1605501000,30000,1
1605620700,29998,16
1605903300,29995,5
1605905100,29995,5
1605906600,29995,1
1605908700,29995,1
1605910500,29995,1
1605912300,29995,1
1606030200,29996,14
1606605000,24534,1
1607064000,22571,1
1607444400,26600,24
1607446200,26600,28
1607448000,26600,4
1607501100,26600,28
1607502900,26600,28
1607703000,23630,1
1607893500,28000,4
1607951400,28000,9
1608058500,28500,9
1608174600,22361,1
1608713400,21100,1
1608876300,22881,1
1608979800,26900,6
1608990900,26900,3
1609185900,25578,1
1609193100,19100,1
1609276800,26900,5
1609325400,26800,8
1609432800,19101,1
1609700700,27900,9
1609806000,19100,1
1609807800,19100,1
1609860300,22719,1
1609868700,19100,1
1609870500,20762,8
1609872300,21000,7
1610218200,21584,1
1610396700,12651,3
1610589900,18411,1
1610819400,17000,1
1610880000,16800,1
1610922300,19243,1
1612329600,17744,1
1612441200,19699,1
1612750500,20124,1
1612778100,25681,1
1613070000,20124,1
1613099100,21589,1
