timestamp,avg,qty
1575005100,16798,1
1575045300,17682,1
1575049200,16798,1
1575056700,24877,1
1575069900,15959,1
1575082800,24877,1
1575120900,17743,1
1575123000,17299,2
1575123600,17743,2
1575123900,17299,2
1575126300,16856,1
1575129600,24877,1
1575142500,17871,2
1575147900,17743,6
1575155700,18000,1
1575165000,16014,1
1575171900,17743,1
1575173700,17963,7
1575175500,18000,7
1575189000,16856,1
1575192900,18000,1
1575213300,16435,2
1575213600,16014,1
1575213900,16435,2
1575215100,16871,3
1575215700,16435,2
1575216000,17299,2
1575216600,16871,3
1575216900,17743,1
1575217200,17299,2
1575217800,17743,1
1575219900,16294,3
1575221400,18440,4
1575223200,24877,1
1575223800,18440,4
1575224100,24877,1
1575259200,21985,3
1575261000,22708,4
1575262800,24877,1
1575282600,17000,278
1575284400,16999,279
1575286200,16805,1
1575290100,17454,1
1575303900,20000,2
1575327900,18573,1
1575364200,24877,4
1575379200,20476,1
1575397500,18573,1
1575410400,19501,1
1575415500,20000,5
1575420900,18848,2
1575423000,17697,1
1575423600,18848,2
1575424500,17697,1
1575424800,20000,1
1575488100,17675,4
1575492000,17899,1
1575495000,17849,2
1575496200,17800,1
1575511800,17899,1
1575520200,17452,2
1575521100,17303,3
1575524400,17601,3
1575525000,17899,2
1575527400,17005,1
1575528000,17899,1
1575528300,17005,1
1575529200,17452,2
1575529500,17005,1
1575529800,17452,2
1575531900,17899,1
1575536400,18692,1
1575556200,17005,1
1575561600,18690,1
1575574200,17005,1
1575577800,18261,4
1575578400,18680,3
1575593100,18500,1
1575605700,25000,4
1575615600,17899,1
1575622500,17601,6
1575623100,17899,4
1575623400,17601,6
1575623700,17287,7
1575625200,17301,8
1575627000,17400,6
1575645600,18450,1
1575657600,18117,6
1575658500,18168,11
1575658800,18117,6
1575659400,18168,11
1575661800,18174,2
1575662400,17899,1
1575662700,18174,2
1575663000,17899,1
1575669000,18450,2
1575674400,17005,1
1575678000,17452,2
1575680100,17899,1
1575682200,17005,1
1575689100,17899,1
1575724500,17888,1
1575729300,17441,2
1575729600,17888,1
1575729900,17441,2
1575731700,16994,1
1575732300,17441,2
1575740400,16994,2
1575746100,16711,3
1575747900,18048,13
1575748200,17973,14
1575749100,18048,13
1575749400,17973,14
1575750000,16994,1
1575751200,18317,11
1575751500,16994,2
1575786000,25000,1
1575822000,16145,1
1575840000,16994,1
1575843600,16145,1
1575851400,16994,1
1575864600,17888,1
1575870300,16994,1
1575882300,16428,3
1575885900,17000,1
1575902100,18000,1
1575909600,17287,1
1575910200,17643,2
1575910500,17287,1
1575911100,17643,2
1575912900,18000,1
1575913200,17643,2
1575913500,18000,1
1575929700,17287,1
1575932100,17643,2
1575933900,18000,1
1575944400,21500,2
1575981600,17995,6
1575987300,17244,1
1575996300,17975,1
1575999900,17287,1
1576000500,17975,1
1576000800,17287,1
1576001400,17631,2
1576005900,17287,1
1576012500,17985,1
1576044300,25000,2
1576050000,17945,2
1576089300,17287,1
1576092000,21143,2
1576093200,25000,1
1576131900,17366,1
1576163100,18211,3
1576169400,17788,2
1576172400,17366,1
1576172700,17788,2
1576173300,17366,1
1576174500,18170,21
1576180200,18211,1
1576188300,18199,1
1576213500,18211,1
1576240500,17000,129
1576246200,18211,1
1576248900,20474,3
1576249200,18211,2
1576249500,20474,3
1576249800,21605,2
1576251300,25000,1
1576284600,20367,2
1576284900,22500,1
1576285800,20367,2
1576289100,22500,1
1576318500,22274,3
1576333500,18460,1
1576346100,23270,2
1576393500,17000,88
1576410000,17581,1
1576435500,23270,1
1576437300,20425,2
1576440900,23270,1
1576444800,20352,1
1576448400,23270,1
1576450200,20425,2
1576452000,17581,1
1576457400,22437,1
1576476600,21000,1
1576486500,20500,10
1576532100,22300,1
1576541100,17892,1
1576568700,18500,1
1576592400,20000,1
1576593600,19722,2
1576596000,19814,3
1576597200,20000,2
1576597500,19814,3
1576597800,20000,2
1576603200,17850,1
1576678500,17777,1
1576745700,17850,1
1576747200,14925,2
1576749000,12000,1
1576765800,17777,1
1576773000,17582,4
1576774800,17517,3
