timestamp,avg,qty
1574985300,2346,100
1574991000,2480,100
1574997900,2370,15
1575001500,2495,204
1575003600,2498,200
1575060600,4844,947
1575062400,4851,993
1575064200,5000,53
1575101400,3000,90
1575175200,2995,120
1575190200,2999,130
1575192900,2990,150
1575193500,2999,130
1575194100,2990,150
1575227100,2461,100
1575250200,2499,30
1575253800,2500,100
1575293700,2256,100
1575312300,2840,100
1575327900,2799,30
1575360900,2600,30
1575386400,2599,20
1575433500,2587,40
1575483300,2510,60
1575489900,2542,140
1575492000,2555,100
1575537300,2579,130
1575542100,2580,50
1575542700,2579,180
1575543000,2580,190
1575583200,2454,10
1575603300,2571,50
1575607200,2577,30
1575615600,2576,28
1575646500,2450,10
1575678000,2574,1
1575700800,2999,300
1575720600,2501,49
1575760800,2300,200
1575814200,2157,5
1575829500,2280,100
1575834900,2300,400
1575905700,2299,50
1575912900,2380,100
1575915000,2372,200
1575915600,2375,300
1575915900,2372,200
1575916800,2375,300
1575917400,2372,200
1575918000,2389,350
1575918300,2372,200
1575918600,2389,350
1575918900,2398,250
1575920400,2411,150
1575921300,2386,50
1575921600,2411,150
1575922200,2386,50
1575939900,2505,20
1575953700,2504,30
1575959700,2327,50
1575960600,2317,42
1575960900,2327,50
1575961200,2347,80
1575963000,2380,30
1575963300,2347,80
1575963600,2380,30
1575965400,2450,200
1575987600,2449,30
1575990900,2444,304
1575991500,2445,364
1575994500,2449,92
1575994800,2445,366
1575995100,2449,2
1576001400,2343,100
1576007100,2349,200
1576027200,2527,100
1576033500,2430,200
1576044300,2799,40
1576089300,2288,48
1576108200,2570,100
1576109100,2659,200
1576109700,2570,100
1576110000,2659,200
1576111200,2749,100
1576113900,2254,8
1576117200,2680,58
1576117500,2749,50
1576118100,2680,58
1576118400,2749,50
1576147500,2254,21
1576152000,2739,203
1576164300,2671,50
1576173000,2700,500
1576184700,2724,50
1576185300,2434,130
1576188300,2254,80
1576197300,2398,100
1576197600,2254,74
1576197900,2398,100
1576199700,2254,40
1576207200,2591,30
1576209600,2645,50
1576210800,2725,20
1576253700,2714,60
1576286700,2392,200
1576293300,2427,500
1576297800,2482,700
1576301400,2562,60
1576302000,2482,700
1576302300,2562,60
1576377000,2798,200
1576391700,2693,140
1576393500,2635,90
1576397100,2269,14
1576415400,2599,100
1576439100,2607,402
1576440900,2633,637
1576443000,2677,598
1576461000,2503,2000
1576466700,2686,568
1576467000,2678,537
1576467300,2686,568
1576468500,2699,637
1576470300,2810,100
1576550100,2576,100
1576557300,2578,400
1576559400,2581,200
1576564800,2690,200
1576586400,2573,80
1576588200,2639,580
1576590300,2650,500
1576600800,2658,100
1576637100,2331,100
1576654200,2549,500
1576679100,2526,110
1576680000,2480,300
1576680600,2526,110
1576680900,2480,300
1576683000,2454,190
1576684800,2330,100
1576692300,2332,50
1576729500,2395,200
1576754700,2475,100
1576769100,2464,60
1576770900,2470,130
1576773000,2475,110
1576778400,2408,50
1576793100,2245,40
1576807500,2065,149
1576811100,2408,200
1576812900,2271,500
1576815000,2180,300
1576829700,2297,100
1576842000,2324,60
1576844100,2314,63
1576845900,2056,233
1576849500,2324,1
1576851300,2224,101
1576853100,2223,100
1576866300,2214,20
1576874700,2435,300
1576909500,2434,50
1576926000,2215,11
1576927800,2425,119
1576929600,2447,163
