timestamp,avg,qty
1575068100,4981,100
1575250500,5423,20
1575379200,4896,6
1575571800,5085,1
1575858600,3936,10
1575867600,4415,63
1576088400,4164,3
1576309500,4216,21
1576342200,4236,9
1576395300,4458,16
1576433700,3824,8
1576435500,3881,11
1576437300,4035,3
1576440900,4692,20
1576452000,4926,3
1576556100,4107,20
1576615500,3616,4
1576617300,3708,8
1576619400,3801,4
1576655400,4211,10
1577026500,4696,100
1577059500,4462,1
1577132700,4599,43
1577249700,4028,9
1577311500,4696,1
1577373600,4462,6
1577377200,4493,23
1577377500,4500,19
1577377800,4493,23
1577378400,4500,19
1577378700,4493,23
1577379000,4500,19
1577388300,4479,4
1577469900,4928,397
1577471700,4962,422
1577473500,5500,25
1577722800,4476,62
1577797200,4120,3
1577811900,4804,5
1577948700,3914,1
1578075600,5044,3
1578083100,5296,4
1578086700,5044,7
1578088500,5246,46
1578090000,5374,58
1578091800,5560,19
1578311400,5005,2
1578344700,5097,10
1578522300,4648,4
1578553200,4053,51
1578578100,4268,100
1578608700,4223,30
1578663300,4554,70
1578763800,4180,10
1578932400,4583,1
1578960000,4572,100
1579119900,4276,20
1579127400,3450,8
1579218600,4340,10
1579236900,4481,12
1579542000,3917,20
1579571400,4123,4
1579620000,3883,30
1579631100,4287,30
1579732800,4083,100
1579819500,3921,27
1579911600,4119,100
1579968300,3642,20
1580062500,4317,285
1580190600,3804,4
1580232000,3997,110
1580244600,3804,1
1580432100,3694,85
1580779200,3635,100
1581034800,2011,30
1581099900,2688,19
1581607500,3659,64
1581625500,3241,70
1581761100,2910,1
1581799800,2905,6
1581916500,3256,100
1581962100,3255,10
1582251900,3147,70
1582265700,3145,1
1582347600,3033,46
1582417500,3192,1
1582605600,3186,1
1582770600,2926,2
1582845900,3242,6
1582899600,3059,27
1582930800,4134,2300
1583034000,2973,20
1583055900,3967,200
1583059800,3129,1
1583163600,3209,36
1583165100,3222,43
1583167500,3293,7
1583176500,3109,8
1583206800,3236,403
1583251200,3157,40
1583521500,3160,6
1583544900,2807,30
1583877900,2000,3
1583896800,2727,25
1583994900,4134,1
1584126000,2880,703
1584413100,3052,2
1584475500,3248,1
1584491700,2755,1
1584643800,3248,2
1584672900,3086,1
1584790200,4134,100
1585107300,3125,1
1585207500,3539,100
1585331700,3312,31
