timestamp,avg,qty
1574974800,5250000,1
1574987100,5150000,1
1574989500,5189999,2
1574991000,5229999,1
1574991600,5189999,2
1574991900,5229999,1
1575077100,5272971,8
1575130500,5247995,1
1575135900,5149995,1
1575144600,5140000,2
1575150600,5001000,7
1575153300,5100000,1
1575153600,5001000,7
1575153900,5100000,1
1575232200,5099996,1
1575246600,5125000,1
1575248100,5073501,2
1575250500,5022003,1
1575257400,5061334,3
1575259200,5078500,4
1575261000,5129999,1
1575263100,5032000,1
1575270300,5100000,1
1575270600,5054666,3
1575271200,5100000,1
1575397500,5001004,2
1575404700,5107400,1
1575432300,5050000,1
1575435900,5094444,1
1575496200,5038000,1
1575604800,4967420,1
1575629400,4924998,1
1575644100,4799995,1
1575689100,4674000,1
1575768300,4000000,1
1575792000,3889000,1
1575842100,3700000,1
1575856500,4389555,1
1575867600,4350000,1
1575888000,3870000,1
1575906600,3600000,2
1575921300,3687500,8
1576088400,4200000,1
1576097700,4035869,1
1576098000,4200000,1
1576098300,4035869,1
1576103700,4248282,1
1576112400,4200000,1
1576119000,4345000,1
1576144200,4050000,1
1576151700,4040000,1
1576168800,4200000,1
1576195200,4127500,1
1576351500,4250000,1
1576353300,4274500,2
1576355400,4299000,1
1576506600,4150000,1
1576508700,4170000,2
1576510200,4190000,1
1576568700,4134999,1
1576587300,4000000,1
1576588200,4002000,2
1576590300,4004000,1
1576590900,4002000,2
1576591800,4004000,1
1576608000,3989999,1
1576612200,3900072,3
1576658100,3929999,1
1576692300,3499111,1
1576695900,3420000,2
1576696200,3499111,1
1576696500,3420000,3
1576741500,3833999,1
1576812900,3750000,1
1576902300,3655000,2
1577008500,3649888,1
1577057700,3448000,2
1577058300,3495000,1
1577058900,3448000,2
1577059500,3432333,3
1577061000,3401000,2
1577100000,3344000,1
1577139600,2900000,1
1577198700,2800000,1
1577227500,2971999,2
1577318700,3000000,1
1577375400,2835000,1
1577477400,2824000,1
1577496600,3000000,1
1577513700,2950000,2
1577516100,2900001,2
1577572200,2990000,1
1577604300,2851637,1
1577641500,2830000,1
1577698500,2900000,1
1577742300,2820000,1
1577753400,2794995,1
1577763300,2799995,1
1577768100,2799990,1
1577817300,2793333,3
1577911800,2700000,1
1577930100,2760000,1
1577948700,2776876,1
1577981700,2699995,1
1577999100,2695000,2
1578013800,2586973,2
1578017400,2695378,1
1578093300,2465790,2
1578141600,2693996,2
1578156300,2355768,2
1578191100,2741998,1
1578221700,2735000,1
1578231300,2709054,1
1578243900,2740993,1
1578276900,2689995,1
1578337500,2650000,1
1578339900,2628334,3
1578340200,2650000,2
1578341100,2617501,2
1578342900,2585002,1
1578391200,2617000,1
1578438900,2599999,1
1578444300,2520000,1
1578479100,2599995,1
1578510300,2595000,1
1578532500,2589994,1
1578564600,2584995,1
1578619800,2582520,1
1578629100,2718449,1
1578663300,2582527,1
1578700500,2599994,1
1578711600,2718449,1
1578840600,2600000,1
1578862500,2570000,1
1578891900,2580000,1
1578893700,2577500,2
1578895800,2575000,1
1578897600,2599900,1
1579121700,2550000,1
1579154700,2559977,1
1579160400,2478000,1
1579216800,2529123,1
1579380000,2509987,1
1579400100,2468000,1
1579494600,2466985,1
1579498500,2419987,1
1579500300,2422493,2
1579502100,2425000,1
1579551300,2375000,1
1579575000,2450000,1
1579634700,2399999,1
1579680300,2398084,1
1579779300,2540000,1
1579784700,2658000,1
1579895100,2930000,1
1579995600,2749996,1
1580040300,2640200,5
1580084100,2420000,1
1580088000,2416434,1
1580093400,2583000,1
1580102400,2408217,2
1580115300,2416434,3
1580132100,2627999,1
1580205000,2663888,2
1580216700,2650647,1
1580219400,2500999,1
1580221200,2541999,2
1580223000,2583000,1
1580248200,2699999,1
1580251800,2775500,2
1580277000,2900000,1
1580332800,2658925,1
1580347200,2654321,1
1580356200,2541000,1
1580401500,2649997,5
1580406900,2645000,1
1580414100,2639976,1
1580421300,2630998,5
1580430300,2650000,1
1580435700,2639986,1
1580478900,2612399,1
1580490000,2633995,1
1580499000,2602000,1
1580563200,2700000,1
1580671200,2607497,1
1580707500,2650000,1
1580742900,2607000,1
1580804700,2587000,1
1580814300,2599184,1
1580841900,2559999,1
1580852700,2540000,1
1580881800,2538983,1
1580900100,2518000,1
1580919900,2514997,1
1581088800,2410652,3
1581098100,2494986,1
1581112500,2489000,1
1581123600,2488000,1
1581195600,2452000,1
1581210300,2439999,1
1581215700,2445000,1
1581222900,2519092,1
1581289200,2459660,1
1581339000,2435000,1
1581449100,2399997,1
1581474300,2418898,1
1581636300,2375000,1
1581649200,2350000,1
1581740700,2380000,1
1581775800,2385617,1
1581807300,2344596,1
1581825300,2339997,1
1581828600,2340878,3
1581828900,2341319,2
1581829200,2340878,3
1581829500,2341319,2
1581829800,2340878,3
1581830400,2341319,2
1581904500,2388579,2
1582007400,2227407,1
1582139100,1700000,1
1582174500,2189884,1
1582219200,2220000,1
1582245000,2133908,1
1582247100,2103969,3
1582247400,2133908,1
1582248000,2103969,3
1582248300,2089000,2
1582250100,2028000,1
1582250400,2089000,2
1582250700,2028000,1
1582265700,2189884,1
1582277700,2125000,1
1582311900,2032505,1
1582340700,2055000,1
1582364700,2150000,1
1582487400,1990000,1
1582488900,2025000,2
1582491000,2036666,3
1582491300,2060000,2
1582491600,2036666,3
1582491900,2060000,2
1582492200,2036666,3
1582492500,2060000,2
1582521900,2049000,1
1582557600,1998450,1
1582592400,1990000,1
1582613100,1959987,1
1582656000,1913901,1
1582665300,1950000,1
1582739700,1900000,1
1582776300,1890000,1
1582778100,1894432,9
1582779600,1894986,8
1582811700,1840000,1
1582850100,1839999,2
1582898100,1799988,1
1582901100,1799438,2
1582902000,1798888,1
1582902300,1799438,2
1582902900,1762279,2
1582905000,1725670,1
1582927500,1714986,1
1582946400,1724000,1
1582952400,1649987,1
1583003100,1699997,1
1583046900,1649987,1
1583090700,1646563,1
1583114400,1640000,1
1583125200,1549988,1
1583178300,1548998,1
1583234700,1500000,1
1583285100,1499987,1
1583290500,1499998,1
1583293200,1473340,3
1583293500,1499998,1
1583293800,1473340,3
1583294400,1460010,4
1583295900,1452013,5
1583296200,1460010,4
1583296800,1452013,5
1583297100,1420023,2
1583297400,1452013,5
1583297700,1420023,2
1583334600,1530000,1
1583427600,1546999,1
1583484600,1550000,1
1583600400,1544000,1
1583664900,1564985,1
1583703000,1540000,1
1583704800,1542000,2
1583706600,1544000,1
1583752200,1580000,1
1583787300,1600000,1
1583805900,1540000,1
1583847000,1539000,1
1583881500,1510000,1
1583916900,1488958,1
1583960700,1439996,1
1584057900,1460000,1
1584063300,1430000,1
1584166200,1519839,1
1584221100,1459007,1
1584224700,1400001,2
1584237300,1439600,5
1584239100,1499000,2
1584248400,1459000,1
1584268500,1445000,1
1584297900,1531956,1
1584305100,1497999,1
1584314400,1495000,1
1584318000,1494000,1
1584325500,1495000,1
1584332700,1494599,5
1584336600,1459007,1
1584413100,1500000,1
1584459000,1453000,1
1584488100,1587000,1
1584751500,1599432,1
1584756900,1698989,1
1584766200,1523269,1
1584925200,1561543,1
1584936300,1650000,1
1584985800,1626000,1
1585009500,1576000,1
1585013100,1597206,3
1585014900,1639620,1
1585050600,2315000,1
1585072800,1900000,1
1585076400,1899995,1
1585109100,1815000,1
1585169400,1773444,1
1585276500,1649988,1
1585283700,1657354,1
1585285500,1653671,2
1585287300,1649988,1
1585289100,1655000,1
1585319100,1654998,1
1585328100,1657354,1
1585346400,1645890,1
1585348200,1645945,2
1585350000,1646000,1
1585353900,1645000,1
1585428900,1619995,1
1585436100,1649888,1
1585449000,1600000,1
1585491000,1515321,8
1585523400,1590000,1
1585527000,1538000,1
1585623000,1560000,1
1585639800,1575000,1
1585729800,1568983,1
1585742400,1657354,1
1585823100,1784800,1
1585854000,1672000,1
1585857600,1606321,1
1585870500,1650000,2
1585874100,1649850,1
1585875900,1659425,2
1585877700,1669000,1
1585901700,1649000,1
1585924200,1640000,1
1585969800,1639000,1
1585973400,1660000,1
1586006400,1602617,1
1586021100,1602600,1
1586135400,1800000,1
1586148000,3365000,2
1586155200,1730000,1
1586160600,4500000,1
1586169900,2000000,1
1586211900,3898999,1
1586489400,2488888,1
1586584500,2150950,2
1586593500,2243675,1
1586647800,2180000,1
1586673300,2000000,1
1586686200,2150000,1
1586757900,2337985,1
1586812200,2139996,1
1586814000,2049999,4
1586828400,2048990,1
1586852400,2197463,8
1586876100,3000000,1
1586935800,2335026,1
1586972100,2017085,1
1586973900,2148260,10
1586975700,2162835,9
1586981100,2150000,1
1587067500,2100000,1
1587087600,2069987,1
1587129600,2001003,3
1587147600,2083999,1
1587171300,2194497,2
1587213000,2083999,1
1587225900,2083000,1
1587336300,2050000,1
1587369300,2081999,1
1587394800,2069996,1
1587407700,2055000,1
1587434700,2020500,2
1587436500,2032000,3
1587438300,2055000,1
1587440100,2020000,1
1587505800,2034999,1
1587529800,2021573,1
1587588600,2000000,1
1587590400,1935822,6
1587592500,1922987,5
1587594300,1982000,1
1587601500,1953351,2
1587614400,1934111,1
1587636600,1965000,1
1587673200,1963999,1
1587678600,1962999,1
1587742800,1948992,1
1587751800,1948000,1
1587753600,1946494,2
1587755400,1944988,1
1587762900,1948000,1
1587764700,1920002,3
1587766500,1906003,2
1587799200,1925000,1
1587801300,1936995,2
1587803100,1948991,1
1587832500,1930000,1
1587852300,1948900,1
1587863400,1899999,1
1587927300,1907998,1
1587982500,1800000,1
1588011300,1908000,1
1588024200,1898000,1
1588067700,1902420,1
1588097100,1905000,1
1588104300,1840000,2
1588106100,1865617,4
1588107900,1891234,2
1588116900,1890000,1
1588179000,1884625,5
1588213500,1865793,1
1588295100,1880000,1
1588326000,1876421,1
1588351500,1862000,1
1588387800,1829008,2
1588471800,1862000,1
1588514100,1833333,1
1588524900,1830000,1
1588528500,1799000,1
1588550400,1843980,1
1588552200,1765740,2
1588554000,1771759,5
1588555800,1767247,4
1588594500,1800000,1
1588612500,1793114,7
1588619700,1707729,1
1588638000,1797999,1
1588639800,1797499,2
1588641900,1748833,2
1588643700,1700666,1
1588645500,1790000,1
1588667400,1783000,1
1588707900,1758988,1
1588715100,1746880,3
1588716900,1722666,1
1588744200,1741000,1
1588768200,1766995,1
1588788300,1766000,1
1588811700,1760000,1
1588813500,1661777,3
1588815300,1612666,2
1588817400,1760000,1
1588819200,1682000,2
1588821000,1607169,2
1588822800,1610339,1
1588831800,1670000,1
1588877100,1744444,1
1588890000,1671257,4
1588913400,1712833,2
1588915200,1708777,3
1588917000,1700666,2
1588929900,1708775,3
1588931700,1712830,4
1588933500,1724995,1
1588966200,1725000,1
1588975200,1724000,1
1588993500,1700000,1
1588998900,1656666,1
1589037300,1650000,1
1589048100,1698890,1
1589049900,1698439,2
1589051700,1697988,1
1589053500,1600321,3
1589069400,1600000,1
1589071200,1579333,2
1589073000,1558666,1
1589086500,1609323,1
1589099100,1690000,1
1589121000,1585000,1
1589170200,1698889,1
1589202900,1685000,1
1589275200,1641000,1
1589291700,1565008,2
1589313300,1622000,1
1589349600,1610000,1
1589393400,1598510,2
1589395200,1594680,3
1589397000,1587021,1
1589400900,1574327,2
1589402700,1561634,2
1589404500,1630000,1
1589413500,1643825,1
1589417100,1680000,1
1589466000,1561000,1
1589478600,1561634,1
1589502300,1558000,2
1589542500,1301779,1
1589580300,1442413,1
1589596800,1446333,3
1589609400,1410000,1
1589690700,1590000,1
1589738100,1585000,1
1589743500,1537031,1
1589750700,1475321,3
1589844900,1587000,1
1589854200,1537031,1
1589863200,1530713,1
1589879400,1580000,1
1589885100,1515321,1
1589915700,1530713,1
1589921100,1478321,1
1590010200,1520000,2
1590129900,1530712,1
1590235200,1509997,1
1590255000,1515000,1
1590305700,1500000,1
1590323700,1499000,1
1590367200,1488996,1
1590376200,1487900,1
1590434400,1472000,1
1590441600,1480000,1
1590498600,1449998,2
1590515100,1443000,1
1590575100,1454500,1
1590620700,1448000,1
1590681300,1455344,1
1590785400,1454000,1
1590883500,1435111,1
1590943200,1430000,1
1591052100,1417662,1
1591068600,1488545,1
1591132200,1429993,1
1591210800,1415000,1
1591214400,1400000,1
1591236300,1415201,1
1591465800,1414141,1
1591476900,1600000,1
1591522500,1397206,1
1591566300,1469878,2
1591635900,1444000,1
1591684800,1425000,1
1591721100,1420000,1
1591735500,1423000,1
1591748100,1422999,1
1591808700,1416191,1
1591894200,1412850,3
1591934100,1413000,1
1592023200,1395000,1
1592032200,1394000,1
1592045100,1356135,6
1592095800,1393000,2
1592119500,1396000,1
1592185200,1397682,1
1592216400,1398841,2
1592218200,1400000,1
1592241600,1437160,7
1592361600,1374123,1
1592412300,1373000,1
1592446800,1375000,1
1592454000,1380000,1
1592497800,540000,1
1592585100,1354661,1
1592664900,1339998,1
1592796300,1350000,1
1592980200,1312360,1
1592991300,1425000,1
1593067800,1458000,1
1593109800,1449449,1
1593124500,1424888,1
1593135300,1408458,1
1593257400,1347743,4
1593291900,1320758,1
1593319200,1315485,1
1593333900,1314000,1
1593366600,1260000,1
1593372300,1262080,1
1593401400,1300000,1
1593403200,1307045,9
1593405000,1309170,9
1593406800,1319121,1
1593503700,1295737,1
1593615900,1261000,1
1593734400,1263878,1
1593813000,1250000,1
1593825600,1200000,1
1593951300,1230000,1
1593966000,1234123,1
1594003800,1290815,3
1594077000,1156566,1
1594078800,1156782,2
1594080600,1156999,1
1594082400,1160100,1
1594111800,1157999,1
1594121100,1195000,1
1594159200,1156888,1
1594238700,1536249,1
1594251300,1306000,1
1594273200,1202537,1
1594277100,1280000,1
1594335300,1485000,1
1594434000,1205000,1
1594443300,1202537,1
1594486800,1120000,1
1594508400,1230000,1
1594565100,1180001,1
1594665000,1198000,1
1594804200,1170000,1
1594914600,1116213,1
1594961400,1140000,1
1595061900,1122999,1
1595101800,1085080,1
1595226600,1089000,2
1595232000,1142180,1
1595242800,1198200,5
1595292000,1213000,1
1595333700,1210000,1
1595512200,1152307,1
1595719800,1280400,1
1595727000,1290216,2
1595779200,1280439,1
1595796600,1274000,1
1595802000,1220000,2
1595864700,1273999,1
1596059700,1255000,1
1596130200,1204000,1
1596230400,1267000,1
1596232200,1263500,2
1596234000,1260000,1
1596261300,1267000,2
1596270600,1241787,2
1596296100,1249000,1
1596323100,1205000,3
1596403200,1160000,1
1596408600,1450000,1
1596839400,1365605,1
1596881100,1335000,1
1596957300,1333990,1
1596979200,1300577,1
1597017300,1313050,1
1597068300,1249999,1
1597080600,1300000,1
1597235100,1279334,1
1597240200,1280000,1
1597264500,1278000,2
1597267500,1276000,2
1597268100,1274000,1
1597366800,1004420,1
1597399800,1157494,1
1597478100,1245000,1
1597503300,1186439,1
1597526700,1186000,1
1597570200,1089251,1
1597597200,1188888,1
1597626600,1076000,1
1597683300,1167000,1
1597719900,1100000,1
1597815600,1080000,1
1597827000,1125000,1
1597860300,1121428,7
1597862100,1121875,8
1597863900,1125000,1
1597874400,1124999,1
1597890000,1118856,8
1597895400,1119567,1
1597901100,1100855,1
1597922700,1100000,1
1597930200,1099678,5
1597931700,1099799,8
1597946700,1112936,5
1597953300,1120000,1
1597977600,1200000,1
1598020200,1100000,6
1598025600,1112936,1
1598193600,1036000,1
1598213400,999999,1
1598222400,1033800,5
1598244000,1081000,2
1598245800,1084833,6
1598247600,1086750,4
1598255100,1085000,1
1598262300,1085100,1
1598282100,1062348,1
1598311200,1063878,5
1598311500,1066174,8
1598329800,1049999,2
1598340600,1062348,1
1598370600,1045000,1
1598383200,1059000,1
1598385000,1058950,2
1598387400,1058900,1
1598388600,1045000,1
1598492700,1032552,1
1598604000,1035140,1
1598622000,1020000,5
1598623800,1022857,7
1598625600,1030000,1
1598641200,1034000,1
1598929200,1211000,1
1598962500,1104000,3
1598982000,1223990,1
1598984100,1189260,2
1598987400,1223990,1
1599032400,1154000,1
1599349800,1350000,1
1599362400,1419995,1
1599454500,1420000,1
1599525600,1385000,1
1599575400,1365012,2
1599577200,1347025,1
1599584400,1375000,1
1599586200,1377500,2
1599588000,1380000,1
1599623100,1372000,1
1599681000,1373000,1
1599697200,1365555,1
1599729900,1378000,1
1599749700,1370999,1
1599755100,1366101,1
1599756900,1358191,4
1599758700,1355555,3
1599766200,1360478,1
1599768300,1330890,3
1599769800,1316097,2
1599771000,1405000,1
1599775500,1367000,2
1599786300,1375000,1
1599797100,1399999,1
1599859500,1373703,1
1599862500,1360636,1
1599862800,1367169,2
1599863400,1360636,1
1599913500,1389555,1
1599918000,1375555,1
1599924600,1398999,1
1599939000,1377092,1
1599942600,1399555,1
1599946200,1395000,1
1599958200,1386525,3
1599960000,1384896,4
1599961800,1380010,1
1599976200,1380012,4
1600029000,1518238,1
1600033500,1373555,13
1600035300,1391451,15
1600079100,1499999,1
1600082700,1499000,1
1600108200,1518230,1
1600110000,1491070,3
1600111800,1477490,2
1600139400,1499999,1
1600179600,1475045,1
1600193400,1514500,1
1600198800,1507000,1
1600206300,1508004,1
1600212300,1509009,1
1600217700,1502003,1
1600229700,1523985,7
1600246200,1538000,1
1600299000,1544999,1
1600318800,1543777,1
1600356900,1543000,1
1600367700,1544998,1
1600382100,1543000,1
1600383900,1544997,2
1600385700,1546995,1
1600392900,1545000,1
1600465800,1546995,1
1600581600,1526123,1
1600612200,1524749,3
1600644900,1501583,3
1600680900,1524110,4
1600697100,1524740,1
1600704300,1499828,4
1600707900,1491521,1
1600720800,1500000,1
1600764300,1480000,1
1600776900,1504998,2
1600804200,1505000,1
1600835700,1500000,1
1600902000,1479499,4
1600903800,1481599,5
1600905600,1489998,1
1600909200,1489999,1
1600960800,1493979,1
1600967700,1493997,1
1600997700,1469995,1
1601026800,1484995,1
1601028600,1484747,2
1601030400,1484500,1
1601048400,1471438,6
1601050200,1470828,8
1601051700,1468998,4
1601142600,1473997,1
1601149800,1469997,1
1601229900,1457750,1
1601235300,1456768,1
1601265900,1440526,7
1601302200,1437138,1
1601304000,1439284,8
1601305800,1439591,7
1601314800,1437137,1
1601333100,1438666,3
1601334900,1450209,15
1601336700,1453094,12
1601342100,1459217,1
1601351100,1459696,3
1601384400,1449700,1
1601404200,1433333,1
1601413800,1439000,7
1601438100,1438995,1
1601442300,1424333,2
1601444100,1420778,3
1601464200,1430991,1
1601500200,1432882,3
1601502000,1435134,8
1601503800,1436485,5
1601562900,1436450,1
1601565300,1432097,2
1601567100,1441913,3
1601568900,1448998,2
1601592300,1449000,1
1601606700,1427749,1
1601627700,1449000,1
1601645700,1427000,1
1601663700,1448949,1
1601667300,1430000,1
1601685300,1448949,1
1601740500,1424998,1
1601790900,1418666,6
1601798100,1422000,1
1601821200,1424000,1
1601945700,1410000,1
1601952900,1438999,1
1601976300,1413312,1
1601976900,1439320,4
1601978100,1447990,3
1601979900,1448949,1
1602021300,1443992,1
1602026100,1413312,1
1602070500,1442998,1
1602080100,1440000,1
1602128700,1446994,1
1602158700,1425000,1
1602182100,1440000,1
1602183900,1431499,2
1602184800,1422999,2
1602194700,1429991,1
1602217200,1438000,1
1602284100,1439997,1
1602304200,1439999,2
1602306000,1440000,1
1602328500,1426739,5
1602366600,1426000,2
1602368400,1426540,5
1602369900,1426900,3
1602375300,1422692,1
1602409800,1457200,5
1602423600,1421991,3
1602426600,1421493,4
1602428400,1420000,1
1602463500,1449000,1
