timestamp,avg,qty
1574996400,10,23
1575129600,8,50
1575168300,300,100
1575221400,51,110
1575230700,50,13
1575232200,41,400
1575234000,46,551
1575234300,41,412
1575235200,46,551
1575235800,58,200
1575259200,10,20
1575268200,5,661
1575324600,4,36
1575360900,22,233
1575428100,25,100
1575431700,300,200
1575432000,25,100
1575432300,300,200
1575499500,299,100
1575598200,6,60
1575646500,56,4
1575650100,11,200
1575650400,56,4
1575650700,11,200
1575663600,10,100
1575775500,8,100
1575831600,9,1
1575838200,121,11
1575838500,41,211
1575838800,121,11
1575839400,41,211
1575839700,121,11
1575840000,41,211
1575842400,37,200
1575847200,11,3
1575862800,8,17
1575911100,300,100
1575994500,1,200
1576011600,12,400
1576027200,8,40
1576092000,200,10
1576122900,14,20
1576188900,1,10
1576217100,4,132
1576225500,150,12
1576377000,37,1
1576393500,3,2682
1576395300,7,300
1576419300,15,1
1576424700,135,10
1576444800,18,15
1576455600,135,10
1576482900,137,1
1576532100,200,30
1576597200,46,20
1576652100,1000,3
1576815000,4,289
1576907700,10,6
1577001000,4,485
1577200500,10,200
1577231400,4,67
1577236800,10,1
1577255100,4,2
1577328000,5,49
1577337000,4,1
1577565000,500,4
1577677200,400,30
1577760600,13,1
1577765400,11,60
1577778600,20,30
1577939400,8,100
1578186900,442,100
1578192600,524,100
1578220200,554,4
1578292800,12,600
1578335100,30,100
1578475500,333,1
1578519600,193,30
1578608700,50,10
1578858900,24,600
1578873600,48,400
1578984000,50,1
1579052700,13,10
1579173300,50,255
1579378200,14,1
1579500300,12,100
1579645500,7,50
1579662000,8,30
1579678500,10,200
1579889700,14,70
1579972200,4,100
1579977600,2,10
1579981200,3,600
1579995600,5,500
1580078700,8,40
1580224800,6,1
1580248200,7,10
1580334600,1,100
1580394300,7,1
1580401500,6,1
1580510100,5,1
1580581800,1,10
1580755500,7,30
1580819700,12,10
1580880000,1,10
1581454500,4,1
1581465300,1,600
1581536400,4,600
1581603900,12,20
1581705900,14,10
1581730200,13,50
1582034400,20,104
1582047600,4,12
1582239300,15,19
1582283100,20,500
1582347600,8,30
1582399500,20,1
1582687200,5,200
1582753500,1,10
1582868100,4,600
1582936800,50,10
1583134200,26,18
1583169300,21,100
1583217000,1,1
1583337300,10,4
