timestamp,avg,qty
1574974800,41,14
1574976900,40,13
1574980200,39,8
1574982600,38,5
1574983500,39,5
1574987100,40,6
1574987700,39,3
1574988000,40,6
1574991000,41,2
1574991600,40,7
1574991900,41,2
1574992800,39,3
1574997900,40,103
1575000000,41,103
1575001500,39,4
1575010800,40,9
1575012000,44,2
1575014100,50,3
1575030600,49,12
1575030900,44,2
1575031500,49,12
1575032100,44,2
1575033600,50,1
1575034200,44,2
1575038100,49,18
1575038400,46,3
1575038700,49,18
1575039600,46,25
1575039900,45,28
1575040200,46,25
1575040500,45,28
1575040800,46,25
1575041100,45,28
1575041400,46,25
1575041700,45,28
1575042000,39,16
1575042600,42,22
1575042900,39,16
1575047700,41,1
1575051900,39,7
1575052800,41,6
1575053100,39,7
1575055200,41,5
1575056700,47,5
1575058500,50,8
1575062400,48,7
1575062700,47,3
1575063300,48,7
1575063600,47,3
1575064200,41,2
1575068100,37,9814
1575071700,41,3
1575077100,40,7
1575079200,39,5
1575081000,38,3
1575088500,42,7
1575090300,44,7
1575092100,42,5
1575093900,38,16
1575094200,39,16
1575095100,38,16
1575095700,40,20
1575097500,47,5
1575099900,45,4
1575100200,47,6
1575100500,45,4
1575102900,50,2
1575105300,47,6
1575105900,45,4
1575108600,41,2
1575109800,50,1
1575112500,45,5
1575112800,50,3
1575113100,45,5
1575113700,44,4
1575114300,39,2
1575114600,44,4
1575114900,45,6
1575115800,49,5
1575116100,45,6
1575116400,49,5
1575117600,50,4
1575117900,49,5
1575118500,50,1
1575121200,41,6706
1575125700,43,10
1575126300,39,7
1575126900,42,5
1575127200,39,7
1575127800,42,5
1575128400,44,3
1575129900,48,12
1575133800,50,3
1575136800,39,12
1575153300,38,20
1575153600,39,15
1575153900,38,19
1575155700,39,8
1575156000,38,8
1575156300,39,8
1575156900,40,7
1575157200,39,8
1575157500,40,7
1575159300,41,6
1575160800,40,3
1575164700,39,7
1575168300,40,5
1575170100,39,7
1575170400,40,5
1575171600,39,7
1575173700,41,7
1575175500,44,6
1575177300,45,8
1575210600,44,10
1575210900,45,7
1575211200,44,10
1575214500,45,4
1575214800,44,5
1575215100,45,3
1575216000,40,4
1575216600,45,3
1575216900,31,5
1575217200,40,4
1575217800,31,5
1575218700,28,12
1575230100,20,2
1575232200,19,9
1575232800,20,8
1575233400,19,7
1575234000,16,4
1575234300,19,7
1575235200,16,4
1575235800,15,4
1575237300,18,6
1575238800,21,4
1575239100,18,6
1575239400,21,4
1575331200,24,13
1575334800,25,6
1575343500,26,103
1575343800,25,104
1575344100,26,107
1575350100,28,3
1575351600,27,5
1575354600,28,4
1575364500,32,1
1575375600,34,3
1575377100,38,13
1575382800,36,3
1575384600,35,2
1575386400,34,17
1575386700,33,11
1575387600,34,17
1575387900,33,11
1575388200,34,18
1575390000,36,6
1575391800,32,8202
1575395400,35,7
1575399000,36,9
1575408000,34,9
1575410400,35,39
1575411900,34,7
1575415500,33,5
1575416100,35,4
1575416700,33,5
1575417300,35,4
1575419400,36,5
1575420900,35,7
1575424800,28,3
1575426600,29,7
1575428100,30,14
1575431700,31,4
1575432000,30,10
1575432300,36,2
1575432600,31,4
1575432900,36,2
1575437700,32,4
1575438300,33,6
1575438900,32,4
1575439200,31,5
1575441000,29,10
1575450000,36,2
1575467100,33,3
1575468300,27,1
1575468600,33,3
1575468900,27,1
1575469200,31,2
1575469500,27,1
1575469800,31,2
1575470400,36,1
1575475500,33,9
1575475800,36,7
1575476100,33,9
1575477600,31,5
1575477900,30,4
1575478500,31,5
1575478800,30,4
1575479700,21,4
1575480300,24,5
1575480900,21,4
1575490800,24,10
1575492000,29,7
1575496200,27,4
1575496800,29,2
1575497400,27,4
1575500100,28,8
1575500400,27,9
1575500700,28,8
1575501000,27,7
1575501300,28,8
1575501900,27,7
1575502200,28,7
1575502500,27,7
1575502800,28,7
1575504300,29,5
1575504600,32,4
1575505200,29,5
1575505500,33,3
1575506100,32,4
1575506400,33,3
1575507000,34,4
1575510300,35,4
1575510600,34,6
1575511200,35,4
1575511800,30,4
1575513000,27,4
1575513600,25,4
1575514800,28,3
1575515100,25,4
1575515400,30,2
1575515700,28,3
1575516000,30,2
1575516300,28,3
1575516600,30,2
1575516900,35,2
1575522000,34,16
1575522600,35,13
1575522900,34,16
1575529200,35,4
1575529500,34,4
1575529800,35,4
1575531900,34,4
1575532200,33,3
1575534600,35,1
1575535500,34,1
1575536100,35,1
1575536400,34,1
1575537300,28,3
1575537600,34,1
1575537900,28,3
1575538200,27,4
1575538800,28,3
1575539100,27,4
1575539400,29,5
1575540000,27,4
1575540300,29,5
1575540900,31,3
1575541200,29,5
1575541500,31,3
1575542100,35,3
1575542700,31,3
1575543000,35,1
1575551100,34,1
1575555300,32,5
1575555600,34,3
1575555900,32,5
1575556200,33,7
1575556500,32,5
1575556800,33,7
1575560700,31,3
1575561600,32,5
1575563400,34,3
1575564000,33,4
1575564300,34,2
1575567900,33,9
1575568500,34,8
1575568800,33,9
1575570600,32,5
1575570900,33,12
1575571500,32,5
1575571800,33,7
1575572700,34,4
1575573000,33,7
1575573300,34,4
1575574200,33,19
1575578700,32,6
1575579300,33,19
1575579600,34,4
1575579900,32,6
1575580200,34,4
1575580800,33,5
1575581700,30,3
1575583200,32,19
1575583500,30,3
1575584100,33,18
1575584400,32,19
1575585000,33,18
1575587100,34,5
1575589500,33,2
1575590700,32,4
1575591300,33,6
1575593100,34,10
1575594300,35,7
1575594900,34,8
1575595200,35,7
1575595500,34,8
1575595800,35,7
1575596100,34,8
1575596400,32,6
1575598200,31,9
1575598800,32,11
1575603300,33,10
1575605700,34,8
1575606300,32,5
1575606900,34,8
1575607200,31,4
1575609300,30,5
1575609600,31,3
1575609900,30,5
1575610200,31,4
1575611100,32,3
1575611400,31,4
1575611700,32,3
1575613500,30,5
1575613800,31,4
1575614400,30,6
1575615600,29,3
1575619500,30,1
1575625200,34,1
1575633900,33,1
1575659400,31,6
1575659700,33,5
1575660000,31,5
1575661800,29,9
1575662400,30,10
1575662700,29,9
1575663000,30,10
1575665100,32,4
1575665400,30,9
1575665700,32,4
1575666000,30,3
1575666300,32,4
1575666900,29,5
1575667200,30,3
1575667500,29,5
1575669000,28,4
1575673200,29,5
1575673500,28,3
1575673800,29,5
1575674400,31,5
1575676800,32,2
1575677100,31,5
1575677700,32,2
1575680100,29,1
1575685800,28,6
1575691200,29,2
1575691500,28,1
1575692700,30,2
1575705900,31,5
1575707700,33,3
1575711600,32,2
1575712200,33,1
1575712500,32,2
1575713100,31,1
1575715200,32,1
1575715500,31,2
1575716400,32,1
1575724500,28,5
1575727500,29,2
1575732900,30,3
1575735000,33,12
1575737100,32,13
1575738600,30,3
1575742500,29,9
1575744300,28,5
1575746100,29,1
1575750000,30,6
1575751200,29,5
1575751500,31,3
1575753300,32,3
1575753900,31,4
1575754800,32,3
1575755100,30,8
1575764700,31,34
1575768300,32,6
1575777300,31,3
