timestamp,avg,qty
1575075300,83,13
1575140700,111,1
1575242700,84,2
1575381300,76,1
1575555300,104,2
1575609300,70,1
1575611100,70,1
1575611400,70,1
1575611700,70,1
1575671400,72,4
1575691200,109,1
1575747900,106,2
1575781200,70,1
1575855000,91,1
1576205400,124,1
1576206000,124,2
1576209600,124,2
1576246200,109,646
1576594500,92,2
1576678500,92,1
1577019300,82,3
1577088300,82,50
1577102700,82,1
1577484600,90,1
1577563800,91,1
1577564100,91,1
1577565000,91,1
1577565300,91,1
1577565600,91,1
1577567100,91,1
1577766300,117,4
1577787300,117,3
1577904600,107,1
1577906400,234,1
1577978700,80,1
1577979900,80,1
1577980200,80,1
1578139800,89,25
1578174000,86,1
1578323700,82,1808
1578353100,80,18
1578405900,121,1
1578442500,85,1
1578705900,80,1
1578868200,106,2
1579212900,113,3
1579285500,103,1
1579291200,103,1
1579380000,42,27
1579385400,101,48
1579445100,98,2
1579454400,90,2
1579456200,94,1
1579558500,98,1
1579562400,25,1
1579620000,25,1
1579797600,96,3
1579799400,96,3
1579803300,101,3
1579823100,62,4
1579824900,62,4
1579884300,390,2
1579902300,25,1
1579913400,92,1
1579961100,101,1
1580150100,55,1
1580155500,101,1
1580157300,101,1
1580169900,55,1
1580171700,78,2
1580173500,102,1
1580175000,102,1
1580175900,102,1
1580178000,102,1
1580248200,96,1
1580264400,90,3
1580266200,90,3
1580269800,55,1
1580271600,55,1
1580278800,92,45
1580372400,65,1
1580396100,88,1
1580423100,65,1
1580490000,55,2
1580495400,55,15
1580500800,84,2
1580565300,61,4
1580645700,93,1
1580687400,92,1
1580689200,92,1
1580759400,100,1
1580802900,79,1
1580831100,100,92
1580932500,59,1
1580934300,75,2
1580936100,91,1
1581020100,150,1
1581073800,550,1
1581096300,130,8
1581186600,550,23
1581197400,550,3
1581199200,550,2
1581201000,55,1
1581274800,91,1
1581303600,112,2
1581305400,112,2
1581309000,80,2
1581368100,100,1
1581510900,80,1
1581529200,151,2
1581531000,151,3
1581532800,151,1
1581629100,80,1
1581737400,132,1
1581738300,132,1
1581974400,100,2
1582320600,56,215
1582321200,56,217
1582328400,56,1
1582401000,56,1
1582479900,67,5
1582485600,67,1
1582494600,67,6
1582501500,79,2
1582504800,92,1
1582590900,95,1
1582599600,330,1
1582600500,330,1
1582601700,330,1
1582602000,330,1
1582602300,330,1
1582602600,330,1
1582602900,330,1
1582603200,330,1
1582668900,55,1
1582778100,56,2
1583005500,80,1
1583006400,80,1
1583006700,80,1
1583007000,80,1
1583009400,80,1
1583128800,56,1
1583304300,100,1
1583334600,92,1
1583624100,92,8
1583644200,79,53
1583679300,75,1
1583686500,72,16
1583713800,71,3
1583770800,60,2
1583789100,60,2
1583790900,60,1
1583889000,94,3
1584156900,94,775
1584240900,82,2
1584570300,55,1
1584618000,55,1
1584711300,61,1
1584718800,65,1
1584938100,56,34
1584948900,56,9
1584960000,56,2
1584971100,165,1
1584972900,165,1
1585267200,59,1
1585410900,200,1
1585472700,82,11
1585505400,76,2
1585540200,98,1001
1585580700,135,26
1585632300,82,80
1585713000,81,423
1585749900,80,2
1585806600,90,2
1585872300,105,1
1585944300,90,1
1586106300,83,1
1586292000,60,1
1586462100,91,1
1586537700,75,4
1586589900,127,5
1586678700,127,18
1586808600,82,4
1586821200,55,1
1586879700,114,46
1586897700,88,1
1586899500,88,1
1587063900,112,1
1587069300,112,1
1587114900,90,26
1587167700,90,4
1587229500,91,1
1587487800,91,5
1587502200,91,3
1587795600,94,3
1587850500,94,3
1587931200,95,193
1588014900,127,2
1588033200,102,404
1588035000,103,8
1588179000,100,5
1588364100,115,4
1588384200,96,2
1588458900,100,2
1588550400,96,1
1588628700,98,1
1588641900,100,2
1588864500,96,2
1588944600,98,11
1589049900,96,2
1589211900,89,2
1589269800,100,1
1589573100,102,3
1589583900,99,15
1589632800,85,6
1589660100,56,1
1589955600,106,5
1590030000,102,10
1590124500,106,21
1590434400,114,1
1590525900,100,2
1590792600,107,1
1590890700,97,2
1590954000,93,1
1590981300,95,19
1591238100,97,2
1591294800,103,5
1591302000,102,18
1591493100,92,3
1591715700,76,1
1591722900,66,3
1591941300,66,1
1592247000,100,26
1592250600,100,283
1592445000,66,1
1592577900,67,1
1592713800,107,5
1592761500,106,8
1592976600,105,13
1593044100,112,1
1593390600,110,1
1594483200,100,4
1594601400,101,3
1594610400,77,1
1594743000,110,19
1595277300,107,1
1595701500,109,3
1595857500,104,1521
1595939100,108,1641
1595991000,83,23
1596171900,171,46
1596385200,103,1
1596387000,103,1
1596698100,102,3
1596897300,99,1
1597104000,60,1001
1597271400,102,8
1597295100,94,2
1597368600,106,5
1598038200,102,3
1598242200,126,59
1598361600,107,1
1598363400,107,1
1598948100,108,1
1598978400,113,1
1598989200,105,14
1599065400,106,6
1599691800,138,1
1599768300,115,1653
1599876000,115,2
1600170300,80,1
1600231800,114,3
1600746000,123,2
1601231700,111,1
1601952900,113,1
1602012300,183,1000
1602029700,109,1
1602045900,110,26
1602206400,120,1
1602341400,115,30
1602600900,200,3
1602627600,120,1401
1603081200,123,7
1604095800,123,2
1604158500,114,1
1605154200,150,10
1605168900,150,141
1605248700,147,37
1605250500,145,41
1605252300,134,108
1605254400,134,104
1605486600,134,6
1605527700,155,1
1605611400,177,1
1605711600,177,3
1606764000,160,1
1607116200,200,1
1607612400,170,4
1608353700,176,1
1609479900,140,14
1609642800,120,1
1611286500,156,30
1611321900,156,39
1611941400,119,1
1612104600,152,87
1613079300,150,2001
