timestamp,avg,qty
1575079200,7740,10
1575121200,6376,2
1575122400,7128,8
1575122700,6376,2
1575123000,7235,14
1575123600,7128,8
1575123900,7235,14
1575125700,7379,11
1575133800,7740,107
1575134400,7760,108
1575135000,7915,116
1575135300,7760,108
1575135600,7915,116
1575135900,8272,140
1575136200,7915,116
1575136800,10000,55
1575208800,6555,1
1575277200,8111,1
1575294600,7998,40
1575324600,7500,1
1575408000,7799,1
1575426600,7658,21
1575490800,7921,1
1575499500,7210,1
1575520200,7205,10
1575574200,7203,300
1575642000,7200,50
1575729300,7189,50
1575737100,7200,50
1575814200,6968,2
1575816900,6979,1
1575817500,6968,2
1575818100,6979,1
1575855000,5500,200
1575900900,7202,130
1575937500,7848,100
1576101000,7255,126
1576109100,7353,92
1576109700,6691,6
1576110000,7353,92
1576112400,7399,86
1576113900,7307,96
1576131900,6691,10
1576275600,7683,40
1576439100,7496,110
1576444800,7495,51
1576445100,7450,1
1576445700,7495,51
1576446300,7450,1
1576532100,7498,1
1576608000,7225,99
1576618800,7318,10
1576645800,7499,10
1576802100,7788,80
1576847700,7254,88
1576849500,7261,91
1576853100,7788,1
1576865700,6000,1
1576969800,6153,6
1577010000,10000,1
1577023200,6052,41
1577094300,9000,1
1577145000,8887,1
1577175900,8253,1
1577211600,7401,18
1577214600,7984,16
1577227500,7449,50
1577337000,7100,2
1577397000,7045,1
1577408100,8147,100
1577411700,7415,10
1577453700,8838,1
1577464200,7901,3
1577484600,7933,100
1577488800,8098,200
1577577600,7898,100
1577632500,7897,1
1577649000,7059,1
1577652900,7113,3
1577654400,7873,100
1577721600,6425,18
1577808300,6638,20
1577826600,6450,9
1577891700,8658,1
1577908200,6500,1
1577928300,7718,157
1577930100,7896,137
1577932200,6500,15
1577935800,8134,50
1577937600,7946,60
1577939400,7004,10
1577965500,8658,1
1578221700,7357,1
1578255600,7435,111
1578259200,7444,26
1578259500,7437,137
1578260100,7444,26
1578336600,8111,1
1578366000,7999,302
1578393000,8109,41
1578427800,8107,150
1578512700,8106,2
1578604800,7671,275
1578691200,6596,3
1578774900,7507,2
1578834600,7725,100
1578851400,8104,500
1578882600,7509,230
1578956400,7448,62
1578978300,8240,100
1579185300,8458,521
1579200300,8450,100
1579254000,8333,80
1579300200,8070,19
1579368900,7999,1
1579401900,7919,9
1579404000,7909,8
1579684200,7800,1
1579725300,4700,12
1579741800,8195,100
1579777500,8305,200
1579812300,12000,1
1579882200,7335,1
1579908000,7639,200
1579909800,7634,201
1579911600,6621,1
1579944300,8500,1
1579946100,8499,11
1580034600,6896,1
1580045700,7258,1
1580047800,6571,41
1580066100,6554,36
1580095200,7564,20
1580121000,7639,1
1580133900,7311,1
1580332800,10574,25
1580334600,14933,51
1580336400,19125,236
1580340000,19901,14
1580341800,19047,762
1580343600,19033,761
1580381700,7207,2
1580405100,7206,1
1580563200,7267,200
1580612700,7631,20
1580643600,7630,1
1580678400,7300,4
1580680200,7732,60
1580682000,7763,71
1580872800,7427,1
1580965200,8111,10
1581042300,7999,1
1581088800,6878,1
1581121800,6481,55
1581221100,5818,2
1581423300,7401,1
1581558000,7276,16
1581828600,7049,2
1582149600,6000,60
1582422900,6800,16
1582430100,7314,100
1582437300,6780,15
1582448700,6801,27
1582450500,6794,41
1582452300,6782,14
1582474500,8444,1
1582845900,7241,55
1582848900,7253,25
1582849200,7241,55
1582849500,7253,25
1582982700,7513,1
1582995900,7508,22
1582996500,7618,31
1582996800,7508,22
1582997400,7717,49
1582997700,7618,31
1582998000,7717,49
1582998600,7730,53
1582998900,7717,49
1582999200,7888,45
1583115900,8681,1
1583198400,7629,55
1583199600,7687,67
1583199900,7629,55
1583200200,7687,67
1583200500,7706,72
1583201400,7733,81
1583201700,7706,72
1583202000,7733,81
1583203200,7953,29
1583344500,5586,4
1583348400,6658,1
1583349300,5946,3
1583349900,6658,1
1583350200,5946,3
1583350500,5696,10
1583350800,5946,3
1583351100,5696,10
1583352000,5590,9
1583352300,5696,10
1583352600,5590,9
1583528700,8886,1
1583631300,7536,1
1583693700,8886,392
1583767200,8071,11
1583787300,8465,1
1583843400,8830,279
1583973300,8725,9
1583975100,8862,18
1583976900,9000,9
1584305100,8117,10
1584495300,8285,10
1584595800,8284,4
1584625500,8195,1
1584662100,8248,633
1584830100,7500,1
1584844800,7943,303
1584868800,7715,2
1584894300,7815,3
1584903300,7814,55
1584910500,7777,20
1585000200,7797,1
1585110900,30000,1
1585326300,7910,1
1585328100,8639,10
1585329900,8720,9
1585571400,7885,1
1585595400,8118,29
1585613700,8130,49
1585615500,8131,69
1585617300,8133,60
1585975200,12006,20
1585990200,11000,10
1586026800,10100,1
1586060700,8201,18
1586389500,7670,1
1586424000,9858,50
1586449500,8988,89
1586604300,7244,1
1586664300,9132,4
1586757900,9422,539
1586801400,8326,1
1586823000,7505,40
1586981100,7556,1
1587054900,7950,600
1587261900,7845,1000
1587278400,7900,100
1587438300,8888,2
1587500400,7900,26
1587572400,7997,86
1587576000,7945,130
1587753600,7725,27
1587887100,7929,35
1587888900,7917,59
1587891000,7901,27
1587925500,8881,1
1587929400,8880,1
1587949200,8066,1
1587952800,7473,11
1587954600,7446,214
1587956400,7445,203
1588038600,7799,57
1588073400,9141,10
1588162800,8000,5
1588197300,8022,89
1588293300,7912,64
1588295100,7903,91
1588296900,7882,50
1588346100,8888,1
1588387800,8777,1
1588458900,8011,1
1588599900,7946,38
1588601700,7999,48
1588603500,8200,19
1588735200,7700,11
1588802700,7840,16
1588900800,10799,40
1588928100,11420,200
1589030100,9563,30
1589033700,10000,6
1589046300,9480,2
1589318700,8361,20
1589329500,9238,19
1589564100,8499,100
1589583900,8498,100
1589595000,8495,200
1589663700,8209,20
1589696100,8876,50
1589944800,8243,20
1590095700,10422,1
1590110100,9321,28
1590111900,8495,16
1590113700,8576,7
1590120900,8600,1
1590164400,8866,51
1590166200,8967,66
1590168000,9309,15
1590260400,8485,15
1590269700,9377,14
1590325500,8320,1
1590358200,9417,1
1590611700,10271,1
1590620700,10080,45
1590624300,11900,1
1590653700,9782,33
1590890700,11900,1
1590892500,10752,137
1590894300,10443,166
1590896100,9184,42
1590897900,8279,50
1590899700,7913,38
1590901500,8703,49
1590964800,9742,400
1590995700,9652,18
1591223400,9311,11
1591478700,7734,1
1591588200,7068,1
1591591800,7754,20
1591781400,8566,69
1591783200,8588,76
1591785000,9084,137
1591786800,9100,130
1592035800,9860,1
1592088600,9298,50
1592092200,9400,60
1592434200,9700,1
1592766900,9608,100
1592798100,8527,1
1593159000,8314,1
1593284700,8697,7
1593410400,8622,28
1593434400,8314,2
1593509400,8297,10
1593707100,8948,2
1594093500,8145,75
1594184700,8511,13
1594231200,9848,39
1594499400,8160,100
1594948800,10180,2
1595100000,8228,5
1595105400,8500,36
1595109000,8456,45
1595110800,8417,24
1595112600,8500,4
1595533200,8939,50
1595607000,8639,71
1595811300,9524,1
1595951700,9951,338
1595955300,9100,1
1595957100,9272,2
1595958900,9444,1
1596550800,9353,2
1596806100,8600,5
1596890100,8601,13
1596964800,8998,1
1597061100,8246,30
1597095000,8423,50
1597109700,8500,105
1597182900,8300,1
1597374300,8085,80
1597377900,8130,200
1597465200,8050,100
1597535700,7613,30
1597537500,7839,80
1597539300,7975,50
1597544700,7314,10
1597767300,7801,50
1597867500,7727,101
1597966500,6178,12
1598057400,6384,60
1598751000,6956,100
1598752800,7202,300
1598754600,7325,200
1598758200,7541,399
1598797200,7534,500
1598841900,7139,25
1599313500,6731,100
1599318900,6077,11
1599396900,6677,168
1599400500,6681,32
1599445500,7390,19
1599599700,9664,1
1599753300,6285,1
1599793500,9432,22500
1599945000,29880,1
1600045200,29875,4201
1600418100,7972,5
1600445700,8164,5
1600479300,9354,50
1600495500,8100,1
1600534500,9504,50
1600870200,8050,1
1601493000,9386,1
1601859300,8656,1
1603077600,8448,11
1603346400,5506,10
1603552500,7493,135
1604527800,7532,18
1604791500,7258,8
1604795100,7259,70
1604856300,7369,100
1604925000,7986,70
1605056700,7493,11
1605135000,7884,100
1605483900,7190,15
1606159200,6464,1
1607013300,8052,24
1607017500,8053,18
1607017800,8052,42
1607018400,8053,18
1607154900,19500,2
1607203800,10000,1
1607815500,7250,6
1608127500,6169,200
1608706200,6550,200
1608759000,4812,30
1608778800,8666,10828
1608780600,16993,17861
1608782400,29802,12059
1608784200,18302,10054
1608786000,7052,5079
1608787800,29872,70
1608789600,5139,1019
1608791400,4744,1032
1608793200,15228,69
1608795000,26601,86
1608796800,29872,49
1608847500,12057,7732
1608849300,12077,7747
1608851100,25480,27
1608852900,29755,40
1608858300,23682,355
1608860100,23162,327
1608861900,13998,100
1608880200,6772,1
1608952500,5557,2
1609022400,6433,1
1609118400,4835,15
1609120200,4827,19
1609122000,4800,4
1609211100,6500,100
1609244100,6169,200
1609394700,6418,90
1609561200,8420,1
1609593900,5788,1
1609827600,6175,1
1610406600,4800,1087
1610456100,5734,260
1610475900,5990,25
1610488200,5985,50
1610495100,5686,20
1610496900,5860,65
1610498700,5938,45
1610505900,5985,100
1610669700,5586,1
1610963100,5565,1
1610985000,5081,2
1611012900,5650,210
1611310800,5999,1504
1611312900,5998,1528
1611314700,5901,34
1611396600,5921,3002
1611400200,5923,11
1611653400,5535,16
1611655200,5525,24
1611657000,5504,11
1611685800,5501,1
1611696600,5751,51
1611738300,5752,7
1611823800,7420,1
1611954300,6000,178
1611992400,5761,7
1611998700,6000,1
1612032000,5906,41
1612044900,5974,410
1612375500,5645,3
1612431900,6056,1
1612543200,5645,1
1612543800,6068,102
1612544100,5645,1
1612544400,6068,102
1612546500,6072,101
1612547400,6045,108
1612548000,5645,9
1612550100,5663,13
1612551000,6156,10
1612551300,6213,9
1612551600,6156,10
1612552500,6213,9
1612553700,7421,205
1612555500,7441,200
1612560900,5645,9
1612573200,7448,73
1612633800,7192,23
1612637100,7148,31
1612637400,7070,11
1612638000,7043,9
1612638300,7148,31
1612638600,7043,9
1612639200,6524,2
1612711800,5645,23
1612741200,6117,154
1612795500,5812,3
1612896600,5678,5
1612905600,5689,3
1612907700,5711,1
