timestamp,avg,qty
1575014100,2782,3
1575042000,2701,11
1575199800,2846,15
1575200100,2957,20
1575201300,2980,18
1575201600,2957,20
1575202200,2980,18
1575202800,2980,18
1575203700,3290,5
1575222300,2727,8
1575347700,2814,9
1575400800,3238,13
1575766500,2990,11
1575767700,2990,11
1575768000,2990,11
1575768300,3037,17
1575769200,3044,21
1575770100,3071,14
1575934200,2834,22
1575944400,2918,10
1576248900,2925,15
1576285800,2763,5
1576426500,2900,10
1576459200,3082,9
1576716600,2867,143
1576717500,2882,241
1576718100,2867,143
1576718400,2882,242
1576719300,2899,119
1576719900,2882,242
1576720200,2905,99
1576720500,2899,119
1576720800,2905,99
1576793100,2980,12
1576794600,3000,9
1576794900,3000,9
1576795200,3000,9
1576796400,3000,3
1576812900,3075,17
1576862400,2964,8
1576887600,2971,22
1576942200,3006,9
1577023200,2974,8
1577031900,2995,28
1577032800,2995,27
1577033100,2995,28
1577033400,2995,27
1577033700,3089,19
1577036100,3153,11
1577036700,3169,10
1577037000,3153,11
1577037300,3169,10
1577037600,3153,11
1577067300,2420,13
1577288100,2723,9
1577482500,2663,47
1577484600,2711,21
1577486400,2652,1
1577500800,2625,17
1577501700,2625,18
1577502000,2625,17
1577502300,2625,18
1577505300,2625,18
1577559900,2403,20
1577612700,2390,2
1577614500,2411,8
1577616600,2411,8
1577616900,2418,5
1577618700,2401,2
1577627100,2405,5
1577711100,2907,8
1577739300,2593,19
1577787900,2701,4
1577797200,2502,2
1577806500,2772,17
1577833800,2851,14
1577915700,2801,16
1577965500,2607,6
1578141600,2799,2
1578171000,2788,9
1578183600,2139,22
1578276900,2515,10
1578402300,2850,1
1578798900,2900,43
1578866100,2976,9
1579041600,2998,8
1579185300,3171,7
1579291200,3300,3
1579359900,3000,5
1579361700,3341,12
1579363500,3417,15
1579374600,3014,8
1579385400,3208,3
1579431900,3011,3
1579534500,3001,6
1579536600,3002,11
1579549500,3012,16
1579551300,3089,247
1579623600,2802,6
1579834200,2836,326
1580045700,2807,7
1580056800,2807,10
1580080500,2810,6
1580082300,2826,9
1580084100,2869,58
1580086200,2891,152
1580148300,2844,13
1580166300,2883,19
1580415900,2902,23
1580421300,2904,15
1580499000,2918,9
1580506200,2937,34
1580508000,2937,27
1580510100,2938,17
1580511900,2938,8
1580515500,2903,17
1580519100,2923,2
1580533500,2908,12
1580553900,2969,6
1580585400,2959,6
1580676600,2877,21
1580702100,2876,8
1580779200,2541,1
1580919900,2902,6
1580989200,3000,4
1580991000,3000,6
1580992800,3000,2
1581042300,3000,16
1581062400,2740,5
1581143700,2645,3
1581498000,2856,2
1581702300,2800,1
1581705900,2853,4
1581707700,2853,5
1581711300,3000,71
1581761100,3022,9
1581906300,2778,8
1581972600,2752,15
1581983400,2883,14
1582071600,2885,10
1582311900,2861,19
1582465500,2838,6
1582479900,2844,11
1582563600,2905,3
1582681800,2907,15
1582785000,2937,7
1582819200,2956,6
1582831200,2831,3
1582855200,2866,9
1582928700,2857,14
1582957500,2874,3
1583085300,2928,6
1583235900,2757,2
1583271300,2758,9
1583539500,2912,8
1583556000,3020,4
1583675700,2981,11
1583976900,2954,67
1584036000,2850,24
1584094500,2403,2
1584126000,2371,13
1584290400,2970,1
1584316200,3000,4
1584319800,3000,14
1584420300,3130,7
1584497100,2795,15
1584506400,2687,39
1584508200,2670,28
1584510000,2670,3
1584592200,2906,7
1584764400,2381,13
1584766200,2610,12
1584768000,2610,2
1584870600,2805,10
1584887100,3088,21
1584888900,3097,62
1584894300,2942,27
1584901500,3096,17
1584905100,2975,14
1584908700,3098,1630
1584910500,3114,41
1584916200,3268,25
1584927000,3516,28
1585105500,3735,4
1585160400,3102,17
1585173000,3185,35
1585175100,3413,11
1585176900,3293,6
1585283700,3639,11
1585353900,3103,4
1585377600,3281,10
1585512600,3249,22
1585593600,3070,28
1585595400,3072,33
1585610100,3165,11
1585725900,3154,17
1585790100,3200,32
1585843200,3048,12
1585859400,3104,14
1585861200,3247,15
1585863000,3289,11
1585977000,3010,9
1586073600,3672,10
1586149800,3046,6
1586151600,2954,10
1586153400,2925,12
1586213700,2655,11
1586226300,2636,8
1586268300,2520,5222
1586290200,2815,6
1586297700,2815,23
1586312700,2847,21
1586314500,3127,15
1586316300,2946,38
1586376900,3454,18
1586436600,3135,8
1586544900,3574,15
1586546700,3556,18
1586548500,3476,7
1586615100,3397,9
1586638800,3422,40
1586666100,3506,23
1586667900,3476,27
1586772300,3509,22
1586801400,3501,20
1586803200,3501,110
1586805000,3501,112
1586814000,3503,16
1586859600,3431,8
1586881500,3435,6
1586901300,3440,28
1586961300,3462,15
1587029400,2838,5
1587053100,3032,20
1587065700,3041,17
1587147600,3033,6
1587165900,3040,36
1587278400,3050,5
1587307500,3114,5
1587311100,3040,16
1587323700,3059,12
1587496800,3302,20
1587520800,3417,12
1587583200,3384,117
1587596100,3341,10
1587619800,3341,8
1587700500,3629,19
1587702300,3797,16
1587704100,3961,6
1587761100,3443,13
1587894600,3342,21
1587963900,3265,5
1588005900,3112,8
1588118700,3135,14
1588204500,3210,40
1588208100,3214,23
1588215300,3230,25
1588218900,3250,20
1588220700,3250,12
1588233300,3085,9
1588257000,3282,12
1588300500,3075,19
1588375200,3054,10
1588377000,3091,13
1588544700,3142,15
1588697100,3014,22
1588746000,3100,7
1588751700,3173,28
1588755300,3279,13
1588813500,3998,43
1588899000,3264,13
1588900800,3265,10
1588902600,3285,31
1588988100,3261,15
1589010000,3294,5
1589013600,3386,4
1589017200,3417,19
1589019000,3429,12
1589020800,3469,11
1589022600,3469,16
1589024400,3469,12
1589026200,3471,6
1589028000,3371,5
1589040900,3343,13
1589042700,3427,19
1589044500,3478,18
1589046300,3497,9
1589067600,3172,14
1589079000,3187,19
1589235600,3206,9
1589248200,3326,15
1589278800,3298,1
1589280600,3300,1
1589284200,3294,8
1589307900,3266,24
1589338800,3441,3
1589408100,3334,31
1589656200,3511,18
1589685300,3310,4
1589707200,3455,14
1589721900,3319,2
1589725500,3371,10
1589732700,3412,26
1589787000,3769,13
1589857800,3294,11
1589922900,3251,15
1590039300,3619,12
1590122700,3200,10
1590159000,3649,9
1590160800,3842,6
1590162600,4828,10
1590171600,3316,20
1590191400,3266,4
1590193500,3439,106
1590195300,3432,111
1590238800,3393,7
1590282300,3394,7
1590361800,3565,11
1590726600,3618,12
1590728400,3732,7
1590730200,5019,8
1590963000,3876,21
1591012200,3875,18
1591077600,3718,1
1591114200,3541,18
1591143000,3520,4
1591161900,3548,5
1591416600,3305,6
1591566300,3300,9
1591568100,3304,11
1591708500,2523,3
1591748100,3308,10
1591757400,3310,9
1591759800,3310,4
1591761600,3310,3
1591763100,3314,8
1592030400,2704,5
1592143200,2712,5
1592178000,2716,12
1592259900,2713,18
1592292300,2927,18
1592294100,2881,11
1592295900,2852,3
1592365200,2501,9
1592367000,2780,5
1592421300,2872,6
1592529000,2991,1010
1592547000,3145,5
1592603400,3203,16
1592644800,3129,9
1592677800,3036,4
1592679600,3073,5
1592681400,3099,7
1592699400,3152,232
1592763300,3255,6
1592787000,3343,7
1593020100,3003,5
1593300900,2814,64
1593315600,2879,6
1593359400,3282,21
1593377700,2933,19
1593394200,2950,16
1593401400,2679,2
1593412200,3478,13
1593414300,3332,4
1593416100,3450,2
1593430800,3051,2
1593456300,2680,10
1593458100,3195,13
1593459900,3261,11
1593468900,2902,2
1593501900,2800,13
1593561900,2900,2
1593567000,2900,10
1593630600,3227,5
1593902100,3462,1
1593905700,4006,8
1593907500,3921,9
1593911400,3201,2
1593958500,3134,1
1593960600,3141,4
1593962400,3206,34
1594007700,3264,3
1594464900,3513,7
1594467000,3643,24
1594468800,3643,22
1594519500,3210,8
1594521300,3402,17
1594523100,3535,10
1594780800,3357,17
1594874700,3351,9
1594876500,3372,16
1594878300,3909,10
1595025300,3532,6
1595322900,3411,2
1595472300,3160,1
1595679900,3050,5
1595681700,3101,3
1595683500,3101,3
1595710500,2991,6
1595712300,3075,2
1595714100,2950,22
1595953500,3259,2
1595969100,3300,6
1596152100,3912,5
1596250500,3221,6
1596255900,3156,7
1596328500,3260,27
1596387000,3260,6
1596388800,3098,2571
1596390600,3098,2569
1596412200,3166,22
1596414000,3166,8
1596415800,3166,2
