timestamp,avg,qty
1574975400,136,20
1574976900,135,70
1574979000,134,124
1574979600,135,143
1574979900,134,124
1574980800,132,173
1574981100,134,74
1574981700,132,173
1574982600,130,99
1574985300,140,150
1574989500,139,137
1574992800,140,111
1574994300,116,22
1574996400,117,292
1574997900,118,291
1575003600,119,302
1575005100,122,102
1575007200,129,20
1575019800,130,50
1575021600,129,120
1575023700,127,101
1575025200,124,31
1575027300,108,1000
1575030600,113,440
1575033600,116,480
1575034200,113,380
1575034500,128,240
1575036000,133,340
1575036300,136,340
1575036600,133,340
1575037200,136,340
1575037500,133,340
1575038100,136,540
1575045300,134,140
1575045600,136,100
1575045900,134,140
1575047700,130,40
1575049200,128,60
1575051900,127,232
1575052800,128,207
1575053100,127,1195
1575055200,128,1206
1575058500,113,200
1575062400,102,100
1575062700,128,10
1575063300,102,100
1575063600,128,10
1575066000,127,194
1575069900,128,43
1575073500,129,410
1575084600,128,255
1575088500,129,49
1575090300,130,20
1575092100,124,120
1575092400,123,143
1575092700,124,120
1575093300,123,143
1575093600,124,120
1575093900,123,143
1575097500,124,50
1575099600,128,130
1575102000,129,250
1575102900,130,150
1575105900,135,30
1575113700,134,30
1575117300,135,160
1575120300,134,640
1575122400,129,100
1575122700,134,540
1575123600,129,100
1575123900,134,170
1575126300,135,619
1575129600,136,263
1575129900,140,113
1575135000,139,321
1575135300,140,301
1575135600,139,321
1575140700,138,90
1575141000,139,59
1575141300,137,69
1575141900,138,90
1575142200,137,69
1575142500,136,73
1575144600,114,112
1575146100,101,170
1575146400,114,112
1575146700,101,170
1575147900,102,100
1575150600,119,200
1575151800,122,230
1575153300,126,290
1575153600,123,250
1575153900,139,710
1575154200,126,290
1575155100,139,710
1575157500,140,251
1575157800,139,871
1575158100,140,251
1575158400,139,871
1575158700,140,251
1575160800,117,20
1575162900,121,189
1575163200,120,100
1575164100,121,189
1575164700,123,189
1575165900,126,109
1575166200,123,189
1575166500,140,20
1575166800,126,109
1575167100,140,20
1575167400,126,109
1575167700,140,20
1575171900,129,10
1575175200,138,60
1575176100,140,50
1575176700,138,60
1575186600,129,9
1575189000,130,25
1575190200,131,16
1575190500,130,25
1575190800,131,16
1575196500,123,153
1575198000,126,183
1575199800,127,160
1575200100,140,20
1575207000,139,1410
1575214500,140,30
1575214800,139,21
1575215700,140,30
1575216000,139,120
1575230700,135,10
1575237300,140,20
1575239700,139,2130
1575240300,140,2110
1575240600,138,2230
1575242700,117,350
1575246300,129,300
1575250200,133,370
1575252000,134,500
1575253800,135,320
1575255600,134,110
1575259200,140,10
1575272100,133,30
1575277200,129,50
1575277500,127,30
1575278400,129,50
1575279000,128,40
1575281100,133,30
1575282600,134,25
1575283800,133,33
1575286200,132,168
1575288000,131,60
1575288300,132,160
1575288900,131,60
1575289500,132,250
1575290100,133,260
1575295500,132,61
1575295800,133,30
1575296100,132,61
1575298800,130,151
1575300300,123,120
1575302100,125,150
1575303300,130,120
1575309600,129,330
1575309900,128,650
1575310200,129,330
1575311100,128,650
1575311400,127,540
1575311700,128,650
1575312000,127,540
1575313200,126,420
1575314100,125,200
1575314400,126,420
1575315000,127,310
1575315300,125,200
1575315600,127,310
1575317100,117,181
1575319200,108,92
1575319500,80,41
1575320100,108,92
1575320400,129,52
1575320700,108,92
1575321000,129,83
1575327900,128,292
1575329400,129,453
1575329700,128,292
1575330000,129,453
1575331200,124,472
1575331800,119,672
1575332100,124,472
1575332400,119,672
1575333300,108,361
1575333600,106,320
1575333900,108,361
1575334500,106,320
1575334800,105,220
1575336900,100,120
1575338700,76,20
1575340800,104,52
1575343500,96,62
1575343800,104,52
1575344100,95,63
1575344400,56,11
1575344700,95,63
1575345300,56,11
1575346200,129,1120
1575350100,121,130
1575350700,122,150
1575351000,121,130
1575351600,120,30
1575354600,116,200
1575358800,128,40
1575366000,129,48
1575372000,127,479
1575375600,130,140
1575377100,129,105
1575379200,116,15
1575379500,128,120
1575379800,116,15
1575380400,128,120
1575380700,116,15
1575381000,131,1055
1575386400,130,160
1575390000,134,30
1575393600,130,42
1575395400,116,103
1575397500,122,137
1575399000,134,116
1575406200,130,70
1575408000,133,201
1575410400,138,331
1575411900,139,421
1575415500,138,469
1575419400,139,122
1575420900,138,300
1575423000,136,480
1575423600,138,280
1575424500,136,480
1575424800,134,310
1575425100,135,280
1575425400,134,310
1575425700,135,280
1575426000,134,310
1575426600,132,230
1575427200,122,30
1575428100,137,230
1575428700,139,200
1575429300,137,230
1575429900,139,200
1575433500,140,30
1575450000,128,10
1575453600,140,11
1575455700,110,87
1575456600,108,126
1575456900,110,87
1575457200,108,126
1575457800,106,201
1575459300,105,282
1575459600,109,437
1575460200,105,282
1575460500,109,437
1575460800,105,282
1575461100,109,437
1575461400,115,491
1575461700,117,391
1575462300,115,491
1575462600,117,391
1575462900,128,355
1575463200,117,391
1575463500,132,240
1575463800,128,355
1575464100,132,240
1575464400,128,355
1575464700,139,100
1575465300,113,86
1575465600,139,100
1575466200,113,86
1575468300,135,243
1575468600,113,86
1575468900,135,243
1575470400,134,194
1575471900,132,66
1575472500,135,12
1575473400,132,66
1575473700,135,12
1575474600,140,10
1575474900,135,12
1575475800,140,10
1575477300,128,100
1575477600,130,125
1575479700,140,65
1575480300,131,135
1575480900,140,65
1575481500,139,185
1575483900,138,440
1575484200,139,370
1575484500,138,470
1575485400,137,270
1575485700,138,470
1575486300,137,270
1575487200,138,270
1575487500,137,370
1575487800,138,270
1575490800,137,56
1575492000,138,172
1575493200,130,296
1575493500,138,172
1575493800,127,311
1575494100,130,296
1575494400,127,311
1575496200,101,25
1575496800,116,149
1575497400,101,25
1575498000,139,10
1575499500,131,152
1575500100,135,327
1575500400,131,152
1575500700,135,327
1575503400,139,221
1575507600,140,40
1575510300,138,86
1575510600,140,80
1575511200,138,86
1575514200,139,220
1575520200,140,46
1575525000,134,40
1575529200,133,20
1575534600,134,323
1575540600,132,20
1575540900,133,108
1575541200,132,20
1575541500,133,108
1575544500,134,110
1575551100,128,90
1575552600,127,150
1575556200,128,30
1575556500,127,80
1575556800,128,30
1575563400,112,129
1575564000,117,204
1575564300,124,316
1575564600,112,129
1575564900,124,316
1575566100,132,416
1575566700,126,438
1575567000,132,416
1575569100,126,305
1575569400,132,456
1575569700,127,310
1575570000,126,305
1575570300,127,310
1575570600,126,290
1575570900,127,310
1575571500,126,290
1575571800,127,318
1575572700,132,147
1575573000,127,318
1575573300,132,147
1575574200,133,30
1575576300,131,210
1575579600,133,21
1575579900,131,211
1575580200,133,21
1575582600,128,261
1575582900,133,230
1575583200,123,281
1575583500,128,261
1575584100,102,91
1575584400,123,281
1575585000,102,91
1575585900,129,605
1575586500,127,594
1575587100,132,585
1575588900,131,576
1575589500,132,65
1575591300,133,202
1575593100,116,403
1575593700,122,300
1575594000,116,403
1575594900,101,323
1575595200,116,423
1575595500,101,323
1575595800,116,423
1575596100,101,323
1575596400,109,192
1575597000,110,172
1575598200,133,52
1575600000,130,267
1575603300,133,70
1575604800,122,20
1575605100,133,70
1575605400,122,20
1575607200,126,348
1575607800,127,351
1575608100,126,348
1575608400,127,351
1575608700,126,348
1575609000,127,351
1575609300,129,661
1575609600,127,351
1575609900,129,661
1575610200,132,483
1575611100,131,377
1575611400,132,483
1575611700,131,377
1575612600,130,154
1575613500,132,74
1575613800,133,44
1575614400,132,168
1575625200,133,70
1575625500,127,130
1575625800,133,70
1575626400,127,130
1575627300,126,175
1575627600,127,145
1575628200,126,175
1575628500,122,150
1575628800,126,175
1575629100,122,150
1575629400,126,165
1575629700,122,150
1575630000,126,165
1575630900,131,324
1575631200,127,202
1575631800,131,324
1575632700,133,347
1575637200,128,216
1575637500,133,296
1575638400,128,216
1575638700,121,93
1575639300,106,48
1575639600,121,93
1575639900,106,48
1575641100,105,209
1575645000,106,55
1575649200,128,20
1575650100,130,40
1575650400,128,20
1575650700,130,40
1575651300,131,130
1575651600,130,40
1575651900,87,209
1575652800,82,189
1575653400,87,209
1575653700,82,189
1575654600,14,79
1575655500,77,169
1575655800,133,46
1575656100,14,79
1575656400,132,146
1575656700,133,46
1575657000,132,146
1575657300,133,46
1575657600,132,146
1575660000,133,50
1575660600,132,150
1575661500,133,50
1575663600,132,78
1575666900,133,129
1575667200,132,51
1575667500,133,129
1575670800,132,239
1575671400,131,246
1575672300,130,407
1575672600,131,246
1575672900,130,407
1575675900,132,76
1575676200,130,236
1575676500,132,76
1575678000,131,11
1575680100,127,220
1575683700,126,119
1575685800,121,139
1575687300,113,180
1575687600,111,150
1575688200,113,180
1575688500,111,150
1575688800,113,180
1575689100,114,130
1575689700,120,260
1575690000,114,130
1575690900,120,260
1575691200,126,140
1575693300,125,10
1575693900,126,40
1575694200,125,10
1575694500,119,20
1575697200,123,40
1575697800,119,20
1575698100,123,40
1575698400,127,20
1575705900,126,137
1575711600,127,42
1575713100,128,104
1575713400,130,165
1575713700,128,104
1575714000,130,165
1575715200,129,166
1575715500,128,208
1575716400,129,166
1575717000,122,43
1575717300,129,104
1575717600,122,43
1575717900,129,104
1575718200,122,43
1575718500,133,15
1575729300,134,114
1575729600,133,1552
1575729900,134,84
1575731100,133,105
1575750000,135,65
1575751500,139,70
1575753300,134,232
1575753900,133,252
1575754800,134,232
1575755100,132,222
1575757500,133,135
1575759000,132,315
1575761100,131,202
1575761400,132,200
1575761700,131,202
1575762900,125,4
1575764700,132,2
1575765600,125,4
1575765900,132,2
1575766500,131,100
1575770100,132,161
1575781800,128,30
1575793800,127,131
1575797700,128,10
1575801300,133,4
1575803100,132,38
1575807300,133,47
1575813300,134,50
1575813900,133,40
1575814200,102,22
1575814500,134,50
1575814800,102,22
1575816300,132,150
1575819900,119,50
1575823800,118,244
1575824100,119,190
1575824400,118,244
1575825600,121,304
1575827700,126,232
1575829500,131,210
1575831600,130,360
1575836700,129,95
1575837000,130,125
1575837300,129,95
1575837900,130,125
1575838200,131,30
1575840300,115,60
1575841500,131,30
1575841800,115,60
1575842100,98,204
1575842400,99,74
1575843300,98,204
1575845700,99,10
1575851400,131,40
1575855000,130,100
1575858600,140,20
1575863700,125,54
1575864600,123,113
1575867600,125,30
1575884100,124,215
1575884400,125,200
1575884700,124,115
1575888000,125,300
1575890100,131,10
1575890700,125,300
1575891300,131,10
1575892200,130,410
1575892800,131,10
1575893400,130,400
1575896100,131,100
1575896400,130,156
1575896700,131,100
1575897000,130,158
1575897600,128,58
1575900300,131,60
1575911100,135,184
1575912000,136,205
1575912300,135,184
1575912900,140,135
1575913200,136,205
1575913500,140,135
1575915000,117,135
1575915600,114,120
1575915900,117,135
1575916800,114,120
1575917400,125,220
1575918000,124,200
1575918300,125,220
1575918600,124,200
1575918900,140,200
1575924900,125,240
1575925500,140,30
1575925800,125,240
1575928200,135,100
1575929700,116,499
1575930000,114,399
1575930300,116,519
1575932100,122,180
1575932400,121,367
1575932700,122,180
1575933300,121,367
1575933900,120,342
1575935400,118,245
1575937500,119,140
1575940800,114,164
1575941700,112,172
1575942000,114,164
1575942300,112,172
1575942900,113,228
1575944400,117,298
1575944700,113,248
1575945000,118,290
1575945300,117,298
1575945600,118,290
1575946500,121,600
1575952500,120,234
1575952800,119,134
1575953400,120,234
1575954300,121,280
1575954600,120,230
1575955200,121,280
1575955500,122,80
1575955800,121,280
1575956100,122,80
1575961200,130,100
1575968700,140,117
1575971100,136,127
1575972900,123,30
1575974400,138,95
1575975300,139,132
1575975600,138,95
1575975900,139,132
1575978300,140,176
1575989700,132,60
1575990300,128,40
1575990600,132,60
1575990900,129,180
1575993000,130,240
1575996300,131,550
1575996600,130,150
1575996900,131,565
1575998100,132,679
1575999900,137,179
1576000500,132,679
1576000800,137,179
1576001400,139,72
1576001700,136,8
1576002000,139,72
1576002600,136,9
1576003500,138,37
1576003800,136,9
1576004400,139,29
1576004700,138,37
1576005000,139,29
1576006200,78,93
1576006500,139,29
1576006800,78,93
1576007100,77,91
1576007400,78,93
1576008000,52,65
1576008300,77,91
1576008900,52,65
1576010100,138,244
1576010400,52,65
1576010700,132,312
1576011000,138,244
1576011300,132,312
1576012500,129,242
1576013100,132,312
1576013400,111,85
1576013700,129,242
