timestamp,avg,qty
1574973000,382,100
1574974800,380,1
1574975400,380,11
1574976900,380,30
1574978400,408,1079
1574979000,409,1050
1574979600,408,1079
1574979900,409,1050
1574980200,409,1058
1574980800,391,18
1574981100,409,1058
1574981700,391,18
1574982600,389,17
1574982900,389,17
1574983200,389,17
1574983500,380,9
1574984700,380,9
1574985300,426,49
1574986200,426,49
1574986500,426,49
1574987100,389,149
1574987700,426,49
1574988000,387,346
1574988300,389,149
1574988900,387,346
1574989500,381,298
1574992800,401,84
1574994300,399,89
1574996400,380,13
1574997900,380,13
1575000000,468,5899
1575003600,371,52
1575007200,401,97
1575008700,401,98
1575012000,371,1841
1575014100,371,1862
1575018000,371,1
1575021600,401,71
1575023400,401,71
1575023700,388,149
1575025200,376,78
1575025500,376,78
1575026100,376,78
1575026400,376,78
1575027000,376,78
1575036000,375,8
1575036300,375,8
1575036600,375,8
1575037200,375,8
1575037500,375,8
1575043500,386,4
1575043800,382,6
1575044100,386,4
1575044400,382,6
1575045000,386,4
1575045300,382,6
1575045600,382,6
1575045900,375,2
1575055200,361,29
1575056700,360,35
1575058500,374,94
1575060600,374,98
1575062400,362,234
1575064200,362,302
1575068100,367,160
1575069900,369,81
1575071700,363,232
1575075300,363,19
1575077100,402,22
1575079200,382,1029
1575081000,382,1008
1575082800,401,1
1575083700,401,1
1575084000,401,1
1575084600,363,924
1575086700,363,954
1575088500,380,17
1575090300,381,47
1575092100,387,41
1575092400,387,41
1575092700,387,41
1575093300,387,41
1575093600,387,41
1575093900,404,11
1575101400,457,27
1575103800,457,10
1575104100,457,27
1575104700,457,10
1575105300,384,62
1575106500,371,52
1575106800,384,62
1575107400,371,52
1575108600,373,54
1575109800,436,2
1575110400,415,3
1575110700,436,2
1575111300,373,1
1575111600,415,3
1575112200,373,1
1575113700,402,101
1575114300,402,100
1575114600,402,101
1575114900,381,2124
1575117300,380,2024
1575117600,379,2036
1575117900,380,2024
1575118500,409,58
1575118800,379,2036
1575119100,409,58
1575120300,409,58
1575120900,409,58
1575121200,436,46
1575122100,409,58
1575122700,436,46
1575123000,280,1
1575123900,280,1
1575125100,280,1
1575126300,280,1
1575127200,280,1
1575128400,378,285
1575129600,378,285
1575129900,378,285
1575130500,378,285
1575132000,359,76
1575132300,359,76
1575132900,359,76
1575133200,359,76
1575133800,359,76
1575134400,359,76
1575135000,468,11040
1575135300,359,76
1575135600,468,11040
1575139500,433,21
1575139800,433,21
1575140400,433,21
1575140700,436,20
1575141000,433,21
1575141300,430,22
1575141900,436,20
1575142200,430,22
1575142500,370,16
1575143100,370,16
1575143400,370,16
1575143700,370,16
1575144600,370,18
1575146100,375,5
1575146400,370,20
1575146700,375,5
1575147900,406,10
1575148800,406,10
1575149100,406,10
1575149400,406,10
1575150600,408,10
1575150900,408,10
1575151200,408,10
1575151800,371,46
1575153300,368,177
1575153600,371,46
1575153900,368,177
1575157500,368,128
1575157800,368,128
1575158100,368,128
1575158400,368,128
1575158700,368,128
1575159300,369,92
1575159600,369,112
1575159900,369,92
1575162900,367,37
1575164700,360,25
1575165000,360,23
1575165600,360,25
1575165900,364,4
1575166500,364,4
1575166800,364,4
1575167100,364,4
1575167400,364,4
1575167700,364,4
1575168300,378,1
1575170100,360,6
1575170400,360,6
1575171600,360,6
1575171900,352,45
1575173700,351,39
1575175500,327,103
1575176100,327,103
1575176700,327,103
1575177300,328,105
1575179400,368,4
1575181200,368,36
1575196500,436,9
1575198000,436,9
1575199500,443,66
1575199800,421,108
1575200100,421,109
1575201300,397,60
1575201600,421,109
1575202200,397,60
1575202800,397,52
1575208800,426,26
1575209100,425,29
1575209400,426,24
1575210600,381,2
1575210900,426,24
1575211200,381,2
1575211800,370,1
1575212100,381,2
1575212400,370,1
1575214500,407,6
1575215100,411,7
1575215700,407,6
1575216000,411,7
1575216600,411,7
1575216900,411,7
1575218700,411,200
1575219300,431,1
1575219600,411,200
1575219900,411,200
1575220500,411,201
1575222300,368,1537
1575222900,373,1736
1575223200,368,1537
1575223800,368,1537
1575224100,368,1537
1575224400,368,1536
1575224700,368,1537
1575225000,368,1536
1575225900,353,1048
1575228000,354,1094
1575228300,353,1048
1575228600,354,1094
1575228900,370,739
1575229200,354,1094
1575229800,370,739
1575230100,372,674
1575230700,372,720
1575232200,373,48
1575232800,373,674
1575233400,394,429
1575235800,396,382
1575237300,400,108
1575237600,400,108
1575237900,400,108
1575238200,400,108
1575238500,400,108
1575238800,414,212
1575239100,400,108
1575239400,414,212
1575239700,414,212
1575240300,414,212
1575240600,429,104
1575242100,429,124
1575242700,431,20
1575243600,431,20
1575243900,431,20
1575244200,431,20
1575244800,365,2101
1575246300,365,2101
1575248100,419,166
1575249000,452,97
1575250200,429,176
1575252000,411,100
1575252900,421,3296
1575255600,372,3266
1575257400,368,2173
1575259200,396,11458
1575261000,396,11715
1575261600,396,11715
1575262500,396,11715
1575268200,353,77
1575277200,365,361
1575277500,365,361
1575278400,365,361
1575279000,378,198
1575281100,371,178
1575282600,368,125
1575285300,378,30
1575285600,378,30
1575302100,373,5610
1575303900,364,7275
1575304200,367,8417
1575304500,359,3299
1575304800,364,7275
1575305100,359,3299
1575305400,364,7275
1575305700,359,3299
1575306300,360,3102
1575307800,208,11
1575308100,208,11
1575308400,208,11
1575309000,208,11
1575309300,208,11
1575309600,359,1985
1575309900,359,1985
1575310200,359,1985
1575311100,359,1985
1575311400,360,1974
1575311700,359,1985
1575312000,360,1974
1575312300,360,1974
1575312600,360,1974
1575319200,314,3
1575320100,314,3
1575320400,314,3
1575320700,314,3
1575321000,314,3
1575324600,360,460
1575324900,360,360
1575325500,360,460
1575325800,318,261
1575326100,360,460
1575326400,346,813
1575326700,318,261
1575327000,346,813
1575327300,318,261
1575327600,346,813
1575327900,346,1483
1575328200,348,1793
1575328500,346,1483
1575329100,348,1793
1575329400,356,4153
1575329700,348,1793
1575330000,356,4153
1575330300,356,4153
1575330900,356,4153
1575331200,358,2755
1575333300,352,102
1575333600,352,102
1575333900,352,102
1575334500,352,102
1575336900,351,1002
1575338700,351,1016
1575339600,351,1014
1575339900,351,1016
1575340200,351,1014
1575340500,346,2012
1575342600,346,2076
1575344100,363,78
1575346200,368,209
1575347700,362,2207
1575350100,360,9011
1575351600,359,7023
1575353100,355,11
1575354900,355,1
1575375600,368,1
1575377100,368,1
1575390000,368,1
