timestamp,avg,qty
1575068100,7376,60
1575094200,7008,1
1575103800,8963,2
1575151800,6778,23
1575153300,6721,85
1575153600,6752,34
1575153900,6712,145
1575154200,6721,85
1575155100,6712,145
1575155700,6700,111
1575160800,7025,50
1575162900,7284,69
1575164700,7671,38
1575165000,7679,37
1575165600,7671,38
1575165900,7376,91
1575166200,7679,37
1575166500,7376,91
1575239700,7201,8
1575242700,7209,41
1575243600,7211,33
1575243900,7209,41
1575244200,7211,33
1575244800,7466,19
1575246300,7561,16
1575253800,7294,108
1575261000,6953,9
1575270300,7561,2
1575275400,7369,94
1575290100,7561,2
1575331800,7201,30
1575333600,6982,255
1575333900,7201,30
1575334500,6982,255
1575334800,6953,225
1575395400,10000,1
1575397800,7017,125
1575398100,10000,1
1575398400,7017,125
1575399000,6993,124
1575455700,7201,34
1575511800,7623,17
1575591300,7201,1
1575641100,7939,5
1575654600,6853,18
1575675900,6861,335
1575676200,6853,331
1575676500,6861,335
1575676800,7561,5
1575677100,6861,335
1575677700,7561,5
1575680100,7220,185
1575680400,7222,186
1575680700,7220,185
1575681300,7222,186
1575681600,7220,185
1575681900,7213,181
1575682200,7211,180
1575702000,6829,2
1575718500,7528,200
1575732900,6829,18
1575744300,6783,92
1575762900,7528,50
1575808800,7492,90
1575810300,7489,91
1575810600,7466,98
1575812400,7170,8
1575829500,7000,15
1575833100,6991,20
1575845700,7170,42
1575847200,7162,43
1575849600,6991,21
1575849900,6829,1
1575850200,6991,21
1575850800,6829,1
1575851100,6991,21
1575851400,7000,20
1575876900,6974,20
1575890100,6914,6
1575895800,6746,150
1575896100,6642,100
1575896400,6746,150
1575896700,6642,100
1575897000,6746,150
1575898800,6955,50
1575899400,6746,150
1575899700,6955,50
1575932100,6658,2
1575943200,6378,30
1576010700,6164,1
1576022400,6817,60
1576023900,7209,190
1576026000,7389,130
1576040700,7887,50
1576073700,6380,12
1576105500,6829,14
1576191900,6823,1
1576225500,6482,1
1576290300,6700,17
1576297800,6482,100
1576300500,6522,104
1576300800,6540,106
1576301400,7522,9
1576302000,6540,106
1576302300,7522,9
1576305000,7857,37
1576305600,7522,33
1576305900,9385,60
1576306200,7857,37
1576306500,9385,60
1576307100,10973,36
1576307400,9385,60
1576307700,10973,36
1576308000,11664,31
1576308600,10973,36
1576308900,10807,29
1576309200,11664,31
1576309500,10807,29
1576310700,10708,26
1576311000,10807,29
1576311300,10708,26
1576311900,10669,25
1576312200,10708,26
1576312800,10669,25
1576329600,8292,10
1576355400,6790,21
1576380600,6251,10
1576384200,6274,105
1576386000,7503,2
1576389900,6482,10
1576401000,6745,70
1576402800,6836,83
1576404600,7343,14
1576406400,7522,1
1576493700,7898,23
1576497600,7767,127
1576499400,7757,118
1576554000,4768,1
1576555800,5025,2
1576557300,4998,49
1576559400,4976,50
1576561200,4600,39
1576568700,5851,2
1576590300,6518,12
1576592100,6795,21
1576593600,7164,9
1576610400,6422,1
1576611000,5812,3
1576611300,6422,1
1576611900,5812,3
1576612200,5984,4
1576613700,4703,5
1576614000,5984,4
1576614300,4703,5
1576615500,3001,5
1576619400,5895,13
1576619700,6658,37
1576620300,5895,13
1576620600,6658,37
1576620900,6674,41
1576621200,6658,37
1576621500,6674,41
1576621800,6678,43
1576622100,6674,41
1576622700,6678,43
1576623300,6763,55
1576623600,6765,39
1576624500,6763,55
1576624800,6759,41
1576661100,6422,1
1576725600,6653,318
1576800300,4487,9
1576818300,6322,19
1576876500,7006,1
1576887900,7097,1
1576955100,8000,30
1576984500,7450,2
1576992000,7490,38
1576992300,7465,98
1576992600,7490,38
1576993200,7465,98
1576993500,7471,72
1576995600,7450,60
1577028600,8213,50
1577063100,7300,1
1577113500,7948,2
1577115000,8186,20
1577117100,8213,30
1577117700,8186,20
1577118000,8213,30
1577158800,5316,1
1577182200,8213,1
1577253300,6991,64
1577256900,8213,100
1577264400,7948,96
1577271600,9660,12
1577275200,9415,20
1577277000,7910,7
1577278800,7210,3
1577649000,6990,20
1577679300,7339,5
1577717100,6988,1
1577720100,8494,50
1577720400,6988,1
1577721000,8494,50
1577734800,7997,10
1577797200,5141,1
1577901000,7678,40
1577989800,6965,1
1578070200,8464,2
1578079200,6965,1
1578081000,7714,2
1578083100,8464,1
1578104700,6961,1
1578128700,8464,10
1578139800,7087,40
1578161700,7498,10
1578180000,6285,38
1578180600,6316,39
1578181200,6285,38
1578181500,6316,39
1578187500,7313,12
1578209400,7495,1
1578236100,6287,2
1578238800,6397,3
1578240000,6617,1
1578262800,5268,4
1578266700,7938,50
1578267000,7834,53
1578267600,7938,50
1578279900,6287,1
1578301500,6617,20
1578333300,6481,6
1578367800,6816,10
1578402300,18087,3
1578425700,7897,28
1578435000,8683,1
1578440400,7253,60
1578444300,6500,1
1578457200,8290,2
1578459000,7872,12
1578460500,7789,10
1578461400,7777,9
1578461700,7789,10
1578462000,7777,9
1578466500,6822,1
1578508500,7897,11
1578519600,8269,1
1578615900,6953,3
1578627300,7521,1
1578674700,9669,1
1578676500,7769,101
1578678300,7750,73
1578681900,8270,12
1578713400,8291,1
1578767400,6555,1
1578778500,9499,24
1578787800,6807,30
1578806100,6899,30
1578807900,6982,31
1578809700,9499,1
1578811800,9371,2
1578813600,8516,3
1578815400,6807,25
1578832800,6593,9
1578916500,7605,4
1578950700,7553,68
1578971100,6555,10
1579029000,7985,1
1579032600,7153,68
1579034400,7296,73
1579036200,9243,5
1579067400,9705,100
1579134900,6899,1
1579198500,7220,31
1579200300,7243,39
1579216800,6915,1
1579311300,7260,1
1579341300,6570,5
1579346700,7622,30
1579358100,6570,57
1579380000,7622,1
1579385400,7260,19
1579472700,8534,100
1579489200,6924,38
1579496700,8824,20
1579511700,5915,1
1579636500,6832,1
1579654500,6515,48
1579656600,6526,69
1579658400,6550,51
1579749300,7155,1
1579775700,6815,1
1579795800,5229,17
1579797600,6098,31
1579799400,7155,14
1579801500,5013,10
1579848600,6815,3
1579882200,7155,10
1579979400,10911,1
1579981200,9189,18
1579983000,9088,17
1579993800,10911,1
1580029200,10000,79
1580031000,10094,104
1580032800,10392,28
1580071500,10000,1
1580080500,7757,1
1580102400,6703,1
1580144700,7757,30
1580148300,6668,17
1580217600,7757,100
1580275200,7295,20
1580323500,6921,5
1580334600,7250,1
1580343600,7728,1
1580417700,2796,1
1580437500,6344,1
1580448300,1000,1
1580486400,5168,1
1580488200,6276,17
1580490000,6478,20
1580491800,7010,4
1580495400,5099,7
1580497200,6400,40
1580499000,6677,33
1580510100,6166,5
1580556000,6758,40
1580572500,7664,22
1580638200,6326,10
1580773800,7705,3
1580816100,6326,10
1580823600,7245,9
1580825400,7360,12
1580827200,7705,3
1580836500,10000,1
1580843700,9831,1
1580860200,7914,1
1580863800,6236,20
1580867400,4697,2
1580887500,6429,10
1580930700,7913,10
1580943600,7702,12
1580967000,6336,200
1581000300,7701,10
1581016500,6955,16
1581108900,6629,5
1581160500,7302,11
1581278400,6624,4
1581296400,7200,1
1581312600,6684,10
1581329400,7018,6
1581357300,6445,27
1581359100,6560,40
1581360900,6658,18
1581362700,6290,20
1581364500,6693,25
1581366300,7299,10
1581386100,7018,10
1581408000,7366,30
1581411900,7134,3
1581413700,7076,6
1581415500,7334,22
1581417600,7366,20
1581423300,6350,1
1581454500,6517,2
1581456300,6684,1
1581461700,7358,110
1581503700,7374,23
1581505500,7389,24
1581507300,7736,63
1581540000,6842,2
1581567900,6350,1
1581621900,7000,2
1581687600,6624,1
1581775800,6955,3
1581779700,6877,2
1581780000,6800,1
1581780900,6877,2
1581781200,6800,1
1581783600,6955,6
1581809100,6624,7
1581823500,9034,4
1581825300,6624,1
1581826200,8552,5
1581826500,6624,1
