timestamp,avg,qty
1575008700,508,51
1575056700,100000,1
1575095700,671,1
1575399000,10000,1
1575483900,199997,6
1575507000,1275,5
1575729300,646,1
1576042500,20000,1
1576140900,10000,1
1576280400,608,1
1576320000,10000,1
1576333200,707,1
1576351500,10000,1
1576356900,578,1
1576366200,672,1
1576464600,10000,1
1576503000,1243,1
1576648800,1438,3
1576672200,10000,1
1576853100,447,1
1576864200,1,1
1576869600,10000,1
1576896600,668,1
1576913100,10,1
1577127600,5000,100
1577155500,19999,1
1577216700,10,1
1577306100,567,1
1577348100,10,1
1577371800,310,1
1577397000,730,1
1577468400,768,1
1577738400,596,1
1577786100,627,1
1577922900,100,1
1577991600,622,1
1577995200,768,20
1578156300,1682,1
1578313200,1208,20
1578367800,639,1
1578431700,1176,20
1578495900,1331,50
1578582300,1000,10
1578584100,1198,40
1578585900,1264,30
1578655500,768,1
1578693000,2306,6
1578696600,768,4
1578732000,10000,4
1578787800,1440,1
1578791400,768,1
1578930600,19999,2
1578982200,730,1
1579162200,1565,1
1579305600,10000,14
1579378200,9213,11
1579445100,9525,20
1579461600,10000,1
1579708800,9000,18
1579788600,3835,18
1580137500,860,1
1580221200,1,1
1580406900,1000,3
1580415900,1465,1
1580441100,1000,1
1580640000,910,10
1580645700,820,1
1580656500,1000,1
1580836500,605,1
1580872800,5000,1
1580916300,605,1
1580937900,1,1
1580987400,704,1
1581114300,678,1
1581143700,750,1
1581149100,789,1
1581190200,820,1
1581324000,830,1
1581357300,2750,10
1581362700,713,1
1581417600,870,1
1581436500,830,1
1581456300,371,1
1581463500,870,1
1581510900,830,1
1581667200,467,1
1581716700,864,10
1581774300,774,1
1581807300,870,1
1581848700,736,1
1581965100,774,1
1581979800,942,1
1582063800,1186,1
1582366500,15000,1
1582719900,2150,1
1582794300,863,1
1582835400,2150,1
1582905000,158,1
1582923600,1605,2
1582925700,1210,1
1582944600,2000,2
1582953000,2150,1
1583065200,418,1
1583203800,15000,1
1583359500,891,1
1583530500,691,1
1583556000,805,1
1583789100,1099,1
1583794500,906,1
1584061500,910,1
1584197400,150,1
1584217500,5000,1
1584286800,742,1
1584321900,5000,10
1584632700,500,1
1584672900,800,1
1584680400,871,1
1584747600,5000,1
1585107300,861,1
1585280100,650,1
1585399800,878,1
1585401600,764,2
1585403400,650,1
1585412700,987,4
1585414500,1100,3
1585427100,650,1
1585529100,500,1
1585610100,853,1
1585617300,500,1
1585656300,2750,2
1585659900,2000,3
1585661700,500,1
1585692900,2500,1
1585753500,5000,1
1585780800,2500,1
1585841400,771,1
1585861200,599,1
1585935000,466,1
1586006400,5000,1
1586164200,846,1
1586220900,624,1
1586325300,515,1
1586328900,5000,1
1586375100,1034,1
1586393100,5000,1
1586698800,15000,1
1586720700,1080,1
1586781300,15000,1
1587078600,8500,2
1587080400,1688,2
1587082200,1376,1
1587087600,15000,1
1587089400,8258,2
1587091200,1516,1
1587144000,15000,1
1587265500,2000,1
1587278400,902,1
1587287400,2000,1
1587334500,4500,1
1587354600,949,1
1587581400,100,1
1587601500,816,1
1587649500,702,1
1587678600,1,101
1587918300,5000,1
1587925500,2000,1
1588014900,2889,4
1588031400,5000,1
1588621500,2946,1
1588698900,5000,1
1588747800,1492,1
1588791900,5000,1
1589119200,1032,1
1589199300,2000,1
1589201100,3500,2
1589202900,5000,1
1589380500,3000,1
1589458800,750,1
1589513400,120,1
1589564100,547,1
1589623800,779,1
1589663700,1005,1
1589796000,5000,1
1590285900,1005,1
1590325500,980,1
1590558600,1005,1
1591030200,938,1
1591065000,892,1
1591203600,5000,1
1591327500,538,1
1591610400,871,1
1591650300,1117,1
1591722900,5000,1
1591744500,864,1
1591764900,956,1
1591921500,5000,1
1592103000,1117,1
1592143200,964,1
1592172300,5000,1
1592417700,1014,1
1592685000,5000,1
1594563300,4000,1
1594959600,4999,10
1595082000,3927,1
1595089200,4999,1
1595128800,5000,1
1595344500,1062,1
1595360700,5000,1
1595608800,1012,1
1595705100,5000,1
1595935500,990,1
1597149600,991,1
1597458000,980,1
1597595400,925,1
1597962900,915,1
1598031000,452,1
1598062800,828,1
1598090100,611,1
1598169000,925,1
1598285700,319,1
1598318700,581,1
1598323500,925,1
1598554500,906,1
1598578800,271,1
1598591400,925,1
1599230400,853,1
1599405900,4000,1
1599782700,870,1
1599850500,4000,1
1599867000,498,1
1600020000,642,1
1600456800,1019,1
1600596000,925,1
1600657500,644,1
1600764300,965,1
1601215500,815,1
1601256900,965,10
1601302200,902,1
1601331300,815,1
1601685300,899,1
1601696400,5000,1
1601712600,899,1
1601862900,855,1
1601879100,516,1
1601928600,10000,1
1602021300,932,1
1602064800,1026,1
1602158700,1,1
1602192600,760,1
1602309600,1000,1
1602371700,1,1
1602599100,764,1
1602892800,122,1
1602968700,890,1
1603831800,889,1
1603915500,4000,1
1603995900,392,1
1604232600,681,1
1604841900,4000,1
1605107400,9000,1
1605506700,713,1
1605549000,873,1
1605754500,713,1
1605952500,681,1
1605967200,792,1
1606032300,1032,1
1606311600,841,8
1606332900,919,2
1606923900,507,1
1607480700,847,1
1607866200,814,1
1607980500,736,1
1607993400,774,1
1608132900,533,10
1608141900,856,1
1608382500,721,1
1608524400,838,1
1608644700,775,3
1608646500,806,6
1608648300,838,5
1608722700,750,1
1608874500,700,1
1609013400,797,1
1609225800,2500,1
1609467000,900,1
1609735200,792,1
1609767900,900,1
1609921200,753,1
1609987800,901,1
1610116500,753,31
1610388300,546,1
1610514900,860,1
1610606100,513,1
1610661300,901,1
1611006900,729,1
1611058500,807,1
1611150600,847,1
1611417600,874,2
1611418800,901,1
1611419100,874,2
1611548100,901,1
1612052100,813,1
1612130100,543,1
1612562700,901,1
1612660800,823,1
1612673400,706,1
1612711500,607,1
1612828200,866,1
1613123100,596,1
