timestamp,avg,qty
1575439200,35000,1
1575440400,35000,1
1575440700,35000,1
1575441000,35000,1
1575579600,35002,1
1575594900,36000,1
1575872400,37500,1
1575873000,37500,1
1575873600,37500,1
1575874500,37500,1
1575874800,37500,1
1575875100,37500,1
1575876000,37500,1
1575912000,37502,1
1576191900,38046,1
1576222500,43000,3
1576281000,41003,2
1576382700,39518,2
1576383600,39518,2
1576384200,39518,2
1576386000,38033,1
1576610400,41501,3
1576612500,41501,3
1576692300,41002,1
1577046900,58002,2
1577070300,58474,2
1577076000,59000,2
1577079300,75000,1
1577123700,65001,1
1577135400,65001,2
1577139000,65001,1
1577139600,65001,1
1577211600,66306,5
1577368200,135503,2
1577650800,75000,1
1577651400,75000,1
1577651700,75000,1
1577652300,75000,1
1577652600,75000,1
1577652900,75000,1
1577654400,75001,1
1577658600,75003,3
1577734800,85002,1
1577755200,85500,2
1577832000,90000,1
1577833800,90000,1
1577888100,99503,1
1577910000,94752,2
1577919300,90003,3
1577952300,90005,1
1578017400,91000,1
1578121500,91424,16
1578375000,136005,1
1578534000,101006,1
1578625500,100000,1
1579004700,98500,1
1579118100,90000,1
1579203900,90005,1
1579424400,102000,1
1579489200,101003,1
1579627500,101154,4
1579878600,100000,1
1579936800,90000,1
1579993800,90012,1
1580441100,85000,1
1580480700,87032,3
1580482800,89997,1
1580607000,90000,1
1580836500,90500,1
1580910900,82000,1
1580961600,85000,1
1581169800,91002,1
1581278400,91499,4
1581292800,90133,9
1581294600,91200,1
1581360900,91222,1
1581438300,90475,4
1581563400,99000,3
1581693300,95056,1
1581871800,95056,3
1582038000,100007,1
1582578600,95000,3
1582685400,91750,2
1582798200,90504,1
1582799100,90504,1
1582801800,90504,1
1583960700,80000,1
1583962500,80000,1
1583964300,80500,1
1584244800,81111,1
1584460800,88000,1
1584462600,88900,2
1584466200,89000,3
1584495300,90001,1
1584586800,89196,5
1584588600,87250,2
1584590400,87500,1
1584616200,88000,1
1584665700,90000,1
1584682200,90000,1
1584822900,89001,1
1584834000,88505,4
1584839400,90500,1
1585215300,85000,1
1585217100,85000,1
1585322700,81000,1
1585530900,70386,2
1585749900,68955,1
1585751700,68955,2
1585753500,68955,1
1585761000,68000,1
1585762800,68000,1
1585766400,69010,3
1585768200,69010,3
1585821000,69500,1
1585832100,71000,1
1585837800,73001,1
1585839600,73001,1
1585845000,73001,1
1585846800,73001,1
1585865100,73035,2
1585866900,73041,3
1585868700,73884,8
1585870500,74069,7
1585872300,74164,3
1585874100,74496,2
1585918800,73500,1
1586044500,74000,2
1586308500,71200,1
1586310600,71200,4
1586311800,71200,4
1586312700,71200,12
1586405700,71200,2
1586407500,71200,1
1586474700,72300,1
1586611500,74400,1
1586613300,74400,1
1586680800,78001,1
1586713500,76164,1
1586834100,72050,1
1586895900,71200,2
1586915700,71200,2
1586928600,71200,2
1586970300,66062,4
1587096600,60000,74
1587182100,59000,2
1587191100,64011,2
1587365700,64943,2
1587449100,68020,4
1587529800,69000,1
1587874200,82693,1
1588455300,74501,10
1588542900,78549,1
1588544700,78549,1
1588634400,79567,1
1588663800,78850,2
1588808100,79175,2
1588809900,79175,2
1588811700,79175,2
1588840800,79001,2
1588955400,82552,7
1589458800,84002,1
1589484300,84222,5
1589948400,86002,2
1590101100,84421,2
1590104700,83762,4
1590106500,83762,4
1590204300,84421,1
1590338100,83469,1
1590542100,74000,1
1590543900,74833,6
1590545700,75902,9
1590613500,70200,1
1590615300,70600,2
1590617100,71000,1
1590675900,71000,1
1591074000,70007,1
1591580700,59383,2
1592874600,41002,1
1593490800,74000,1
1595259300,71001,1
1595328300,71351,4
1595484900,71001,1
1597125900,67377,67
1597975500,70000,1
1600369500,60000,1
1600497300,60800,2
1601859300,55440,1
1602711600,57095,2
1603081200,54000,1
1603713600,59252,1
1603715400,59252,1
1606033800,36137,1
1606840200,50008,1
1606842000,50008,1
1606842300,50008,1
1606842600,50008,1
1607072100,47500,1
1608934500,44016,1
1609863300,51000,1
1611323700,47077,3
1611919800,46500,1
1612200900,50001,1
1612254900,52827,11
1612326000,50001,9
1612386600,49600,2
1612414200,51084,1
1612414500,51084,1
1612415100,51084,1
1612415400,51084,1
1612415700,51084,1
1612479300,50550,1
1613198400,47009,1
1613200500,47009,1
