timestamp,avg,qty
1574973300,566,127
1574974200,566,127
1574991000,530,401
1574992800,530,401
1575005100,566,47
1575093900,585,1281
1575102000,614,1552
1575135900,645,81
1575136200,645,81
1575136800,645,81
1575137700,645,81
1575138000,645,81
1575138600,645,81
1575153300,645,69
1575155700,694,1293
1575156000,694,1293
1575156300,694,1293
1575156900,743,1595
1575157200,694,1293
1575157500,898,371
1575159300,898,372
1575159600,898,372
1575159900,898,372
1575160800,900,1
1575162900,650,1
1575163200,650,1
1575164100,650,1
1575164700,713,3
1575165000,679,67
1575165600,713,3
1575165900,679,67
1575166200,679,67
1575166500,679,67
1575168600,677,65
1575173700,690,2880
1575190200,695,2
1575194700,645,1473
1575200100,624,48
1575201300,627,104
1575201600,624,48
1575202200,627,104
1575202800,627,103
1575203700,627,103
1575249000,641,14
1575255600,644,3643
1575257400,643,3595
1575259200,680,5
1575272100,652,300
1575314100,663,256
1575314400,663,256
1575315000,663,256
1575319200,682,19885
1575333300,683,293
1575338700,685,248
1575346200,680,2
1575347100,680,2
1575347700,699,1292
1575350100,700,1290
1575350700,699,1292
1575351000,700,1290
1575411900,679,1501
1575446700,553,1
1575479700,668,352
1575485400,668,1737
1575485700,668,1265
1575486300,668,1737
1575486600,662,3267
1575486900,668,1737
1575487200,662,3217
1575487500,662,3267
1575487800,662,3217
1575500100,653,758
1575500700,653,758
1575501000,653,758
1575501300,653,758
1575501900,653,758
1575504600,653,500
1575505500,653,500
1575542100,685,61
1575574200,663,1
1575576000,663,1
1575576600,663,1
1575583200,654,300
1575584100,654,300
1575588900,650,10573
1575589500,650,10243
1575591300,614,3804
1575618300,666,1541
1575619500,666,1541
1575639300,650,1
1575665100,550,13
1575696300,599,6459
1575700200,635,1
1575750000,629,3263
1575752400,629,3263
1575752700,629,3263
1575753000,629,3263
1575753300,629,3235
1575786000,600,1797
1575838200,595,46
1575849900,575,69
1575850800,575,69
1575853200,537,1871
1575855000,618,7550
1575926100,601,52
1575930000,601,52
1576012500,564,4416
1576068300,501,1234
1576068600,501,1234
1576068900,501,1234
1576070700,500,1242
1576073700,500,1242
1576074000,500,1242
1576074600,500,1242
1576077300,506,1
1576080000,506,1
1576092000,506,3726
1576101000,504,552
1576167000,503,8889
1576192500,456,1
1576193100,456,1
1576195200,456,1
1576199700,459,5051
1576202400,507,390
1576202700,506,391
1576203000,507,390
1576209900,459,137
1576215600,507,120
1576215900,507,120
1576216200,507,120
1576224300,485,447
1576225500,485,447
1576248900,460,505
1576249800,480,1
1576264500,490,4
1576275600,510,1
1576282800,492,279
1576290300,502,1
1576307100,505,1800
1576307700,505,1800
1576311900,493,72
1576312500,493,72
1576312800,493,72
1576313100,493,72
1576314600,493,72
1576316100,510,1344
1576342200,484,56
1576344300,504,308
1576346100,499,399
1576347900,480,92
1576353300,495,1
1576364400,511,2569
1576366200,506,1196
1576368000,515,500
1576378800,481,178
1576382400,494,1293
1576384200,494,1292
1576408200,482,1
1576422900,503,1
1576430100,503,615
1576444800,507,357
1576445100,507,357
1576445700,507,357
1576446300,507,357
1576455600,496,1
1576468500,486,1401
1576472100,499,555
1576473600,499,555
1576555800,509,10218
1576556100,509,10218
1576559400,540,49
1576559700,540,49
1576560600,540,49
1576593600,510,12
1576594500,510,12
1576594800,510,12
1576595100,510,12
1576627200,543,660
1576628400,552,2860
1576629900,554,5547
1576631700,550,3729
1576636500,541,11302
1576639200,537,12945
1576639500,537,14247
1576639800,537,12945
1576642500,525,2893
1576679100,540,14241
1576705500,555,1417
1576705800,555,217
1576706400,555,1417
1576706700,555,1417
1576707000,555,1417
1576707300,555,1417
1576711200,521,1
1576712100,521,1
1576714500,554,327
1576727700,541,312
1576780500,588,167
1576793100,560,1
1576794900,560,1112
1576795200,560,1112
1576796400,560,1112
1576798200,558,2
1576799100,558,2
1576799400,558,2
1576800000,558,2
1576802100,557,3171
1576803900,559,7994
1576805700,559,7933
1576806000,559,7933
1576806600,559,7933
1576806900,559,7933
1576807500,540,119
1576809300,560,900
1576822200,549,1
1576827600,549,2501
1576827900,549,2501
1576828200,549,2501
1576828500,549,2501
1576829400,549,2501
1576829700,549,2501
1576849500,575,1
1576851300,575,1
1576853100,575,1571
1576854900,575,1570
1576865700,574,3202
1576898700,556,167
1576900500,556,168
1576902300,581,281
1576904100,582,280
1576947900,578,1909
1576949700,578,1909
1576951500,579,1
1576964400,585,2050
1576979100,593,2153
1576988100,571,1
1577004600,595,1
1577046900,558,2659
1577049000,558,2459
1577049900,558,2659
1577053800,571,1998
1577055600,571,1998
1577056500,571,1998
1577056800,571,1998
1577057400,571,1998
1577057700,576,4086
1577076000,575,1
1577115600,550,748
1577117100,526,168
1577117700,526,168
1577118000,526,168
1577119200,526,834
1577119500,526,168
1577119800,526,833
1577132700,570,300
1577133000,570,300
1577133300,570,300
1577133600,570,300
1577133900,570,300
1577134500,570,300
1577135400,530,1313
1577157300,530,2
1577171700,534,1330
1577172000,534,1330
1577172300,534,1330
1577172900,534,1330
1577194500,541,594
1577202300,541,148
1577204400,579,8842
1577204700,579,8842
1577205300,579,8842
1577218500,541,1
1577231400,543,782
1577236800,542,1
1577238600,542,2
1577244300,550,1
1577271600,558,5713
1577291700,560,502
1577310000,517,1036
1577348100,531,86
1577402700,522,27
1577424600,520,83
1577440800,555,1
1577466000,548,1
1577466300,548,1
1577466600,548,1
1577477400,548,1857
1577479800,547,1
1577480400,547,2
1577480700,577,1800
1577490000,580,50
1577492100,574,5
1577496600,598,72
1577582400,588,1077
1577604000,565,655
1577609100,560,721
1577670300,563,87
1577680500,568,911
1577682000,600,1205
1577683800,600,1204
1577684100,600,1205
1577684400,600,1204
1577711700,601,90
1577724600,573,1
1577738400,573,101
1577749800,604,897
1577760900,583,30
1577773200,579,323
1577791800,573,11011
1577815500,586,1
1577819400,586,318
1577833800,586,100
1577858100,586,1
1577899200,572,1
1577901000,585,201
1577902800,586,200
1577904600,558,11000
1577917500,586,2667
1577934000,500,5
1577960100,512,1872
1577963700,551,2
1577976600,525,1852
1578009900,570,440
1578026700,532,1
1578044700,530,1
1578063000,549,834
1578091800,532,1
1578099300,533,30
1578114000,534,1
1578115200,534,1
1578117900,532,1
1578157800,543,394
1578165000,543,400
1578188700,520,233
1578189300,520,233
1578189900,520,233
1578190200,520,233
1578190500,520,233
1578191100,520,233
1578192600,525,1
1578194400,525,1
1578204000,525,2
1578209400,525,1
1578251700,524,1
1578254100,520,82
1578254400,520,82
1578254700,520,81
1578255900,520,81
1578278400,535,771
1578279300,535,771
1578279900,535,771
1578284100,525,432
1578373200,534,1605
1578375000,534,9919
1578420300,518,626
1578495000,537,1
1578495900,537,1
1578503100,555,6571
1578507000,539,1500
1578537600,520,30569
1578590100,534,17
1578593700,516,695
1578603000,515,1
1578612300,519,2137
1578614100,519,1
1578615900,519,1
1578618000,532,201
1578627300,518,1
1578636600,534,1
1578638400,534,576
1578694800,538,519
1578696600,538,1
1578700500,544,1484
1578702300,531,10992
1578704100,531,10991
1578715200,506,57
1578726300,506,667
1578783900,536,1
1578785700,540,2
1578787800,545,1
1578802500,537,1076
1578834600,545,80
1578842400,562,4
1578858900,536,41
1578862500,550,62
1578864300,550,62
1578870000,568,5915
1578871800,570,481
1578901200,548,1
1578952500,533,107
1579036200,563,1
1579038000,567,469
1579039800,568,468
1579041600,579,181
1579043400,579,181
1579054500,553,22
1579067400,585,154
1579082400,614,1
1579123500,566,172
1579127400,567,5448
1579129200,577,419
1579131000,577,419
1579134900,592,975
1579194600,581,13934
1579196700,581,13934
1579222200,589,364
1579225800,579,65
1579236900,561,1
1579274700,558,1
1579276500,579,4268
1579278300,579,4267
1579283700,579,1791
1579285500,579,1791
1579287300,579,1
1579289400,579,1528
1579294800,551,2081
1579296600,550,1239
1579298400,551,58
1579300200,558,945
1579302000,558,945
1579305600,560,1958
1579309500,551,228
1579317000,565,4001
1579320600,565,16
1579358100,573,914
1579372800,580,628
1579378200,580,150
1579380000,580,150
1579396500,580,56
1579431900,590,1
1579470900,603,116
1579542000,608,127
1579545900,608,20
1579547700,600,73
1579551300,600,191
1579564200,600,3947
1579595100,571,862
1579643700,600,1
1579649100,600,552
1579652700,626,1
1579654500,626,1
1579665600,587,221
1579721700,637,3901
1579725300,637,5795
1579745700,654,1316
1579747500,654,4116
1579749300,654,3536
1579756800,627,273
1579758600,627,765
1579795800,630,1
1579805100,630,4985
1579806900,629,5074
1579808700,614,3891
1579810500,614,5092
1579812300,616,1290
1579823100,618,1
1579826700,619,1391
1579830600,617,243
1579839600,618,1
1579845000,626,36
1579857900,621,1
1579891500,790,101
1579906200,684,3
1579909800,649,451
1579922400,636,4081
1579924200,641,3144
1579974000,623,9506
1579981200,606,1
1579983000,629,501
1579984800,630,1000
1579986600,630,500
1579988400,630,2500
1579990200,629,2602
1579992000,622,108
1579999500,601,132
1580001300,602,358
1580004900,602,834
1580008500,603,1550
1580012400,603,63
1580017800,603,134
1580019600,603,134
1580038500,602,1991
1580040300,602,1991
1580043900,624,4
1580055000,603,3034
1580056800,603,3034
1580067900,616,2
1580073300,600,4
1580084100,547,248
1580088000,609,7258
1580091600,600,19
1580150100,535,1
1580157300,500,101
1580159100,500,1
1580171700,605,66
1580173500,605,66
1580174100,605,66
1580197800,551,1
1580251800,615,1636
1580264400,624,5002
1580286000,575,1
1580314800,583,227
1580331000,497,1
1580345400,502,1
1580359800,515,147
1580385300,570,348
1580406900,571,1
1580414100,582,109
1580415900,582,109
1580450100,565,1
1580473500,563,1068
1580480700,577,1
1580493600,604,13895
1580495400,603,13896
1580497200,599,104
1580499000,600,103
1580506200,604,4701
1580513700,600,1
1580517300,604,9190
1580522700,604,10534
1580524500,617,2355
1580528100,618,2397
1580546400,616,1
1580568900,593,10
1580574300,610,1
1580576100,610,1
1580587200,597,96
1580601600,619,303
1580618100,600,263
1580640000,604,1007
1580654700,580,1430
1580667600,562,1
1580669400,562,1
1580678400,579,64
1580682000,580,72
1580683800,580,72
1580689200,605,78
1580694600,580,1
1580698200,602,318
1580700000,580,22
1580703900,582,142
1580727900,604,59
1580744700,600,1
1580751900,585,517
1580759400,581,7858
1580761200,581,7858
1580763000,595,1547
1580773800,610,1
1580775600,596,80
1580782800,584,20
1580786400,583,934
1580788200,584,1
1580790000,584,1
1580801100,595,111
1580850900,604,215
1580863800,628,905
1580865600,628,905
1580867400,631,2683
1580869200,631,2683
1580871000,628,60
1580872800,649,1144
1580878200,691,45
1580881800,700,1
1580891100,628,1
1580912700,600,577
1580914500,600,577
1580918100,605,1
1580919900,605,1
1580923500,564,156
1580932500,556,1145
1580934300,586,589
1580936100,587,588
1580937900,575,2
1580943600,580,1
1580952600,583,486
1580967000,603,12514
1580979900,575,1
1581051300,525,1
1581056700,526,1000
1581125400,523,10917
1581136200,453,46
1581175500,494,1
1581177300,494,1
1581201000,500,2425
1581206400,496,148
1581208500,496,148
1581210300,496,1
1581212100,496,1
1581219300,519,47
1581226500,496,1480
1581228300,518,1025
1581267300,471,2
1581283800,466,129
1581285600,466,129
1581291000,468,46
1581292800,468,46
1581296400,500,69
1581305400,494,308
1581321900,499,254
1581333300,491,8422
1581377100,472,1201
1581430800,468,72
1581432600,468,72
1581452700,483,2
1581488700,471,333
1581490500,471,333
1581529200,461,1
1581543600,480,347
1581558000,472,1
1581590400,502,1622
1581605700,503,1
1581623700,505,109
1581625500,506,1332
1581627300,506,1332
1581630900,512,1
1581632700,512,1401
1581634500,512,1400
1581639900,523,466
1581642000,523,466
1581652800,528,1
1581691500,489,1
1581696900,488,1
1581698700,488,1
1581713100,510,6472
1581714900,510,10001
1581716700,511,5029
1581729600,511,2
1581730200,511,2
1581730500,511,2
1581730800,511,2
1581733500,511,2
1581783600,586,85
1581792600,522,61
1581793500,522,61
1581794100,522,61
1581795900,536,100
1581796800,536,100
1581797100,536,100
1581797400,536,100
1581797700,536,100
1581799800,511,401
1581801600,584,26825
1581803400,586,26424
1581819900,525,1
1581841200,511,1777
1581864900,504,15362
1581865500,504,15362
1581866400,504,15362
1581868500,499,380
1581876900,490,1
1581877500,490,1
1581878100,490,1
1581878700,490,1
1581880800,490,1
1581889500,432,14
1581908100,495,155
1581924900,490,1
1581941100,505,866
1581944700,519,1001
1581963600,490,1
1581969900,496,515
1582003500,505,107
1582061700,476,2
1582063800,476,2
1582114200,507,109
1582135800,503,1710
1582137900,507,1266
1582138200,507,1266
1582138800,507,1266
1582194900,483,1889
1582197000,503,2
1582197600,496,327
1582197900,503,2
1582198500,505,526
1582200300,505,525
1582204200,518,2000
1582205100,518,2000
1582205400,518,2000
1582205700,518,2000
1582206600,518,2000
1582206900,518,2000
1582207500,518,2000
1582217400,542,19978
1582217700,542,19978
1582218000,542,19978
1582218300,542,19978
1582218600,542,19978
1582219200,542,19978
1582222800,575,303
1582224600,572,520
1582228500,566,3783
1582233900,541,1
1582239300,558,1
1582251600,541,126
1582289100,520,2
1582293900,526,97
1582299300,550,1
1582299600,550,1
1582299900,550,1
1582300200,550,1
1582313100,520,39
1582314300,520,39
1582314900,520,39
1582315200,520,39
1582315500,520,39
1582323000,557,1
1582323600,557,1
1582324500,557,2109
1582325700,557,2109
1582326900,558,2107
1582330500,557,2001
1582334700,557,2102
1582355400,531,25151
1582382400,532,1081
1582388100,557,44
1582388700,557,44
1582392000,557,44
1582397700,557,4855
1582415700,535,111
1582422900,555,2873
1582428300,532,34
1582430100,532,1
1582435500,536,6016
1582472700,580,1100
1582501500,551,1257
1582504500,550,169
1582504800,550,169
1582505100,550,169
1582505700,550,1
1582514700,555,1192
1582517700,554,2559
1582518300,554,2559
1582518600,554,2559
1582519200,554,2559
1582519500,554,2559
1582519800,554,2559
1582520100,554,2559
1582520700,554,2559
1582549500,561,32
1582569600,561,612
1582570500,561,1414
1582570800,561,612
1582571100,561,1414
1582571700,561,1414
1582575000,550,3372
1582575300,550,3372
1582575600,550,3372
1582578600,569,17495
1582578900,570,17494
1582579200,569,17495
1582581300,554,2
1582581600,554,2
1582581900,554,2
1582601700,560,818
1582607400,571,1
1582607700,571,1
1582608300,571,1
1582609200,571,1
1582634700,589,1249
1582650900,577,1
1582652400,582,2
1582654800,584,2693
1582655100,584,2520
1582655700,584,2693
1582656600,584,2691
1582656900,584,2692
1582657500,584,2691
1582670700,575,229
1582674600,572,1509
1582683600,570,739
1582691100,573,49
1582698300,580,1
1582719900,582,62
1582748400,548,68
1582749900,548,68
1582811700,582,72
1582812000,582,72
1582812600,582,72
1582840500,550,3
1582842300,570,108
1582842600,550,3
1582842900,570,108
1582844100,570,105
1582850700,554,10690
1582851000,553,162
1582851600,554,10690
1582857300,548,26
1582858200,548,26
1582858500,548,26
1582858800,569,287
1582860600,569,286
1582861200,569,286
1582861500,569,286
1582866300,556,84
1582868100,556,85
1582869900,552,1
1582877100,551,14
1582899600,562,1
1582906800,552,49
1582930800,572,1195
1582934100,571,40
1582934400,572,1195
1582934700,571,40
1582940400,562,307
1582989000,591,1688
1582996500,562,2
1582996800,562,1
1582997400,573,152
1582997700,562,2
1582998000,573,152
1582998600,573,1058
1582998900,573,152
1582999200,573,1057
1583000100,574,1056
1583001000,574,906
1583003700,534,47
1583004000,534,47
