timestamp,avg,qty
1575261000,300,1
1575552600,1000,1
1575865800,234,1
1576008900,500,200
1576267500,998,1
1576958700,3000,2
1577043300,978,1
1577053800,520,50
1577631000,500,1
1577911800,450,1
1577928300,451,30
1577976600,500,1
1580967000,999,1
1581260100,9999,1
1581534600,5000,1
1581974400,4998,1
1582154400,2000,3
1582156500,1999,4
1582336500,499,10
1582824000,399,30
1583115900,498,1
1583214600,300,10
1583562300,497,1
1583602200,448,2
1583958900,497,1
1584511800,400,1
1585434300,490,100
1585525200,500,1
1585599000,950,1
1585777200,9937,1
1586202900,498,1
1586364000,499,1
1586465700,4999,1
1586472900,499,10
1586491200,4999,1
1586715300,1000,10
1586859600,495,1
1587025500,500,1
1587062100,58,1
1587082200,500,1
1587247500,20000,1
1588206300,300,1
1588269900,250,1
1588448100,400,1
1588561200,58,60
1588878900,249,1
1588911600,53,20
1588998900,56,10
1589031900,249,200
1589042700,58,1
1589076600,56,1
1589142900,55,5
1589324100,58,1
1589768700,56,1
1589904900,400,1
1589957400,40,1
1590099300,400,2
1593077100,3000,1
1593279300,395,100
1593652500,15000,1
1593791100,2000,1
1593845700,1990,1
1593847500,1660,3
1593849300,1495,2
1593980400,1000,1
1594086000,789,13
1594137600,3000,7
1594309200,144,8
1594353600,62,20
1594645200,2000,61
1594903800,62,2
1595226600,2000,4
1595944500,65,10
1596405000,2000,1
1596592200,300,4
1596911700,132,10
1596993600,1333,1
1598041800,1248,1
1598760000,1000,30
1601651100,1999,1
1601956500,302,1
1602251400,1000,1
1602804000,400,1
1603263300,64,30
1603761000,400,30
1604642100,1000,1
1604889300,84,5
1604891100,94,6
1604892900,149,1
1605197700,84,57
1605396000,99,1
1605441300,1000,11
1605444900,1184,750
1605446700,24121,6
1605492000,99,1
1605950700,1000,10
1606186500,99,13000
1606388100,124,13000
1606407000,125,1160
1606788300,150,2
1606799100,1000,1
1606878600,150,12305
1606970100,130,13000
1607129700,150,1
1607180700,125,15481
1607184000,120,1
1607380800,1000,1
1607485500,120,12167
1607567100,130,22108
1607664900,400,665
1607750100,60,1
1607991600,199,1
1608271800,1000,1
1608429900,206,114
1609363800,199,1
1609915800,99,1
1610047200,300,1
1610808300,1000,1
1611520500,99,1
1611863700,500,90
1612226100,6498,1
1612880400,375,60
