timestamp,avg,qty
1574975400,1778,1059
1574976900,1764,1258
1574977200,1756,961
1574977500,1764,1258
1574978100,1756,961
1574978400,1741,838
1574982600,1740,2004
1574982900,1741,2904
1574983200,1740,2004
1574983500,1720,104
1574987100,1724,1
1574987700,1720,100
1574988000,1727,2
1574988300,1724,1
1574988900,1727,2
1574990400,1720,2062
1574992800,1721,6060
1574994300,1722,3000
1574996400,1725,1000
1574997900,1718,2000
1575000000,1713,1049
1575001500,1715,513
1575003600,1707,1868
1575005100,1702,1875
1575007200,1674,934
1575008700,1656,462
1575014100,1719,6002
1575018000,1718,2
1575019800,1712,11301
1575023700,1711,1903
1575025200,1710,837
1575032700,1740,1
1575034500,1735,2
1575036000,1739,3280
1575038100,1740,3279
1575042000,1739,328
1575043500,1736,17
1575043800,1735,18
1575044100,1736,17
1575044400,1735,18
1575045000,1736,17
1575045300,1735,15
1575047700,1723,4
1575049200,1721,8644
1575055200,1734,1
1575064200,1721,1
1575066000,1703,15801
1575069900,1715,4106
1575071700,1719,8806
1575073500,1723,5011
1575075300,1727,311
1575079200,1730,1
1575081000,1729,342
1575082800,1728,343
1575084600,1723,2
1575086700,1721,1
1575088500,1729,2000
1575090300,1722,501
1575093900,1739,1
1575102900,1740,2300
1575108600,1736,1
1575109800,1731,1002
1575111300,1732,2823
1575111600,1731,1004
1575112200,1732,2823
1575113700,1734,2264
1575114900,1738,442
1575117300,1743,5
1575120300,1755,505
1575120900,1753,1100
1575121200,1750,1560
1575122100,1753,1100
1575122400,1760,4260
1575122700,1750,1560
1575123000,1741,13860
1575123600,1760,4260
1575123900,1741,13860
1575126300,1734,10403
1575126900,1730,6403
1575127200,1734,10403
1575127800,1730,6403
1575130500,1729,302
1575133800,1723,3065
1575137700,1730,3001
1575140700,1731,5385
1575141000,1730,3001
1575141300,1733,2384
1575141900,1731,5385
1575142200,1733,2384
1575142500,1734,6389
1575146100,1731,3211
1575146400,1734,4706
1575146700,1730,2611
1575147300,1731,3211
1575147900,1729,2522
1575149700,1725,4512
1575150000,1729,2522
1575150300,1725,4512
1575150600,1723,4011
1575150900,1725,4512
1575151200,1723,4011
1575151800,1720,7001
1575153900,1717,3002
1575154200,1720,5002
1575155100,1717,3002
1575155700,1714,4868
1575156000,1726,1
1575156300,1714,4868
1575157500,1713,7800
1575157800,1714,6000
1575158100,1713,7800
1575158400,1714,6000
1575158700,1713,7800
1575160800,1700,3808
1575161400,1689,2008
1575161700,1700,3808
1575162000,1689,2008
1575162900,1666,10011
1575164700,1661,8011
1575165000,1653,6008
1575165600,1661,8011
1575165900,1676,6
1575166200,1653,6008
1575166500,1676,6
1575168300,1661,1
1575170100,1646,1
1575173700,1660,2003
1575175200,1675,5006
1575175500,1666,9460
1575177300,1656,4454
1575181200,1695,1
1575184800,1662,6243
1575187500,1691,223
1575188100,1662,6244
1575188400,1691,223
1575189000,1689,1
1575192300,1700,2
1575199800,1711,3
1575201300,1707,4
1575201600,1711,3
1575202200,1707,4
1575204900,1710,2004
1575205200,1707,5
1575205800,1710,2004
1575207000,1711,2091
1575207300,1710,2004
1575207600,1711,2091
1575213300,1710,2000
1575214500,1709,2050
1575214800,1710,2000
1575215100,1709,1050
1575218700,1711,6998
1575219300,1710,2798
1575219600,1711,6998
1575219900,1712,4998
1575222300,1725,2905
1575222900,1712,4202
1575223200,1717,16501
1575223800,1725,2905
1575224100,1717,16501
1575225900,1715,13598
1575227100,1730,101
1575228000,1731,801
1575228300,1730,101
1575228600,1731,801
1575230100,1757,1456
1575230700,1781,5367
1575232200,1789,4666
1575235800,1949,10
1575237300,1945,1010
1575238800,1946,7480
1575239100,1945,1010
1575239400,1946,7480
1575240600,1915,10975
1575242700,1896,13005
1575243600,1887,15721
1575243900,1896,13005
1575244200,1887,15721
1575244800,1907,17623
1575246300,1916,17780
1575246600,1922,10583
1575246900,1916,17780
1575247200,1922,10583
1575247500,1916,17780
1575247800,1922,10583
1575248100,1939,3324
1575252000,1910,26
1575253800,1900,462
1575257400,1782,29
1575259200,1799,2144
1575264600,1790,3
1575266400,1788,9
1575272100,1784,822
1575279000,1754,1
1575279300,1753,2
1575279900,1754,1
1575280500,1753,2
1575284400,1789,4
1575285300,1690,13004
1575285600,1789,4
1575286200,1694,14106
1575287700,1703,15519
1575288600,1771,2515
1575288900,1703,15515
1575289500,1771,2515
1575290100,1784,1414
1575290700,1782,1
1575291000,1784,1414
1575291600,1782,1
1575294600,1778,1
1575296400,1764,402
1575297000,1778,101
1575297300,1764,402
1575297600,1770,1102
1575300300,1772,3550
1575300900,1770,1750
1575302100,1774,1000
1575303300,1761,2
1575303900,1757,3
1575304200,1761,2
1575304500,1758,4
1575304800,1757,3
1575305100,1758,4
1575305400,1757,3
1575305700,1758,4
1575306600,1755,2
1575307800,1749,2421
1575311400,1748,1088
1575311700,1749,3507
1575312000,1748,1088
1575312300,1747,3409
1575312600,1748,1088
1575313200,1747,3001
1575315000,1759,3
1575315300,1747,3001
1575315600,1759,3
1575319200,1730,856
1575322800,1722,7304
1575324600,1713,8814
1575325800,1714,5517
1575326100,1713,8814
1575326400,1714,5568
1575327900,1742,3329
1575329400,1741,5999
1575329700,1742,3329
1575330000,1741,5999
1575331800,1725,5676
1575332100,1741,3359
1575332400,1725,5676
1575333300,1712,3000
1575334800,1705,5003
1575336900,1696,2008
1575337200,1702,14008
1575337500,1696,2008
1575337800,1702,14008
1575338100,1696,2008
1575338400,1702,14008
1575340500,1703,15000
1575340800,1701,3224
1575341400,1703,15000
1575342000,1701,3224
1575342600,1698,4190
1575343500,1699,4330
1575343800,1698,4190
1575344400,1697,7156
1575344700,1698,4957
1575345300,1697,7156
1575346200,1695,9811
1575346800,1696,10051
1575347100,1695,9811
1575347400,1696,10051
1575347700,1695,8425
1575350100,1707,3
1575351600,1710,753
1575357300,1699,401
1575357900,1700,1
1575358200,1699,401
1575358800,1698,1201
1575360900,1697,14000
1575364200,1690,1
1575368100,1694,17417
1575369900,1695,16000
1575372000,1696,700
1575375600,1697,4
1575381000,1696,3883
1575386400,1695,418
1575388200,1694,360
1575397500,1690,11
1575399000,1688,3061
1575400800,1695,4525
1575402600,1696,3439
1575404700,1684,977
1575406200,1698,6094
1575408000,1697,7096
1575410400,1689,5853
1575411900,1688,5858
1575414000,1685,1018
1575416100,1695,5
1575417600,1693,6
1575419400,1679,211
1575420300,1680,216
1575420900,1690,2810
