timestamp,avg,qty
1575112500,428,2
1575171900,100,1
1575173700,100,1
1575252900,500,1
1575264600,422,5
1575266400,483,41
1575319200,398,1
1575320100,398,1
1575320400,398,1
1575320700,398,1
1575321300,398,1
1575329400,580,1
1575346200,580,1
1575354900,3000,6
1575521100,772,1
1575587100,452,1
1575603300,467,49
1575683700,350,9
1575687300,350,9
1575688200,350,9
1575688800,350,9
1575755400,1000,1
1575761100,971,7
1575762900,979,10
1575764700,1000,3
1575765600,966,6
1575765900,1000,3
1575768300,1000,2
1575769200,1000,4
1575770400,637,7
1575770700,1000,3
1575771000,637,7
1575771300,1000,3
1575771900,576,6
1575774300,1000,1
1575774900,492,5
1575775200,1000,1
1575775500,745,2
1575775800,1000,1
1575776100,745,2
1575823800,321,1
1575861900,1000,1
1575943200,101,1
1575944400,101,1
1575944700,101,1
1575945000,105,85
1575947400,105,84
1575947700,105,85
1575948000,105,84
1575948300,505,1
1575999900,470,4
1576000500,508,1
1576000800,470,4
1576040700,997,1
1576144500,518,3
1576149900,515,6
1576163100,515,1
1576188900,575,11
1576297800,523,5
1576360800,533,1
1576364400,533,1
1576433700,508,2
1576446600,508,4
1576450200,508,1
1576452000,508,1
1576606800,333,1
1576608600,333,1
1576608900,333,1
1576609800,333,1
1576720200,249,1
1576722000,249,1
1576727100,246,10
1576980600,167,1
1576984500,150,1
1577223900,103,1
1577226000,157,2
1577227500,212,1
1577463000,199,2
1577466000,103,1
1577467800,103,1
1577557800,150,1
1577566800,235,4
1577639100,242,1
1577711100,2071,2
1577711700,2428,3
1577712300,2071,2
1577712600,2428,3
1577712900,2428,3
1577734800,344,2
1577742300,426,2
1577743200,426,2
1577743800,426,2
1577746200,4000,6
1577937600,216,1
1577939400,216,1
1577993400,202,3
1578155400,237,1
1578554400,300,1
1578555000,300,1
1578555300,300,1
1578720900,412,92
1578722700,412,91
1578743100,355,1
1578767400,484,14
1578782100,556,5
1578782700,594,155
1578783000,556,5
1578798900,500,1
1578871800,350,3
1578882600,498,18
1578978300,310,1
1578980400,310,1
1579039800,294,1
1579116300,390,1
1579127400,299,6
1579129200,299,14
1579131000,300,161
1579132800,300,298
1579158600,294,2
1579160400,294,2
1579202100,315,150
1579229700,323,1
1579318800,335,8
1579326000,323,2
1579378200,474,2
1579385400,521,5
1579387500,551,4
1579392900,800,2
1579400100,2000,1
1579450800,349,1
1579478100,323,1
1579530600,349,1
1579566000,330,1
1579662000,472,2
1579723500,642,1
1579751100,300,1
1579823100,371,1
1579893300,612,3
1579900500,715,3
1579990200,986,16
1580038500,1080,2
1580058900,1258,7
1580073300,955,3
1580076900,1080,1
1580078700,861,4
1580080500,890,17
1580166300,988,12
1580196000,760,20
1580260800,370,2
1580264400,461,4
1580327400,446,5
1580403300,583,1
1580464500,517,2
1580477100,437,2
1580502600,480,1
1580533500,480,1
1580598000,600,1
1580673000,600,1
1580674800,600,1
1580768400,535,1
1580814300,601,3
1580956200,656,3
1580970900,509,1
1581118200,766,1
1581123600,696,154
1581217500,766,2
1581371700,699,1
1581461700,669,1
1581463500,669,1
1581516600,655,81
1581529200,250,1
1581531000,250,1
1581538200,655,1
1581618300,532,1
1581639900,655,3
1581680400,670,4
1581691500,655,5
1581716700,628,1
1581799800,628,151
1581867000,404,1
1581870000,404,1
1581870300,405,2
1581871500,405,2
1581875700,405,2
1581879300,521,1
1581880500,521,1
1581888300,606,1
1581889200,606,1
1581922800,590,8
1582034400,621,1
1582108500,796,2
1582110300,796,2
1582110600,796,2
1582110900,796,2
1582157100,576,1
1582158000,576,1
1582224600,701,1
1582239300,916,1
1582257600,508,1
1582310400,728,2
1582311000,728,2
1582314900,750,3
1582315800,750,3
1582316400,750,3
1582316700,750,3
1582388100,684,50
1582388400,684,50
1582388700,684,50
1582390500,684,49
1582397700,648,3
1582448700,393,1
1582503900,583,1
1582549500,370,1
1582551900,370,1
1582566300,582,3
1582643100,370,2
1582689300,370,2
1582720200,550,3
1582727700,474,1
1582730700,474,1
1582770600,535,9
1582770900,535,9
1582771200,535,9
1582818300,300,1
1582899600,513,1
1582925700,500,1
1582927200,500,1
1582927500,500,1
1582928100,500,1
1582928400,500,1
1582934100,464,2
1582934700,464,2
1582935000,464,2
1582935600,464,2
1582969500,450,6
1582997400,539,1
1583014200,496,9
1583016000,496,11
1583017800,496,10
1583019600,496,11
1583032200,427,1
1583088900,489,1
1583187000,503,3
1583358300,444,6
1583469900,539,1
1583535900,370,1
1583537700,383,2
1583539500,396,1
1583544900,370,1
1583557800,500,19
1583558700,500,19
1583559600,500,19
1583559900,500,19
1583560200,500,19
1583634900,385,13
1583688300,370,1
1584043500,398,2
1584045300,398,2
1584208200,376,1
1584213900,376,1
1584286800,394,2
1584296100,378,1
1584305100,392,1
1584306900,392,1
1584342000,371,2
1584349200,371,2
