timestamp,avg,qty
1574974800,18,144
1574983500,16,2
1574989500,17,21
1574994300,18,302
1575000000,17,1201
1575003600,18,1
1575007200,17,2739
1575008700,15,565
1575010800,18,11
1575015900,17,201
1575036000,19,501
1575038100,20,500
1575038400,19,501
1575038700,20,500
1575039600,17,300
1575043500,15,101
1575049200,19,300
1575052800,20,1500
1575060600,16,301
1575068100,17,26
1575073500,19,301
1575075300,20,300
1575079200,16,544
1575082800,20,1
1575093900,16,170
1575097500,15,1
1575113700,17,300
1575120300,19,175
1575129900,20,100
1575132000,17,1
1575144900,20,251
1575164700,19,410
1575165900,18,710
1575166200,19,410
1575166500,18,410
1575170100,20,33
1575171900,19,571
1575172800,20,475
1575173100,19,571
1575173700,17,1188
1575175200,16,1358
1575175500,15,1166
1575181200,17,1242
1575183000,20,830
1575215100,19,200
1575220500,18,7
1575224400,16,380
1575224700,18,7
1575225000,16,380
1575228000,15,5000
1575228300,16,410
1575228600,15,5000
1575230100,17,9010
1575232200,20,4011
1575237300,17,300
1575240600,20,1
1575246300,19,216
1575250200,16,20
1575255600,19,800
1575259200,20,3
1575266400,16,300
1575273600,14,528
1575298800,16,100
1575312300,15,1
1575319200,10,920
1575322800,11,3
1575344100,17,1
1575366000,15,1
1575372000,17,13000
1575399000,13,131
1575402600,14,30
1575404700,13,290
1575414000,10,159
1575427200,11,3
1575431700,14,200
1575442800,11,100
1575444600,12,247
1575457800,11,27
1575468300,13,3
1575484500,14,1000
1575484800,13,1200
1575485400,14,1000
1575496200,13,3100
1575499500,12,4588
1575500100,10,2172
1575500400,12,4588
1575500700,10,2172
1575504300,11,1
1575509100,13,200
1575540600,12,1
1575548400,11,100
1575560700,10,254
1575566100,12,32
1575576300,11,200
1575578400,10,500
1575579600,11,550
1575579900,10,500
1575580200,11,550
1575587100,12,420
1575593100,10,100
1575598800,12,10000
1575613500,10,200
1575636300,7,1
1575640500,9,300
1575645600,12,32
1575654600,9,1000
1575658500,12,1
1575674400,8,2
1575676800,11,2003
1575677100,8,2
1575677700,11,2003
1575682200,8,13
1575704400,9,100
1575705000,8,101
1575705300,9,100
1575707700,10,1
1575715200,9,2000
1575724500,8,100
1575732900,9,1009
1575750000,10,1
1575751200,8,201
1575751500,10,1
1575752400,9,2
1575752700,10,1
1575753000,9,2
1575768300,7,148
1575781800,9,300
1575782100,7,249
1575782400,9,300
1575786600,7,353
1575786900,9,131
1575787800,7,353
1575793800,10,209
1575797700,9,200
1575825600,11,300
1575827700,9,835
1575858600,12,215
1575861900,9,103
1575862200,12,215
1575862500,9,103
1575865800,10,553
1575889500,9,1100
1575897600,13,10305
1575905400,14,1
1575908100,12,500
1575909000,11,1550
1575910200,10,1150
1575910500,11,1550
1575911100,10,1361
1575922200,9,500
1575933900,10,1588
1575938400,11,286
1575940800,9,31
1575953700,11,14
1575956100,12,68
1575956400,11,82
1575957000,12,68
1575965400,9,81
