timestamp,avg,qty
1574975400,708142,14
1574978400,711787,7
1574979000,713189,8
1574979600,711787,7
1574979900,713189,8
1574980200,712946,9
1574982600,711944,2
1574982900,711269,7
1574983200,711944,2
1574983500,712888,1
1574985300,711913,1
1574987100,710956,2
1574987700,711913,1
1574988000,710576,4
1574988300,710956,2
1574988900,710576,4
1574989500,712478,5
1574991000,716000,2
1574991600,712478,5
1574991900,716000,2
1574994300,735677,1
1574996400,734626,4
1574997900,720978,8
1575000000,710505,12
1575001500,708724,7
1575012000,700650,1
1575023400,715000,1
1575029100,697995,1
1575034500,703000,4
1575036000,704156,10
1575038100,709407,2
1575038400,704928,6
1575038700,709407,2
1575039600,704622,2
1575042000,704998,1
1575042600,704622,2
1575042900,704998,1
1575043500,705071,11
1575043800,705482,12
1575044100,705071,11
1575044400,705482,12
1575045000,705071,11
1575045300,705752,13
1575045600,705482,12
1575045900,705752,13
1575047700,708993,1
1575058500,706000,3
1575060600,702666,9
1575062100,701454,11
1575062400,701000,12
1575062700,699333,9
1575063300,701000,12
1575063600,699333,9
1575064200,697000,2
1575066000,698000,1
1575067800,696333,6
1575068100,696000,5
1575073500,689999,1
1575075300,692498,2
1575077100,694998,1
1575086700,742500,2
1575088500,723300,10
1575090300,718500,8
1575092100,712000,2
1575099600,712346,1
1575114900,712320,2
1575117300,712295,1
1575129900,713196,3
1575130500,713647,2
1575132000,715000,1
1575133800,713598,1
1575135900,760000,1
1575136200,713598,1
1575136800,760000,1
1575137700,756893,2
1575138000,760000,1
1575138600,756893,2
1575139500,757483,3
1575140700,756225,2
1575141000,757483,3
1575141300,758664,1
1575141900,756225,2
1575142200,758664,1
1575151800,740000,4
1575153300,737200,5
1575153600,740000,4
1575153900,737200,5
1575155700,726000,1
1575159300,740000,1
1575168300,739124,1
1575170100,738954,2
1575171900,738409,2
1575172800,738954,2
1575173100,738409,2
1575173700,738329,2
1575175500,733092,7
1575177300,732170,6
1575183000,739124,1
1575184800,738367,2
1575186600,737610,1
1575198000,733000,4
1575199800,732977,5
1575201300,732886,1
1575201600,732977,5
1575202200,732886,1
1575204000,730000,1
1575208800,731500,2
1575209100,730000,1
1575209400,731500,2
1575210600,733000,1
1575210900,731500,2
1575211200,733000,1
1575214500,732880,1
1575218700,732000,5
1575224400,731987,7
1575224700,732000,6
1575225000,731987,7
1575225900,731913,1
1575228900,731844,7
1575230100,731789,12
1575232200,736426,6
1575232800,733959,13
1575233400,742666,3
1575235800,747333,12
1575237300,750124,13
1575238800,752512,9
1575239100,750124,13
1575239400,752512,9
1575240600,760500,2
1575242700,765000,4
1575244800,771000,5
1575246300,769285,7
1575249000,765000,6
1575257400,785000,1
1575259200,772500,6
1575261000,770000,5
1575268200,769850,1
1575270300,769724,7
1575270600,769850,1
1575271200,769724,7
1575272100,769704,6
1575277200,760997,1
1575297600,749900,2
1575298800,749981,11
1575300300,749974,12
1575300900,749989,10
1575302100,749369,4
1575303300,749455,11
1575303900,749436,14
1575304200,749455,11
1575304500,749436,14
1575306300,749467,14
1575306600,749385,4
1575307800,749436,1
1575308100,749048,9
1575308400,749436,1
1575309000,749048,9
1575309300,749436,1
1575309600,749000,8
1575319200,740000,1
1575321000,744062,11
1575321300,740000,1
1575321600,744062,11
1575321900,740000,1
1575322200,744062,11
1575322800,744468,10
1575324600,744497,6
1575324900,744468,10
1575325500,744497,6
1575325800,744386,1
1575326100,744497,6
1575326400,744386,1
1575330300,744251,11
1575331200,742449,12
1575333600,722636,1
1575333900,742449,12
1575334500,722636,1
1575335400,714000,1
1575342600,716222,9
1575344100,716000,11
1575346200,719666,3
1575347700,729666,3
1575350100,730595,18
1575351600,730669,16
1575354600,730000,1
1575379200,732000,5
1575381000,733205,8
1575381300,735529,5
1575381900,733205,8
1575382200,735529,5
1575382800,734411,4
1575384600,732000,1
1575388200,733081,9
1575390000,732748,13
1575391800,732000,4
1575393600,731925,5
1575397500,731841,1
1575402600,731760,3
1575404700,736313,5
1575406200,748095,3
1575406500,758000,1
1575406800,748095,3
1575407100,758000,1
1575407700,748095,3
1575408000,749866,2
1575410400,734433,4
1575411900,732000,3
1575419400,741733,1
1575428100,797999,1
1575439200,741733,1
1575442800,740866,2
1575444000,760577,3
1575444300,740866,2
1575444600,760577,3
1575447300,800000,1
1575453600,741733,1
1575459300,741561,1
1575468300,735000,3
1575473700,736332,1
1575481500,740000,2
1575485400,695000,1
1575492000,694700,1
1575499500,696488,9
1575502200,697000,9
1575502500,696488,9
1575502800,697000,9
1575509100,736332,1
1575514800,709083,4
1575515100,736332,1
1575515400,709083,4
1575517800,700000,3
1575518100,709083,4
1575518400,700000,3
1575519600,697000,7
1575520200,701916,8
1575523500,728444,3
1575524400,725542,3
1575526500,727627,1
1575526800,725542,3
1575528000,727627,1
1575537300,726679,1
1575538200,729667,2
1575538800,726679,1
1575539100,729667,2
1575539400,718811,3
1575540000,729667,2
1575540300,718811,3
1575540900,721525,4
1575541200,718811,3
1575541500,721525,4
