timestamp,avg,qty
1574982600,120998,1
1574987100,119999,1
1574989500,116159,25
1574991000,116000,24
1574991600,116159,25
1574991900,116000,24
1574994300,122000,9
1574996400,121240,10
1574997900,118200,2
1575003600,108530,2
1575012000,122000,1
1575014100,123000,2
1575015900,124000,1
1575021600,124664,3
1575023700,124997,2
1575029100,121000,1
1575038100,125812,1
1575039600,111948,2
1575042000,107251,3
1575042600,111891,4
1575042900,107251,3
1575043500,111834,2
1575049200,1000000,1
1575051000,611500,2
1575052800,223000,1
1575055200,123000,3
1575058500,131746,1
1575062700,125473,1
1575064200,132736,2
1575066000,140000,1
1575075300,113750,5
1575086700,131746,1
1575088500,125622,2
1575090300,119499,1
1575092100,122997,1
1575099600,131737,2
1575109800,115181,1
1575110400,118212,2
1575110700,115181,1
1575111300,116285,5
1575111600,118212,2
1575112200,116285,5
1575113700,115892,7
1575114300,115026,7
1575114600,115892,7
1575114900,115046,4
1575115800,120107,5
1575116100,115046,4
1575116400,120107,5
1575117300,127767,2
1575117600,245176,2
1575117900,127767,2
1575118500,350000,1
1575118800,245176,2
1575119100,350000,1
1575135900,154738,1
1575136800,166932,2
1575139500,179126,1
1575147900,149999,1
1575151800,117350,20
1575162900,126999,1
1575168300,159999,1
1575177300,135333,3
1575179400,133499,4
1575181200,124666,3
1575192300,121243,1
1575198000,128000,1
1575210600,140111,1
1575211800,129194,2
1575212100,140111,1
1575212400,129194,2
1575214500,121389,2
1575214800,129194,2
1575215100,124502,1
1575215700,121389,2
1575216000,127250,2
1575216600,124502,1
1575216900,127250,2
1575218700,129999,1
1575219300,127250,2
1575219600,129999,1
1575220500,142000,1
1575222300,138500,2
1575222900,142000,1
1575223200,138500,2
1575224400,135528,2
1575224700,138500,2
1575225000,135528,2
1575225900,136056,1
1575232200,124502,1
1575233400,124191,2
1575234000,124460,3
1575234300,124191,2
1575235200,124460,3
1575235800,123419,14
1575237300,123384,13
1575237600,123208,12
1575237900,123384,13
1575238200,123208,12
1575238500,123384,13
1575238800,124502,1
1575239100,123208,12
1575239400,124502,1
1575239700,120593,3
1575240300,124502,1
1575240600,123711,5
1575242100,123513,4
1575242700,126759,6
1575243600,128455,5
1575243900,126759,6
1575244200,128455,5
1575244800,133251,2
1575249000,159999,1
1575250200,160999,2
1575252000,158999,3
1575252900,158500,2
1575253800,155000,1
1575255600,130109,3
1575257400,129946,4
1575259200,129675,3
1575261000,130520,3
1575262800,131992,1
1575268200,126239,16
1575270300,124563,17
1575272100,111869,2
1575273600,126005,1
1575277200,129999,8
1575281700,130000,1
1575288000,149000,1
1575313200,159000,1
1575318300,158206,1
1575320400,146068,3
1575320700,158206,1
1575321000,140000,2
1575321300,146068,3
1575321600,140000,2
1575321900,146068,3
1575322200,140000,2
1575322800,135000,3
1575324600,137332,3
1575325800,143499,2
1575326100,137332,3
1575326400,143499,2
1575338700,139249,1
1575346200,129716,4
1575346800,129432,2
1575347100,129716,4
1575347400,129432,2
1575347700,129716,4
1575350700,130000,2
1575351600,128864,1
1575362400,131000,1
1575366000,130966,2
1575368100,130932,1
1575379200,130000,1
1575388200,143974,1
1575391800,143063,1
1575393600,142452,2
1575395400,141841,1
1575406200,143333,1
1575411900,140000,1
1575415500,139059,1
1575424800,122421,1
1575428700,124368,8
1575429300,122421,8
1575429900,124368,8
1575430200,130210,2
1575430800,138000,1
1575431100,130210,2
1575431700,133164,3
1575432000,138000,1
1575432300,130746,2
1575432600,133164,3
1575432900,130746,2
1575439200,130093,1
1575441000,123273,9
1575442800,122421,8
1575450000,135299,1
1575452100,126713,3
1575453600,124568,3
1575455700,128864,1
1575461400,128000,3
1575462900,130859,5
1575463200,128000,3
1575463500,130859,5
1575464700,136099,3
1575467100,138000,1
1575475500,143333,1
1575481500,129503,2
1575481800,130760,11
1575482400,129503,2
1575482700,130760,11
1575483300,130567,13
1575483900,130425,15
1575484200,130567,13
1575484500,132144,13
1575484800,130425,15
1575485400,133602,5
1575485700,132144,13
1575486300,133602,5
1575486600,136335,3
1575486900,133602,5
1575487200,149999,1
1575487500,136335,3
1575487800,149999,1
1575493200,143500,1
1575499500,129713,4
1575500100,129643,6
1575500400,129713,4
1575500700,129643,6
1575501000,129596,9
1575501300,129643,6
1575501900,129596,9
1575502200,129503,7
1575502500,129596,9
1575502800,129503,7
1575504300,132335,3
1575504600,140750,2
1575505200,132335,3
1575505500,140750,2
1575507600,143500,2
1575508200,146749,2
1575508800,143500,2
1575509100,146749,2
1575510300,147832,3
1575510600,146749,2
1575511200,147832,3
1575511800,149999,2
1575513600,149832,3
1575514200,149749,2
1575516900,149500,1
1575518700,149999,1
1575527400,143431,2
1575528000,149999,1
1575528300,143431,2
1575529200,136863,1
1575529500,143431,2
1575529800,136863,1
1575535500,136792,1
1575539400,130346,1
1575540000,136792,1
1575540300,130346,1
1575540900,139673,2
1575541200,130346,1
1575541500,139673,2
1575543000,149000,1
1575544800,139601,1
1575546300,146147,3
1575548700,149420,2
1575549000,146147,3
1575549600,149420,2
1575560700,134999,1
1575569100,138000,1
1575572700,126561,1
1575573000,138000,1
1575573300,126561,1
1575574200,132595,3
1575576300,135612,2
1575576600,132595,3
1575576900,135612,2
1575577800,133225,1
1575578400,123829,2
1575578700,126191,8
1575579300,123829,2
1575579600,126191,8
1575581700,126979,6
1575582600,140354,2
1575582900,126979,6
1575583200,140354,2
1575585900,139534,2
1575586500,140080,3
1575587100,139534,2
1575590700,138837,1
1575596400,138000,1
1575598200,143784,3
1575598800,146676,2
1575604800,148257,1
1575607200,130393,21
1575607800,129500,20
1575608100,130393,21
1575608400,129500,20
1575608700,130393,21
1575609000,129500,20
1575609300,130393,21
1575609600,129500,20
1575609900,130393,21
1575610200,130602,22
1575611100,141628,2
1575611400,130602,22
1575611700,141628,2
1575612600,143838,3
1575613500,148257,1
1575613800,141628,2
1575614400,148257,1
1575630900,145000,1
1575645000,148257,1
1575655800,145000,1
1575659400,140000,1
1575659700,145000,1
1575660000,140000,1
1575666900,146000,1
1575670800,146996,1
1575674400,148257,1
1575691200,146774,1
1575693300,147515,2
1575693900,146774,1
1575694200,147515,2
1575694500,148257,1
1575698400,138438,1
1575702000,138400,1
1575703800,144971,3
1575705900,148257,3
1575709500,147400,1
1575713100,148257,1
1575715200,147886,2
1575717000,147516,1
1575720600,147000,1
1575726300,146000,1
1575729300,138438,1
1575729600,146000,1
1575729900,138438,1
1575737100,148257,1
1575742500,148217,3
1575744300,148197,2
1575750000,146868,2
1575753300,138437,1
1575753900,138435,2
1575754800,138437,1
1575755100,138435,2
1575757500,138434,1
1575762900,148257,1
1575764700,144628,2
1575765600,148257,1
1575765900,144628,2
1575766500,141000,7
1575770100,138438,1
1575781200,148257,8
1575795900,134111,1
1575800100,149999,1
1575812400,138438,1
1575814200,141169,2
1575814500,138438,1
1575814800,141169,2
1575816300,143900,1
1575818400,149999,1
1575819900,148999,2
1575822000,149000,2
1575823800,150000,2
1575829500,146166,3
1575829800,146250,2
1575830100,146166,3
1575830400,146250,2
1575830700,145875,4
1575831000,146166,3
1575831300,145875,4
1575831600,145699,5
1575832500,145333,3
1575833100,144999,2
1575834000,145333,3
1575834300,144999,2
1575834900,141624,4
1575835800,142000,4
1575838200,141700,5
1575838500,140500,4
1575838800,141700,5
1575839400,140500,4
1575839700,141700,5
1575840000,140484,5
1575842100,140425,2
1575843600,143214,2
1575845700,139315,2
1575847200,132630,1
1575848100,138060,4
1575849600,140678,9
1575851400,139922,5
1575852000,140678,9
1575852300,139922,5
1575852600,140678,9
1575852900,139922,5
1575853200,139610,1
1575860100,149000,1
1575860700,152000,2
1575861000,149000,1
1575861300,152000,2
1575861900,153000,3
1575862200,152000,2
1575862500,153000,3
1575863700,155000,2
1575867600,152950,1
1575869700,153975,2
1575870300,155000,2
1575870600,153975,2
1575870900,155000,2
1575871200,148571,7
1575873600,147499,6
1575874500,145999,5
1575874800,147499,6
1575875100,145999,5
1575877500,1,2
1575880500,33334,3
1575881100,100000,1
1575881400,33334,3
1575882000,100000,1
1575897600,140000,1
1575898800,141000,2
1575899400,140000,1
1575899700,141000,2
1575900900,142000,1
1575901200,141000,2
1575901500,142000,1
1575928200,139586,1
1575936300,138000,3
1575937500,137000,6
1575939000,136919,7
1575939300,137000,6
1575939600,136919,7
1575939900,136108,4
1575940200,136919,7
1575940500,136108,4
1575940800,136433,1
1575942900,141999,1
1575946500,142000,1
1575950100,141939,6
1575956100,146558,1
1575959700,158278,2
1575960600,146558,2
1575960900,158278,2
1575961200,169999,1
1575963000,154792,2
1575963300,169999,1
1575963600,154792,2
1575963900,139586,1
1575968700,138889,1
1575979800,139586,1
1575990900,169999,1
1575999900,200000,1
1576005900,137167,1
1576012500,150612,2
1576017000,149104,1
1576023900,148500,1
1576030800,147211,1
1576037100,145000,1
1576044300,144222,1
1576046100,143674,2
1576048200,143313,2
1576050000,143501,1
1576051800,137167,1
1576052100,143501,1
1576052400,137167,1
1576068300,147000,1
1576070700,145500,2
1576072200,144000,1
1576072500,145500,2
1576073100,144000,1
1576073700,147000,1
1576074000,145500,2
1576074600,147000,1
1576075500,142083,2
1576076400,137167,1
1576076700,142083,2
1576077300,137167,1
1576083900,146000,1
1576088400,145444,1
1576095600,145505,2
1576096500,143670,3
1576097100,145505,2
1576097400,143670,3
1576098300,141140,2
1576098900,143670,3
1576099200,141140,2
1576100100,142280,1
1576100400,141140,2
1576100700,142280,1
1576102800,142250,1
1576103700,140262,3
1576104300,142250,1
1576104600,138705,8
1576104900,140262,3
1576105200,138705,8
1576106400,138198,7
1576107000,138705,8
1576107300,138198,7
1576108200,140285,10
1576109100,142800,5
1576110600,143000,2
1576111200,139492,1
1576114800,142746,2
1576115400,142625,2
1576115700,142746,2
1576116000,142625,2
1576116300,142746,2
1576116600,142625,2
1576117500,139250,1
1576118100,142625,2
1576118400,139250,1
1576122900,145000,1
1576124700,144115,2
1576126500,143231,1
1576128300,146000,1
1576131900,147997,1
1576133700,147638,4
1576134600,147519,3
1576134900,147638,4
1576136100,147519,3
1576136400,147638,4
1576137300,147560,2
1576137600,147997,1
1576138200,147560,2
1576138500,147997,1
1576153800,143192,2
1576154100,145000,1
1576154400,143192,2
1576154700,145000,1
1576155000,143192,2
1576164300,147997,1
1576168800,146000,1
1576171800,145665,2
1576172400,145331,1
1576172700,145665,2
1576173000,145331,1
1576176900,139739,1
1576180500,144750,1
1576180800,139739,1
1576181100,144750,1
1576205400,147997,2
1576231500,142550,2
1576234800,147997,1
1576238700,147258,1
1576246200,147997,1
1576264500,147000,1
1576265700,141379,6
1576266300,143627,2
1576266600,141339,7
1576266900,141379,6
1576267200,141339,7
1576267500,140396,6
1576268100,141339,7
1576268400,140396,6
1576269300,139674,3
1576270500,137666,2
1576271100,139674,3
1576271400,137666,2
1576272000,140818,11
1576273500,141133,10
1576273800,141518,9
1576274400,141133,10
1576274700,141518,9
1576275600,147997,1
1576279200,141101,1
1576282800,137573,2
1576283400,138749,3
1576284000,137573,2
1576284600,138749,3
1576285800,141101,1
1576289700,140396,1
1576290300,137221,2
1576292400,142948,10
1576293300,143231,9
1576293600,142948,10
1576293900,143231,9
1576294200,143950,10
1576294500,143231,9
1576294800,142234,2
1576295100,143950,10
1576295400,142234,2
1576295700,143950,10
1576296000,142234,2
1576305000,141101,1
1576308900,147997,1
1576309200,141101,1
1576309500,147997,1
1576329600,140850,1
1576333200,140846,1
1576335300,140848,2
1576336800,140850,1
1576340400,147997,1
1576346100,140850,1
1576347900,135425,2
1576349700,135997,2
1576351500,141422,2
1576353300,135541,11
1576355400,135011,10
1576359000,140497,1
1576362300,141245,2
1576362600,141830,3
1576362900,142497,2
1576363200,141830,3
1576363500,142497,2
1576366200,142105,8
1576368000,141315,9
1576369800,137804,2
1576370400,135000,1
1576371000,137804,2
1576371600,140609,2
1576377000,140850,1
1576380600,144423,2
1576382400,147997,1
1576386000,140850,1
1576395300,146420,9
1576397100,133808,1
1576402800,144000,2
1576406400,216777,1
1576415400,250000,1
1576421100,167750,1
1576424700,167258,4
1576425900,167750,3
1576426200,167258,4
1576426500,167069,4
1576428300,166993,1
1576435500,172562,2
1576439100,156996,4
1576440900,155846,7
1576443000,154423,4
1576444800,151271,3
1576446600,151328,4
1576448400,153532,3
1576450200,147841,5
1576451700,150176,4
1576452000,146214,4
1576453800,152155,1
1576455600,152154,2
1576457400,151222,2
1576459200,150291,1
1576468500,143997,1
1576477200,143000,1
1576479000,141500,2
1576481100,140000,1
1576508700,141998,2
1576512000,143997,1
1576526400,141172,1
1576528200,138931,3
1576530000,137971,3
1576532100,138293,1
1576541700,141526,1
1576544700,141134,2
1576545000,140743,1
1576545300,141134,2
1576545900,140743,1
1576546500,140869,2
1576548300,140996,1
1576550100,139980,1
1576551900,137739,4
1576554000,139794,5
1576554600,136992,3
1576554900,139794,5
1576555800,143997,2
1576561200,137874,2
1576563300,142648,2
1576563600,137874,2
1576564200,142648,2
1576564800,143997,1
1576575600,143000,1
1576593600,143997,1
1576603200,135555,1
1576606500,136385,5
1576606800,136246,6
1576607400,136385,5
1576608000,136592,4
1576608300,136246,6
1576608600,136592,4
1576610400,135555,2
1576611000,138555,1
1576611300,135555,2
1576611900,138555,1
1576614900,130004,1
1576617300,139600,10
1576618800,140667,9
1576619400,142818,11
1576619700,144499,4
1576620300,142818,11
1576620600,144499,4
1576623300,142999,2
1576628700,139260,1
1576632900,140000,1
1576634400,141000,2
1576634700,140000,1
1576635000,141000,2
1576636500,142000,1
1576636800,141000,2
1576637100,142000,1
1576645800,142899,2
1576657200,133002,1
1576663200,142988,1
1576670700,139000,2
1576683000,142999,1
1576687200,143997,2
1576694400,140397,2
1576695000,137895,1
1576695300,140397,2
1576696500,141231,3
1576696800,140397,2
1576697400,142900,3
1576697700,141231,3
1576698000,142900,3
1576701900,137895,1
1576703700,138947,2
1576704000,137895,1
1576704600,138947,2
1576704900,138627,7
1576705200,138947,2
1576705500,138750,6
1576705800,138627,7
1576706400,138750,6
1576706700,138666,9
1576707000,138750,6
1576707300,138666,9
1576707600,138500,8
1576707900,138666,9
1576708200,138500,8
1576708500,139874,4
1576709100,138500,8
1576709400,140698,5
1576709700,139874,4
1576710000,140698,5
1576710600,143997,2
1576710900,140698,5
1576711200,143997,2
1576721100,143929,2
1576721400,143997,3
1576721700,143929,2
1576722000,143862,1
1576722900,143720,3
1576723200,143862,1
1576723500,143720,3
1576725600,143649,2
1576726500,143720,3
1576726800,143649,2
1576732200,144789,1
1576734000,152208,2
1576735800,154681,3
1576736400,159627,2
1576750800,146000,1
1576756500,150000,1
1576760100,159626,1
1576778400,149500,1
1576782300,149376,2
1576783800,149332,2
1576784100,149110,3
1576784400,149332,2
1576785000,149110,3
1576785600,148424,3
1576787700,148165,3
1576788000,147792,3
1576788300,148165,3
1576788600,147792,3
1576788900,148165,3
1576789200,147792,3
1576789500,147564,3
1576791300,147257,1
1576791900,147403,2
1576792200,147257,1
1576792500,147403,2
1576792800,147257,1
1576793100,146624,1
1576796400,145906,1
1576799100,146211,4
1576799400,145906,1
1576800000,146211,4
1576800300,146313,3
1576807500,142156,6
1576807800,141991,7
1576808400,142156,6
1576809300,141867,8
1576811100,141000,1
1576812900,150200,2
1576815000,159400,1
1576815300,150200,2
1576815900,159400,1
1576816200,150200,2
1576816500,159300,1
1576818600,158902,2
1576818900,159300,1
1576819200,158902,2
1576819500,159300,1
1576819800,158902,2
1576820400,158240,3
1576820700,158504,1
1576821000,158240,3
1576821600,158504,1
1576821900,158240,3
1576822500,158108,2
1576822800,158240,3
1576823700,158108,2
1576833000,159627,1
1576853100,157000,1
1576858500,159627,1
1576862400,157802,1
1576864200,156844,3
