timestamp,avg,qty
1574973000,234,746
1574973300,233,2000
1574973600,234,746
1574974200,233,2000
1574985300,234,788
1574985600,233,595
1574986200,238,214
1574986500,234,788
1574987100,238,214
1574989500,239,2
1574991000,238,2
1574991600,239,2
1574991900,238,2
1574992800,233,3
1574994300,226,2
1574996400,233,7
1574997900,235,7
1575000000,238,4
1575001500,230,73
1575010800,228,1
1575015900,236,26
1575018000,237,24
1575019800,238,1
1575030600,232,502
1575034500,231,9
1575036000,228,7
1575042000,233,796
1575042600,236,560
1575042900,233,796
1575043500,231,1699
1575043800,229,1139
1575044100,231,1699
1575044400,229,1139
1575045000,231,1699
1575045300,229,1139
1575049200,231,3
1575051000,234,5
1575060600,233,2
1575064200,234,606
1575067800,233,310
1575070500,234,765
1575070800,233,906
1575071400,234,765
1575071700,233,564
1575073500,234,560
1575077100,233,184
1575082800,234,505
1575086700,233,11
1575088500,229,7
1575090300,233,20
1575092100,234,36
1575094200,235,423
1575095100,234,23
1575095700,235,402
1575097500,230,22
1575101400,233,1
1575108900,231,2
1575109800,232,302
1575111300,231,602
1575111600,232,301
1575112200,231,602
1575113700,230,301
1575114300,231,401
1575114600,230,301
1575114900,232,401
1575117300,233,400
1575121200,230,3
1575123000,229,4
1575123600,230,3
1575123900,229,4
1575126300,227,682
1575128400,226,582
1575129900,229,3
1575134400,228,103
1575135900,225,104
1575136200,228,104
1575136800,226,153
1575139800,229,53
1575140400,226,153
1575140700,229,117
1575144600,230,7
1575146100,228,527
1575146400,230,6
1575146700,228,522
1575151800,227,3
1575156900,228,303
1575157200,227,1703
1575157500,228,304
1575159300,229,203
1575159600,228,503
1575159900,229,203
1575160800,232,713
1575161400,233,852
1575161700,232,713
1575162000,233,852
1575162900,232,1155
1575164700,231,751
1575165000,230,651
1575165600,231,751
1575165900,232,149
1575166200,230,651
1575166500,232,148
1575168300,237,601
1575168600,239,40
1575168900,237,601
1575170100,238,1902
1575171900,237,2304
1575173700,236,1003
1575175500,235,4
1575176100,234,3
1575176700,235,4
1575177300,234,3
1575179400,230,2
1575181200,236,502
1575184800,239,21
1575186600,238,23
1575189000,229,2
1575190200,230,1
1575190500,229,2
1575190800,230,1
1575194700,225,1
1575199500,229,1
1575202800,225,1
1575204000,237,701
1575204300,225,1
1575204900,237,702
1575208800,233,4
1575209100,235,3
1575209400,232,3
1575209700,233,4
1575210000,232,3
1575211800,233,2
1575212100,232,3
1575212400,233,2
1575213300,229,1
1575215100,281,2
1575215700,229,1
1575216000,281,2
1575216900,286,2
1575217200,281,2
1575217800,286,2
1575218700,240,504
1575219300,258,5
1575219600,240,504
1575220500,248,744
1575221400,267,243
1575223200,298,464
1575223800,267,244
1575224100,298,464
1575224400,361,498
1575224700,298,464
1575225000,361,498
1575225900,387,607
1575227100,452,453
1575228000,557,178
1575228300,452,453
1575228600,557,178
1575228900,567,150
1575229200,557,178
1575229800,567,150
1575230100,650,69
1575232200,322,44
1575232800,631,6
1575233400,274,197
1575234000,305,498
1575234300,274,197
1575235200,305,498
1575235800,319,665
1575237300,295,655
1575237600,288,552
1575237900,295,655
1575238200,288,552
1575238500,295,655
1575238800,250,344
1575239100,288,552
1575239400,250,344
1575240600,314,46
1575242100,272,6
1575242700,244,6
1575243600,235,5
1575243900,244,6
1575244200,235,5
1575244800,236,406
1575248100,234,2308
1575252000,229,11
1575253800,225,204
1575255600,227,404
1575257400,230,202
1575259200,225,2
1575262800,236,1000
1575266400,235,5
1575270300,236,202
1575277200,234,1
1575281700,236,208
1575282000,234,9
1575282300,236,208
1575282600,234,604
1575285300,233,406
1575285600,234,607
1575286200,233,24
1575287700,234,23
1575294600,236,1501
1575298800,234,2
1575300300,232,6
1575302100,231,10
1575304500,232,3
1575304800,231,7
1575305100,232,3
1575305400,231,7
1575305700,232,3
1575306300,234,3
1575306600,235,2
1575308100,233,4
1575308400,235,2
1575309000,233,4
1575309300,235,2
1575309600,233,3
1575313200,237,200
1575314100,236,201
1575314400,237,200
1575315000,236,203
1575319200,235,1008
1575322800,233,63
1575324600,232,44
1575325800,233,2
1575326100,232,44
1575326400,233,2
1575327900,234,2
1575331800,233,26
1575332100,234,25
1575332400,233,26
1575333300,232,31
1575333600,231,34
1575333900,232,31
1575334500,231,34
1575334800,226,26
1575335400,227,25
1575335700,226,26
1575336300,227,25
1575336900,228,18
1575338700,235,504
1575340500,236,902
1575342600,237,401
1575344100,236,32
1575347700,237,2
1575351600,236,1400
1575353100,233,302
1575354900,234,3
1575358800,237,3
1575362400,225,2931
1575368100,236,800
1575373800,234,3
1575375600,231,416
1575379200,230,438
1575381000,231,437
1575388200,230,4
1575390000,229,12
1575391800,236,199
1575395400,231,2
1575397500,236,205
1575399000,237,1204
1575400800,235,4
1575402600,234,10
1575404700,233,9
1575406200,236,663
1575406500,237,663
1575406800,236,663
1575407100,237,663
1575407700,236,663
1575408000,237,663
1575410400,236,6
1575411900,237,1008
1575419400,236,1217
1575420900,237,1320
1575422700,239,307
