timestamp,avg,qty
1574973000,9,5800
1574973300,9,6800
1574973600,9,5800
1574974200,9,6800
1574974800,9,15551
1574975400,9,13551
1574978400,9,15055
1574990400,8,121555
1574991000,8,115995
1574991600,8,121555
1574991900,8,115995
1574994300,9,36284
1574996400,9,9251
1575001500,10,12
1575005100,10,1185
1575012000,8,847
1575015900,10,28910
1575029700,12,2470
1575030000,12,2470
1575030300,12,2470
1575034500,10,38780
1575036000,9,6000
1575039600,11,11844
1575043800,12,7050
1575044100,12,7050
1575044400,12,7050
1575045000,12,7050
1575045600,12,7050
1575046500,11,3665
1575046800,11,3665
1575047700,9,43370
1575052800,10,8000
1575055200,10,9105
1575056700,8,27154
1575058500,8,25593
1575060600,11,5145
1575062100,11,5145
1575062400,10,1190
1575067800,11,40122
1575068100,11,48086
1575069900,7,35895
1575070500,7,32964
1575070800,7,35895
1575071400,7,32964
1575077100,8,48599
1575084600,9,32540
1575088500,11,55331
1575093900,10,4659
1575097500,10,7000
1575099900,9,13590
1575100200,9,13590
1575100500,9,13590
1575101400,9,27090
1575105300,9,7657
1575105900,9,9657
1575106500,9,7302
1575106800,9,9657
1575107400,9,7302
1575113700,9,48690
1575117300,12,18127
1575121200,9,48130
1575122100,11,31972
1575122400,9,76180
1575126300,9,23696
1575130500,10,9301
1575132000,9,41122
1575133800,8,67222
1575146100,9,7000
1575147900,8,63765
1575149700,8,65495
1575150000,8,63765
1575150300,8,65495
1575151800,8,3380
1575153300,9,2110
1575153600,8,3730
1575153900,9,2110
1575155700,10,110
1575156000,8,460
1575156300,10,110
1575156900,8,14765
1575157200,10,110
1575157500,8,15275
1575162900,9,4545
1575164700,8,8705
1575168300,9,11310
1575175500,7,226352
1575186600,10,31881
1575190200,11,74665
1575190500,11,63962
1575190800,11,74665
1575192300,11,77178
1575194700,11,40864
1575203700,8,8715
1575207000,12,16922
1575207300,10,14437
1575207600,12,16922
1575215100,11,51442
1575216000,11,60678
1575216600,11,51442
1575216900,10,69334
1575218700,10,36241
1575219300,10,62134
1575219600,10,36241
1575222300,8,4838
1575223200,8,4838
1575225900,7,175290
1575228900,9,26308
1575229200,7,198993
1575229800,9,26308
1575230700,9,19630
1575232200,8,15785
1575234000,7,26642
1575234300,7,22972
1575235200,7,26642
1575235800,6,22856
1575239700,10,4650
1575240300,10,1450
1575240600,9,6850
1575242700,9,29955
1575248100,8,5210
1575252000,8,19896
1575257400,9,42504
1575261000,9,43747
1575264600,9,102645
1575270300,8,26272
1575275400,7,3852
1575283800,8,4000
1575291900,10,15694
1575299700,9,24090
1575303300,8,21365
1575308100,9,21603
1575309900,9,17700
1575310200,9,13101
1575311100,9,17700
1575312300,9,44940
1575312600,9,44940
1575313200,8,34900
1575317100,9,105
1575322800,10,14
1575325800,10,15815
1575326400,10,15815
1575326700,10,15815
1575327000,10,15815
1575327300,10,15815
1575327600,10,15815
1575328200,9,18815
1575328500,9,18815
1575329100,9,18815
1575336900,8,17985
1575342600,9,6205
1575346200,9,243
1575347700,8,805
1575358800,8,201
1575362400,9,3848
1575366000,9,8400
1575368100,9,21390
1575375600,9,9690
1575384600,8,76535
1575400800,7,12210
1575406200,8,39524
1575411900,7,2382
1575415500,6,2870
1575419400,7,157934
1575421800,8,94947
1575424800,9,23070
1575426600,9,12785
1575431700,9,31620
1575432000,9,39308
1575432300,9,31605
1575433500,9,11528
1575442800,9,39090
1575446700,8,33079
1575461700,9,900
1575462300,9,900
1575462600,9,900
1575471900,8,14177
1575475500,8,44441
1575475800,8,23762
1575476100,8,44441
1575479700,8,10819
1575483300,9,2414
1575488100,8,8197
1575488400,8,9597
1575488700,8,8197
1575493200,7,21300
1575493500,7,20925
1575493800,7,20745
1575496200,8,14480
1575496800,8,11455
1575497400,8,14480
1575498000,8,19795
1575503400,9,11720
1575504600,9,19640
1575505200,9,14635
1575506100,9,19640
1575506400,9,26705
1575514200,7,4920
1575514800,9,97420
1575515100,7,4920
1575515700,9,97420
1575516000,9,97423
1575516300,9,97420
1575516600,9,97423
1575517800,9,103453
1575518100,9,103423
1575518400,9,103453
1575531900,10,14000
1575532200,10,3000
1575540900,8,12088
1575542100,8,7313
1575542700,8,12088
1575543000,8,18343
1575544800,8,21330
1575553200,9,13000
1575553500,9,12000
1575553800,9,13000
1575555000,9,2000
1575556800,8,18544
1575559200,8,5484
1575559500,8,17544
1575559800,8,5484
1575566100,8,19210
1575567300,8,7816
1575567900,7,8516
1575568500,8,7816
1575568800,7,8516
1575571800,6,7900
1575576000,8,1039
1575587100,8,27482
1575589500,8,11670
1575590100,8,7670
1575590400,8,11670
1575598200,9,42870
1575601500,8,7410
1575602100,9,14430
1575602400,8,7410
1575603300,8,3000
1575607200,9,48020
1575609300,9,53435
1575609600,9,55500
1575609900,9,53435
1575621900,8,13642
1575625500,10,7000
1575625800,10,7000
1575626400,10,7000
1575627300,10,14000
1575627600,10,14000
1575628200,10,14000
1575647400,9,8160
1575654600,8,6636
1575655500,8,6636
1575655800,9,8135
1575666000,9,7005
1575666300,9,7005
1575666900,8,7225
1575669300,8,1435
1575669600,8,1435
1575670200,8,1435
1575674400,9,17780
1575680100,10,3000
1575680400,10,3000
1575680700,10,3000
1575681300,10,3000
1575681600,10,3000
1575682200,7,2813
1575687300,9,8105
1575691200,8,18883
1575694500,9,11870
1575707700,8,690
1575718500,9,35783
1575722100,9,12905
1575726300,9,30
1575733500,9,7293
1575733800,10,14770
1575735000,9,23890
1575738900,10,24008
1575739500,10,40783
1575739800,10,24008
1575740400,10,13245
1575740700,10,13245
1575741000,10,13245
1575741300,10,13245
1575741900,10,13245
1575742500,8,4120
1575747900,8,14884
1575750000,9,16857
1575751200,9,16857
1575751500,9,21031
1575753300,9,4184
1575755100,8,2510
1575759000,9,5255
1575760800,8,13640
1575764700,8,24149
1575765600,8,24149
1575765900,8,24149
1575768300,7,600
1575771900,9,396
1575773700,8,13000
1575774300,8,13000
1575774900,8,13000
1575775200,8,13000
1575777300,9,21750
1575777600,9,19500
1575777900,9,21750
1575781200,9,7513
1575781500,9,7513
1575782100,9,7513
1575782400,9,20048
1575784500,9,13000
1575788100,7,219960
1575789900,7,189806
1575793800,9,5355
1575801300,10,3925
1575807300,10,7000
1575810600,9,7480
1575810900,9,7480
1575811800,9,7480
1575812100,9,7480
1575820200,8,2520
1575820500,8,1380
1575821100,8,2520
1575821400,8,1380
1575821700,8,2520
1575825600,7,60509
1575829500,8,6190
1575842100,8,43575
1575845700,8,10000
1575847200,8,9500
1575853200,7,11150
1575856800,8,16151
1575857100,8,16151
1575857400,8,16151
1575858600,7,13222
1575859200,7,13222
1575859500,7,13222
1575860100,8,7394
1575860400,7,13222
1575860700,8,8444
1575861000,8,7394
1575861300,8,8444
1575862800,8,19732
1575863100,8,19640
1575863700,8,16894
1575866100,9,6300
1575866400,9,6300
1575866700,9,6300
1575867300,9,6300
1575867600,9,14650
1575870300,8,31873
1575870600,8,31873
1575870900,8,31873
1575880500,9,11123
1575886500,10,13555
1575888000,10,120
1575888300,8,399
1575891600,8,19069
1575891900,8,19069
1575892200,9,18790
1575892800,8,19069
1575893400,8,4540
1575893700,9,18790
1575894000,8,2251
1575898800,9,1050
1575905700,10,13339
1575906000,9,29522
