timestamp,avg,qty
1575049200,5,1
1575060600,1,123
1575081000,4,204
1575179400,10,67
1575200100,11,122
1575201300,11,22
1575201600,11,122
1575202200,11,22
1575207000,5,277
1575207300,5,277
1575207600,5,277
1575232200,5,81
1575272100,5,6
1575329400,5,146
1575402600,6,30
1575477600,5,45
1575477900,5,13
1575478500,5,45
1575478800,5,13
1575483300,2,102
1575559200,5,1001
1575711600,5,16
1575744300,5,47
1575909000,6,49
1575932100,5,13
1575993000,5,299
1575995100,5,432
1575995400,5,307
1575995700,5,432
1575998100,5,232
1576013400,5,24
1576054200,6,1
1576083600,2,32
1576109100,3,1
1576133700,4,3
1576284600,3,532
1576329600,7,109
1576435500,5,17
1576551900,6,50
1576586400,6,7
1576615500,6,210
1576617300,6,263
1576623300,6,22
1576626300,2,65
1576632900,2,118
1576703400,2,41
1576704900,2,8
1576705500,2,8
1576706700,5,223
1576707000,2,8
1576707300,5,223
1576720200,2,53
1576780500,6,1
1576794600,3,96
1576935000,3,162
1576945800,3,1
1576984500,5,366
1577033700,3,91
1577046900,5,71
1577072100,3,193
1577118300,3,11
1577124600,3,10
1577222400,3,9
1577229600,7,237
1577249700,3,5
1577275200,3,196
1577307900,7,1
1577313300,3,1028
1577316900,3,2
1577344200,3,212
1577377200,6,7
1577395200,3,1184
1577519100,3,34
1577613600,3,33
1577645100,5,11
1577685900,2,1
1577778600,2,21
1577819400,2,25
1577824800,2,198
1577851500,2,1
1577878800,5,27
1577906400,2,74
1577987700,2,1220
1577993400,2,10
1578000900,2,82
1578059400,2,18
1578068400,4,2
1578147600,3,9
1578168600,2,197
1578177000,5,53
1578177900,5,53
1578183300,2,171
1578185700,2,178
1578188700,2,72
1578189000,3,52
1578189300,2,72
1578192600,6,20
1578199800,8,39
1578231300,7,279
1578252000,7,227
1578252600,8,200
1578252900,7,227
1578257400,5,11
1578260700,7,289
1578262800,7,275
1578264300,7,275
1578286500,10,17
1578678300,8,16
1578696600,10,2
1578715200,10,1
1578778500,5,12
1578782100,1,6004
1578851400,10,44
1578853200,10,107
1578945300,6,10
1578995400,2,1
1579010400,2,311
1579021800,4,260
1579032600,2,88
1579034400,2,47
1579127400,5,1
1579136700,9,144
1579303800,9,1
1579311300,10,46
1579372800,10,57
1579409400,13,1
1579498500,10,9
1579503900,10,49
1579545900,10,118
1579631100,11,6
1579673100,11,147
1579716300,12,26
1579719900,11,100
1579854300,10,107
1579857900,31,27
1579863600,13,3
1579867500,149,78
1579869300,54,34
1579908000,11,50
1579909800,11,49
1579915200,11,74
1579927800,11,3
1579936800,11,46
1579953900,500,322
1579993800,30,70
1579995600,30,97
1579997700,30,93
1580004900,11,6
1580019600,2,23
1580055000,10,3
1580078700,10,142
1580111700,10,37
1580123100,12,9
1580148300,10,52
1580150100,10,50
1580201400,10,7
1580210400,10,195
1580217600,10,51
1580230200,10,200
1580296800,3,6
1580412300,2,250
1580424900,10,8
1580430300,7,73
1580493600,8,3
1580495400,8,3
1580506200,3,41
1580517300,2,3
1580553900,2,155
1580570700,2,24
