timestamp,avg,qty
1574984400,1100,2
1575005100,1090,1
1575021600,1070,1
1575027300,1079,2
1575029100,1089,1
1575062400,1081,5
1575062700,1069,85
1575063300,1081,5
1575063600,1069,85
1575073500,1025,100
1575092100,1069,4
1575113700,1065,11
1575128400,1060,100
1575129600,1058,102
1575132000,1007,2
1575147900,1079,15
1575165900,1090,1
1575184800,1100,100
1575195300,1162,20
1575233400,1325,4
1575277200,1300,50
1575315000,1400,200
1575411900,1325,120
1575441000,1288,20
1575442800,1287,19
1575461400,1325,1
1575485400,1323,10
1575555300,1322,1
1575584100,1323,2
1575584400,1322,1
1575585000,1323,2
1575585900,1325,1
1575603300,1324,14
1575606300,1325,15
1575606900,1324,15
1575607200,1325,1
1575630900,1389,1
1575635400,1349,20
1575641100,1389,10
1575644100,1382,1
1575644400,1389,10
1575644700,1382,1
1575650100,1389,1
1575659400,1317,40
1575681900,1429,1
1575711000,1426,4
1575715200,1429,1
1575717000,1419,11
1575744300,1599,200
1575770100,1418,1
1575840000,1599,1
1575867600,1600,100
1575879000,1467,1
1575892200,1600,172
1575917400,1500,1
1575955500,1316,1
1575979800,1189,10
1575999300,1299,1
1576047900,1235,1
1576061700,1299,10
1576075800,1298,300
1576099800,1173,200
1576156800,1167,50
1576157100,1173,30
1576157400,1167,50
1576159800,1160,20
1576176900,1158,1001
1576177500,1160,901
1576177800,1158,1001
1576180200,1146,100
1576191900,1147,10
1576201500,1059,110
1576206000,1083,181
1576207200,1113,80
1576210800,1140,1
1576236900,1137,20
1576253700,999,1
1576257300,704,1
1576260900,909,1
1576261200,704,1
1576261800,909,1
1576265700,929,331
1576266300,909,301
1576266600,1137,30
1576266900,929,331
1576267200,1137,30
1576282800,1000,1
1576297800,993,20
1576326000,912,1
1576333500,1000,100
1576338900,999,100
1576355400,861,40
1576362600,816,2
1576369800,861,1
1576430100,999,20
1576440900,971,139
1576443000,973,149
1576444800,999,10
1576446600,954,30
1576450200,999,1
1576457400,1000,1
1576526400,1059,1
1576537200,1300,1
1576541100,1299,100
1576563300,1298,2
1576568700,1297,10
1576599000,1198,10
1576606800,1197,40
1576611000,1198,1
1576611300,1197,41
1576611900,1198,1
1576624800,1197,1
1576629900,1196,101
1576672200,1111,10
1576678500,1249,200
1576712100,1298,10
1576724700,1344,1
1576749900,1343,1
1576780500,1344,100
1576798200,1333,30
1576807500,1317,101
1576818300,1255,40
1576836900,1240,100
1576851300,1050,36
1576891200,989,12
1576893000,998,512
1576895100,999,500
1576924200,1066,10
1576945800,1150,1
1576958700,834,100
1576964400,1149,30
1576977000,1150,1
1576988100,1060,200
1576989900,971,100
1577001000,1150,200
1577050200,1181,100
1577053800,1243,1
1577059500,1193,1
1577063100,1137,1
1577073900,1027,1
1577086500,1193,1
1577094300,1298,100
1577141100,1281,1
1577148600,1280,20
1577181600,1270,100
1577205900,1200,20
1577211600,1153,31
1577213400,1152,30
1577213700,1153,31
1577214300,1152,30
1577220300,1200,1
1577235000,1181,1
1577251500,1100,100
1577297100,1135,3
1577298900,1144,1
1577315400,1000,43
1577316900,1075,95
1577318700,1143,251
1577320800,1136,211
