timestamp,avg,qty
1575156900,16,5200
1575228000,22,5000
1575334800,14,10
1575404700,17,4723
1575427200,22,1
1575428100,15,5001
1575490800,22,1000
1575621900,17,2000
1575630900,22,300
1575792000,15,4760
1575825600,17,12000
1575886500,13,20
1575932100,15,1000
1575946500,19,3610
1576145700,16,1600
1576265700,20,1000
1576515900,16,1
1576537200,17,1
1576608000,8,13000
1576612200,14,1
1576636500,16,3060
1576933200,8,1577
1576953300,14,800
1576973400,16,2200
1577073900,15,1000
1577188800,16,8137
1577322600,12,3388
1577329800,11,1
1577426100,14,10
1577576100,16,100
1577661600,17,4000
1577757000,15,1000
1577786100,21,10000
1577810100,20,13000
1577874900,16,490
1577991600,15,1530
1578066600,10,200
1578215400,21,10000
1578245100,9,155
1578276000,13,4267
1578288300,16,730
1578531000,14,13000
1578553200,22,4000
1578555300,21,4060
1578557100,20,2560
1578566400,21,10440
1578568500,22,6200
1578591900,12,828
1578593700,17,3990
1578595500,19,3162
1578657600,16,3630
1578670800,15,9488
1578674700,26,210
1578702300,12,3205
1578705900,14,1020
1578763800,8,1159
1578776700,12,2000
1578780300,11,3500
1578782100,10,6500
1578795000,14,1000
1578800700,11,550
1578840600,16,210
1578862500,17,100
1578888300,11,3000
1578932400,15,30
1578936000,16,1000
1578945300,15,930
1578974700,12,5000
1579014300,16,13000
1579052700,15,8539
1579090500,16,1
1579127400,15,4000
1579149300,14,20
1579302000,15,2000
1579309500,14,5897
1579452600,11,1000
1579483500,15,2000
1579492800,12,130
1579494600,14,2130
1579496700,15,2000
1579584300,14,20
1579718100,16,2160
1579719900,14,6369
1579721700,13,7210
1579723500,12,3001
1579762200,13,2769
1579764000,20,350
1579799400,5,250
1579944300,11,1000
1579972200,26,1
1579986600,15,5288
1580219400,24,1110
1580259000,13,3000
1580262600,14,10
1580329200,12,604
1580349000,14,4670
1580517300,12,10000
1580535300,7,100
1580546400,12,13000
1580583600,14,1
1580587200,13,11000
1580598000,14,5000
1580599800,15,3536
1580625300,13,4020
1580628900,14,250
1580652900,11,270
1580656500,13,5129
1580662200,21,2871
1580664000,16,5971
1580665800,13,3100
1580669400,10,380
1580775600,12,13000
1580804700,13,1000
1580829300,11,1838
1580840100,10,2110
1580850900,14,821
1580856600,18,2039
1580858400,22,1079
1580919900,14,8451
1580923500,12,970
1580932500,15,9630
1580943600,20,3000
1580965200,15,200
1580974500,19,1000
1581018300,10,2049
1581038700,13,10450
1581040500,12,18474
1581042300,10,8024
1581044100,16,2260
1581047700,25,70
1581085200,14,430
1581118200,15,140
1581121800,16,12860
1581132600,13,15819
1581136200,16,470
1581199200,17,662
1581222900,14,4100
1581245100,19,1031
1581269400,12,10380
1581283800,19,2000
1581357300,13,3000
1581384300,16,22908
1581386100,18,13000
1581577200,13,4000
1581689700,20,60
1581727800,12,100
1582152600,13,1
1582158900,17,10000
1582178400,18,6000
1582305900,14,500
1582324500,20,2000
1582332900,12,3390
1582397700,19,3140
1582403100,13,20
1582408500,20,12338
1582417500,17,13000
1582554000,20,1000
1582746300,14,200
1582833900,13,2000
1582859100,18,1
1583014200,11,5450
1583016000,12,9450
1583017800,13,4975
1583019600,11,975
1583035800,12,101
1583114400,11,380
1583185500,14,1
1583199600,2,380
1583245800,17,100
1583336700,16,13000
1583349300,11,1550
1583370900,13,312
1583371200,11,2562
1583371500,13,312
1583371800,11,2562
1583372400,13,312
1583394600,18,100
1583412900,19,10
1583447700,13,5000
1583455200,12,2412
1583457000,11,750
1583466000,18,2000
1583467800,17,2090
1583469900,11,90
1583495700,13,1301
1583514300,12,2420
1583519700,11,380
1583521500,12,5380
1583523300,13,10580
1583525100,11,13320
1583589300,13,1000
1583598900,11,8089
1583613300,13,12954
1583616900,14,46
1583619300,11,10494
1583627700,14,2020
1583629500,13,3130
1583633100,14,10200
1583637000,11,2500
1583703000,12,4000
1583704800,13,3010
1583706600,11,10
1583765100,13,1000
